,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2035,唐榮鐵工廠股份有限公司,唐榮公司,鋼鐵工業,－,高雄市小港區沿海二路四號,75460005,吳豐盛,蔡明洲,劉岳前,管理部門助理副總經理,林郁,07-8022811,44/04/26,95/07/07,新台幣 10.0000元,3500000000,350000000,0,0,個別,每年,股東會,群益金鼎證券股份有限公司,02-2702-3999,台北市敦化南路2段97號地下2樓,安侯建業會計師事務所,黃欣婷,韓沂璉,TE,"No.4, Yen Hai 2nd Rd., Hsiao Kang .,Kaohsiung City,Taiwan ROC",07-8010801,nty@mail.tangeng.com.tw,http://www.tangeng.com.tw,倪端儀,管理師,02-23709199,nty@mail.tangeng.com.tw,http://www.tangeng.com.tw
1,2063,世鎧精密股份有限公司,世鎧,鋼鐵工業,－,高雄市岡山區本洲里本工一路一號,86637206,杜泰源,林上安,林上安,總經理,鄭守傑,07-6225669,81/04/28,99/09/07,新台幣 10.0000元,450000000,45000000,0,0,合併,每季,董事會,永豐金證券股份有限公司,02-23816288,10044台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,許凱甯,郭麗園,SHEH KAI,"NO.1, Ben Gong 1st Rd., Ben Chou Industrial Park, Kangshan TownKaohsiung82059, Taiwan",07-6230964,roger@shehkai.com.tw,www.shehkai.com.tw,鄭守傑,財務部協理,07-6225669,roger@shehkai.com.tw,http://www.shehkai.com.tw/tw/stakeholder.php
2,2064,晉椿工業股份有限公司,晉椿,鋼鐵工業,－,50544彰化縣鹿港鎮鹿工路24號,30826319,陳譽,陳譽,陳譽,執行長,張廷宇,04-7810000,60/05/10,103/12/26,新台幣 10.0000元,696300000,69630000,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27035000,台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,黃柏淑,吳仲舜,CAMELLIA,"No.24, Lugong Rd., Chang Bin Industrial ParkLugang Town, Chang Hua County , Taiwan",04-7810099,cametal.taiwan@msa.hinet.net,http://www.camelliametal.com,陳譽,執行長,04-7810000,edward@camelliametal.com,http://www.camelliametal.com
3,2065,世豐螺絲股份有限公司,世豐,鋼鐵工業,－,(82547)高雄市橋頭區頂鹽里復興西路810號,31213886,杜泰源,陳駿彥,陳秀珠,副總,陳姿吟,07-6116116,62/08/09,106/04/21,新台幣 10.0000元,515122030,51512203,0,0,合併,每季,董事會,富邦綜合證券股份有限公司,02-23611300,台北市許昌街17號2樓,安侯建業聯合會計師事務所,關春修,陳惠媛,SF,"No.810, Fuxing W. Rd.Kaohsiung City 82547, Taiwan (R.O.C.)",07-6197589,investor@shehfung.com,www.shehfung.com,陳秀珠,副總,07-6116116,investor@shehfung.com,www.shehfung.com
4,5009,榮剛材料科技股份有限公司,榮剛,鋼鐵工業,－,台南市新營區新中路35號(總部地址:台南市柳營區工二路10號),84252697,王炯棻,康永昌,康永昌,總經理,李郁真,06-6520031,82/03/19,87/10/17,新台幣 10.0000元,4567359910,456735991,0,0,合併,每季,董事會,元大證券股份有限公司,02-25865859,台北市承德路三段210號B1,勤業眾信聯合會計師事務所,劉明賢,趙永祥,GMTC,"35, HSIN CHUNG ROAD, HSINYING CITYTAINAN HSIEN, TAIWAN 730",06-6230890,www.gmtc.com.tw,www.gmtc.com.tw,李郁真,副總經理,06-6520031,alyj0937@gmtc.com.tw,http://www.gmtc.com.tw/csr_investor.php
5,5011,久陽精密股份有限公司,久陽,鋼鐵工業,－,高雄市橋頭區芋林路299號,7926511,孫正強,吳居諺,孫正強,董事長,吳居諺,07-6125899,73/11/21,88/05/06,新台幣 10.0000元,885218010,88521801,12500000,0,合併,每年,股東會,兆豐證券股份有限公司,02-33930898,台北市忠孝東路二段95號1樓、8樓,資誠聯合會計師事務所,林姿妤,劉子猛,OFCO,"NO.299,YU-LIN ROAD, CHIAO-TOU HSIANG,KAOHSIUNG COUNTY 825 TAIWAN, R.O.C.",07-6125885,mei-yu@ofco.com.tw,www.ofco.com.tw,王梅玉,財務經理,07-6125899-421,mei-yu@ofco.com.tw,www.ofco.com.tw
6,5013,強新工業股份有限公司,強新,鋼鐵工業,－,台南市722佳里區海澄里萊芊寮12-19號,84703335,吳玉堂,方聰偉,吳孟縈,副總經理,方聰偉,06-7263311,82/11/25,89/05/08,新台幣 10.0000元,1334160000,133416000,0,0,合併,每年,股東會,中國信託商業銀行代理部,02-66365566,台北市100重慶南路一段83號6樓,勤業眾信聯合會計師事務所,李季珍,廖鴻儒,NEW BEST,"NO.12-19 LAI GUAN LIAU, CHIA LIE DIST.,TAINAN CITY TAIWAN R.O.C.",06-7263300,newbest@ms25.hinet.net,www.newbest.com.tw,王麗雯,副課長,06-7263311,stockservice@newbest.com.tw,www.newbest.com.tw
7,5014,建錩實業股份有限公司,建錩,鋼鐵工業,－,桃園市大園區田心里大觀路178號,43912787,李慶柏,李慶柏,宋玟慧,集團總管理處副總經理,黃沛姍,(03)385-6985,72/07/28,90/02/15,新台幣 10.0000元,1653330540,165333054,0,0,合併,每年,股東會,台新證券股務代理部,(02)2504-8125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,李燕娜,吳偉豪,CCI,"No.178, Daguan Rd., Dayuan Dist, Taoyuan City, TaiwanTaoyuan City, Taiwan R.O.C",(03)385-6975,personnel@chainchon.com.tw,www.chainchon.com,黃沛姍,管理部副理,(03)385-6985#305,personnel@chainchon.com.tw,http://global.chainchon.com/cht/online-sale.htm
8,5015,華祺工業股份有限公司,華祺,鋼鐵工業,－,桃園市中壢區松江北路29號,12494555,葉明彥,張順立,張順立,總經理,游淑齡,03-4511493,73/05/22,89/12/15,新台幣 10.0000元,606391890,60639189,0,0,合併,每年,股東會,凱基證券股份有限公司,02-23892999,台北市重慶南路一段2號5樓,惠眾聯合會計師事務所,項文婷,盧聯生,RODEX,"NO. 29, SUNG CHIANG NORTH ROAD　CHUNG LI IND. PARK, TAIWAN R.O.C.",03-4622317,jack@rodex.com.tw,www.rodex.com.tw,萬又相,經理,03-4343066,jack@rodex.com.tw,www.rodex.com.tw
9,5016,松和工業股份有限公司,松和,鋼鐵工業,－,南投市南崗工業區南崗三路61號,85611896,林廷芳,李金南,吳蕙如,協理,張達夫,049-2253551,61/09/15,90/03/05,新台幣 10.0000元,496220760,49622076,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,安永聯合會計師事務所,陳明宏,涂清淵,Song Ho,"61,NAN-KONG 3 ROAD, NAN TOU CITY NAN TOU HSIEN, TAIWAN, R.O.C.",049-2253395,mis.songho@msa.hinet.net,http://www.songho.com,吳蕙如,協理,0492253551#149,mis.songho@msa.hinet.net,http://www.songho.com/zh-tw/contact.html
