,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2596,綠意開發股份有限公司,綠意,建材營造,－,台北市市民大道五段69號2樓,12860948,許燈城,許燈城,許志豪,特別助理,林秀娟,(02)8787-8096,90/05/04,98/06/01,新台幣 10.0000元,1000000000,100000000,0,0,合併,每年,股東會,福邦證券股份有限公司,(02)2371-1658,台北市忠孝西路一段6號6樓,安侯建業聯合會計師事務所,黃明宏,黃柏淑,ReaLy,"2F,NO.69,CIVIL BOULEVARD, Sec.5Taipei, Taiwan, R.O.C.",(02)8787-3416,services@realycorp.com.tw,www.realycorp.com.tw,許志豪,特別助理,(02)8787-8096,patrickh@realycorp.com.tw,www.realycorp.com.tw/investor-7.htm
1,3188,鑫龍騰開發股份有限公司,鑫龍騰,建材營造,－,高雄市鼓山區明誠四路33號,12667444,黃學藤,黃勁嘉,陳宗燦,副總經理,蔡佳倫,(07)555-7880,89/11/24,93/03/17,新台幣 10.0000元,1202951200,120295120,0,0,個別,每年,董事會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,王兆群,郭麗園,GLTD,"No.33, Mingcheng 4th Rd., Gushan Dist.Kaohsiung City 80457, Taiwan (R.O.C.)",(07)555-7882,service@gltd.com.tw,www.gltd.com.tw,陳宗燦,副總經理,(07)555-7880,service@gltd.com.tw,www.gltd.com.tw
2,3489,森寶開發股份有限公司,森寶,建材營造,－,桃園市蘆竹區南崁里民權路50號,86140894,簡元城,簡文潔,莊義芳,協理,陳淅滄,(03)326-7897,80/06/08,96/09/29,新台幣 10.0000元,831306700,83130670,0,0,合併,每年,股東會,群益金鼎證券(股)公司股務代理部,02-2702-3999,台北市敦化南路二段97號地下二樓,資誠聯合會計師事務所,王方瑜,蕭春鴛,Sun Brothers,"NO.50, MINQUAN RD.,LUZHU DISTRICT, TAOYUAN, TAIWAN,R.O.C.",(03)316-4277,public@sunbrothers.com.tw,http://www.sunbrothers.com.tw,莊義芳,協理,(03)326-7897,public@sunbrothers.com.tw,http://sunbrothers.com.tw/Page/CONTACT
3,4113,聯上實業股份有限公司,聯上,建材營造,－,高雄市左營區富國路185號17樓之2,16126477,蘇永義,蘇永義,呂信杰,董事長特別助理,鄭勝文,07-5575242,87/02/11,92/07/22,新台幣 10.0000元,2111381370,211138137,0,0,個別,每年,股東會,元大證券股份有限公司,02-25865859,台北市大同區承德路三段210號B1,廣信益群聯合會計師事務所,萬益東,張倩綾,WE&WIN,"17F.-2, No.185, Fuguo Rd., Zuoying DistrictKaohsiung City 813, Taiwan (R.O.C)",07-5575133,anne@vvvvv.com.tw,http://kh.vvvvv.com.tw,呂信杰,董事長特別助理,07-5575242#302,hsinchieh@vvvvv.com.tw,http://kh.vvvvv.com.tw/p4-1-10.asp
4,4416,三圓建設股份有限公司,三圓,建材營造,－,(104)台北市南京東路二段96號8樓,07648290,王光祥,王雅麟,林世祖,管理部會計課經理,李彗瑀,(02)2563-9136,68/12/30,89/05/06,新台幣 10.0000元,608912940,60891294,0,0,合併,每年,股東會,元大證券股份有限公司,(02)2586-5859,台北市承德路3段210號B1,集智聯合會計師事務所,王惠新,張俊德,SHANYUAN,"8F., NO.96 , SECTION 2, NANKINGE RD..　TAIPEI, TAIWAN, R.O.C",(02)2561-3994,sy4416@shanyuan.com.tw,http://www.shanyuan.com.tw,林世祖,管理部會計課經理,(02)2563-9136,josh@shanyuan.com.tw,http://www.shanyuan.com.tw/p9-stakeholder.php
5,4907,富宇地產股份有限公司,富宇,建材營造,－,台中市西屯區市政北二路238號16樓之3,22099391,張世欣,鍾堯明,張育娟,財務協理,賈珮甄,(04)2258-5357,77/08/26,91/03/04,新台幣 10.0000元,1181457780,118145778,0,0,個別,每年,股東會,元富證券股份有限公司股務代理處,(02)2768-6668,台北市松山區光復北路11巷35號地下一樓,立本台灣聯合會計師事務所,陶鴻文,程建憲,Fu Yu Property,"16F.-3, No.238, Shihjheng N. 2nd Rd., Situn Dist., Taichung City 40756, TaiwanTaichung City, Taiwan",(04)2258-5320,fuyuproperty@fuyu-property.com.tw,www.fuyu-property.com.tw,張育娟,財務協理,04-22585357,fuyuproperty@fuyu-property.com.tw,http://www.fuyu-property.com.tw/affiliate
6,5206,坤悅開發股份有限公司,坤悅,建材營造,－,台中市西屯區市政路402號19樓之二,04738240,陳丕岳,陳丕岳,賴志龍,協理,尤燕莉,(04)2258-8809,64/10/06,90/10/08,新台幣 10.0000元,1559250000,155925000,0,0,合併,每年,股東會,台新證券股務代理部,(02)2504-8125,台北市建國北路1段96號地下一樓,建智聯合會計師事務所,黃祥穎,廖年傑,Kunyue,"19F.-2, No. 402, Shizheng Rd,Taichung City, Taiwan R.O.C.",(04)2258-6252,service@kunyue.com.tw,www.kunyue.com.tw,賴志龍,協理,(04)22588809,lung@kunyue.com.tw,http://www.kunyue.com.tw/stakeholder
7,5213,亞昕國際開發股份有限公司,亞昕,建材營造,－,台北市松山區敦化南路一段25號12樓,89961389,姚連地,姚政岳,沈政毅,管理部副總,萬書吟,02-2578-9393,84/01/16,92/04/24,新台幣 10.0000元,3469591880,346959188,0,0,合併,每年,股東會,兆豐證券股份有限公司,02-3393-0898,台北市忠孝東路二段95號1樓,安侯建業聯合會計師事務所,張淑瑩,黃欣婷,YeaShin,"12F., No.25, Sec. 1, Dunhua S. Rd., Songshan District, Taipei City 105, TaiwanTaipei,Taiwan,R.O.C.",02-2579-1515,www.yeashin.com.tw,www.yeashin.com.tw,沈政毅,管理部副總,02-2578-9393,kevin01140114@yeashin.com.tw,www.yeashin.com.tw
8,5324,士林開發股份有限公司,士開,建材營造,－,台北市中山北路六段九十號八樓,05147030,許玉山,林信成,曾毓文,會計部協理,林姿帆,(02)2834-8392,73/01/23,86/01/30,新台幣 10.0000元,2263790900,226379090,0,0,合併,每年,股東會,元大證券股份有限公司,(02)2586-5859,台北市承德路三段210號地下一樓,安侯建業聯合會計師事務所,陳宗哲,黃欣婷,SDC,"8F., No.90, SEC 6, CHUNG-SHAN N. RD TAIPEI, TAIWAN R.O.C.",(02)2834-0997,plmy@sdc.com.tw,www.sldc.com.tw,曾毓文,會計部協理,(02)2834-8392,samantha@sdc.com.tw,www.sldc.com.tw
9,5455,昇益開發股份有限公司,昇益,建材營造,－,新竹市東區公道五路二段417號11樓,86233176,利來德投資股份有限公司代表人陳文熾,陳文熾,陳文熾,總經理,吳宗益,03-5753189,80/07/06,89/10/19,新台幣 10.0000元,655018130,65501813,60000000,0,個別,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號B1樓,致遠聯合會計師事務所,呂瑞文,曾瓊慧,SY,"11F,No.417,Sec.2 Kung Dao Wu Rd. ,Hsinchu, 300 Taiwan, R.O.C.",03-6886389,ssestock@signality.com.tw,www.signality.com.tw,吳宗益,財務主管,03-5753189,ssestock@signality.com.tw,www.signality.com.tw
