,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1259,安心食品服務股份有限公司,安心,觀光事業,－,台北市大安區仁愛路3段136號2樓,23928945,林建元,高順興,施啟寅,協理,何頎胤,(02)2567-5001,79/11/23,100/12/15,新台幣 10.0000元,323895000,32389500,0,0,合併,每年,董事會,群益金鼎證券(股)公司股務代理部,(02)27023999,(106)台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,支秉鈞,徐明釧,AN-SHIN,"2F., No. 136,Sec. 3, Ren'ai Rd.Da’an Dist., Taipei CityTaipei 106465 R.O.C.",(02)2567-1692,ir@mos.com.tw,http://www.mos.com.tw,張貴梅,主任,(02)2567-5001,ir@mos.com.tw,http://www.mos.com.tw/investWindow.php
1,1268,漢來美食股份有限公司,漢來美食,觀光事業,－,高雄市前金區成功一路266號21樓之1,80352343,賴宗成,林淑婷,林淑婷,總經理,柯柏良,(07)213-5788,92/01/09,106/09/27,新台幣 10.0000元,427237300,42723730,0,0,合併,每年,董事會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,陳珍麗,江佳玲,Hi-Lai Foods,"21F-1, No.266, Cheng-Kung 1st Road,80146 Kaohsiung City,Taiwan, R.O.C.",(07)215-5956,stock@hilai-foods.com,www.hilai-foods.com,柯柏良,財務長,(07)213-5788,stock@hilai-foods.com,www.hilai-foods.com
2,2718,晶悅國際飯店股份有限公司,晶悅,觀光事業,－,桃園市蘆竹區經國路890號4樓,12198180,楊顯玲,張志誠,夏美足,財務主管,簡嘉慧,03-3255688,66/04/08,100/03/29,新台幣 10.0000元,725760000,72576000,0,0,合併,每年,股東會,富邦綜合證券股份有限公司,02-23611300,台北市許昌街17號2樓,資誠聯合會計師事務所,李秀玲,周建宏,PH,"4F, No.890, Jingguo Rd., Luzhu Dist.Taoyuan City, Taiwan",03-3254023,hotel@ms3.hinet.net,http://www.pleasanthotels.com.tw,夏美足,財務主管,03-3255688 #161,tiffany@pleasanthotels.com.tw,http://www.pleasanthotels.com.tw/investor-information
3,2719,燦星國際旅行社股份有限公司,燦星旅,觀光事業,－,新北市汐止區新台五路一段95號16樓之12,80355209,侯佑霖,鄭寶蓮,鄭寶蓮,總經理,待補,(02)449-8998,92/02/24,101/02/24,新台幣 10.0000元,340721000,34072100,19237468,0,合併,每年,股東會,元大證券股份有限公司,(02)2586-5859,台北市承德路三段210號B1,勤業眾信聯合會計師事務所,李季珍,廖鴻儒,Star Travel,"Rm.12,16F.,No.95,Sec.1,Xintai 5th Rd.,Xizhi Dist.,New Taipei City 221,TaiwanNew Taipei City, Taiwan",(02)2796-6168,-,www.startravel.com.tw,,,,,www.startravel.com.tw
4,2724,富驛酒店集團有限公司,富驛-KY,觀光事業,KY 開曼群島,台北市中山區南京東路三段65號8樓,28982799,賴運興,侯嘉禎,侯嘉禎,總經理,羅莉萍,(02)5572-0798,91/01/15,101/05/29,新台幣 10.0000元,596563450,59656345,40570200,0,合併,每年,股東會,第一金證券股份有限公司,(02)2563-5711,台北市大安區安和路一段27號六樓,德昌聯合會計師事務所,林兆民,陳文彬,FX HOTELS,"8F., No.65, Sec. 3, Nanjing E. Rd., Zhongshan Dist.,Taipei City 104, Taiwan (R.O.C.)",(02)2712-7877,fxhotelsgroup@fxhotels.com,www.fxhotelsgroup.com,侯嘉禎,總經理,(02)5572-0798,fxhotelsgroup@fxhotels.com,www.fxhotelsgroup.com/investors.aspx
5,2726,雅茗天地股份有限公司,雅茗-KY,觀光事業,KY 開曼群島,上海市普陀區交通路4711號李子園大廈17樓,38634004,吳伯超,張妙苓,林婉婷,副總,徐美華,+862152163499,98/12/22,103/12/24,新台幣 10.0000元,357852160,35785216,0,0,合併,每年,董事會,中國信託商業銀行股份有限公司,(02)6636-5566,台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,黃毅民,吳恪昌,Yummy Town,"Oleander Way, 802 West Bay Road, P.O. Box 32052, Grand Cayman KY1-1208, CaymanCayman Island",2790-0601,affairs@yummy-town.com,http://www.yummy-town.tw/,徐美華,投資人關係高級經理,(02)77212726,affairs@yummy-town.com,http://www.yummy-town.tw/zeren/new4.aspx?type=shehuizeren
6,2729,瓦城泰統股份有限公司,瓦城,觀光事業,－,新北市中和區建一路176號7樓之1,70843031,徐承義,徐承義,廖素娟,財務長,張雅惠,(02)2248-3988,89/09/08,101/09/17,新台幣 10.0000元,232666800,23266680,0,0,合併,每年,股東會,富邦綜合證券(股)公司,02-23611300,台北市中正區許昌街17號2樓,資誠聯合會計師事務所,張淑瓊,林鈞堯,TTFB,"7F.-1, No.176, Jian 1st Rd., Zhonghe Dist.,New Taipei City 235, Taiwan (R.O.C.)",(02)2248-5228,IR@ttfb.com,http://www.ttfb.com,廖素娟,財務長,(02)2248-1022,IR@ttfb.com,http://www.ttfb.com/index.php?category=3&subject=1
7,2732,六角國際事業股份有限公司,六角,觀光事業,－,新竹縣竹北市高鐵九路98號,80671769,王耀輝,王耀輝,謝婷韻,投資人關係經理,黃如萍,(03)550-7750,93/02/16,104/01/20,新台幣 10.0000元,449249570,44924957,0,0,合併,每季,董事會,永豐金證券(股)公司股務代理部,(02)2381-6288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,邱政俊,莊碧玉,La Kaffa,"No.98, Gaotie 9th Rd.,Zhubei City, Hsinchu County 302, Taiwan",03-6579630,lakaffamail@lakaffa.com.tw,http://www.lakaffagroup.com/,謝婷韻,投資人關係經理,03-5507750,tammy.hsieh@lakaffa.com.tw,http://www.lakaffagroup.com/
8,2734,易飛網國際旅行社股份有限公司,易飛網,觀光事業,－,台北市中正區衡陽路51號2樓之1,70464468,周昀生,周昀生,周昀生,董事長,呂(王京)怡,(02)7725-0800,88/12/22,102/12/26,新台幣 10.0000元,372597600,37259760,0,0,合併,每年,股東會,中國信託商銀代理部,(02)6636-5566,台北市中正區重慶南路一段83號5樓,安侯建業聯合會計師事務所,黃泳華,陳振乾,Ezfly,"2F-1, No.51, Hengyang Rd.,Taipei, Taiwan",(02)6601-4600,invest@ezfly.com,https://www.ezfly.com/,呂(王京)怡,協理,02-77250800,invest@ezfly.com,https://www.ezfly.com/info/stakeholder/index.html
9,2736,富野大飯店股份有限公司,富野,觀光事業,－,台東縣卑南鄉溫泉村龍泉路30-2號5樓之41,29129201,劉清郎,楊書昌,劉怡君,董事長特助,黃慶安,089-515005,97/07/11,105/01/06,新台幣 10.0000元,489923830,48992383,0,0,合併,每年,股東會,元富證券股份有限公司股務代理部,(02)2768-6668,台北市光復北路11巷35號地下一樓,安侯建業聯合會計師事務所,吳俊源,陳政學,HOYA,"5F.-41, No.30-2, Longquan Rd.,Wen-Chung Ts'un, Beinan Township,Taitung County , Taiwan (R.O.C.)",089-510063,pr@hoyaresort.com.tw,http://www.hoyaresort.com.tw,黃慶安,行銷部協理,0936806617,andy@hoyaresort.com.tw,http://www.hoyaresort.com.tw
10,2740,天蔥國際股份有限公司,天蔥,觀光事業,－,台北市中正區衡陽路51號8樓之4,28581041,盧俊賢,盧俊賢,陳世峰,財會主管,李宇美,(02)2313-1260,96/02/13,104/12/24,新台幣 10.0000元,131854840,13185484,4434115,0,合併,每年,股東會,統一綜合證券股份有限公司,(02)2746-3797,105台北市松山區東興路8號地下一樓,安侯建業聯合會計師事務所,郭欣頤,寇惠植,Mr. Onion,"8 F.-4, No. 51, Heng Yang Rd., Chung Cheng Dist., Taipei City , TaiwanTaipei City 100, Taiwan (R.O.C.)",(02)2313-1261,pr@mr-onion.com,http://www.mr-onion.com,李宇美,股務,(02)2313-1260#102,irene.lee@mr-onion.com,http://www.mr-onion.com/Enterprise/Stakeholder
11,2743,山富國際旅行社股份有限公司,山富,觀光事業,－,台北市中山區南京東路二段85號4樓,22888987,陳國森,陳國森,李慶良,企業部副總經理,陳麒引,02-25612999,77/05/25,109/03/09,新台幣 10.0000元,320317000,32031700,0,0,合併,每年,股東會,福邦證券股份有限公司股務代理部,02-2371-1658,台北市中正區忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,陳培德,吳世宗,richmond,"4F., No.85, Sec. 2, Nanjing E. Rd., Zhongshan Dist.,Taipei City 104, Taiwan (R.O.C.)",02-2536-1332,rit@richmond.com.tw,https://www.travel4u.com.tw/,李慶良,企業部副總經理,02-77349628,james@richmond.com.tw,https://www.travel4u.com.tw/investor/investment/
