,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2916,滿心企業股份有限公司,滿心,貿易百貨,－,新北市五股區五權六路十八號,12498877,李俊良,李俊民,郭建隆,副總經理,陳永昌,02-22997755,73/06/16,94/03/10,新台幣 10.0000元,546268780,54626878,0,0,個別,每年,董事會,福邦證券(股)公司,02-2371-1658,台北市中正區忠孝西路一段6號6樓,安侯建業聯合會計師事務所,陳盈如,江忠儀,MUNSIN,"NO.18, WU-CHUAN 6 RD., WU-GU DIST,NEW TAIPEI CITY, TAIWAN, R.O.C.",02-22997765,munsin@ms7.hinet.net,www.munsin.com.tw,郭建隆,副總經理,02-22997755,simba@munsin.com.tw,http://www.munsin.com.tw/munsin/munsin_investor.html
1,2924,開曼東凌股份有限公司,東凌-KY,貿易百貨,KY 開曼群島,台北市南港區南港路三段50巷1號2樓,26335810,林寶霞,許復進,許永龍,發言人,黃亮才,(02)2789-3636,98/02/06,100/12/02,新台幣 10.0000元,328051740,32805174,0,0,合併,每年,股東會,凱基證券股份有限公司股務代理部,(02)2389-2999,台北市重慶南路一段2號5樓,安侯建業聯合會計師事務所,池世欽,黃欣婷,Tung Ling,"2F,No. 1, Lane 50,Nan-Kang Rd.,Sec 3Taipei",(02)2653-3388,im@piyopiyo.com.tw,http://www.piyopiyo.com,黃亮才,經理,(02)2789-3636,im@piyopiyo.com.tw,http://www.piyopiyo.com.tw/parties
2,2937,集雅社股份有限公司,集雅社,貿易百貨,－,高雄市苓雅區中正一路263號12樓,89266170,盧乾三,盧乾三,李伯昌,財務長,何政鋒,07-7273128,83/10/26,106/06/08,新台幣 10.0000元,366389000,36638900,0,0,合併,每年,董事會,第一金證券股份有限公司,02-2563-5711,台北市大安區安和路一段 27 號6 樓,資誠聯合會計師事務所,廖阿甚,王國華,Gseven,"12F., No.263, Zhong zheng 1st Rd., Lingya Dist.,Kaohsiung City 80283, Taiwan",07-7273983,teuqila-li@gseven.com.tw,www.gseven.com.tw,李伯昌,財務長,07-7273128,teuqila-li@gseven.com.tw,https://www.gseven.com.tw/investor.php
3,2947,振宇五金股份有限公司,振宇五金,貿易百貨,－,台中市西屯區環中路二段27號,29092696,曾善,洪國展,洪珮芳,副總經理,江志豪,04-24261580,97/05/14,110/10/06,新台幣 10.0000元,192686000,19268600,0,0,合併,每年,股東會,元大證券股份有限公司股務代理部,02-25865859,台北市大同區承德路三段210號地下一樓,資誠聯合會計師事務所,徐建業,吳松源,Zhen Yu,"No. 27, Sec. 2, Huanzhong Rd., Xitun Dist.,Taichung City 407, Taiwan (R.O.C.)",04-24264510,ir@zhenyu.com.tw,www.ald.com.tw,江志豪,協理,04-24261580,ir@zhenyu.com.tw,www.ald.com.tw
4,3171,新洲全球股份有限公司,新洲,貿易百貨,－,臺北市內湖區行善路397號5樓,23945965,江文容,江文容,方淑芬,董事長特助,李書緯、張詠傑,(02)81706199,79/12/03,93/09/17,新台幣 10.0000元,667035150,66703515,20000000,0,合併,每年,董事會,群益金鼎證券(股)公司股務代理部,(02)2702-3999,台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,陳晉昌,林一帆,XIN CHIO,"5F., No.397, Xingshan Rd., Neihu Dist.,Taipei,Taiwan,R.O.C",(02)87921311,mandy.chou@ycgroup.tw,http://www.xinchio.com,林詠詩,高級專員,02-81706199,tiffany@achem.ycgroup.tw,http://www.xinchio.com/stakeholder.php
5,5902,德記洋行股份有限公司,德記,貿易百貨,－,臺南市永康區中正路301號,22358925,黃瑞典,陸永偉,許娟娟,協理,余淑萍,(06)253-6789,76/02/05,87/02/07,新台幣 10.0000元,945000000,94500000,53948277,0,合併,每年,股東會,統一證券股務代理部,(02)-27478266,105台北市松山區東興路8號B1樓,資誠聯合會計師事務所,林永智,劉子猛,Tait,"No.301, Zhongzheng Rd., Yongkang Dist.,Tainan City 71001, Taiwan (R.O.C.)",(06)243-5723,jane_hsu@taitnet.com.tw,http://www.tait.com.tw,許娟娟,協理,0972-818-760,jane_hsu@taitnet.com.tw,http://www.tait.com.tw/contact.php
6,5903,全家便利商店股份有限公司,全家,貿易百貨,－,台北市中山北路二段61號7樓,23060248,葉榮廷,薛東都,吳勝福,執行副總經理,李建興,(02)2523-9588,77/08/18,91/02/25,新台幣 10.0000元,2232200000,223220000,0,0,合併,每年,董事會,永豐金證券(股)公司股務代理部,(02)2381-6288,台北市中正區博愛路17號3樓,資誠聯合會計師事務所,李運鞭,吳郁隆,FamilyMart,"7F.,No.61,Section2,Chung-Shan N.Road. Taipei,Taiwan,R.O.C",(02)2523-9599,service@family.com.tw,www.family.com.tw,潘怡君,襄理,02-25239588分機6240,investor.relations@family.com.tw,www.family.com.tw
7,5904,寶雅國際股份有限公司,寶雅,貿易百貨,－,台南市民族路三段74號,97151664,陳建造,陳宗成,沈鴻猷,財會處協理,鄭智遠,06-2411000,86/03/12,91/09/06,新台幣 10.0000元,1008594620,100859462,0,0,個別,每年,董事會,華南永昌綜合證券股份有限公司,(02)2718-6425,台北市民生東路四段54號4樓,資誠聯合會計師事務所,林姿妤,林永智,Poya,"No. 74, Sec. 3, Minzu Rd. West Central Dist.　Tainan,Taiwan R.O.C",06-2246868,fin888@poya.com.tw,www.poya.com.tw,沈鴻猷,財會處協理,06-2411000,fin888@poya.com.tw,www.poya.com.tw
8,5905,南仁湖育樂股份有限公司,南仁湖,貿易百貨,－,高雄市苓雅區光華一路206號21樓之2,23524280,鍾嘉村,何曉光,何曉光,總經理,朱碧蓮,07-2247799,78/11/21,92/06/17,新台幣 10.0000元,1898169570,189816957,0,0,合併,每年,董事會,兆豐證券股份有限公司,02-33930898,台北市忠孝東路二段95號1樓,資誠聯合會計師事務所,廖阿甚,王國華,NRL,"21F-2,No.206,guanghua 1 st Rd.Lingya dist, Kaohsiung, TAIWAN",07-2248787,sandy@kentington.com.tw,http://www.nanrenhu.com.tw/,何曉光,總經理,07-2247799,skyho@kentington.com.tw,http://www.nanrenhu.com.tw/index.php?controller=investor
9,6195,詩肯股份有限公司,詩肯,貿易百貨,－,桃園市龜山區頂湖一街69號,89403884,林福勤,謝秀珠,何山壯,財務/會計主管,徐佳婕,(03)318-0555,84/10/09,91/10/21,新台幣 10.0000元,485378130,48537813,0,0,個別,每年,股東會,凱基證券股份有限公司,(02)2389-2999,臺北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,陳慧銘,郭乃華,SCAN-D,"No.69, Dinghu 1st St., Guishan Dist.,Taoyuan City 333, Taiwan.",(03)318-6555,grace@scanteak.com.tw,https://www.topshine.tw,徐佳婕,財務部經理,(03)318-0555#711,grace@scanteak.com.tw,https://www.topshine.tw
10,6728,上洋產業股份有限公司,上洋,貿易百貨,－,新北市五股區五權六路39號,12978735,吳明富,吳國華,吳國華,總經理,陳俊宇,(02)22984567,91/01/17,109/12/25,新台幣 10.0000元,230000000,23000000,0,0,合併,每年,股東會,台新證券股務代理部,(02)2504-8125,台北市中山區建國北路一段96號地下一樓,勤業眾信聯合會計師事務所,莊文源,劉水恩,UP YOUNG,"No. 39, Wuquan 6th Rd., Wugu Dist.,New Taipei City Taiwan (R.O.C.)",(02)22981155,ir6728@upyoung.com.tw,http://www.upyoung.com.tw,陳俊宇,經理,(02)22984567,ir6728@upyoung.com.tw,http://www.upyoung.com.tw
11,8066,來思達國際企業股份有限公司,來思達,貿易百貨,－,臺北市內湖區新湖一路86號3樓,84149821,謝采琁,詹瑞德,丁邦成,財務長,李秀婷,(02)87925189,85/12/19,93/12/24,新台幣 10.0000元,301523040,30152304,156000,0,合併,每年,股東會,群益金鼎證券(股)公司,(02)27035000,臺北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,王方瑜,徐聖忠,LIFESTYLE,"3F., No.86, Xinhu 1st Rd.,Neihu Dist., Taipei 114, Taiwan (R.O.C)",(02)87925162,lifestyle@lifestyle-tw.com,www.lifestyle-global.com,楊宗興,副理,(02)87925189,duncany@lifestyle-tw.com,www.lifestyle-global.com
12,8433,弘帆股份有限公司,弘帆,貿易百貨,－,台北市內湖區內湖路一段360巷17號5樓,12547173,朱鵬飛,朱鵬飛,曹雪芳,財務經理,朱英帆,(02)87972000,74/03/28,101/12/19,新台幣 10.0000元,520816000,52081600,0,0,合併,每年,股東會,富邦綜合證券股份有限公司,(02)2361-1300,台北市許昌街17號2樓,勤業眾信聯合會計師事務所,林宜慧,曾建銘,BON FAME,"5F,NO.17,360 LANE,SEC.1 NE-HU ROAD,TAIPEI, TAIWAN R.O.C.",(02)87971000,evelyn@bonfame.com,http://www.bonfame.com/,曹雪芳,財務經理,02-87972000#203,evelyn@bonfame.com,evelyn@bonfame.com
13,8941,關中股份有限公司,關中,貿易百貨,－,台北市內湖區瑞光路298號9樓,14062738,洪文照,林士超,謝嘉維,財務長,陳彥光,02-26591119,65/03/26,92/01/20,新台幣 10.0000元,304104970,30410497,15118296,0,合併,每年,股東會,凱基證券股份有限公司,02-23148800,台北市重慶南路一段2號4樓,安侯建業聯合會計師事務所,簡思娟,王怡文,GRAND HALL,"9TH, NO. 298, RUEIGUANG RD., NEIHU,TAIPEI, TAIWAN, R.O.C.",02-26591060,service@grandhall.com.tw,www.ghecl.com.tw,謝嘉維,財務長,(02)2659-1119#168,anson_hsieh@grandhall.com.tw,www.ghecl.com.tw
14,9960,邁達康網路事業股份有限公司,邁達康,貿易百貨,－,高雄市苓雅區海邊路29號2樓,16824183,吳沖,黃瓊瑤,黃瓊瑤,總經理,游國琛,07-5369536,89/02/14,93/12/06,新台幣 10.0000元,335925000,33592500,0,0,合併,每年,股東會,元大證券股份有限公司股務代理部,02-25865859,台北巿承德路三段210號地下一樓,勤業眾信聯合會計師事務所,吳秋燕,王兆群,DACOME,"2F #29 HAI BIAN ROADKAOHSIUNG, TAIWAN R.O.C",07-3302074,9960@golfshop.com.tw,www.golfshop.com.tw,施姵瑜,經理,07-5369536,9960@golfshop.com.tw,http://www.golfshop.com.tw/aboutus/aboutus_INVESTMENT.asp
