,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1584,精剛精密科技股份有限公司,精剛,其他,－,台南市柳營區工一路15號(環保科技園區),80334042,王炯棻,林嘉洪,林嘉洪,總經理,林美伶,06-6235143,91/05/15,96/11/28,新台幣 10.0000元,1224705330,122470533,40000000,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,103 台北市承德路三段210號B1,資誠聯合會計師事務所,林姿妤,田中玉,STC,"No.15,Gong 1st Road,Da Nong Village, Liouying Township, Tain",06-6233311,http://www.s-tech.com.tw,http://www.s-tech.com.tw,林美伶,副協理,06-6235143,crystal.lin@gmtc.com.tw,http://www.s-tech.com.tw/
1,2221,大甲永和機械工業股份有限公司,大甲,其他,－,台中市大甲區幼獅路69號,56615319,黃士峰,鍾志清,鍾志清,總經理,王淑瑜,04-26815496,66/08/19,96/08/01,新台幣 10.0000元,423250000,42325000,0,0,合併,每年,股東會,凱基證券股份有限公司,02-2389-2999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,吳麗冬,蘇定堅,YHMCO,"No.69 ,Yu-Shih Rd., Dajia Dist.Taichung City 437, Taiwan",04-26815456,yhmco@yhmco.com.tw,http://www.yhmco.com.tw/,鍾志清,總經理,04-36000080,elian@yhmco.com.tw,http://www.yhmco.com.tw/responsibility/relationship.php
2,2640,台灣大車隊股份有限公司,大車隊,其他,－,台北市中山區長安東路二段162號2樓,27767961,林村田,楊榮輝,楊雅玲,財務長,林念臻,02-25160966,94/09/09,101/11/07,新台幣 10.0000元,592649560,59264956,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27035000,台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,徐明釧,李秀玲,TaiwanTaxi,"2F., No.162, Sec. 2, Chang’an E. Rd., Zhongshan Dist.,Taipei City 104, Taiwan (R.O.C.)",02-25160900,ir@taiwantaxi.com.tw,www.taiwantaxi.com.tw,林念臻,執行長,02-25160966,ir@taiwantaxi.com.tw,http://www.taiwantaxi.com.tw/taiwantaxi/invest.asp
3,3284,太普高精密影像股份有限公司,太普高,其他,－,高雄市大寮區大發工業區莒光二街20號,16469727,呂金發,侯景文,侯景文,總經理,吳月霞,07-7877690,87/10/21,94/03/22,新台幣 10.0000元,689617900,68961790,15000000,0,合併,每年,董事會,永豐金證券股份有限公司,02-23816288,100台北市中正區博愛路17號3樓,安永聯合會計師事務所,陳政初,黃世杰,TOP,"No. 20, Jui-Kuan 2nd St., Ta-Fa lnd. Dist., Kaohsiung , Taiwan 831 R.O.CKaohsiung , Taiwan 831 R.O.C",07-7870942,partner@pstop.com.tw,http://www.ctptop.com.tw,侯景文,總經理,07-7877690#102,alanhou@pstop.com.tw,www.ctptop.com.tw
4,3313,斐成企業股份有限公司,斐成,其他,－,台南市安平區永華路二段248號11樓之2,84341994,張祐銘,張碩文,張碩文,總經理,韓元翔,06-2995586,82/12/02,95/05/29,新台幣 10.0000元,987707760,98770776,38380000,0,合併,每年,股東會,福邦證券股份有限公司股務代理部,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,劉子猛,林姿妤,FCE,"Rm. 2, 11F., No. 248, Sec. 2, Yonghua Rd., Anping Dist.,Tainan City 708008, Taiwan (R.O.C.)",06-2996670,fce_01@yahoo.com,www.fce.com.tw,韓元翔,財務部副理,06-2995586,fce_01@yahoo.com,http://www.fce.com.tw/Investor.html
5,4430,耀億工業股份有限公司,耀億,其他,－,彰化縣和美鎮彰美路六段334號,59021804,王昭仁,王贊景,陳伯瑄,副總經理,黃莉萍,04-7556111,62/11/23,100/06/09,新台幣 10.0000元,562736090,56273609,0,0,合併,每年,股東會,凱基證券股份有限公司,02-23892999,(100)台北市重慶南路一段2號5樓,資誠會計師事務所,吳松源,徐建業,YAO I,"No. 334, Sec . 6 , Chang Mei Rd.,Homei, Chang Hua ,Taiwan 508 R.O.C.",04-7556903,ir@yaoi.com.tw,http://www.yaoi.com.tw/,陳伯瑄,副總經理,04-7556111,ir@yaoi.com.tw,http://www.yaoi.com.tw/webc/html/service/05.aspx?kind=19
6,4529,淳紳股份有限公司,淳紳,其他,－,台北市大安區光復南路632號4樓,22662904,沈瑋,沈瑋,彭長鳳,經理,秦禮明,02-27037300,76/11/03,90/05/04,新台幣 10.0000元,845933960,84593396,32926082,0,合併,每年,董事會,凱基證券股份有限公司,02-23892999,100台北市重慶南路一段2號5樓,卓群聯合會計師事務所,曾友龍,葉璨增,EPTECH,"4F., No.632, Guangfu S. Rd., Da'an Dist.,Taipei City,10695,Taiwan, (R.O.C.)",02-27081455,info@eptech.tw,www.eptech.tw,陳明煒,協理,02-27037300,Albert.Chen@eptech.tw,www.eptech.tw
7,4541,晟田科技工業股份有限公司,晟田,其他,－,高雄市路竹區北嶺二路11號,86263092,謝永昌,黃寶文,黃(方方土)宇,協理,李志毅,07-6955331,80/08/15,103/07/22,新台幣 10.0000元,676470680,67647068,0,0,個別,每年,股東會,凱基證券股份有限公司,(02)2389-2999,台北市重慶南路一段2號5樓,資誠聯合會計師事務所,廖阿甚,王國華,Magnate,"No.11 ,Beiling 2Rd. Beiling Ville., Lujhu DistKaohsiung City , Taiwan (R.O.C)",07-6955332,jimhuang@maicl.com,www.maicl.com,黃(方方土)宇,發言人,07-6955331,jimhuang@maicl.com,www.maicl.com
8,4556,旭然國際股份有限公司,旭然,其他,－,雲林縣斗六市科加六路15號,01517102,何兆全,翁桐林,何宜瑾,副總經理,胡維釗,(05)551-2322,74/11/05,104/12/22,新台幣 10.0000元,418840000,41884000,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)2703-5000,台北市10601大安區敦化南路二段97號B2,資誠聯合會計師事務所,林一帆,廖福銘,BSI,"No. 15, Kejia 6th Rd.,Douliu City, Yunlin County ,Taiwan(R.O.C",(05)551-2891,ir@filtrafine.com.tw,https://www.filtrafine.com.tw,胡維釗,副總經理,(02)26984989,ir@filtrafine.com.tw,http://www.filtrafine.com.tw/go/investors.html
9,4950,牧東光電股份有限公司,牧東,其他,－,台北市大安區仁愛路4段109號8樓,24302624,曾振順,張君儀,張君儀,總經理,鄭瑞璽,02-27006958,97/10/24,101/04/27,新台幣 10.0000元,467597500,46759750,0,0,合併,每年,股東會,宏遠證券股份有限公司,02-27008899,台北市信義路四段236號3樓,資誠聯合會計師事務所,潘慧玲,黃珮娟,Mutto,"8F., No. 109, Sec. 4, Ren'ai Rd., Da’an Dist.,Taipei City 106, Taiwan (R.O.C.)",02-27060058,ray.cheng@muttoinc.com,http://www.muttoinc.com,鄭瑞璽,代理發言人,02-27006958,ray.cheng@muttoinc.com,http://www.muttoinc.com
