,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1742,台灣蠟品股份有限公司,台蠟,化學工業,－,嘉義縣民雄工業區中正路一號,22625269,林哲印,傅振祥,傅振祥,總經理,廖振淵,05-2219180,76/08/13,93/05/14,新台幣 10.0000元,815500000,81550000,40088905,0,合併,每年,股東會,康和綜合證券股份有限公司,02-87871118,台北市信義區基隆路一段176號B1,霈昇聯合會計師事務所,林憲章,王新元,TWC,"1,CHUNG CHENG ROAD,MINHSIUNG INDUSTRIAL PARK　CHIAYI TAIWAN REP.OF CHINA",05-2130645,twx6688@ms26.hinet.net,http://www.wax.com.tw/,廖振淵,財務主管,05-2219180,yc@wax.com.tw,http://www.wax.com.tw/
1,4702,中美聯合實業股份有限公司,中美實,化學工業,－,台北市大安區敦化南路二段七十六號十二樓,11121403,關心,關心(暫代),王志國,高級專員,林詩芸,27038496,53/01/09,84/04/21,新台幣 10.0000元,723332000,72333200,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,27023999,台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,阮呂曼玉,林瑟凱,ALLIED,"12TH FL., NO.76 SEC.2 TUN-HWA SOUTH ROAD.TAIPEI.10661 TAIWAN, R.O.C.",27030205,audit@aicgroup.com.tw,http://www.aicgroup.com.tw,林詩芸,財會主管,02-27038496#158,jennifer.lin@aicgroup.com.tw,http://www.aicgroup.com.tw
2,4706,大恭化學工業股份有限公司,大恭,化學工業,－,台北市南港區八德路四段778號7樓,11051504,鄧加惠,張榮華,吳美娜,財務長,吳貽靜,(02)-27859081,55/04/20,87/04/17,新台幣 10.0000元,790300930,79030093,0,0,合併,每年,股東會,中國信託商業銀行股份有限公司,02-6636-5566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,趙永祥,鄭欽宗,TKC,"7TH FLOOR, 778, PA TE ROAD,SEC. 4,TAIPEI, TAIWAN",(02)-27850907,tkc@ms10.ur1.com.tw,www.tkc.com.tw,吳美娜,財務長,(02)-27859081 ext68,anne@tkc.com.tw,http://www.tkc.com.tw/3-1.asp
3,4707,磐亞股份有限公司,磐亞,化學工業,－,台北市新生南路一段50號11樓,5712099,王貴賢,王皆誼,陳國慶,副總經理,溫玉桃,2351-1212,71/04/06,87/05/20,新台幣 10.0000元,3280262820,328026282,0,0,個別,每年,股東會,磐亞股份有限公司,2351-1212,台北市新生南路一段50號11樓,勤業眾信會計師事務所,徐文亞,游素環,PACC,"11F,50 SEC 1 ,HSIN SHENG SOUTH RD, TAIPEI,TAIWAN R.O.C.",23972549,4707pacc@pacc.com.tw,http://www.pacc.com.tw,陳國慶,副總經理,2395-3821,stock@cmfc.com.tw,http://www.pacc.com.tw/contact_tw_1.php
4,4711,永純化學工業股份有限公司,永純,化學工業,－,台北市松江路168號11樓,35108702,蔡慶芳,林誠謙,劉慶明,總經理室協理,陳富美,(02)25620950,54/07/31,88/02/24,新台幣 10.0000元,610560000,61056000,0,0,合併,每年,股東會,元大證券股份有限公司股務代理部,02-25865859,台北市大同區承德路3段210號B1,勤業眾信聯合會計師事務所,游素環,池瑞全,YONG SHUN,"11F ,NO.168 SUNG CHIANG ROAD TAIPEI, TAIWAN, R.O.C.",(02)25623450,yong.shun@msa.hinet.net,www.yongshunchemical.com,劉慶明,總經理室協理,(02)2562-0950-111,chris.ming123@yahoo.com.tw,www.yongshunchemical.com
5,4714,永捷創新科技股份有限公司,永捷,化學工業,－,台南市安定區安加里258之26號,86123874,張祐銘,黃南豪,黃南豪,總經理,趙英助,06-5920381,80/08/29,89/03/27,新台幣 10.0000元,1394638180,139463818,0,0,合併,每半會計年度,董事會,福邦證券股份有限公司股務代理部,02-2371-1658,台北市中正區忠孝西路一段6號6樓,安侯建業聯合會計師事務所,許振隆,陳惠媛,UB,"No.258-26, Anding, Anding Dist., Tainan City 74546, Taiwan (R.O.C.)",06-5923985,ub1234@ms12.hinet.net,http://www.u-best-inno.com/,趙英助,經理,06-5920381#103,ub1234@ms12.hinet.net,http://www.u-best-inno.com/
6,4716,大立高分子工業股份有限公司,大立,化學工業,－,高雄市永安區永工二路18號,85004174,洪玉升,蕭國華,洪玉升,董事長,李易展,07-2257200,59/07/21,89/03/27,新台幣 10.0000元,743095610,74309561,0,0,合併,每年,股東會,統一綜合證券股份有限公司,02-27478266,台北市松山區東興路8號地下一樓,安永聯合會計師事務所,陳政初,黃世杰,DAILY,"No. 18, Yonggong 2nd Rd., Yong’an Dist.,Kaohsiung City 828, Taiwan",07-2257229,dlgl10@mail.daily-polymer.com,www.daily-polymer.com,李易展,財務主管,(07)2257200#261,dlgl10@mail.daily-polymer.com,www.daily-polymer.com
7,4721,美琪瑪國際股份有限公司,美琪瑪,化學工業,－,桃園市觀音區草漯里大同一路1號,86688957,嚴隆財,嚴隆財,蔡文勳,執行副總,嚴文志,03-4833788,81/06/30,90/03/09,新台幣 10.0000元,749863040,74986304,0,0,合併,每年,董事會,宏遠證券股份有限公司,(02)77198899,106台北市信義路四段236號3樓,勤業眾信聯合會計師事務所,邱鏞銘,施錦川,mechema,"No. 1, TA-TUNG 1st. RD., KUNG-YING DISTRICT, TAO-YUAN CITY, TAIWAN",03-4833799,info@mechema.com,www.mechema.com,蔡文勳,執行副總,03-4833788,leslie@mechema.com,http://www.mechema.com/wordpress/?page_id=547
8,4741,泓瀚科技股份有限公司,泓瀚,化學工業,－,(30093)新竹市大湖路173-2號,80627878,呂(木宜)境,呂(木宜)境,陳昭菁,財務協理,李聖然,03-5181666,93/01/02,106/09/26,新台幣 10.0000元,328415840,32841584,0,0,合併,每年,董事會,富邦綜合證券股份有限公司,(02)23611300,台北市許昌街17號2樓,勤業眾信聯合會計師事務所,林政治,黃裕峰,Jetbest,"No.173-2, Dahu Rd., Xiangshan Dist.,Hsinchu City 300, Taiwan",03-5181601,IR@jetbest.com,http://www.jetbest.com,陳昭菁,財務協理,03-5181666,IR@jetbest.com,http://www.jetbest.com
9,4754,國碳科技股份有限公司,國碳科,化學工業,－,338桃園市蘆竹區濱海里中圳街176號,16446422,賀東光,黃俊傑,陳佳暉,副總經理,錢若芃,03-3542168,87/05/11,105/09/28,新台幣 10.0000元,250274510,25027451,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,0227023999,台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,郭欣頤,寇惠植,INCA,"No. 176, Zhongzun St., Luzhu Dist., Taoyuan City 338, Taiwan (R.O.C.)TAOYUAN TW",03-3543488,market@incatech.com.tw,http://www.incatech.com.tw/,陳佳暉,副總經理,03-3544188,market@incatech.com.tw,http://www.incatech.com.tw/
