,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,3073,天方能源科技股份有限公司,天方能源,半導體業,－,台北市中山區吉林路99號3樓,86298705,甘正智,甘正智,徐韋吉,資深經理,黃小玲,02-2502-2285,80/10/22,96/10/08,新台幣 10.0000元,270995560,27099556,18394537,0,合併,每年,股東會,兆豐證券股份有限公司股務代理部,02-33930898,台北市忠孝東路二段95號1樓,安侯建業聯合會計師事務所,張淑瑩,陳國宗,Teamphon,"3F., No. 99, Jilin Rd.,Zhongshan Dist., Taipei City 104, Taiwan",02-2502-3669,info@tpenergy.com.tw,http://www.kb-ent.com.tw,朱乃文,課長,02-2502-2285#603,tim@tpenergy.com.tw,http://www.kb-ent.com.tw/news.aspx?ChannelID=4
1,3105,穩懋半導體股份有限公司,穩懋,半導體業,－,桃園市龜山區華亞科技園區科技七路69號,70752257,陳進財,陳國樺,曾經洲,協理,吳俐蓁/ 陳敬昉,03-397-5999,88/10/16,100/12/13,新台幣 10.0000元,4239763840,423976384,0,0,合併,每年,董事會,福邦證券股份有限公司股務代理部,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,安侯建業會計師事務所,唐嘉鍵,黃明宏,WIN,"No.69, Keji 7th Rd., Hwaya Technology ParkGuishan Dist., Taoyuan City, Taiwan",03-397-5009,ir@winfoundry.com,www.winfoundry.com,吳俐蓁/ 陳敬昉,經理暨代理發言人/ 代理發言人,03-3975999#1204/1202,ir@winfoundry.com,http://www.winfoundry.com/zh_TW/stakeholders.aspx
2,3122,笙泉科技股份有限公司,笙泉,半導體業,－,(30288)新竹縣竹北市台元一街8號7樓之一,16945166,溫國良,溫國良(執行長),廖崇榮,處長,陳麗娟,03-5601501,88/06/21,104/01/26,新台幣 10.0000元,382999340,38299934,0,0,合併,每年,董事會,群益金鼎證券(股)公司股務代理部,02-2702-3999,台北市大安區敦化南路二段97號B2,勤業眾信聯合會計師事務所,葉東煇,高逸欣,Megawin,"7F-1, No. 8, Taiyuan 1st St., Jhubei City, Hsinchu County 30288,Hsin-Chu County, Taiwan",03-5601510,sholder@megawin.com.tw,www.megawin.com.tw,洪仙玲,協理,03-6234096,sholder@megawin.com.tw,www.megawin.com.tw/zh-tw/about/index/34
3,3141,晶宏半導體股份有限公司,晶宏,半導體業,－,台北市內湖區瑞光路618號4樓,70392248,徐豫東,徐豫東,徐豫東,總經理,王聖芳,02-87978947,88/08/14,103/03/14,新台幣 10.0000元,744499280,74449928,0,0,合併,每年,股東會,福邦證券股份有限公司,02-2371-1658,台北市中正區忠孝西路一段六號六樓,勤業眾信聯合會計師事務所,黃海悅,廖婉怡,UltraChip,"4F, No. 618, Ruiguang Rd, Nei Hu Dist Taipei, Taiwan, R.O.C.",02-87978910,invest@ultrachip.com,www.ultrachip.com,王聖芳,協理,87978947,invest@ultrachip.com,www.ultrachip.com
4,3169,亞信電子股份有限公司,亞信,半導體業,－,新竹科學園區新竹市新安路8號4樓,84149435,王春旗,詹勇達,王春旗,策略長,范振鋒,03-5799500,84/05/12,98/11/24,新台幣 10.0000元,621969810,62196981,12395396,0,合併,每年,股東會,宏遠證券股份有限公司,02-77198899,台北市大安區信義路四段236號3樓,安侯建業聯合會計師事務所,黃海寧,呂倩慧,ASIX,"4F, NO 8, Hsin Ann Rd., Hsinchu Science Park,Hsinchu, Taiwan, R.O.C.",03-5639799,investor@asix.com.tw,https://www.asix.com.tw,蔡敏玲,協理,03-5799500,csr@asix.com.tw,https://www.asix.com.tw
5,3227,原相科技股份有限公司,原相,半導體業,－,新竹科學園區新竹縣創新一路五號五樓,16633261,黃森煌,黃森煌,羅美煒,副總經理,蔡秀珍,03-5795317,87/07/13,95/05/04,新台幣 10.0000元,1427969710,142796971,0,0,合併,每年,董事會,宏遠證券股份有限公司,02-2326-8818,台北市信義路四段236號3樓,安永聯合會計師事務所,郭紹彬,邱琬茹,PXI,"5F, No.5, Innovation Road I, Science-Based Industrial ParkHsin-Chu, Taiwan, R.O.C.",03-5794988,ir@pixart.com,http://www.pixart.com,羅美煒,副總經理,03-5795317#1199,ir@pixart.com,http://www.pixart.com.tw/ch/investor_8.asp
6,3228,金麗科技股份有限公司,金麗科,半導體業,－,新竹市科學工業園區力行路2之1號6樓之1,16200855,易建男,易建男,呂世民,財務處處長,易建男,03-6662866,86/08/20,94/03/02,新台幣 10.0000元,677927050,67792705,5034000,0,個別,每年,股東會,永豐金證券股份有限公司,02-23816288,台北市中正區博愛路17號3樓,資誠聯合會計師事務所,謝智政,劉倩瑜,RDC,"6F-1,No.2-1,Lihsin Rd . Science-Based Industrial Park ,Hsinchu 300, Taiwan,R.O.C",03-5631498,spokesman@rdc.com.tw,https://www.rdc.com.tw/,呂世民,財務處處長,03-6662866轉105,James.Lu@rdc.com.tw,https://www.rdc.com.tw/
7,3259,鑫創科技股份有限公司,鑫創,半導體業,－,新竹縣竹北市台元街22號5樓之一,16766959,林俊宏,胡定中,林育川,協理,劉志成,03-5526568,87/11/26,96/12/24,新台幣 10.0000元,746876420,74687642,10580800,0,合併,每年,股東會,元富證券(股)公司,(02)2768-6668,(105)台北市松山區光復北路11巷35號地下一樓,安侯建業聯合會計師事務所,呂倩慧,游萬淵,3S,"5F-1,No. 22,Taiyuan St., Tai Yuen Hi-Tech industrial ParkZhubei City, Hsinchu County 302, Taiwan.",03-5526560,spokesman@3system.com.tw,www.3system.com.tw,林育川,協理,03-5526533,spokesman@3system.com.tw,www.3system.com.tw
8,3260,威剛科技股份有限公司,威剛,半導體業,－,新北市中和區連城路258號18樓,12861019,陳立白,陳玲娟,陳靜慧,處長,林明慧,02-8228-0886,90/05/04,93/10/08,新台幣 10.0000元,2611032860,261103286,0,0,合併,每年,股東會,康和綜合證券(股)公司股務代理部,(02)8787-1888,台北市信義區基隆路一段176號B1,資誠聯合會計師事務所,黃世鈞,葉翠苗,ADATA,"18F. No.258, Lian Cheng Rd.Chung Ho Dist., New Taipei City 235",02-8228-0887,adata@adata.com,www.adata.com,林明慧,經理,(02)8228-0886,ir@adata.com,http://tw.adata.com/tw/about/investor/
9,3264,欣銓科技股份有限公司,欣銓,半導體業,－,新竹縣湖口鄉勝利村工業三路3號,70751779,盧志遠,張季明,顧尚偉,處長,江文山,03-5976688,88/10/11,94/01/05,新台幣 10.0000元,4901700760,490170076,0,0,合併,每年,股東會,中國信託商業銀行代理部,02-6636-5566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,劉倩瑜,溫芳郁,Ardentec,"No.3, Gongye 3rd Rd., Shengli Vil.,Hukou Township,Hsinchu County 303, Taiwan",03-5971399,Investors@ardentec.com,www.ardentec.com,江文山,財務部經理,03-5976688-1957,investors@ardentec.com,https://web.ardentec.com/?m=111
