,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1569,濱川企業股份有限公司,濱川,電腦及週邊設備業,－,高雄市大寮區大發工業區興業路二號,76404919,蕭欽銘,蕭欽群,李璠,副總經理,金浩,07-7871521,72/03/30,94/07/29,新台幣 10.0000元,1206870810,120687081,0,0,合併,每年,股東會,富邦綜合證券股份有限公司,02-23611300,台北市中正區許昌街17號2樓,勤業眾信聯合會計師事務所,許瑞軒,劉裕祥,Bin Chuan,2 Shing Yeh Road Ta-fa Industrial ZoneKoahsiung Taiwan R.O.C,07-7871515,fan_lee@hamagawa.com,www.hamagawa.com,李璠,副總經理,07-7871521分機16,investors@hamagawa.com,http://www.hamagawa.com/
1,3071,協禧電機股份有限公司,協禧,電腦及週邊設備業,－,屏東市橋南里工業六路東段六號,90724033,黃瑞益,劉明雄,蔡政宏,董事長室特助,楊豐豪,(07)2695166,67/07/19,93/12/30,新台幣 10.0000元,1100000000,110000000,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市中正區重慶南路一段八十三號五樓,安永聯合會計師事務所,陳政初,黃宇廷,ADDA,"NO. 6 EAST SECTION INDUSTRY 6 RD. PINGTUNG CITY, TAIWAN. R. O. C",(07)2692011,tsai@adda.com.tw,http://www.adda.com.tw,蔡政宏,董事長室特助,(07)2695166-308,tsai@adda.com.tw,http://www.adda.com.tw/tw/stakeholders.php
2,3088,艾訊股份有限公司,艾訊,電腦及週邊設備業,－,新北市汐止區南興路55號8樓,23718011,楊裕德,黃瑞南,黃士青,資深特別助理,許錦娟,(02)8646-2111,79/05/11,94/04/28,新台幣 10.0000元,884828650,88482865,0,0,合併,每年,董事會,台新證券股務代理部,(02)2504-8125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,馮敏娟,吳漢期,AXIOMTEK,"8F., No.55, Nanxing Road, Xizhi DistrictNew Taipei City 221026, Taiwan",(02)8646-2555,jane.hsu@axiomtek.com.tw,http://www.axiomtek.com.tw,黃士青,資深特別助理,(02)8646-2111#8010,IR@axiomtek.com.tw,http://www.axiomtek.com.tw/Default.aspx?MenuId=AboutUs&ItemId=195&C=%E5%88%A9%E5%AE%B3%E9%97%9C%E4%B
3,3211,順達科技股份有限公司,順達,電腦及週邊設備業,－,桃園市龜山區文禾路188號13樓,16596982,鍾聰明,許諸靜,林郁蕙,財務處資深副總經理,劉品彤,(03)396-3399,87/07/15,93/11/08,新台幣 10.0000元,1474805210,147480521,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,(02)2702-3999,台北市大安區敦化南路2段97號B2,勤業眾信聯合會計師事務所,郭慈容,吳世宗,Dynapack,"13F., No. 188, Wenhe Rd., Guishan Dist.Taoyuan City 333,Taiwan, R.O.C",(03)396-3116,無,www.dynapack.com.tw,林郁蕙,財務處資深副總經理,(03)396-3399 #7728,invest@dynapack.com.tw,www.dynapack.com.tw
4,3213,茂訊電腦股份有限公司,茂訊,電腦及週邊設備業,－,新北市深坑區北深路三段250號7樓,23631726,沈頤同,沈頤同,周詠翔,執行副總經理,劉亞萍,(02)2662-6074,79/03/15,93/10/01,新台幣 10.0000元,586855470,58685547,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)2702-3999,台北市大安區106敦化南路二段97號地下二樓,安侯建業聯合會計師事務所,施威銘,陳玫燕,Mildef,"7F, No.250, Sec.3, Pei Shen Rd., Shen Keng Dist.,New Taipei City 222, Taiwan",(02)2664-2662,adal@crete.com.tw,http://www.crete.com.tw/,周詠翔,執行副總經理,(02)2662-6074#501,nelson.chou@crete.com.tw,http://eng.crete.com.tw/stock.htm
5,3272,東碩資訊股份有限公司,東碩,電腦及週邊設備業,－,新北市新店區寶橋路235巷131號3樓之4,84126144,曹賜正,曹賜正(代),薛劍峰,副總經理,賴如芬,89191200,82/02/04,103/08/26,新台幣 10.0000元,546143020,54614302,0,0,合併,每年,股東會,兆豐證券股份有限公司,02-3393-0898,台北市中正區忠孝東路二段95號1樓,資誠聯合會計師事務所,葉翠苗,王方瑜,GW,"3F-4 NO.131,LANE 235,Pau-Chiao Rd.,Hsin-Tien DistrictNew Taipei City,Taiwan, R.O.C.",89191220,ir@goodway.com.tw,www.goodway.com.tw,薛劍峰,發言人,89191200,ir@goodway.com.tw,www.goodway.com.tw
6,3287,廣寰科技股份有限公司,廣寰科,電腦及週邊設備業,－,新北市中和區建二路113號6樓,70360251,王忠傑,王忠傑,謝玉玲,管理處副總經理,王桂英,(02)8228-6088,88/05/10,97/01/28,新台幣 10.0000元,439704830,43970483,0,0,合併,每年,股東會,永豐金證券股份有限公司,(02)2381-6288,台北市博愛路17號3樓,安永聯合會計師事務所,林素雯,蕭翠慧,Kworld,"6F., No.113, Jian 2nd Rd., Jhonghe Dist., 235New Taipei City , Taiwan (R.O.C.)",(02)8221-6856,eileen_hsieh@kworld.com.tw,www.kworld.com.tw,林惠津,稽核,(02)8228-6088,lily@kworld.com.tw,http://www.kworld-global.com
7,3323,加百裕工業股份有限公司,加百裕,電腦及週邊設備業,－,桃園市龍潭區工五路128號,16271936,黃世明,黃世明,林建羽,財務長,趙興國,03-4899054,86/11/20,96/06/25,新台幣 10.0000元,803059140,80305914,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,郭冠纓,顏幸福,Celxpert,"No.128, Gong 5th Rd.,Lung Tan,Taoyuan,Taiwan.",03-4897320,investor@celxpert.com.tw,http://www.celxpert.com.tw,林建羽,財務長,(03)4899054#1132,investor@celxpert.com.tw,https://zh-tw.celxpert.com.tw/data_5939
8,3325,旭品科技股份有限公司,旭品,電腦及週邊設備業,－,新北市三重區興德路98號11樓,96958986,蕭奕彰,洪廷宏,陳炤正,業務部專案經理,李榮德,2999-8658,85/04/26,94/08/15,新台幣 10.0000元,846345790,84634579,2382089,0,合併,每年,董事會,華南永昌綜合證券股務代理部,2718-6425,台北市松山區民生東路四段54號4樓,勤業眾信聯合會計師事務所,林旺生,李冠豪,Casing,"11F, NO.98, HSING DER RD.,SANCHONG DIST., NEW TAIPEI CITY, TAIWAN",2999-8825,service@casing.com.tw,http://www.casing.com.tw,洪廷宏,總經理,2999-8658,richard@casing.com.tw,http://www.casing.com.tw/investor.php?id=25&nid=14
9,3479,安勤科技股份有限公司,安勤,電腦及週邊設備業,－,新北市中和區連城路228號7樓,70604376,劉琍綺,張嘉哲,陳宛寧,行銷企劃部資深經理,游慧雯,(02)82262345,89/07/19,99/06/08,新台幣 10.0000元,705251640,70525164,0,0,合併,每年,董事會,台新證券股務代理部,(02)25048125,台北市建國北路一段96號地下一樓,安侯建業聯合會計師事務所,王怡文,羅瑞蘭,Avalue,"7F, 228, Lian-cheng Road,Chung Ho City, Taipei 235, Taiwan",(02)66218551,spokesman@avalue.com.tw,www.avalue.com.tw,陳宛寧,行銷企劃部資深經理,(02)82262345,spokesman@avalue.com.tw,http://www.avalue.com.tw/stakeholder_engagement.aspx
