,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,3066,李洲科技股份有限公司,李洲,光電業,－,新北市汐止區新台五路一段97號27樓,04541794,李明順,李明順,李明順,董事長,邱秀香,(02)27066258,63/05/24,93/12/02,新台幣 10.0000元,830706120,83070612,5500000,0,合併,每年,股東會,群益證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號B2,勤業眾信聯合會計師事務所,洪國田,謝明忠,TAIWAN OASIS,"27F, No.97, Sec.1, Xintai 5th Rd., Xizhi Dist., New Taipei City 22175, TaiwanNew Taipei City, TAIWAN, R. O. C.",(02)26973658,candy.chiu@oasistek.com,http://www.oasistek.com,邱秀香,經理,(02)27066258,candy.chiu@oasistek.com,http://www.oasistek.com.tw/message.php#message5
1,3128,昇銳電子股份有限公司,昇銳,光電業,－,桃園市八德區長興路六七三號,22601576,江添貴,江送貴,蕭哲彥,副總經理,江送貴,03-3653121,76/09/23,95/09/04,新台幣 10.0000元,420000000,42000000,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號地下二樓,勤業眾信聯合會計師事務所,陳重成,陳招美,HI SHARP,NO. 673 CHANG SHING ROAD PA TE CITY TAOYUAN TAIWAN R.O.C.,03-3658688,fred@hisharp.com.tw,www.hisharp.com,江玉蓮,主任,03-3653121分機512,lita@hisharp.com.tw,www.hisharp.com/index.php/zh/layout-38/layout-16
2,3230,錦明實業股份有限公司,錦明,光電業,－,桃園市蘆竹區南崁里經國路896號16樓,22490277,蔡翔峰,蔡翔峰,楊元清,財務協理,許珊綾,03-3573689,76/05/01,95/09/25,新台幣 10.0000元,710109000,71010900,0,0,合併,每年,股東會,元大證券股份有限公司,(02)2586-5859,103432台北市大同區承德路三段210號B1,資誠聯合會計師事務所,李燕娜,吳偉豪,Jiin Ming,"16F., NO.896, JINGGUO RD., LUZHU DIST.TAOYUAN CITY,TAIWAN,R.O.C.",03-3573258,rafeal.yang@mail.jmg.com.tw,http://www.jmg.com.tw,楊元清,協理,03-3573689分機600,rafeal.yang@mail.jmg.com.tw,http://www.jmg.com.tw
3,3297,杭特電子股份有限公司,杭特,光電業,－,新北市汐止區大同路二段171號9樓,23133690,鄭子釗,李新榮,顏志全,總經理室特別助理,鄭翠鈴,(02)8692-7999,77/11/28,94/06/07,新台幣 10.0000元,360494450,36049445,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,周筱姿,支秉鈞,Hunt,"9F, No.171, Sec. 2, Datong Rd., Xizhi Dist.,New Taipei City 22183, Taiwan",(02)8692-6678,investor@hunt.com.tw,www.hunt.com.tw,顏志全,總經理室特別助理,(02) 8692-7999,joseph_yen@hunt.com.tw,www.hunt.com.tw
4,3339,泰谷光電科技股份有限公司,泰谷,光電業,－,南投縣南投市自強三路18號,70774610,葉寅夫,葉寅夫,劉育全,營運中心主管,張開誠,049-2261626,89/05/31,95/06/27,新台幣 10.0000元,508616490,50861649,15406930,0,合併,每年,股東會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,安侯建業聯合會計師事務所,區耀軍,羅瑞蘭,TEKCORE,"NO.18, TZU-CHUNG 3RD. ROAD, NAN-KUNG INDUSTRIAL ZONENANTOU, TAIWAN, R.O.C.",049-2261634,stock@tekcore.com.tw,www.tekcore.com.tw,張開誠,財會主管,049-2261626#4618,hermeschang@tekcore.com.tw,http://www.tekcore.com.tw/index.php?option=com_content&task=section&id=15&Itemid=185
5,3362,先進光電科技股份有限公司,先進光,光電業,－,台中市大雅區科雅路33號2樓,22301825,高維亞,高維亞,高維亞,總經理,黃妤婷,04-25659888,75/11/19,94/09/06,新台幣 10.0000元,1315458800,131545880,20000000,0,合併,每年,股東會,元富證券股份有限公司,02-2768-6668,台北市松山區光復北路11巷35號地下一樓,資誠聯合會計師事務所,吳松源,劉美蘭,ABILITY,"Keya Rd No.33 2FDaya District,Taichung City ,Taiwan .",04-25658008,sonia.huang@aoet.com.tw,www.aoet.com.tw,黃妤婷,經理,04-25659888#1116,sonia.huang@aoet.com.tw,www.aoet.com.tw
6,3434,哲固資訊科技股份有限公司,哲固,光電業,－,桃園市蘆竹區大興路20巷21弄11號,84354060,簡豊輝,簡豊輝,黃文義,執行副總經理,陳韻如,03-3135577,82/05/05,97/01/28,新台幣 10.0000元,227000000,22700000,0,0,合併,每年,股東會,群益證券股份有限公司,02-2702-3999,台北市敦化南路二段97號B2,資誠聯合會計師事務所,吳偉豪,李燕娜,ACULA,"No.11,Alley 21,Lane 20,Dashing Rd.,Luchu Dist,Taoyuan City 338,Taiwan,R.O.C.Taoyuan City,Taiwan",03-3233355,acula@acula.com,http://www.acula.com,鍾絮淋,副理,03-3135577#112,sunnychung@acula.com.tw,http://www.acula.com
7,3441,聯一光電股份有限公司,聯一光電,光電業,－,南投縣草屯鎮稻香路6-4號,52888437,陳忠政,蔡春霖,陳忠政,董事長,職缺待補,049-2323825,73/03/27,99/10/04,新台幣 10.0000元,400399200,40039920,0,0,合併,每年,股東會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,勤業眾信會計師事務所,吳麗冬,蘇定堅,UNIQUE,"NO.6-4, DAW-SHIANG ROAD, TSAO-TON TOWN,NAN-TOU HSEN, TAIWAN R.O.C.",049-2367987,annie@t-unique.com,www.t-unique.com,洪巧芸,副總經理,049-2323825,annie@t-unique.com,http://www.t-unique.com/
8,3455,由田新技股份有限公司,由田,光電業,－,新北市中和區連城路268號10樓之1,86710418,鄒嘉駿,張文杰,林芳隆,行政財務部副總經理,張文杰,02-8226-2088,81/05/23,96/12/27,新台幣 10.0000元,598507500,59850750,0,0,合併,每年,董事會,元富證券股份有限公司股務代理部,02-2768-6668,台北市松山區光復北路11巷35號地下一樓,安侯建業聯合會計師事務所,林恒昇,陳蓓琪,UTECHZONE,"10F-1, No. 268, Liancheng Rd.,Junghe District, New Taipei City,Taiwan",02-8226-9822,ally-lin@utechzone.com.tw,http://www.utechzone.com.tw,葉欣,市場策略與IR課 課長,02-82262088#307,wendyyeh@utechzone.com.tw,http://www.utechzone.com.tw/webc/html/responsibility/index.aspx?kid=74
9,3490,單井工業股份有限公司,單井,光電業,－,新北市土城區中山路77號,23393652,王祥亨,游孟哲,游孟哲,總經理,林佳穎,02-22686191,78/07/20,96/10/15,新台幣 10.0000元,570064350,57006435,0,0,合併,每年,董事會,永豐金證券股份有限公司,(02)2381-6288,台北市中正區博愛路17號3樓,德昌聯合會計師事務所,李定益,陳裕勳,singlewell,"No.77, Zhongshan Rd.Tucheng Dist., New Taipei City 236, ROC",02-22686351,twia@singlewell.com.tw,www.singlewell.com.tw,林佳穎,財會主管,02-22686191,twia@singlewell.com.tw,http://www.singlewell.com.tw/FCOMPANYINFON.htm
