,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,3081,聯亞光電工業股份有限公司,聯亞,通信網路業,－,台南市善化區南科九路12號,16022634,張景溢,羅淇生,楊吉裕,財務長,吳雅芳,(06)5058999,86/06/02,104/07/22,新台幣 10.0000元,913691770,91369177,0,0,個別,每年,股東會,華南永昌綜合證券(股)公司,(02)27186425,台北市松山區民生東路四段54號4樓,安侯建業聯合會計師事務所,蘇彥達,許振隆,LandMark,"No.12,Nanke 9th Rd,Shanhua Dist.Tainan City, Taiwan R.O.C",(06)5055189,investor@lmoc.com.tw,www.lmoc.com.tw,楊吉裕,財務長,(06)5058999,investor@lmoc.com.tw,http://www.lmoc.com.tw/index.php?option=module&lang=cht&task=showlist&id=24&index=2
1,3095,及成企業股份有限公司,及成,通信網路業,－,新北市中和區建二路111號,33724081,張正寬,張正寬(兼任),張宏羽,營運總經理,周忠賢,(02)2222-6638,62/03/23,94/05/26,新台幣 10.0000元,1092763210,109276321,19215846,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,卓群聯合會計師事務所,方冠智,葉璨增,CCC,NO.111 Chien-Er RdChung-Ho City Taipei Taiwan ROC,(02)2225-6240,jones.chou@chicheng.com.tw,http://www.chicheng.com.tw,周忠賢,處長,02-22226638#17000,jones.chou@chicheng.com.tw,http://www.chicheng.com.tw/tc/p7-investor-detail.asp?id=1
2,3152,璟德電子工業股份有限公司,璟德,通信網路業,－,新竹縣湖口鄉新竹工業區自強路16號,16443570,雙德投資股份有限公司-代表人郭建文,郭建文,周賢亮,經理,吳明信,(03)5987008,87/04/15,97/03/24,新台幣 10.0000元,690162000,69016200,0,0,個別,每年,股東會,台新證券股務代理部,(02)2504-8125,台北市建國北路一段96號地下一樓,安侯建業聯合會計師事務所,曾渼鈺,呂倩慧,ACX,"16 Tzu Chiang Road, Hsinchu Industrial DistrictHsinchu Hsien, Taiwan, 30352",(03)5987001,acx@acxc.com.tw,http://www.acxc.com.tw,周賢亮,經理,03-5987008,invest@acxc.com.tw,http://www.acxc.com.tw/non-con.php?page=9
3,3163,波若威科技股份有限公司,波若威,通信網路業,－,新竹科學園區工業東九路30號3樓,16586555,鄭萬來,黃裕文,張文樵,副總經理,黃淑君,035630099,87/05/18,101/12/03,新台幣 10.0000元,752868990,75286899,0,0,合併,每年,董事會,凱基證券股份有限公司股務代理部,(02)2389-2999,台北市重慶南路一段2號5樓,資誠會計師事務所,李典易,林玉寬,Browave,"3F, No.30, Industry East. Road IX, Hsinchu Science Park Hsin Chu 30075, Taiwan, ROC",035630022,browave3163@browave.com,http://www.browave.com,余珍妮,特別助理,035630099#3163,jeannette.yu@browave.com,http://www.browave.com
4,3221,台灣嘉碩科技股份有限公司,台嘉碩,通信網路業,－,桃園市平鎮區工業二路三號,16264983,黃鈺同,陳瑞鴻,陳瑞鴻,總經理,李進宏,03-469-0038,86/11/10,95/02/22,新台幣 10.0000元,1028724100,102872410,6000000,0,合併,每年,股東會,凱基證券股份有限公司股務代理部,02-23892999,台北市重慶南路一段2號5樓,安侯建業聯合會計師事務所,游萬淵,陳宜君,TST,"No. 3, Industrial 2nd Rd.Ping-Chen,Taoyuan,Taiwan,R.O.C.",03-469-7532,spokesman@mail.taisaw.com,http://www.taisaw.com,李進宏,財會部資深經理,03-4690038,spokesman@mail.taisaw.com,http://www.taisaw.com
5,3234,光環科技股份有限公司,光環,通信網路業,－,新竹科學工業園區新竹市展業一路21號,16211142,劉勝先,劉漢興,潘金山,發言人,陳萍琳,03-5780080,86/09/01,100/03/24,新台幣 10.0000元,764746920,76474692,0,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,台北巿承德路三段210號地下一樓,資誠聯合會計師事務所,鄭雅慧,江采燕,TrueLight,"NO.21,PROSPERITY RD.1, HSINCHU SCIENCE PARKHSINCHU,300 , TAIWAN, R.O.C.",03-5780555,finance@truelight.com.tw,http://www.truelight.com.tw,潘金山,發言人,03-5780080,finance@truelight.com.tw,http://www.truelight.com.tw/tw/stakeholder/InvestorRelations.aspx
6,3306,鼎天國際股份有限公司,鼎天,通信網路業,－,桃園市龜山區公西里文化二路40號8樓,16433708,蘇俊豪,陳俊彥,黃凱崙,財務長,盧翔健,(03)396-0001,86/12/23,94/07/05,新台幣 10.0000元,506077020,50607702,0,0,合併,每年,股東會,兆豐證券股份有限公司,(02)3393-0898,台北市忠孝東路二段95號1樓,安侯建業聯合會計師事務所,連淑凌,吳趙仁,RoyalTek,"8F,No 40 Wen Hwa 2nd Rd.,Kuei ShanTao Yuan,Taiwan,R.O.C",(03)396-0065,finance@royaltek.com,http://tw.royaltek.com,黃凱崙,財務長,03-396-0001*8888,david.huang@royaltek.com,http://www.quantatw.com/Quanta/chinese/Default.aspx
7,3363,上詮光纖通信股份有限公司,上詮,通信網路業,－,新竹市科學工業園區展業二路十八號,84149462,林松福,胡頂達,王詩捷,副總經理,繆淑秋,03-5770099,84/06/14,100/02/25,新台幣 10.0000元,876921830,87692183,0,0,合併,每年,董事會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,鄭雅慧,林玉寬,FOCI,"No.18, Properity Rd. II, Science-Based Industrial ParkHsinchu, Taiwan, R.O.C.",03-5644732,ir@mailsrv.foci.com.tw,www.foci.com.tw,王詩捷,副總經理,03-5770099 #116,ir@mailsrv.foci.com.tw,www.foci.com.tw
8,3466,致振企業股份有限公司,致振,通信網路業,－,新北市三重區興德路123-1號8樓,12375925,吳振乾,張孔維,李晏州,財會部經理,杜東松,02-85123068,71/03/23,95/05/17,新台幣 10.0000元,608875730,60887573,0,0,合併,每年,股東會,元富證券股份有限公司,02-27686668,台北市松山區光復北路11巷35號地下一樓,安侯建業聯合會計師事務所,連淑凌,陳宜君,SKARDIN,"8F, No. 123-1 Hsing De RD. Sanchung District,New Taipei City. Taiwan ROC",02-85123086,andy@skardin.com.tw,www.skardin.com.tw,李晏州,財會部經理,02-85123068,andy@skardin.com.tw,http://www.skardin.com.tw/Stackeholder.asp
9,3491,昇達科技股份有限公司,昇達科,通信網路業,－,基隆市七堵區工建路1號(六堵科技園區),16999508,陳淑敏,吳東義,郭俊良,執行副總經理,陳重光,(02)2452-5533,88/09/07,97/01/03,新台幣 10.0000元,621586620,62158662,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)2702-3999,台北市敦化南路2段97號B2,勤業眾信聯合會計師事務所,黃秀椿 會計師,莊碧玉 會計師,UMT,"#1 Gongjian Road, Cidu DistrictKeelung City,Taiwan, R.O.C 206",(02)2452-7722,simon@umt-tw.com,www.umt-tw.com,郭俊良,執行副總經理,(02)2452-5533,invest@umt-tw.com,www.umt-tw.com
