,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1336,台翰精密科技股份有限公司,台翰,電子零組件業,－,桃園市龜山區民生北路一段568號1樓,22589593,蔡鎮隆,蔡鎮隆,張誌仁,執行副總經理,遺缺待補,03-3112025,76/08/28,96/11/02,新台幣 10.0000元,770984190,77098419,0,0,合併,每年,股東會,永豐金證券(股)公司股務代理部,02-23816288,台北市中正區博愛路17號3樓,資誠聯合會計師事務所,吳郁隆,黃世鈞,TAIHAN,"1F., No. 568, Sec. 1, Minsheng N. Rd., Guishan Dist.Taoyuan City 333 , Taiwan (R.O.C.)",03-3112035,tony@thpt.com.tw,www.thpt.com.tw,張誌仁,執行副總經理,03-3112025,tony@thpt.com.tw,http://www.thpt.com.tw/parnerstocknews1.html
1,1595,川寶科技股份有限公司,川寶,電子零組件業,－,桃園市蘆竹區長興路三段277巷33號,16860440,張鴻明,張鴻明,簡麗真,協理,陳軒儀,03-3249948,88/02/19,100/10/04,新台幣 10.0000元,471481340,47148134,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27035000,台北巿敦化南路2段97號B2,勤業眾信聯合會計師事務所,葉東煇,林政治,CBT,"No.33, Ln. 277, Sec. 3, Changxing Rd., Luzhu Dist.,Taoy uan Cit y 338, Taiwan",03-3249968,spokesman@cbtech.com.tw,http://www.cbtech.com.tw/,簡麗真,協理,03-3249948#818,spokesman@cbtech.com.tw,http://www.cbtech.com.tw/
2,1815,富喬工業股份有限公司,富喬,電子零組件業,－,雲林縣斗六市榴南里斗工十六路8號,16834268,張元賓,陳壁程,謝銘男,副總經理,楊閔安,02-27357658,88/01/14,95/01/23,新台幣 10.0000元,4284776700,428477670,0,0,合併,每年,股東會,富喬工業股份有限公司股務室,02-2705-1333,台北市敦化南路二段九十八號十二樓,勤業眾信聯合會計師事務所,王儀雯,林文欽,FFG,"NO8.Dou Kong 16 RoadDou Leu City,Taiwan.",02-27357698,jeffrey@ffg.com.tw,http://www.ffg.com.tw,謝銘男,副總經理,2735-7658#102,jeffrey@ffg.com.tw,http://www.ffg.com.tw/contact-02.asp
3,3078,僑威科技股份有限公司,僑威,電子零組件業,－,桃園市蘆竹區南崁路二段222號,84573516,潘君威,楊琇華,楊丹純,財務長,陳欣茹,03-2220268,82/10/05,94/01/31,新台幣 10.0000元,2273910640,227391064,0,0,合併,每年,股東會,日盛證券股份有限公司股務代理部,02-2541-9977,台北市中山區南京東路二段85號7樓,勤業眾信聯合會計師事務所,楊清鎮,陳致源,CWT,"No.222,Sec.2,Nankan Rd.,Lujhu Dist.,Taoyuan City 338,Taiwan,R.O.C.",03-2223111,monica@mail.cwt.com.tw,www.cwt.com.tw,楊丹純,財務長,03-2220268#270,monica@mail.cwt.com.tw,http://www.cwt.com.tw/Investment/zhtw/formidable.aspx
4,3089,億杰科技股份有限公司,億杰,電子零組件業,－,台北市內湖區內湖路一段118號4樓,84167600,徐志明,曾建銘,張永昌,副總經理,李林儒,02-87518337,82/01/21,92/10/14,新台幣 10.0000元,651133140,65113314,35492897,0,合併,每年,股東會,國票證券股份有限公司股務代理部,02-2528-8988,臺北市松山區南京東路五段188號15樓,勤業眾信聯合會計師事務所,翁博仁,王儀雯,EJECTT INC,"4F., No.118, Neihu Road, Sec.1, Neihu Dist.,Taipei City 11493, Taiwan (R.O.C.)",02-87971665,service@ejecttinc.com,www.ejecttinc.com,張永昌,副總經理,02-87518337,raychang@ejecttinc.com,www.ejecttinc.com
5,3114,好德科技股份有限公司,好德,電子零組件業,－,台北市松山區敦化南路一段25號6樓,20799897,陳國鴻,吳麗山,王昌惠(暫代),稽核主管,王昌惠,02-25708818,67/09/23,93/03/25,新台幣 10.0000元,590800000,59080000,0,0,合併,每年,股東會,元富證券股份有限公司,02-27686668,台北市光復北路11巷35號B1,安永聯合會計師事務所,王瑄瑄,張志銘,HT,"6th Floor, No. 25, Tun Hwa S. Rd., Sec. 1 Taipei City, Taiwan, R.O.C.",02-25709888,angle@howteh.com.tw,www.howteh.com.tw,張大千,財務長,02-2570-8818,samchang@howteh.com.tw,www.howteh.com.tw/big5/investor/
6,3115,寶島極光股份有限公司,寶島極,電子零組件業,－,桃園市蘆竹區南山路一段280號,86825235,張嘉顯,張嘉顯,張嘉顯,總經理,陳文彬,(02)28816777,81/08/13,94/04/08,新台幣 10.0000元,436976000,43697600,23000000,0,合併,每年,股東會,元富證券股份有限公司,(02)2768-6668,台北市光復北路11巷35號B1樓,霈昇聯合會計師事務所,林育雅,王新元,TSC,"No.280, Sec.1, Nanshan Rd., Luzhu Dist.Taoyuan City 338, Taiwan",(02)28820829,abin@tscl.com.tw,http://www.tscl.com.tw,張嘉顯,總經理,(02)28816777,jack.chang@tscl.com.tw,http://www.tscl.com.tw
7,3191,和進電子股份有限公司,和進,電子零組件業,－,台北市中正區中華路一段7號6樓之8,86105242,張瑞麟,張瑞麟,鄭發全,財務長,鍾孔豪,02-23123081,80/12/12,94/04/12,新台幣 10.0000元,571947610,57194761,2500000,0,合併,每年,股東會,福邦證券股份有限公司股務代理部,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,卓群聯合會計師事務所,葉璨增,曾友龍,HOLD JINN,"6F.-8, No.7, Sec. 1, Zhonghua Rd., Zhongzheng Dist.,Taipei City 10043, Taiwan (R.O.C.)",02-23123082,hugh@holdjinn.com,http://www.holdjinn.com.tw,鄭發全,財務長,02-23123081,hugh@holdjinn.com,http://www.holdjinn.com.tw
8,3202,樺晟電子股份有限公司,樺晟,電子零組件業,－,台北市南港區南港路3段50巷16號4F,39607700,魏孝秦,魏孝秦,黃一軒,副總經理,魏孝秦,27825881,73/03/24,94/07/26,新台幣 10.0000元,1171648700,117164870,0,0,合併,每年,股東會,元大證券股務代理部,0225865859,台北市大同區承德路三段210號B1.B2,馬施云大華聯合會計師事務所,郭思琪,羅玟忻,HIGH-TEK,4FL. NO. 16. LANE 50. SEC. 3 NAN-KANG RDTAIPEI. TAIWAN. ROC.,27828879,curtis_huang@high-tek.com.tw,http://www.high-tek.com.tw,黃一軒,副總經理,27825881-2344,curtis_huang@high-tek.com.tw,http://www.high-tek.com.tw
9,3206,志豐電子股份有限公司,志豐,電子零組件業,－,新北市淡水區中正東路二段69-11號10樓,31109687,張演堂,張演堂,葉方瑜,執行副總經理,吳惠燕,02-2809-5651,68/07/24,96/02/08,新台幣 10.0000元,589166210,58916621,0,0,合併,每年,股東會,永豐金證券股份有限公司,(02)2381-6288,台北市博愛路17號3樓,安侯建業聯合會計師事務所,黃柏淑,吳仲舜,KINGSTATE,"10F., No.69-11, Sec. 2, Zhongzheng E. Rd., Danshui Dist.,New Taipei City 251, Taiwan (R.O.C.)",02-2809-7151,milliewu@kingstate.com.tw,www.kingstate.com.tw,吳惠燕,經理,(02)28095651,Milliewu@kingstate.com.tw,http://www.kingstate.com.tw/index.php/tw/spokesman
