,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,3224,三顧股份有限公司,三顧,電子通路業,－,新北市汐止區新台五路一段75號14樓之3,16657495,楊智惠,唐洪德,唐洪德,總經理,詹志聰,(02)2698-3466,87/09/17,93/06/03,新台幣 10.0000元,680160450,68016045,0,0,合併,每年,董事會,康和綜合證券股份有限公司,02-8787-1118,110台北市信義區基隆路一段176號B1,資誠聯合會計師事務所,徐明釧,支秉鈞,MetaTech,"14F-3,NO.75 SEC.1,HSIN TAI WU RDHSI-CHIH,TAIPEI HSIEN,TAIWAN,R.O.C",(02)2698-3344,stock@metatech.com.tw,WWW.METATECH.COM.TW,林文傑,協理,(02)26983466#5006,davidl@metatech.com.tw,WWW.METATECH.COM.TW
1,3232,昱捷股份有限公司,昱捷,電子通路業,－,新北市汐止區新台五路一段93號25樓之6,22731120,蔡棟國,蔡棟國,葉瑞炫,副總經理,林志軒,8797-5025,76/12/14,93/11/01,新台幣 10.0000元,365678650,36567865,0,0,合併,每年,股東會,福邦證券股份有限公司股務代理部,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,梁益彰,王方瑜,SIC,"25F.-6, No. 93, Sec. 1, Xintai 5th Rd., Xizhi Dist.,New Taipei City 221, Taiwan, R.O.C.",2659-3257,darrenlin@ms.sentronic.com.tw,http://www.sentronic.com.tw,葉瑞炫,副總經理,8797-5025#651,microyeh@ms.sentronic.com.tw,http://www.sentronic.com.tw/利害關係人專區.html
2,3360,尚立股份有限公司,尚立,電子通路業,－,台北市內湖區洲子街76號6樓,9473845,簡剛民,簡剛民,陳美玲,財務長,許哲維,02-87973566,74/04/06,95/06/06,新台幣 10.0000元,687070540,68707054,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,27023999,台北市敦化南路二段97號B2,勤業眾信聯合會計師事務所,黃毅民,施錦川,SUNNIC,"6F., No.76, Jhouzih St., Neihu District,Taipei City 114, Taiwan (R.O.C.)",02-8797-6678,alanyu@sunnic.com,www.sunnic.com,許哲維,資深經理,(02)8797-3566#2160,investor@sunnic.com,http://www.sunnic.com/chinese/04_about/01_about.php?AID=19
3,3444,利機企業股份有限公司,利機,電子通路業,－,台中市西屯區台灣大道四段767號5樓之5,84355650,張坤祥,張宏基,盧修滿,營運支援處協理,邱智芳,(04)23588966,82/05/07,97/09/26,新台幣 10.0000元,391145860,39114586,0,0,合併,每年,董事會,永豐金證券股份有限公司,(02)23816288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,吳麗冬,蘇定堅,NICHING,"Room 5E, No.767, Sec 4, Taiwan Blvd.,Taichung,Taiwan",(04)23588968,anita@niching.com.tw,www.niching.com.tw,陳玲芝,財務部課長,(04)23588966#167,cherry@niching.com.tw,www.niching.com.tw/
4,6113,亞矽科技股份有限公司,亞矽,電子通路業,－,台北市內湖區洲子街58號7樓,22033899,蔡伯宜,蔡伯宜,黃純,總經理特助,金諭,(02)87525858,75/04/04,90/08/10,新台幣 10.0000元,500471000,50047100,0,0,合併,每年,股東會,凱基證券股份有限公司,(02)23892999,台北市重慶南路一段2號5樓,安侯建業聯合會計師事務所,傅泓文,吳美萍,ASEC,"7F., No. 58, Jhouzih St.,Neihu District, Taipei, Taiwan, R.O.C.",(02)87525868,asec@asec.com.tw,http://www.asec.com.tw,黃純,總經理特助,(02)87525858,elenhuang@asec.com.tw,http://www.asec.com.tw/_ch/1_about/1_about.php?ID=12
5,6118,建達國際股份有限公司,建達,電子通路業,－,新北市新店區中正路531號5樓,89621848,陳文琦,陳文康,何秉海,財務長,黃馴龍,(02)22191600,84/11/01,90/10/25,新台幣 10.0000元,908895730,90889573,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號6樓,勤業眾信聯合會計師事務所,劉書琳,徐文亞,Xander,"5F., No.531, Zhongzheng Rd.,Xindian Dist.,New Taipei City 231, Taiwan(R.O.C.)",(02)22191605,joyce_tseng@xander.com.tw,www.xander.com.tw,何秉海,財務長,(02)77053960,hardy_ho@xander.com.tw,www.xander.com.tw
6,6154,順發電腦股份有限公司,順發,電子通路業,－,高雄市807三民區建國二路2號,89743949,吳錦昌,吳錦昌,褚雋鵬,法務副理,吳錦昌,(07)2366221,84/12/21,91/02/18,新台幣 10.0000元,800800000,80080000,0,0,合併,每年,股東會,華南永昌綜合證券股份有限公司,(02)27186425,台北市105民生東路四段54號4樓,安侯建業聯合會計師事務所,許振隆,楊博任,Sunfar,"No.2, Jianguo 2nd Rd., Sanmin Dist.,Kaohsiung,Taiwan,R.O.C.",(07)2365669,07778@mail.sunfar.com.tw,http://www.sunfar.com.tw,褚雋鵬,法務副理,(07)2366221#812,07778@mail.sunfar.com.tw,http://www.sunfar.com.tw/sfmoney.aspx
7,6227,茂綸股份有限公司,茂綸,電子通路業,－,新北市新店區北新路三段207-2號14樓,20811962,吳偉國,吳偉國,張聖鑫,副總經理,莊文杰,(02)8913-2200,68/02/08,92/01/14,新台幣 10.0000元,761117860,76111786,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,27023999,台北市敦化南路二段97號B2,安永聯合會計師事務所,張正道,黃建澤,Macnica Galaxy,"14F,207-2,Sec.3,Peihsin Rd.,Hsintien Dist.,New Taipei Taiwan,R.O.C",(02)8913-2277,kitty.juan@macnica.com,http://www.macnica.com,高巧燕,財務部資深專員,(02)8913-2200,joyce.kao@macnica.com,http://www.macnica.com
8,6265,方土昶股份有限公司,方土昶,電子通路業,－,新北市新店區寶中路92號10樓,16436439,張政文,張政文,林芳燕,協理,謝佩君,(02)2916-1997,87/01/22,92/10/24,新台幣 10.0000元,1181721510,118172151,0,0,合併,每年,股東會,中國信託商業銀行股份有限公司,(02)6636-5566,臺北市重慶南路一段83號五樓,資誠聯合會計師事務所,黃世鈞,梁益彰,KCU,"10F, NO.92, Pao Chung Road, Xindian Dist.,　New Taipei City , Taiwan, R.O.C.",(02)2916-2262,fangyan.lin@kc-uppertech.com,http://www.kc-uppertech.com/,林芳燕,發言人,(02)2916-1997,fangyan.lin@kc-uppertech.com,www.kc-uppertech.com
9,6270,倍微科技股份有限公司,倍微,電子通路業,－,新北市汐止區新台五路一段75號5樓,86882278,傅江松,傅江松,黃美津,總管理處總經理,李志強,02-26980098,81/10/20,92/09/17,新台幣 10.0000元,721457590,72145759,0,0,合併,每年,股東會,凱基證券股份有限公司,02-23148800,台北市重慶南路一段2號5樓,資誠聯合會計師事務所,林一帆,陳晉昌,PCT,"5F,No. 75, Sec. 1, Sintai 5th RdSijhih City, Taipei , Taiwan 221, R.O.C.",02-26980096,public@pct.com.tw,http://www.pct.com.tw,黃美津,總管理處總經理,(02)2698-0098#220,public@pct.com.tw,http://www.pct.com.tw
