,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,3147,大綜電腦系統股份有限公司,大綜,資訊服務業,－,高雄市左營區民族一路1163號,86059612,李志忠,曾振順,洪明和,經理,林泳,07-3458011,80/10/14,107/05/29,新台幣 10.0000元,390060990,39006099,0,0,合併,每年,董事會,華南永昌綜合證券股份有限公司,02-27186425,台北市民生東路四段54號4樓,資誠聯合會計師事務所,廖阿甚,王國華,JETWELL,"No.1163,MIN TSU 1ST ROAD,KAOHSIUNG,TAIWAN",07-3458433,jetwell@mail.jetwell.com.tw,http://www.jetwell.com.tw,林泳,經理,07-3458011,ellin@mail.jetwell.com.tw,
1,3570,大塚資訊科技股份有限公司,大塚,資訊服務業,－,新北市板橋區縣民大道二段68號6樓,16088678,鶴見裕信,郭一龍,徐慧如,副總經理,林治明,(02)8964-6668,86/08/04,97/10/23,新台幣 10.0000元,170970000,17097000,0,0,合併,每年,董事會,永豐金證券股份有限公司,02-23816288,台北市博愛路17號3樓,安侯建業聯合會計師事務所,吳美萍,傅泓文,OITC,"6F, No. 68, Sec.2, Xianmin Blvd.Banqiao Dist., New Taipei City , Taiwan",(02)8964-6667,investor@oitc.com.tw,www.oitc.com.tw,林治明,財務主管,(02)89646668,investor@oitc.com.tw,http://www.oitc.com.tw/footer_page/12/42
2,4953,緯創軟體股份有限公司,緯軟,資訊服務業,－,新北市汐止區新台五路1段93號32樓,86714857,蕭清志,蕭清志,長育禎,副總經理,李禎惠,02-77458888,81/06/01,103/01/08,新台幣 10.0000元,669210880,66921088,0,0,合併,每年,股東會,凱基證券股份有限公司,02-23892999,台北市重慶南路一段2號5樓,安侯建業聯合會計師事務所,陳雅琳,黃明宏,WITS,"32F., No.93, Sec.1, Xintai 5th Rd., Xizhi Dist., New Taipei CityNew Taipei City , Taiwan (R.O.C.)",02-77458889,spokesperson@wistronits.com,www.wistronits.com,李禎惠,資深經理,02-77458816,MaggieLee@wistronits.com,https://www.wistronits.com/tw/csr-report/interested-parties.html
3,5201,凱衛資訊股份有限公司,凱衛,資訊服務業,－,台北市松山區光復北路11巷35號5樓,21261212,曾正哲,曾正哲,許進順,總經理室副總,曾玉君,(02)2528-1335,74/05/22,89/10/12,新台幣 10.0000元,306746000,30674600,0,0,合併,每年,董事會,元富證券股份有限公司,02-27686668,台北市松山區光復北路11巷35號B1,正風聯合會計師事務所,徐素琴,賴家裕,KWAY,"5F., No.35, Ln. 11, Guangfu N. Rd., Songshan Dist. Taipei 105, Taiwan, R.O.C.",(02)2528-1877,daphine@mail.kway.com.tw,WWW.KWAY.COM.TW,許進順,總經理室副總,02)25281335-652,hsi@mail.kway.com.tw,WWW.KWAY.COM.TW
4,5202,力新國際科技股份有限公司,力新,資訊服務業,－,台北市114內湖區新湖一路128巷15號6樓,22645531,鑫阿波羅能源股份有限公司指派代表 陳和順,黃銘達,陳宗禧,副總經理,林伯純,(02)7721-0111,76/09/30,89/10/18,新台幣 10.0000元,590940000,59094000,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)2702-3999,台北市敦化南路二段97號地下2樓,勤業眾信聯合會計師事務所,林文欽,劉建良,NewSoft,"6F, No.15 Ln. 128, Xinhu 1st Rd., Neihu District,Taipei, Taiwan, R.O.C",(02)7721-2001,contactus@newsoft.com.tw,www.newsoft.com.tw,謝志宏,稽核主管,(02)7721-0111#1031,chris_hsieh@newsoft.com.tw,http://www.newsoft.com.tw/company/csr.php
5,5209,新鼎系統股份有限公司,新鼎,資訊服務業,－,台北市北投區福善路16號11樓,22619999,吳國安,陳漢宗,陳漢宗,總經理,許郁婉,(02)2785-3839,76/08/03,91/02/25,新台幣 10.0000元,273477500,27347750,0,0,合併,每年,股東會,凱基證券股份有限公司,(02)2389-2999,台北市重慶南路一段二號5樓,資誠聯合會計師事務所,葉翠苗,林佳鴻,CTCI ASI,"11Fl., 16, Fushan Rd., Beitou Dist.,Taipei City 112037, Taiwan, R.O.C.",(02)28357412,CTCI.ASI.Spokesman@ctci.com,www.asi.ctci.com,許郁婉,經理,(02)27853839,CTCI.ASI.Spokesman@ctci.com,http://www.asi.ctci.com/www/ASI/page.aspx?L=CH&C=0611
6,5210,寶碩財務科技股份有限公司,寶碩,資訊服務業,－,台北市松山區八德路二段358號六樓之一,23131763,白介宇,林進財,林進財,總經理,黃俊諺,02-8791-9799,77/11/23,91/04/25,新台幣 10.0000元,621777790,62177779,0,0,合併,每年,股東會,台新證券股務代理部,(02)25048125,台北市建國北路一段96號地下一樓,國富浩華聯合會計師事務所,邱繼盛,張亞荃,APEX,"6F.-1, No.358, Sec. 2, Bade Rd., Songshan Dist.Taipei City, Taiwan (R.O.C.)",02-8791-9366,andy@mail.apex.com.tw,http://www.apex.com.tw,游寶準,管理部經理,02-87919799#5201,polly@mail.apex.com.tw,http://www.apex.com.tw
7,5211,蒙恬科技股份有限公司,蒙恬,資訊服務業,－,(30071)新竹市光復路二段二巷47號7樓,86287778,蔡義泰,洪成安,詹榮泉,財務長,郭維新,03-5722691,80/09/24,91/12/23,新台幣 10.0000元,320247270,32024727,0,0,合併,每年,股東會,台新證券股務代理部,02-2504-8125,台北市建國北路一段96號地下一樓,勤業眾信會計師事務所,高逸欣,陳明煇,Penpower,"7 F,No.47 Lane 2,Sec. 2,Kuang-Fu Rd.Hsinchu, Taiwan R.O.C",03-5716243,spokesman@penpower.com.tw,http://www.penpower.com.tw,詹榮泉,財務長,03-5722691,spokesman@penpower.com.tw,http://www.penpower.com.tw/investment.asp
8,5212,凌網科技股份有限公司,凌網,資訊服務業,－,新竹縣竹北市台元一街8號5樓之6,16541333,賴洋助,賴洋助,羅玉瑩,財務部經理,鄭安如,03-5601296,87/07/03,92/03/24,新台幣 10.0000元,346330000,34633000,0,0,合併,每年,股東會,元富證券股份有限公司,02-27686668,台北市松山區光復北路11巷35號地下一樓,安永聯合會計師事務所,楊雨霓,郭紹彬,HYWEB,"5F.-6, No.8, Taiyuan 1st St.,Zhubei City, Hsinchu County 302, Taiwan",03-5601297,judylo@hyweb.com.tw,www.hyweb.com.tw,羅玉瑩,財務部經理,03-5601296#3606,stock5212@hyweb.com.tw,www.hyweb.com.tw
9,5310,天剛資訊股份有限公司,天剛,資訊服務業,－,台北市大同區承德路2段81號8樓之2,23534251,呂國雄,張申曄,呂國雄,董事長,黃清俊,(02)7737-0927,78/12/28,85/04/09,新台幣 10.0000元,289435170,28943517,6826170,0,合併,每年,董事會,華南永昌綜合證券股份有限公司,(02)2718-6425,105台北市民生東路四段54號4樓,安永聯合會計師事務所,陳智忠,余倩如,CGS,"Rm. 2, 8F., No. 81,Sec. 2, Chengde Rd.,Datong DistTaipei, Taiwan, R.O.C.",(02)7737-0926,unitholder@cgs.com.tw,www.cgs.com.tw,陳斐暄,董事長特別助理,(02)7737-0927,anniec@cgs.com.tw,www.cgs.com.tw
