,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1785,光洋應用材料科技股份有限公司,光洋科,其他電子業,－,台南市安南區工業三路1號,43787872,馬堅勇,黃啟峰,黃啟峰,總經理,陳澤輝,06-5110123,67/08/29,94/01/31,新台幣 10.0000元,5919312430,591931243,60000000,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號B1,資誠聯合會計師事務所,林姿妤,林永智,Solar,"No.1, Gongye 3rd Rd., Annan Dist,Tainan City 70955, Taiwan (R.O.C.)",06-3843216,cf.huang@solartech.com.tw,http://www.solartech.com.tw/tw/index.html,陳澤輝,副處長,06-5110123,shareholders@solartech.com.tw,http://www.solartech.com.tw/tw/responsibility_business_conduct.html
1,3067,全域股份有限公司,全域,其他電子業,－,台北市東興路59號9樓,04934334,譚鴻翔,王敏烈,林仕群,協理,沈碧琪,(02)8768-2628,62/11/22,92/10/21,新台幣 10.0000元,200000000,20000000,0,0,合併,每年,股東會,元大証券股份有限公司,(02)2586-5859,103台北市大同區承德路三段210號地下一樓,國富浩華聯合會計師事務所,潘金樹,周伯儒,Phonic,"9F, 59 Tung Hsing Road, Taipei, Taiwan",(02)2659-2359,ir@phonic.com,www.phonic.com,林仕群,協理,(02)2659-2166,alvinlin@phonic.com,www.phonic.com
2,3093,台灣港建股份有限公司,港建,其他電子業,－,桃園市蘆竹區南崁路2段66號5樓之4,04655310,何樹燦,廖豐瑩,廖豐瑩,總經理,陳梅芬,03-3529333,66/06/14,94/06/17,新台幣 10.0000元,362888940,36288894,0,0,合併,每年,董事會,永豐金證券股份有限公司,02-23816288,台北市中正區博愛路17號3樓,安永聯合會計師事務所,張志銘,徐榮煌,TKK,"5F-4 NO.66,SEC2.Nan Kan Road.Lu-Chu,Taoyuan,Taiwan,R.O.C",03-3524566,Nina_Lin@tkk.com.tw,www.tkk.com.tw,陳梅芬,管理部資深副總,+88633529332 #320,May_Chen@tkk.com.tw,www.tkk.com/website/finance/website/financeD2.asp
3,3131,弘塑科技股份有限公司,弘塑,其他電子業,－,30095新竹市香山區中華路六段89號,84355899,張鴻泰,石本立,黃富源,副總經理,張鴻泰,03-5183030,82/05/07,100/01/17,新台幣 10.0000元,292160150,29216015,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-2702-3999,106台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,李典易,謝智政,GPTC,"No.89, Sec. 6, Zhonghua Rd., Xiangshan Dist.,Hsinchu City 30095, Taiwan (R.O.C.)",03-5183560,invest@gptc.com.tw,http://www.gptc.com.tw/,莊凱吉,經理,03-5183030 ext.2002,invest@gptc.com.tw,http://www.gptc.com.tw/tw/qa
4,3219,倚強科技股份有限公司,倚強科,其他電子業,－,臺北市大安區和平東路3段63號12樓,86865138,張明杰,張明杰,吳聲皜,財務長,王皓正,(02)2658-2068,81/09/04,93/03/19,新台幣 10.0000元,702839680,70283968,59560757,0,合併,每年,股東會,永豐金證券股份有限公司股務部,(02)2381-6288,臺北市中正區博愛路17號 3 樓,勤業眾信聯合會計師事務所,謝明忠,陳慧銘,Aethertek,"12F., No. 63, Sec. 3, Heping E. Rd. Da'an Dist., Taipei City ,Taipei,Taiwan (R.O.C.)",(02)2658-2098,contact@aether-tek.com,https://www.aether-tek.com/,吳聲皜,財務長,(02)2658-2068,contact@aether-tek.com,https://www.aether-tek.com/
5,3285,微端科技股份有限公司,微端,其他電子業,－,新北市汐止區康寧街169巷31號12樓,89649873,楊賢增,魯景岱,楊宗達,業務副總,郭仲銓,(02)2692-3889,84/07/27,101/07/23,新台幣 10.0000元,427353240,42735324,0,0,合併,每年,股東會,日盛證券股份有限公司,(02)25419977,台北市中山區南京東路二段85號7樓,勤業眾信聯合會計師事務所,李麗凰,翁博仁,MT,"12Fl, No31, Lane169, Kang Ning St.,Xizhi, New Taipei City , Taiwan, R.O.C.",(02)2695-8625,sky@microtips.com.tw,www.microtips.com.tw,楊宗達,業務副總,0226953133,maurice@microtips.com.tw,http://www.microtips.com.tw/contact/contact.php?lang=zh-TW
6,3289,宜特科技股份有限公司,宜特,其他電子業,－,新竹市埔頂路22號1樓,89845410,余維斌,余維斌,林榆桑,財務長,邱鈺婷,(03)5799909,83/09/09,93/12/28,新台幣 10.0000元,797751210,79775121,600000,0,合併,每季,董事會,兆豐證券股務代理部,(02)3393-0898,台北市忠孝東路二段九十五號一樓,勤業眾信聯合會計師事務所,黃裕峰,蔡美貞,IST,"1F,NO.22,Pu-ding Rd.,Hsin-Chu City, Taiwan, R.O.C",(03)6662793,ir@istgroup.com,www.istgroup.com,林榆桑,財務長,03-5799909#1888,selina_lin@istgroup.com,www.istgroup.com
7,3303,岱稜科技股份有限公司,岱稜,其他電子業,－,台南市麻豆區麻豆口1-13號,23842911,蔡國龍,李顯昌,李怡君,財務處處長,王淑瀅,06-5703853,79/08/29,96/05/28,新台幣 10.0000元,940906070,94090607,0,0,合併,每年,董事會,福邦證券股務代理部,02-2371-1658,台北市中正區忠孝西路一段6號6樓,安永聯合會計師事務所,黃世杰,李芳文,UNIVACCO,"No.1-13, Madoukou, Madou Dist.Tainan City 721, Taiwan (R.O.C.)",06-5702195,ir@univacco.com,https://www.univacco.com/tw/,李怡君,財務處處長,06-5703853#1338,ir@univacco.com,https://www.univacco.com/tw/csr_ip.php
8,3324,雙鴻科技股份有限公司,雙鴻,其他電子業,－,新北市新莊區五權三路6號3樓,16619628,林育申,林育申,顏珮旭,會計主管,黃意婷,02-89901653,87/08/24,94/05/13,新台幣 10.0000元,883940920,88394092,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,徐永堅,吳漢期,AURAS,"No.6,3F,Wu-Chun 3rd Road,Hsinchuang DistrictNew Taipei City, Taiwan",02-89904129,Sidney_Yen@auras.com.tw,http://www.auras.com.tw,顏珮旭,會計主管,02-89901653,Sidney_Yen@auras.com.tw,https://www.auras.com.tw/zh-hant/node/250
9,3373,熱映光電股份有限公司,熱映,其他電子業,－,新竹科學園區新竹縣工業東九路三號一樓,70590078,周至元,黃幼謙,謝儀孝,稽核副理,王元文,03-6111666,89/06/28,96/12/13,新台幣 10.0000元,432898010,43289801,0,0,合併,每年,股東會,兆豐證券股份有限公司股務代理部,02-33930898,台北市忠孝東路二段95號1樓,勤業眾信聯合會計師事務所,林文欽,劉建良,Radiant,"1F,NO.3,Industrial E. 9th Rd., Science-Based Industrial ParkHsinChu,Taiwan ,R.O.C.",03-5644170,roberthsieh@radiantek.com.tw,Http://www.radiantek.com.tw,謝儀孝,稽核副理,03-6111666,roberthsieh@radiantek.com.tw,http://www.radiantek.com.tw/investment/investment_c.asp
