,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2926,誠品生活股份有限公司,誠品生活,文化創意業,－,台北市信義區松德路204號B1,27952966,吳旻潔,吳旻潔,吳立傑,財務長,鄭書欣,(02)6638-5168,94/09/26,102/01/30,新台幣 10.0000元,473896500,47389650,0,0,合併,每年,董事會,元大證券(股)公司股務代理部,02-2586-5859,台北市大同區承德路三段210號B1,資誠聯合會計師事務所,張淑瓊,林鈞堯,Eslite Spectrum,"B1,204, Songde RdTaipei 11075, Taiwan",(02)6638-5268,ir@eslite.com,http://www.eslitespectrum.com.tw,鄭書欣,資深經理,(02)6638-5168,ir@eslite.com,http://www.eslitespectrum.com.tw/content.aspx?s=Stakeholder
1,3064,泰偉電子股份有限公司,泰偉,文化創意業,－,新北市三重區興德路111-1號10樓,70613972,楊南平,楊南平,楊南平,總經理,李發珍,(02)85110555,89/08/02,93/06/09,新台幣 10.0000元,267384250,26738425,3815000,0,合併,每年,股東會,元富證券股份有限公司,(02)27686668,台北市松山區光復北路11巷35號地下一樓,安永聯合會計師事務所,謝勝安,徐榮煌,Astro Corp.,"10F,No.111-1,Hsing De Rd.,Sanchong Dist New Taipei City , Taiwan (R.O.C.)",(02)85110556,astro3064@astrocorp.com.tw,www.astrocorp.com.tw,暫缺,暫缺,(02)8511-0555#135,vacancy,http://www.astrocorp.com.tw/cht/IR_5.php
2,3083,中華網龍股份有限公司,網龍,文化創意業,－,台北市南港區南港路三段四十七巷二號四樓,70541704,王俊博,呂學森,呂學森,總經理,江采琳,02-2652-2689,89/03/28,92/12/02,新台幣 10.0000元,862526080,86252608,0,0,合併,每年,股東會,永豐金證券股份有限公司,02-2381-6288,台北市博愛路十七號三樓,勤業眾信聯合會計師事務所,林旺生,陳盈州,CHINESEGAMER,"4F,2,Lane 47,Sec.3,Nangang Rd.Taipei,Taiwan,R.O.C.",02-2653-8905,investment@chinesegamer.net,www.chinesegamer.net,江采琳,財務長,02-26522689,investment@chinesegamer.net,WWW.CHINESEGAMER.NET
3,3086,華義國際數位娛樂股份有限公司,華義,文化創意業,－,台北市內湖區行愛路141巷39號6樓,84453385,張協建,張協建,李俊德,財務長,余宣蒂,55590070,82/08/12,93/03/29,新台幣 10.0000元,193694000,19369400,12532800,0,合併,每年,董事會,台新證券股務代理部,02-2504-8125,台北市建國北路一段96號B1,勤業眾信聯合會計師事務所,池瑞全,郭乃華,WAYI,"6F., No. 39, Ln. 141, Xing'ai Rd., Neihu Dist., Taipei City , TaiwanTaipei, Taiwan",55590095,investment@wayi.com.tw,www.wayi.net,李俊德,財務長,55590070,investment@wayi.com.tw,www.wayi.net
4,3293,鈊象電子股份有限公司,鈊象,文化創意業,－,新北市五股區五工路130號,23519738,李柯柱,江順成,江順成,總經理,陳阿見,(02)22995048,78/11/10,95/07/12,新台幣 10.0000元,704503900,70450390,0,0,合併,每年,股東會,群益金鼎證券(股)公司,(02)2702-3999,台北市大安區敦化南路二段97號B2,勤業眾信聯合會計師事務所,張敬人,李東峰,IGS,"No.130, Wugong Rd., Wugu Dist.,New Taipei City 248, Taiwan (R.O.C.)",(02)22901394,milkliu@igs.com.tw,www.igs.com.tw,陳阿見,總經理,0222995048#1300,vickysung@igs.com.tw,https://www.igs.com.tw/investors/
5,3546,宇峻奧汀科技股份有限公司,宇峻,文化創意業,－,新北市中和區建八路2號17樓之8,89521257,劉信,劉信,葉文燦,管理處協理,方麗惠,02-82269989,84/05/19,97/04/18,新台幣 10.0000元,481775480,48177548,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)27035000,(106大安區)台北巿敦化南路2段97號B2,勤業眾信會計師事務所,黃毅民,林宜慧,USERJOY,"17F.-8, No.2, Jian 8th Rd.,Jhonghe District, New Taipei City,Taiwan",02-82269918,paulyeh@uj.com.tw,https://www.uj.com.tw/,葉文燦,管理處協理,02-82269989,ir@uj.com.tw,http://www.userjoy.com.tw/index.aspx#stakeholder/h/e01
6,3629,地心引力股份有限公司,地心引力,文化創意業,－,臺北市松山區健康路156號2樓,12898395,陳寬聰,陳寬聰,蕭勝原,管理中心副總經理,吳麗蘭,02-27601859,90/09/11,99/05/27,新台幣 10.0000元,337024550,33702455,24768248,0,合併,每季,董事會,永豐金證券股份有限公司,(02)2381-6288,台北市博愛路17號3樓,安侯建業聯合會計師事務所,林恒昇,陳政學,Gravitytai,"2F., No. 156, Jiankang Rd., Songshan Dist.,Taipei city 10586, Taiwan (R.O.C.)",02-27470976,patrickgt@gravitytw.com,www.gravitytw.com,蕭勝原,管理中心副總經理,02-27601859,patrickgt@gravitytw.com,www.gravitytw.com
7,4806,昇華娛樂傳播股份有限公司,昇華,文化創意業,－,台北市內湖區行愛路176號4樓,70557661,王貴戊,俞惟中,洪俊舉,財務經理,利爾祥,02-2795-5112,89/05/09,105/03/09,新台幣 10.0000元,491941850,49194185,17370000,0,合併,每年,股東會,元大證券股份有限公司,02-2586-5859,103台北市大同區承德路三段210號B1.B2,卓群聯合會計師事務所,曾友龍,葉璨增,Shec,"4F., No.176, Sing'ai Rd., Neihu Dist.,Taipei City Taiwan(R.O.C)",02-2795-5113,jane.na@shec.com.tw,http://www.shec.com.tw/,洪俊舉,財務經理,02-2795-5112,george.hong@shec.com.tw,www.shec.com.tw/
8,4946,紅心辣椒娛樂科技股份有限公司,辣椒,文化創意業,－,台北市內湖區瑞光路583巷31號3樓,28222209,鄧潤澤,李亦華(執行長),蕭雅馨,行銷長,洪麗惠,02-8751-1699,95/09/21,100/06/10,新台幣 10.0000元,136603980,13660398,0,0,合併,每年,股東會,統一綜合證券(股)公司股務代理部,02-2746-3797,台北市松山區東興路8號B1,勤業眾信聯合會計師事務所,邵志明,黃惠敏,Cayenne Tech,"3F, No31,Lane 583,Rueiguang Rd,Neihu District,Taipei 11492,Taiwan",02-8797-1717,ct@cayennetech.com.tw,http://www.wasabii.com.tw/,蕭雅馨,行銷長,8751-1699,ct@cayennetech.com.tw,www.cayennetech.com.tw/CT_investment/Earnings/Quarterly.shtml
9,5263,智崴資訊科技股份有限公司,智崴,文化創意業,－,高雄市前鎮區復興四路9號,13158496,歐陽志宏,歐陽志宏,歐陽志宏,總經理,林穗娟,07-5372869,90/10/30,101/12/18,新台幣 10.0000元,573640750,57364075,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路1段96號地下一樓,勤業眾信聯合會計師事務所,吳秋燕,郭麗園,BROGENT,"No.9, Fuxing 4th Rd., Qianzhen Dist.,Kaohsiung City 806, Taiwan",07-5370189,stock@brogent.com,www.brogent.com/,鄭仰涵,高級專員,07-5372869,carrie_cheng@brogent.com,www.brogent.com/
