,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,4401,東隆興業股份有限公司,東隆興,紡織纖維,－,新北市板橋區三民路二段31號19樓,18770509,游志成,游榮利,彭武譽,稽核室協理,陳泰成,(02)2961-2112,50/08/14,85/05/09,新台幣 10.0000元,1202862860,120286286,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,大師聯合會計師事務所,謝婉麗,游淑琴,TLOONG,"19FL, NO.31, SEC2 SAN MING RD, PANCHIAO DIST., NEWTAIPEI CITY , TAIWAN",2954-1028,mickey@tloong.com.tw,http://www.tloong.com.tw,彭武譽,稽核室協理,(02)2961-2112,stock@tloong.com.tw,http://www.tloong.com.tw
1,4402,福大材料科技股份有限公司,福大,紡織纖維,－,台中市梧棲區四維中路157巷一號一樓,56349214,楊燈雄,楊燈雄,楊燈雄,董事長,何子龍,04-26393256,59/04/03,86/07/23,新台幣 10.0000元,459918300,45991830,0,0,合併,每年,董事會,福邦證券股份有限公司,02-2181-2688,台北市中正區忠孝西路一段6號6樓,卓群聯合會計師事務所,葉璨增,曾友龍,FU TA,"1F., NO.1, LN. 157, SIWEI CENTRAL RD., WUQI DIST.,TAICHUNG CITY, TAIWANG (R.O.C.)",04-26391759,futa@fu-ta.com.tw,www.fu-ta.com.tw,何子龍,特助,04-26393256,larryho658@fu-ta.com.tw,www.fu-ta.com.tw
2,4406,新昕纖維股份有限公司,新昕纖,紡織纖維,－,台北市長安西路289號10樓之4,7652202,莊育霖,莊晉嘉,莊晉嘉,總經理,莊婷媜,2552-5757,69/04/29,88/01/14,新台幣 10.0000元,519120000,51912000,0,0,個別,每年,股東會,群益金鼎證券股份有限公司,(02)2702-3999,台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,梅元貞,李(禾方)儀,HSIN-SIN,"ROOM 4. 10TH FL . NO.289CHANG-AN W. RD., TAIPEI TAIWAN",2550-4492,jchuang@hsinsin.com.tw,www.hsinsin.com.tw,莊婷媜,管理部經理,02-25525757,alice.chuang@hsinsin.com.tw,www.hsinsin.com.tw
3,4413,飛寶企業股份有限公司,飛寶企業,紡織纖維,－,台北市中山區南京東路二段二號六樓,22676914,林資明,黃鈺翔,黃鈺翔,總經理,林資明,(02)25637238,76/10/30,88/07/29,新台幣 10.0000元,313146890,31314689,20950000,0,個別,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,廣信益群聯合會計師事務所,黃健豪,彭綉娟,EST,"6F., No.2, Sec. 2, Nanjing E. Rd., Zhongshan Dist.,Taipei, Taiwan, R.O.C.",(02)25637236,g901228@estga.com,www.estga.com,黃鈺翔,總經理,0225637238,dh0207@estga.com,http://www.estga.com/service_4.html
4,4417,金洲海洋科技股份有限公司,金洲,紡織纖維,－,屏東縣新園鄉港西村興安路12號,91871595,陳加仁,陳加仁,羅國榮,協理,陳雪音,(07)535-2939,62/12/24,89/11/07,新台幣 10.0000元,839713990,83971399,0,0,合併,每年,股東會,凱基證券股份有限公司,(02)2389-2999,台北市重慶南路一段2號4樓,勤業眾信聯合會計師事務所,江佳玲,廖鴻儒,KING CHOU,"23-2F No. 2, Chungshan 2nd Road,Kaohsiung, Taiwan R.O.C 80603",(07)535-2936,kingnet@mail.king-net.com.tw,http://www.king-net.com.tw,羅國榮,協理,(07)535-2939,finance@mail.king-net.com.tw,http://www.king-net.com.tw/tw/stakeholder.html
5,4419,元勝國際實業股份有限公司,元勝,紡織纖維,－,彰化縣北斗鎮拓農路199號,86124493,啟基投資股份有限公司,謝瑞王+民,鐘福連,管理部協理,杜宜庭,04-8883072,80/09/07,90/06/26,新台幣 10.0000元,465789170,46578917,31850000,0,合併,每年,股東會,群益金鼎證券股務代理部,(02)2702-3999,台北市大安區敦化南路二段97號B2,立本台灣聯合會計師事務所,張宜鈞,程建憲,ESG,"No.199, Tuonong Rd., Beidou TownshipChanghua County 521, Taiwan (R.O.C.)",04-8871815,l1254785@ms27.hinet.net,www.ensureglobal.com.tw,杜宜庭,稽核經理,04-8883072#180,ting@ensureglobal.com.tw,http://www.ensureglobal.com.tw/msgc6b5.html?mid=4&cid=4&lg=T&lg=T
6,4420,光明絲織廠股份有限公司,光明,紡織纖維,－,台北市內湖區瑞光路607號7樓,29576307,詹正田,李業振,李業振,總經理,劉筱君,(02)2657-5859,55/06/22,91/04/18,新台幣 10.0000元,404550000,40455000,0,0,個別,每年,董事會,福邦證券股份有限公司,(02)2371-1658,10041台北市中正區忠孝西路一段6號6樓,安侯建業聯合會計師事務所,張淑瑩,池世欽,Kwang Ming,"7F., No.607, Ruiguang Rd., Neihu Dist.,Taipei City 114698, Taiwan (R.O.C.)",(02)8797-8898,kwmgco@ms35.hinet.net,www.kwangming.com,李業振,發言人,(02)2657-5859,294568@kwangming.com,http://www.kwangming.com/email/email01.htm
7,4429,聚紡股份有限公司,聚紡,紡織纖維,－,桃園市觀音區樹林里工業六路3號,16728098,陳國欽,蔡秋雄,莊宏儒,副總經理,邱秋蘭,(03) 438-9538,88/01/08,99/09/15,新台幣 10.0000元,343500000,34350000,0,0,合併,每年,股東會,台新證券股務代理部,(02)2504-8125,台北市建國北路一段96號B1,資誠聯合會計師事務所,葉翠苗,吳郁隆,G-FUN,"No.3, Gongye 6th Rd., Guanyin District,Taoyuan City, Taiwan",(03) 483-8520,g-fun@gtex.com.tw,www.gtex.com.tw,莊宏儒,副總經理,(03) 438-9538分機210,billy.chuang@gtex.com.tw,http://www.gtex.com.tw/tw/stakeholder.aspx
8,4432,銘旺實業股份有限公司,銘旺實,紡織纖維,－,新北市五股區中興路一段6號9樓之5,22069170,陳盈璇,呂清裕,溫玉菁,財會經理,從缺,(02)8976-9056,75/02/15,101/11/26,新台幣 10.0000元,505890000,50589000,0,0,合併,每年,股東會,永豐金證券股務代理部,(02)2381-6288,(100)台北市博愛路17號3樓,資誠聯合會計師事務所,黃金連,支秉鈞,Haksport,"9F-5, No. 6, Sec.1, Jung-shing RD., Wugu DistrictNew Taipei City 248, Taiwan",(02)8976-9431,IR@haksport.com,http://www.haksport.com/,溫玉菁,財會經理,(02)8976-9056,IR@haksport.com,http://www.haksport.com/
9,4433,興采實業股份有限公司,興采,紡織纖維,－,新北市新莊區五權二路10號1樓,23282425,陳國欽,黃松筠,王淑芬,副總經理,吳燕昇,02-85127888,78/03/14,103/11/03,新台幣 10.0000元,468051640,46805164,0,0,合併,每年,股東會,凱基證券股份有限公司,02-2389-2999,台北市重慶南路一段2號5樓,資誠聯合會計師事務所,吳郁隆,王方瑜,Singtex,"No.10, Wuquan 2nd Rd.,Xinzhuang Dist., New Taipei City 24892,",02-22989888,spokesman@singtex.com,www.singtex.com,王淑芬,副總經理,02-85127888,alice@singtex.com,http://www.singtex.com/TW/press/?type=200&cid=29
10,6506,雙邦實業股份有限公司,雙邦,紡織纖維,－,南投縣南投市南崗工業區永興路3號,23531297,張崇棠,許瑜娟,許瑜娟,總經理,林敏珠,049-2257450,78/11/17,100/05/03,新台幣 10.0000元,823608260,82360826,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號B2,維揚聯合會計師事務所,柯俊禎,王子揚,SBI,"NO.3, Yongsing Road, Nantou City, Nantou County 540, Taiwan, R. O. C.",049-2257436,contact@sbinet.com.tw,http://www.shuang-bang.com/index.html,林敏珠,財務主管,049-2257450#301,nitalin@sbinet.com.tw,http://www.shuang-bang.com/stake.html
