,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1570,力肯實業股份有限公司,力肯,電機機械,－,新北市八里區博物館路81號,36253534,溫銘漢,溫銘漢,溫銘漢,董事長兼總經理,柯維祥,(02)2619-5619,72/12/23,94/06/30,新台幣 10.0000元,515008390,51500839,0,0,合併,每年,股東會,元富證券股份有限公司股務代理部,(02)2768-6668,105台北市松山區光復北路11巷35號B1,勤業眾信聯合會計師事務所,方涵妮會計師,楊清鎮會計師,De Poan,"NO.81, MUSEUM ROADBa-Li District, New Taipei City, Taiwan",(02)2619-5618,wilson-ko@depoan.com,www.depoan.com,柯維祥,總管理處協理,(02)2619-5619,wilson-ko@depoan.com,http://www.depoan.com/about_03.php
1,1580,新麥企業股份有限公司,新麥,電機機械,－,新北市五股區五權六路23號,12461082,謝順和,謝順和,黃宇彤,財務長,翁麗勉,02-22981148,72/09/27,96/12/10,新台幣 10.0000元,502302420,50230242,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號B1,勤業眾信聯合會計師事務所,陳薔旬,陳招美,SINMAG,"No.23, Wuquan 6th Rd., Wugu Dist.New Taipei City , Taiwan (R.O.C.)",02-22981718,sinmag.tw@sinmag.com.tw,www.sinmag.com.tw,黃宇彤,財務長,02-22981148,sinmag.tw@sinmag.com.tw,http://www.sinmag.com.tw/tzrzq_list/interested-area.html
2,1586,和勤精機股份有限公司,和勤,電機機械,－,彰化縣伸港鄉興工路40號,86985605,黃亦翔,黃亦翔,黃湘怡,集團副總經理,陳益莊,04-7980339,81/11/09,101/01/09,新台幣 10.0000元,858419540,85841954,0,0,合併,每年,董事會,福邦證券股份有限公司,02-23711658,台北市中正區忠孝西路一段6號6樓,安侯建業聯合會計師事務所,陳宗哲,陳國宗,CFTC,"No. 40, Xinggong Rd., Shengang Township,Changhua County 509, Taiwan (R.O.C.)",04-7980329,service@cftc.tw,http://www.cftc.tw,黃湘怡,集團副總經理,04-7980339,gloria@cftc.tw,http://www.cftc.tw
3,1591,英屬開曼群島商駿吉控股(股)公司,駿吉-KY,電機機械,KY 開曼群島,"P.O. B 10240, 4th Floor, Harbour Place, 103 South Church St.",53650116,江文洲,江文洲,張志豪,財會主管,陳瑞春,+60-6-6779543,98/11/19,101/03/23,新台幣 10.0000元,331648070,33164807,0,0,合併,每半會計年度,董事會,第一金證券股份有限公司,(02)25635711,台北市大安區安和路一段27號六樓,安永聯合會計師事務所,謝勝安,王彥鈞,INMAX,"2F., No.25, Liao Yang 1 St. Beitun Dist.Taichung City 40667, Taiwan (R.O.C.)",+60-6-6793008,ky1591@inmax-fasteners.com,Http://www.inmax-fasteners.com,高靖宜,行政辦公室人員,04-2297-6318,ky1591@inmax-fasteners.com,www.inmax-fasteners.com
4,1599,宏佳騰動力科技股份有限公司,宏佳騰,電機機械,－,台南市山上區南洲里南洲41號,80621419,鍾杰霖,鍾杰霖,林佳慧,經理,胡春慧,06-5783988,92/12/25,101/12/25,新台幣 10.0000元,745287640,74528764,0,0,合併,每年,董事會,統一綜合證券股份有限公司,02-27463797,臺北市松山區東興路8號B1,資誠聯合會計師事務所,田中玉,林永智,AEON,"No.41,Nanzhou,Shanshang Dist.,Tainan City 74342,Taiwan(R.O.C.)",06-5783136,aeon@aeonmotor.com.tw,www.aeonmotor.com,林佳慧,經理,06-5783988,aeon@aeonmotor.com.tw,http://www.aeonmotor.com.tw/Shareholdercheck.php
5,2066,世德工業股份有限公司,世德,電機機械,－,高雄市大寮區(831)大發工業區華西路20號,22546808,陳光裕,吳森富,陳怡樺,財務主管,黃雅鈴,07-7889168,77/01/29,102/09/24,新台幣 10.0000元,365028700,36502870,0,0,合併,每半會計年度,董事會,台新綜合證券(股)公司股務代理部,02-25048125,台北市中山區建國北路一段96號B1,安侯建業聯合會計師事務所,陳國宗,許振隆,SUMEEKO,"No.20,HuaxiRd.,Ta-Fa Industrial Dist.Kaohsiung County 831 Taiwan,R.O.C.",07-7887868,invest@sumeeko.com,www.sumeeko.com,陳怡樺,財務主管,07-7889168,invest@sumeeko.com,www.sumeeko.com
6,2067,嘉鋼精密工業股份有限公司,嘉鋼,電機機械,－,(62155)嘉義縣民雄鄉民雄工業區成功二街21號,66402912,曹光照,曹恆健,曹恆健,總經理,蕭景淑,(05)2211411,63/04/11,103/05/26,新台幣 10.0000元,451381770,45138177,0,0,合併,每年,董事會,華南永昌綜合證券股份有限公司,(02)2718-6425,10574 台北市民生東路四段54號4樓,勤業眾信聯合會計師事務所,江佳玲,許凱甯,CYSTEEL,"21 Chenggong 2nd St. Minxiong Township,Chia Yi County, Taiwan",(05)2208033,abby@cysteel.com.tw,http://www.cysteel.com.tw/,曹恆健,總經理,(05)2211411,eric@cysteel.com.tw,http://www.cysteel.com.tw/chstake.html
7,2070,精湛光學科技股份有限公司,精湛,電機機械,－,高雄市湖內區忠孝街110巷58號,89855649,吳俊男,吳俊男,徐世恩,財務部經理,吳虹臻,07-6937937,83/09/21,107/12/17,新台幣 10.0000元,357828000,35782800,0,0,合併,每年,股東會,福邦證券股份有限公司,02-2383-6888,台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,田中玉,林姿妤,Ching Chan,"No. 58,Lane 110,Zhongxiao St.,Hu-Nei Dist., Kaohsiung City 82945,TaiwanKaohsiung 82945, Taiwan",07-6937772,ccm@ccm3s.com,http://www.ccm3s.com/,徐世恩,財務部經理,07-6937937,ccm@ccm3s.com,http://www.ccm3s.com/
8,2230,泰茂實業股份有限公司,泰茂,電機機械,－,(72046)台南市官田區二鎮里實踐街10號,86070187,呂萬賢,呂萬傑,呂萬傑,總經理,廖啟財,06-6991235,80/02/06,102/04/18,新台幣 10.0000元,399131940,39913194,0,0,合併,每年,股東會,兆豐證券股份有限公司,(02)3393-0898,臺北市忠孝東路二段95號8樓,勤業眾信聯合會計師事務所,王騰葦,廖鴻儒,C.T.I.,"10 Shih Chien Street Kuan Tien Industrial ParkTainan City 720, Taiwan (R.O.C.)",06-6990675,cti@ctico.com.tw,http://www.ctico.com.tw/,廖啟財,財務主管,06-6991235#210,cti-30@ctico.com.tw,http://www.ctico.com.tw/style/frame/templates11/factory.asp?lang=1&customer_id=1892&content_set=colo
9,2235,謚源實業股份有限公司,謚源,電機機械,－,33378桃園市龜山區大華里頂湖路24號,22479934,吳碣石,吳碣石,王妤暄,發言人,吳哲瑋,(03)3973868,76/04/16,103/12/15,新台幣 10.0000元,358780000,35878000,0,0,個別,每年,股東會,統一證券股份有限公司股務代理部,(02)27478266,台北市松山區東興路8號B1樓,安永聯合會計師事務所,蕭翠慧,許新民,I YUAN,"No.24,Dinghu Rd.,Guishan TownshipTaoyuan County,Taiwan(R.O.C.)",(03)3973199,florence@tiy-motor.com.tw,www.tiy-motor.com,張芳鳴,財務長,(03)3973868,florence@tiy-motor.com.tw,http://www.tiy-motor.com/webls-zh-tw/msg/Investors.html
