,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1565,精華光學股份有限公司,精華,生技醫療業,－,新北市汐止區大同路一段276之2號4、5樓,22195654,陳明賢,周育然,周華玲,稽核室副理,林雅蘋,(02)8691-6000,75/09/24,93/03/30,新台幣 10.0000元,504165160,50416516,0,0,合併,每年,股東會,元大證券股務代理部,(02)2586-5859,台北市大同區承德路三段210號 B1,資誠聯合會計師事務所,鄧聖偉,游淑芬,St.Shine,"4, 5F, No. 276-2, Sec. 1, Ta Tung Rd,,Hsi Chih Dist., New Taipei City, Taiwan",(02)2647-9369,s0505@stshine.com.tw,http://www.stshine.com.tw,周華玲,稽核室副理,(02)2647-1578,s0505@stshine.com.tw,http://www.stshine.com.tw
1,1593,祺驊股份有限公司,祺驊,生技醫療業,－,新竹縣湖口鄉德興路231號,97432341,李佳蓉,李穎哲,黃寧民,財務部副總經理,連子瑞,03-6992860,86/03/15,101/06/13,新台幣 10.0000元,352275330,35227533,0,0,合併,每年,股東會,富邦綜合證券(股)公司股務代理部,02-23611300,台北市許昌街17號2樓,勤業眾信聯合會計師事務所,施錦川,邱鏞銘,CHI HUA,"No. 231 , Dexing Rd.HuKou Township , Hsinchu County,Taiwan",03-5906393,ir@chihua.com.tw,http://www.chihua.com.tw,黃寧民,財務部副總經理,03-6992860#260,ir@chihua.com.tw,http://www.chihua.com.tw
2,1742,台灣蠟品股份有限公司,台蠟,化學工業,－,嘉義縣民雄工業區中正路一號,22625269,林哲印,傅振祥,傅振祥,總經理,廖振淵,05-2219180,76/08/13,93/05/14,新台幣 10.0000元,815500000,81550000,40088905,0,合併,每年,股東會,康和綜合證券股份有限公司,02-87871118,台北市信義區基隆路一段176號B1,霈昇聯合會計師事務所,林憲章,王新元,TWC,"1,CHUNG CHENG ROAD,MINHSIUNG INDUSTRIAL PARK　CHIAYI TAIWAN REP.OF CHINA",05-2130645,twx6688@ms26.hinet.net,http://www.wax.com.tw/,廖振淵,財務主管,05-2219180,yc@wax.com.tw,http://www.wax.com.tw/
3,1752,南光化學製藥股份有限公司,南光,生技醫療業,－,台南市新化區中山路1001號,69275313,陳立賢,王玉杯,蔡文泳,處長,陳本忠,06-5984121,62/08/20,98/08/10,新台幣 10.0000元,1009884720,100988472,0,0,合併,每年,股東會,日盛證券股份有限公司,02-25419977,台北市中山區南京東路二段85號7F,資誠聯合會計師事務所台南所,田中玉,林姿妤,NANG KUANG,"1001, CHUNG SHAN ROAD, SINHUA CHEN TAINAN HSIEN , TAIWAN , R.O.C",06-5981845,nkcp@ms15.hinet.net,http://www.nangkuang.com.tw,蔡文泳,處長,(06)5984121#2286,steventsai@nangkuang.com.tw,www.nangkuang.com.tw
4,1777,生泰合成工業股份有限公司,生泰,生技醫療業,－,台南市新營區開元路168號,72197621,蕭振明,蕭振明,蕭振明,董事長,莊美琪,06-6362121~3,71/11/09,94/10/19,新台幣 10.0000元,400595500,40059550,0,0,個別,每年,股東會,元大證券股份有限公司股務代理部,(02)2586-5859,103台北市大同區承德路3段210號B1,資誠聯合會計師事務所,田中玉,劉子猛,SYN-TECH,"No.168 Kai Yuan Rd., Hsin Ying DistrictTainan City 73055, Taiwan, R.O.C",06-6351165,fc3@syn-tech.com.tw,http://www.syn-tech.com.tw,蕭振明,董事長,06-6362121~3,investor.relation@syn-tech.com.tw,http://www.syn-tech.com.tw
5,1781,合世生醫科技股份有限公司,合世,生技醫療業,－,新北市中和區建一路186號9樓,97304042,楊國和,李紹弘,李淑芬,財務處副總,沈瞬良,82271300,85/12/16,93/12/24,新台幣 10.0000元,474076050,47407605,0,0,合併,每年,股東會,中國信託商業銀行,02-66365566,台北市中正區重慶南路一段八十三號五樓,資誠聯合會計師事務所,徐明釧,支秉鈞,H&L,"9F.NO.186 Jian Yi Road Chung Ho CityTaipei,Taiwan",82271301,public@hlmt.com.tw,www.healthandlife.com.tw,李淑芬,財務處副總,82271300*18811,public@hlmt.com.tw,www.healthandlife.com.tw
6,1784,訊聯生物科技股份有限公司,訊聯,生技醫療業,－,台北市內湖區新湖一路36巷28號1樓,70836411,蔡政憲,康清原,康清原,總經理,楊志峰,(02)27951777,89/08/17,96/07/26,新台幣 10.0000元,496269240,49626924,0,0,合併,每半會計年度,董事會,中國信託商業銀行(股)公司代理部,(02)66365566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,黃珮娟,潘慧玲,BIONET CORP.,"1F,No.28, Ln. 36 , Xinhu 1st Rd.Neihu Dist.,Taipei City 11497, , Taiwan",(02)27938009,investment@BionetCorp.com,http://www.BionetCorp.com,劉佩怡,財務處協理,(02)27951777,Winnieliu@BionetCorp.com,https://www.bionetcorp.com/article?ac_id=32&ac_sub_id=35&a_id=39
7,1788,杏昌生技股份有限公司,杏昌,生技醫療業,－,新北市三重區重新路5段609巷2號8樓之2,23161816,李忠良,陳國師,李映芬,管理處副總經理,張耀元,6626-1166,78/02/13,98/07/20,新台幣 10.0000元,400288040,40028804,0,0,合併,每年,股東會,元富證券股份有限公司股務代理部,(02)2768-6668,台北市松山區光復北路11巷35號地下1樓,安侯建業聯合會計師事務所,于紀隆,林恒昇,HCI,"8F.2,NO.2,Ln.609,Sec.5,Chongxin Rd.,Sanchong Dist.,New Taipei City 24159,TaiwaR.O.C.",2995-3363,jerry_pon108@hiclearance.com.tw,www.hiclearance.com.tw,李映芬,管理處副總經理,6626-1166#510,nancy_lee@hiclearance.com.tw,www.hiclearance.com.tw
8,1799,易威生醫科技股份有限公司,易威,生技醫療業,－,新竹科學工業園區新竹市東區研發二路10號1樓,16570131,林翰飛,李艾平,吳雪君,財務協理,林翰飛,(03)666-9596,87/08/10,97/11/10,新台幣 10.0000元,1633796780,163379678,105862611,0,合併,每年,股東會,宏遠證券股份有限公司股務代理部,(02)2326-8818,臺北市大安區信義路四段236號3樓,資誠聯合會計師事務所,劉倩瑜,林玉寬,EASYWELL,"1F., No.10, Yanfa 2nd Road, Hsinchu Science ParkHsinChu 30076, TAIWAN(R.O.C)",(03)666-9697,spokesman@easywellbio.com,http://www.easywellbio.com,吳雪君,財務協理,03-6669596,spokesman@easywellbio.com,http://www.easywellbio.com
9,1813,寶利徠光學科技股份有限公司,寶利徠,生技醫療業,－,33759桃園市大園區南港里11鄰長發路406號,84449952,宋一新,李瑞賢,李瑞賢,總經理,陸芸平,03-3853934,82/09/22,98/08/04,新台幣 10.0000元,466355100,46635510,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27023999,台北市松山區敦化南路二段97號B2,勤業眾信聯合會計師事務所,鄭欽宗,陳彥君,Polylite,"No. 406, Changfa Rd., Dayuan Dist.Taoyuan City 33759, Taiwan R.O.C.",03-3863837,info@gialens.com.tw,http://www.gialens.com.tw,李瑞賢,總經理,03-3853934,rayLRS@gialens.com.tw,http://www.gialens.com.tw/index.asp?area=CSR&menu=CSR02
