,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,4431,敏成健康科技股份有限公司,敏成健康,其他,－,桃園市中壢區合圳北路二段545號,23883150,楊弘仁,楊弘仁,楊弘仁,總經理,林芳萸,03-4631317,79/08/06,100/08/30,新台幣 10.0000元,365355140,36535514,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,寇惠植,郭欣頤,Mytrex,"No.545, Sec. 2, Hezun N. Rd.Zhongli Dist., Taoyuan City , Taiwan",03-4638346,MEI0323@mytrex.com.tw,http://www.mytrex.com.tw,－,－,－,－,http://www.mytrex.com.tw/index.php?action=contact
1,5292,華懋科技股份有限公司,華懋,其他,－,桃園市中壢區中山路88號17樓,23492169,鄭石治,鄭石治,李賴明祝,副總經理,林國源,(03)4272889,78/09/21,109/01/07,新台幣 10.0000元,268000000,26800000,0,0,合併,每年,股東會,兆豐証券,(02)33930898,台北市中正區忠孝東路二段95號,勤業眾信聯合會計師事務所,李麗凰,陳慧銘,DTC,"17F., No. 88, Zhongshan RdZhongli Dist., Taoyuan City 320, Taiwan",(03)4272726,dtech@dtech.com.tw,http://www.dtech-group.com,－,－,－,－,http://www.dtech-group.com
2,6585,鼎基先進材料股份有限公司,鼎基,其他,－,高雄市小港區北林路8-1號,81486019,林勳臺,林勳臺,林庚賢,副總經理,黃彬禎,07-8070166,70/03/06,105/09/08,新台幣 10.0000元,615480000,61548000,0,0,合併,每年,董事會,第一金證券股份有限公司,02-25635711,台北市大安區安和路一段27號六樓,資誠聯合會計師事務所,廖阿甚,吳建志,DingZing,"No.8-1, Pei-Lin Road, Hsiao-Kang DistrictKaohsiung 81266 ,Taiwan",07-8071617,info@dingzing.com,http://www.dingzing.com,－,－,－,－,http://www.dingzing.com
3,6721,信實保全股份有限公司,信實,其他,－,新竹縣竹北市台元二街8號6樓之一,24210110,楊文榮,楊文榮,黃品瑜,協理,楊文榮,03-5535778,97/07/31,108/03/27,新台幣 10.0000元,200000000,20000000,0,0,合併,每年,股東會,第一金證券股務代理部,02-25635711,台北市大安區安和路一段27號六樓,勤業眾信聯合會計師事務所,黃惠敏,邵志明,Sincere group,"6F.-1, No.8, Taiyuan 2nd St.,Zhubei City,Hsinchu County 302082, Taiwan (R.O.C.)",03-5535779,Sincere @sincere-group.com.tw,http://www.sincere-group.com.tw,－,－,－,－,無
4,6723,傑智環境科技股份有限公司,傑智環境,其他,－,桃園市龍潭區高平里中豐路高平段8號,28139878,張豐堂,張豐堂,張豐堂,董事長兼總經理,陳慶裕,03-4716588,95/04/04,107/12/26,新台幣 10.0000元,205000000,20500000,0,0,合併,每年,股東會,凱基證券股份有限公司股務代理部,(02)2389-2999,台北市中正區重慶南路一段2號5樓,勤業眾信聯合會計師事務所,陳明煇,鍾鳴遠,JG,"NO.8 Gaopin Sec., Zhongfeng Rd., Longtan TownshipTaoyuan County 325 Taiwan , R.O.C",03-4710668,service@jgok.net,http://www.jgok.net,－,－,－,－,無
5,6731,啟坤科技股份有限公司,啟坤,其他,－,嘉義縣民雄鄉工業一路3號,04465819,莊宇龍,黃振騰,黃振騰,總經理,趙文綺,05-2212555,65/05/18,108/04/03,新台幣 10.0000元,419649190,41964919,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市中山區建國北路一段96號B1,安侯建業聯合會計師事務所,張字信,吳俊源,FST,"No. 3, Gongye 1st Rd., Minxiong TownshipChiayi County, Taiwan, R.O.C",05-2212434,public@fstshafts.com.tw,www.fstshafts.com.tw,－,－,－,－,www.fstshafts.com.tw
6,6764,亞洲教育平台股份有限公司,亞洲教育,其他,－,新北市三重區重新路5段609巷20號10樓之6、7,66662297,吳明錦,吳明錦,吳明錦,董事長兼總經理,朱振鰲,(02)6635-9908,106/08/07,108/11/25,新台幣 10.0000元,307920000,30792000,0,0,合併,每年,股東會,台新證券股務代理部,02-2504-8125,台北市中山區建國北路一段96號B1,安永聯合會計師事務所,涂嘉玲,傅文芳,Ace Edulink,"10F.-6, No. 20, Ln. 609, Sec. 5, Chongxin Rd., Sanchong Dist.,New Taipei City 241, Taiwan(R.O.C)",(02)2278-9667,service@ace-edulink.com,www.ace-edulink.com,－,－,－,－,
7,6771,平和環保科技股份有限公司,平和環保,其他,－,高雄市岡山區本工路6號,28371018,吳明陽,洪銘仁,陳義生,協理,劉靜怡,07-6233690,95/08/01,109/01/07,新台幣 10.0000元,291795000,29179500,0,0,合併,每年,股東會,福邦證券股份有限公司,02-23711658,台北市中正區忠孝西路一段6號6樓,安永聯合會計師事務所,李芳文,陳政初,PHET,"No.6, Bengong Rd.Gangshan Dist., Kaohsiung City Taiwan",07-6233726,-,http://www.pinghounion.com.tw,－,－,－,－,http://www.pinghounion.com.tw
8,6793,天力離岸風電科技股份有限公司,天力離岸,其他,－,台北市松山區民生東路三段131號3樓303室,24490436,吳坤達,蕭維成,林昱君,財務長,張勤,02-77337993,98/12/23,109/10/30,新台幣 10.0000元,650000000,65000000,0,0,個別,每年,股東會,富邦綜合證券股份有限公司,02-23611300,台北市中正區許昌街17號2樓之1,勤業眾信聯合會計師事務所,陳致源,方涵妮,TIENLI OFFSHORE,"Rm. 303,3F., No.131, Sec.3, Minsheng E. Rd.,Songshan Dist.Taipei City105,Taiwan",02-77997929,service@tien-li.com,https://www.tien-li.com/,－,－,－,－,https://www.tien-li.com/
