,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1271,晨暉生物科技股份有限公司,晨暉生技,生技醫療業,－,台北市內湖區行愛路139號,28708250,李家榮,潘佳岳,曾騰賢,副總經理,鄭元菖,(02)2792-9568,96/09/10,110/01/18,新台幣 10.0000元,331345940,33134594,0,0,合併,每年,股東會,富邦綜合證券(股)公司股務代理部,(02)2361-1300,台北市中正區許昌街17號2樓,資誠聯合會計師事務所,林雅慧,徐聖忠,SunWay,"No.139, Xing'ai Rd., Neihu DistrictTaipei City, Taiwan (R.O.C.)",(02)2792-9566,ir@sunway.cc,www.sunway.cc,－,－,－,－,www.sunway.cc
1,1780,立弘生化科技股份有限公司,立弘,生技醫療業,－,(106)台北市敦化南路二段71號13樓,12971536,楊正利,林清輝,楊幸慧,協理,楊子萱,27030209,90/12/25,99/04/29,新台幣 10.0000元,951518320,95351340,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,27023999,台北市敦化南路二段97號B2,資誠聯合會計師事務所,徐聖忠,林雅慧,ABC,"13TH FL.,NO71 SEC.2 TUN-HWA SOUTH ROAD.TAIPEI.10682 TAIWAN, R.O.C",27030289,eyang@altratene.com,www.altratene.com,－,－,－,－,無
2,3184,微邦科技股份有限公司,微邦,生技醫療業,－,桃園市八德區茄苳里1鄰茄苳路756號,97454724,李欣,劉天來,劉天來,總經理,洪珮瑩,(03)376-7555,86/05/12,102/04/18,新台幣 10.0000元,802745000,80274500,29700000,0,合併,每年,股東會,凱基證券股份有限公司,(02)2389-2999,台北市重慶南路一段2號5樓,安永聯合會計師事務所,余倩如,陳智忠,MBTC,"No.756, Jiadong Rd.Bade Dist, Taoyuan City, Taiwan",(03)376-7557,mktcom@microbase.com.tw,www.microbase.com.tw,－,－,－,－,www.microbase.com.tw
3,4117,普生股份有限公司,普生,生技醫療業,－,(30076)新竹科學園區創新一路6號,47299918,林宗慶,林孟德,林孟德,總經理,曹恩榮,(03)5779221,73/06/11,91/07/04,新台幣 10.0000元,598243700,59824370,10000000,0,合併,每年,股東會,第一金證券股份有限公司,02-25635711,臺北市大安區安和路一段27號六樓,資誠聯合會計師事務所,江采燕,林玉寬,GBC,"#6,INNOVATION FIRST ROAD,SCIENCE-BASED PARK,HSIN CHU,TAIWAN,R.O.C",(03)5779227,frank.lin@gbc.com.tw,www.gbc.com.tw,－,－,－,－,www.gbc.com.tw
4,4132,國鼎生物科技股份有限公司,國鼎,生技醫療業,－,(25170)新北市淡水區中正東路二段27之6號15樓,80280616,劉勝勇,蘇經天,曾木增,財務長,葉燦舉,0228086006,91/09/27,99/05/26,新台幣 10.0000元,1422270000,142227000,18195000,0,合併,每年,股東會,中國信託商業銀行股份有限公司,(02)6636-5566,台北市中正區重慶南路一段83號5樓,安侯建業聯合會計師事務所,寇惠植,郭欣頤,GBC,"15F., NO.27-6, Sec.2, Zhung Zheng E. Rd., Tamsui Dist., New Taipei City, 251New Taipei, Taiwan",0228086007,service@goldenbiotech.com,www.goldenbiotech.com,－,－,－,－,beijing@goldenbiotech.com
5,4136,英屬開曼太和生技集團(股)公司,太和-KY,生技醫療業,KY 開曼群島,台北市松山區敦化北路170號4樓,43172002,郭靖凱,郭靖凱,郭靖婷,副總經理,吳聖照,02-27181808,97/01/02,105/01/27,新台幣 10.0000元,282968950,28296895,0,0,合併,每年,股東會,宏遠證券股務代理部,02-2326-8818,台北市信義路四段236號3樓,資誠聯合會計師事務所,林瑟凱,王方瑜,Thai Ho,"4F,No.170, Dunhua N.Rd.,Songshan Dist.,Taipei City 10548,Taiwan",02-27181838,ir@thaiho.com,www.thaiho.com,－,－,－,－,www.thaiho.com
6,4150,優你康光學股份有限公司,優你康,生技醫療業,－,(30075)新竹科學園區新竹縣工業東九路16號,86723722,林明政,林明政,張家銘,特助,吳佩芬,03-5775586,81/06/18,99/09/15,新台幣 10.0000元,1472176720,147217672,0,0,合併,每年,股東會,群益金鼎證券股務代理部,(02)27023999,台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,鄭雅慧,林玉寬,UNICON,"NO.16 Gogye E. 9th Rd., Hsinchu Science Park ,Hsinchu County, 30075 Taiwan",03-5777868,stock@uniconvision.com.tw,http://www.unicon.com.tw,－,－,－,－,service@uniconvision.com.tw
7,4151,明躍國際健康科技股份有限公司,明躍,生技醫療業,－,彰化縣埔心鄉瑤鳳路一段398號,70527203,吳樹曜,吳樹曜,吳橞潣,總營運處副總,許明裕,04-8299998,89/06/12,99/12/08,新台幣 10.0000元,500257450,50025745,0,0,合併,每年,股東會,兆豐證券股份有限公司,(02)3393-0898,台北市中正區忠孝東路2段95號3F,國富浩華聯合會計師事務所,黃千真,楊貞瑜,Strength Master,"No.398, Sec. 1, Yaofeng Rd., Puxin Township,Changhua County 51344, Taiwan (R.O.C.)",04-8299958,financial@strengthmaster.com,www.strengthmastergroup.com,－,－,－,－,www.strengthmastergroup.com
8,4166,友霖生技醫藥股份有限公司,友霖,生技醫療業,－,(10656)台北市大安區復興南路一段368號2樓,28924399,蔡正弘,張啟泰,張啟泰,總經理,陳佳盈,(02)2325-7621,97/02/01,101/06/15,新台幣 10.0000元,1870028310,187002831,0,0,合併,每年,股東會,康和綜合證券股份有限公司,(02)8787-1888,台北市信義區基隆路一段176號B1,勤業眾信聯合會計師事務所,吳怡君,方涵妮,OP,"2F, NO.368, SEC.1, FU-HSING S RD.TAIPEI, TAIWAN,ROC",(02)2755-0656,op@oppharma.com,www.oppharma.com,－,－,－,－,www.oppharma.com
