,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,3135,凌航科技股份有限公司,凌航,半導體業,－,新北市中和區中正路716號6樓之2,16561718,曾珍,曾珍,梁煜旻,會計經理,無,02-77318808,87/07/30,110/11/22,新台幣 10.0000元,422191640,42219164,0,0,個別,每年,股東會,元大證券股份有限公司股務代理部,02-25863117,台北市大同區承德路三段210號B2,勤業眾信聯合會計師事務所,薛峻泯,姚勝雄,Goldkey Tech.,"6F.-2, No. 716, Zhongzheng Rd., Zhonghe Dist.　New Taipei City , Taiwan, R.O.C.",02-77316606,Jeremy@mail.goldkey.com.tw,www.goldkey.com.tw,－,－,－,－,https://mops.twse.com.tw/mops/web/index
1,3150,鈺寶科技股份有限公司,鈺寶,半導體業,－,新竹市公道五路2段101號10樓之1,16372688,蔡玲君,黃良駿,黃良駿,總經理,無,03-5169188,87/01/23,99/10/06,新台幣 10.0000元,309166350,30916635,0,0,個別,每年,董事會,福邦證券股份有限公司,02-2371-1658,台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,游淑芬,黃珮娟,SYNCOMM,"10F-1,No.101,Gongdao 5th Rd., Sec2, Hsinchu cityHsinchu City, Taiwan, R.O.C.",03-5169111,rita.liao@syncomm.com.tw,www.syncomm.com.tw,－,－,－,－,無
2,4923,力士科技股份有限公司,力士,半導體業,－,(248)新北市五股區中興路一段10號9樓之1,28733011,張晉誠,鍾明道,鍾秉家,副總經理,林祐年,02-8976-9223,96/06/11,99/06/30,新台幣 10.0000元,250000000,25000000,0,0,個別,每年,股東會,宏遠證券股份有限公司,02-7719-8899,台北市信義路4段236號3樓,安侯建業聯合會計師事務所,寇惠植,郭欣頤,Force Mos,"9F.-1, No.10, Sec. 1, Zhongxing Rd., Wugu Dist.,New Taipei City 248, Taiwan (R.O.C.)",02-8976-9335,anderson@force-mos.com,http://www.force-mos.com,－,－,－,－,http://www.force-mos.com
3,4925,智微科技股份有限公司,智微,半導體業,－,(30076)新竹科學園區新竹縣創新一路13號1樓,12901841,劉立國,劉立國,溫明君,副總經理,林雅萱,886-3-5797389,90/09/21,99/10/28,新台幣 10.0000元,581655440,58165544,0,0,合併,每年,股東會,宏遠證券股份有限公司,02-23268818,106台北市信義路四段236號3樓,致遠聯合會計師事務所,曾瓊慧,曾瑞燕,JMicron,"1F,No.13,Innovation Road 1,Hsinchu Science ParkHsinchu,Taiwan,R.O.C.",886-3-5799566,jmstock@jmicron.com,www.jmicron.com,－,－,－,－,www.jmicron.com
4,4951,精拓科技股份有限公司,精拓科,半導體業,－,(302)新竹縣竹北市台元街36號3樓之7,80333472,陳神寶,黃德燻,陳神寶,董事長,陳贈文,(03)5600168,91/05/10,99/06/29,新台幣 10.0000元,301563130,30156313,0,0,合併,每年,股東會,兆豐證券股份有限公司,(02)33930898,台北市忠孝東路二段95號1樓,資誠聯合會計師事務所,江采燕,林玉寬,Fintek,"3F-7,No.36,Tai Yuen St.,Chupei City,Hsinchu,Taiwan,R.O.C",(03)5600166,Kris_chen@fintek.com.tw,http://www.fintek.com.tw,－,－,－,－,http://www.fintek.com.tw
5,5262,立達國際電子股份有限公司,立達,半導體業,－,台北市內湖區新湖二路166號4樓,25104761,王立民,王立民,何弘竣,副總經理,劉煥廷,02-26582588,99/02/11,102/10/21,新台幣 10.0000元,506985820,50698582,0,0,合併,每年,股東會,統一綜合證券股份有限公司,02-27463797,105 台北市松山區東興路8號B1樓,安侯建業聯合會計師事務所(KPMG),施威銘,唐慈杰,GST,"4F., No. 166, Xinhu 2nd Rd., Neihu DistrictTaipei City 114,Taiwan (R.O.C)",02-26582015,investor@gigastone.com.tw,www.gigastone.com,－,－,－,－,www.gigastone.com
6,5297,廣化科技股份有限公司,廣化,半導體業,－,台灣新竹縣新豐鄉康樂路一段169-2號3樓,16436867,張維仲,魯碧華,魯碧華,總經理,羅于軫,(03)5577668,87/02/04,106/02/21,新台幣 10.0000元,235070000,23507000,0,0,合併,每年,股東會,亞東證券股份有限公司,(02)77531699,新北市板橋區新站路16號13樓,勤業眾信聯合會計師事務所,高逸欣,陳明煇,3S,"3F, 169-2, Sec. 1, Kangle Road, Xinfeng Township,Hsinchu County, Taiwan, R.O.C.",(03)5577658,jane.lo@sss-tech.com.tw,www.sss-tech.com.tw,－,－,－,－,http://www.sss-tech.com.tw/big5/Investor_01.asp
7,6423,億而得微電子股份有限公司,億而得,半導體業,－,新竹縣竹北市台元街28號7樓之2,12894399,黃文謙,黃文謙,楊明蒼,副總經理,鄭玥姝,03-5526035,90/09/04,103/10/23,新台幣 10.0000元,268100000,26810000,0,0,個別,每年,股東會,元大證券(股)公司股務代理部,02-25865859,台北市大同區承德路三段210號B1樓,勤業眾信聯合會計師事務所,鍾鳴遠,蔡美貞,YMC,"7F-2, No.28, Tai-Yuen St., Chu-Pei City, Hsin-Chu County, Taiwan, R.O.C.Hsin-Chu County, Taiwan, R.O.C.",03-5526036,ir@ymc.com.tw,www.ymc.com.tw,－,－,－,－,http://www.ymc.com.tw/ch/inverstor_Relations.html
8,6545,擎力科技股份有限公司,擎力,半導體業,－,臺北市南港區園區街3-1號G棟7樓之二,80661122,譚永禾,譚永禾,譚永禾,董事長兼總經理,范姜素美,02-2655-8178,93/01/06,104/08/03,新台幣 10.0000元,220350000,22035000,0,0,個別,每年,股東會,統一綜合證券股份有限公司,02-27478266,台北市松山區東興路8號地下1樓,勤業眾信聯合會計師事務所,呂宜真,劉書琳,SYNC POWER,"7F-2 , No.3-1, Park street, Nankang District.Taipei, Taiwan",02-2655-8468,dshareholder@syncpower.com,http：//www.syncpower.com/,－,－,－,－,http：//www.syncpower.com/
9,6693,廣閎科技股份有限公司,廣閎科,半導體業,－,新竹縣竹北市台元二街8號8樓之3,28870892,林明璋,林明璋,陳森福,總經理室特別助理,潘嘉君,03-5525766,96/11/01,107/12/26,新台幣 10.0000元,406400000,40640000,0,0,合併,每年,股東會,元大證券股份有限公司股務代理部,02-25865859,台北市大同區承德路三段210 號B1,安侯建業聯合會計師事務所,唐嘉鍵,蘇彥達,inergy,"8F.-3, No.8, Taiyuan 2nd St., hubei CityHsinchu County 302, Taiwan(R.O.C)",03-5525788,IR@inergy.com.tw,http://www.inergy.com.tw/,－,－,－,－,http://www.inergy.com.tw/
10,6695,芯鼎科技股份有限公司,芯鼎,半導體業,－,新竹科學工業園區新竹縣創新一路19-1號,28112890,詹文雄,許英偉,李長龍,策略規劃總監,張光佑,03-5641600,98/12/23,107/12/28,新台幣 10.0000元,844775000,84477500,10000000,0,合併,每年,股東會,福邦證券股份有限公司股務代理部,(02)2383-6888,台北市忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,林政治,蔡美貞,iCatchtek,"19-1, Innovation 1st Road,Hsinchu Science Park, Hsinchu ,Taiwan",03-5670528,IR@icatchtek.com,http://www.icatchtek.com/,－,－,－,－,http://www.icatchtek.com/
11,6699,奇邑科技股份有限公司,奇邑,半導體業,－,新竹市東區慈雲路118號27樓之五,79959602,李欣欣,李欣欣,李欣欣,董事長,涂立箴,(03)658-5198,91/05/14,108/10/14,新台幣 10.0000元,277078420,27707842,0,0,合併,每年,股東會,元大證券股務代理部,(02)2586-5859,台北市大同區承德路三段210號地下一樓,安侯建業聯合會計師事務所,張惠貞,唐慈杰,Kiwi,"27F.-5, No. 118, Ciyun Rd., East Dist.,Hsinchu City 300, Taiwan (R.O.C.)",(03)658-7158,ir@kiwi-tec.com,http://www.kiwi-tec.com,－,－,－,－,http://www.kiwi-tec.com
12,6708,天擎積體電路股份有限公司,天擎,半導體業,－,新竹科學園區新竹市力行一路1號3樓C5室,12748729,呂惠平,呂惠平,何宗明,副總經理,林玫珍,035775799,90/02/15,109/01/09,新台幣 10.0000元,255957790,25595779,0,0,合併,每年,董事會,凱基證券股份有限公司,02-23892999,台北市中正區重慶南路1段2號5樓,勤業眾信聯合會計師事務所,陳明煇,林政治,MARS,"3FC5,No.1 Li-Shin RD. 1,Science ParkHsinchu, Taiwan, R.O.C.",035631501,service@mars-semi.com.tw,www.mars-semi.com.tw,－,－,－,－,www.mars-semi.com.tw
