,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,3097,拍檔科技股份有限公司,拍檔,電腦及週邊設備業,－,(231)新北市新店區寶橋路233-1號10樓,23622986,陳其宏,王保鋅,王保鋅,總經理,劉銘哲,29188500,79/02/21,91/08/02,新台幣 10.0000元,750856050,75085605,0,0,合併,每年,董事會,日盛證券股份有限公司,(02)2541-9977,台北市中山區南京東路二段85號7樓,安侯建業聯合會計師事務所,唐慈杰,陳玫燕,PTT,"10F,NO.233-1,PAOCHIAO ROADSHIN TIEN,TAIPEI,TAIWAN,R.O.C.",29112344,stock_affairs@partner.com.tw,www.partner.com.tw,－,－,－,－,www.partner.com.tw
1,3349,寶德科技股份有限公司,寶德,電腦及週邊設備業,－,235 新北市中和區連城路258號14樓之8,97483122,盧賀隆,蔡明勳,蔡明勳,總經理,康忠輝,82271093,86/04/23,93/09/16,新台幣 10.0000元,339974310,33997431,0,0,合併,每年,董事會,日盛證券股份有限公司股務代理部,02-25419977,台北市中山區南京東路二段85號7樓,資誠聯合會計師事務所,馮敏娟,徐永堅,DEXIN,"Lian Cheng Rd NO.258 14F-8,Zhonghe Dist New Taipei City Taiwan",82271058,irish_tseng@mail.dexin.com.tw,www.dexin.com.tw,－,－,－,－,http://www.dexin.com.tw/web/investors/investors.jsp
2,6599,普達系統股份有限公司,普達系統,電腦及週邊設備業,－,臺北市內湖區行愛路77巷59號5樓,29069127,胡木鎮,胡木鎮,譚家誠,業務行銷處副總經理,吳岱珊,(02)77214688,98/06/15,106/12/25,新台幣 10.0000元,210000000,21000000,0,0,合併,每年,股東會,凱基證券股份有限公司股務代理部,(02)23892999,台北市中正區重慶南路一段2號5樓,安侯建業聯合會計師事務所,施威銘,張惠貞,Poindus,"5F., No. 59, Lane 77, Xingai Rd., Neihu Dist.,Taipei, Taiwan, R.O.C.",(02)77212289,ir@poindus.com,http://www.poindus.com,－,－,－,－,http://www.poindus.com
3,6638,沅聖科技股份有限公司,沅聖,電腦及週邊設備業,－,新北市中和區建一路166號16樓,80456781,朱復銓,杜東勝,杜東勝,總經理,江百洲,02-2223-6556,92/08/06,106/06/28,新台幣 10.0000元,300000000,30000000,0,0,合併,每年,股東會,福邦證券股份有限公司,02-2383-6888,台北市中正區忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,莊文源,劉水恩,Goldtek,"16F., No.166, Jian 1st Rd., Zhonghe DistNew Taipei City 235, Taiwan (R.O.C.)",02-2223-7929,Stockaffairs@goldtek.com,http://www.goldtek.com/,－,－,－,－,http://www.goldtek.com/
4,6737,秀育企業股份有限公司,秀育,電腦及週邊設備業,－,新北市汐止區新台五路一段97號18樓,59244777,梁徽彬,吳川仕,吳川仕,總經理,林浩宇,02-2697-2311,67/12/23,108/12/30,新台幣 10.0000元,600504000,60050400,0,0,合併,每半會計年度,董事會,永豐金證券(股)公司股務代理部,02-2381-6288,台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,姚勝雄,林淑如,SOLID YEAR,"18F, No.97, Sec. 1, Xintai 5th Rd.,Xinzhi Dist.New Taipei City 22175, Taiwan",02-2697-2339,無,http://www.solidyear.com.tw/index.html,－,－,－,－,http://www.solidyear.com.tw/index.html
5,6813,富動科技股份有限公司,富動科,電腦及週邊設備業,－,桃園市蘆竹區內溪路9號,24403572,黃士恭,陳正育,洪金柔,副總經理,蔡惠鈞,03-3245686,98/05/11,109/12/30,新台幣 10.0000元,126880000,12688000,0,0,合併,每年,股東會,兆豐證券股份有限公司股務代理部,02-33930898,台北市中正區忠孝東路二段95號1樓,安侯建業聯合會計師事務所,連淑凌,陳盈如,GeneTouch,"No. 9, Neixi Rd., Luzhu Dist.,Taoyuan City 338012, Taiwan",03-3245685,golden@genetouch.com,www.genetouch.com,－,－,－,－,www.genetouch.com
6,6825,和暢科技股份有限公司,和暢科技,電腦及週邊設備業,－,新北市汐止區新台五路1段99號26樓之12,24776663,周邦基,陳逸炘,陳逸炘,總經理,黃庭洋,02-2697-2000,103/12/11,110/04/29,新台幣 10.0000元,110000000,11000000,0,0,合併,每年,股東會,宏遠證券股份有限公司股務代理部,02-23268818,台北市信義路四段236號3樓,勤業眾信聯合會計師事務所,鄭旭然,林旺生,QBIC,"26F.-12, NO.99, SEC. 1, XINTAI 5TH RD.XIZHI DIST., NEW TAIPEI CITY, TAIWAN",02-2697-2868,IR@qbictechnology.com,https://www.qbictechnology.com,－,－,－,－,無
7,6831,邁科科技股份有限公司,邁科,電腦及週邊設備業,－,新北市中和區建一路150號16樓之4,80294132,趙元山,林俊宏,黃孟楷,總經理特助,陳建亨,(02)8226-8518,91/11/08,110/08/11,新台幣 10.0000元,374482750,37448275,0,0,合併,每年,股東會,宏遠證券股份有限公司股務代理部,(02)7719-8899,台北市信義路四段236號3樓,資誠聯合會計師事務所,潘慧玲,鄧聖偉,MICROLOOPS,"16F-4,No. 150,Jian 1st Rd.,Zhonghe Dist.,New Taipei City 23511,Taiwan(R.O.C.)",(02)8226-8521,PR＠microloops.com,www.microloops.com,－,－,－,－,www.microloops.com
8,6858,愛比科技股份有限公司,愛比科技,電腦及週邊設備業,－,台北市內湖區南京東路六段348號,28685046,洪裕鈞,洪裕鈞,洪裕鈞,總經理,高翊寧,(02)5550-8686,96/06/13,111/01/11,新台幣 10.0000元,272204750,27220475,0,0,合併,每年,股東會,富邦綜合證券(股)公司股務代理部,(02)2361-1300,台北市中正區許昌街17號2樓,安侯建業聯合會計師事務所,羅瑞蘭,區耀軍,IPEVO,"No.348, Section 6, Nanling E. Rd., Neihu Dist.,Taipei Taiwan",(02)2382-0420,ir@staff.ipevo.com,https://www.ipevo.com.tw,－,－,－,－,https://www.ipevo.com.tw
9,8119,公信電子股份有限公司,公信,電腦及週邊設備業,－,新北巿汐止區新台五路一段75號3樓,20972349,宣明智,吳惠瑜,李立群,財務長,宮書凌,02-2698-7068,72/05/05,106/07/04,新台幣 10.0000元,636215990,63621599,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-27035000,台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,林玉寬,李典易,Clientron,"3FL., NO. 75, SEC. 1, SINTAI 5TH RD.,SIJHIH DIST., NEW TAIPEI CITY, TAIWAN",02-2698-2557,ir@clientron.com,http://www.clientron.com,－,－,－,－,http://www.clientron.com/en/rd.php
