,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,3168,眾福科技股份有限公司,眾福科,光電業,－,(221)新北市汐止區新台五路一段93號30F,16274722,黃漢州,俞思平,黃昭維,副總經理,顏正勤,02-26976808,86/11/22,93/04/15,新台幣 10.0000元,693996490,69399649,20000000,0,合併,每年,董事會,富邦綜合證券股份有限公司,02-2361-1300,臺北市中正區許昌街17號2樓,勤業眾信聯合會計師事務所,葉淑娟,卓明信,DATA IMAGE,"30F., No.93, Sec. 1, Xintai 5th Rd., Xizhi Dist., New Taipei City 221, TaiwanNew Taipei City,Taiwan",02-26975808,VIC@dataimagecorp.com,www.dataimage.com.tw,－,－,－,－,不適用
1,3485,敘(余+卜+又)豐企業股份有限公司,敘豐,光電業,－,(334) 桃園市八德區茄苳路７６０巷１６號,84995500,周坤麟,周坤麟,王慧蘭,財務長,周政均,(03)3646445,83/07/13,101/09/28,新台幣 10.0000元,319550000,31955000,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)27035000,台北市敦化南路二段97號B2,勤業眾信聯合會計師事務所,陳重成,何瑞軒,EF,"NO.16, LANE 760, JIA DUNG ROAD, PA TE,TAOYUAN HSIEN, TAIWAN, R.O.C",(03)3764060,service@efm.com.tw,www.efm.com.tw,－,－,－,－,www.efm.com.tw
2,3595,山太士股份有限公司,山太士,光電業,－,(302)新竹縣竹北市中和街191巷15弄1號,89716605,吳學宗,吳家宗,吳家宗,總經理,廖偉志,03-5550999,84/10/03,96/11/16,新台幣 10.0000元,236852820,23685282,0,0,合併,每年,股東會,台新證券股務代理部,(02)25048125,台北市建國北路一段96號地下一樓,致遠聯合會計師事務所,曾瓊慧,呂瑞文,AMC,"No.1, Alley 15, Lane 191, Jhong-He St.,Jhu-Bei City, Hsin Chu County 302,Taiwan",03-5551717,phill@amctape.com,http://www.amctape.com,－,－,－,－,http://www.amctape.com
3,3627,華信光電科技股份有限公司,華信科,光電業,－,桃園巿平鎮區中興路平鎮段458號9樓,28621753,蘇元良,林盷諭,林盷諭,總經理,任德翔,(03)469-9800,96/03/14,102/03/26,新台幣 10.0000元,281735280,28173528,0,0,個別,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,徐潔如,徐聖忠,ALC,"9F., No.458, Sec. Pingzhen, Zhongxing Rd., Pingzhen Dist.,Taoyuan City 324, Taiwan (R.O.C.)",(03)469-9600,investment@arimalasers.com,http://www.arimalasers.com,－,－,－,－,http://www.arimalasers.com/investor.aspx
4,3633,云光科技股份有限公司,云光,光電業,－,302新竹縣竹北市新泰路35號5樓之1,16177616,許家滂,劉古煥,王秉玉,經理,許富雄,03-5545488,86/11/13,97/08/06,新台幣 10.0000元,340236430,34023643,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-2702-3999,台北市敦化南路二段97號地下2樓,安侯建業聯合會計師事務所,韓沂璉,簡蒂暖,ECC,"5-1F,No.35, Hsin-Tai Rd.Chupai City, Hsinchu Hsien, Taiwan(302)",03-5545489,fuhsiunghsu@epoch-optic.com,http://www.epoch-optic.com/,－,－,－,－,http://www.epoch-optic.com/investor.php
5,3659,百辰光電股份有限公司,百辰,光電業,－,114062台北市內湖區瑞光路26巷20弄28號3樓,80493934,賴孟修,林百祁,曾繁宜,協理,何宜芳,02-6600-6610,92/07/07,98/10/19,新台幣 10.0000元,492034890,49203489,0,0,合併,每年,董事會,台新證券股務代理部,02-25048125,104496台北市建國北路一段96號地下一樓,安侯建業聯合會計師事務所,江曉苓,郭柔蘭,Bison,"3F., No.28, Aly. 20, Ln. 26, Ruiguang Rd., Neihu DistTaipei City 114062, Taiwan (R.O.C.)",02-6600-6617,otto_tseng@bisontech.com.tw,http://www.bisontech.com.tw,－,－,－,－,http://www.bisontech.com.tw/investors.html
6,3678,聯享光電股份有限公司,聯享,光電業,－,302新竹縣竹北市環北路三段199號,12767387,賴俊光,賴俊光,黃淑美,協理,周佳禾,03-6561668,90/03/19,98/10/22,新台幣 10.0000元,234000000,23400000,0,0,個別,每年,股東會,中國信託商業銀行代理部,02-66365566,100台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,蔡美貞,陳明煇,Ushine,"No.199, Sec. 3, Huanbei Rd.Zhubei City, Hsinchu 302, Taiwan, R.O.C.",03-6561568,fin@ushine.com.tw,www.ushine.com.tw,－,－,－,－,www.ushine.com.tw
7,4537,旭東機械工業股份有限公司,旭東,光電業,－,42152台中市后里區后里里后科南路30號,56690647,莊添財,莊添財,戴琦倩,董事長室 特別助理,呂海淋,04-25561000,72/05/17,101/05/03,新台幣 10.0000元,788400000,78840000,0,0,合併,每年,股東會,日盛證券股份有限公司,02-25419977,台北市中山區南京東路二段85號7樓,安侯建業聯合會計師事務所,郭士華,陳政學,STMC,"No.30, Houke S. Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)Taichuang,Taiwan",04-25561889,stmc@shuztung.com.tw,http://www.wisepioneer.com.tw,－,－,－,－,
8,4582,聚恆科技股份有限公司,聚恆,光電業,－,臺南市永康區永科環路168號,16452612,周恒豪,周恒豪,周曉艷,協理,周恒守,06-2022202,87/04/16,108/09/30,新台幣 10.0000元,600000000,60000000,0,0,合併,每年,董事會,統一證券股務代理部,02-27478266,臺北市松山區東興路8號B1樓,資誠聯合會計師事務所,田中玉,劉子猛,HENGS,"No.168, Yongkehuan Rd., Yongkang Dist.,Tainan City 71041, Taiwan (R.O.C.)",06-2012520,angel13@hengs.com,http://www.hengs.com,－,－,－,－,http://www.hengs.com/stakeholder.html
