,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,3158,嘉實資訊股份有限公司,嘉實,資訊服務業,－,新北市新店區民權路95號12樓之2,16795856,徐文伯,李政霖,徐文伯,董事長,李文華,29108899,88/03/25,107/03/16,新台幣 10.0000元,262979250,26297925,0,0,合併,每年,股東會,永豐金證券股份有限公司,23816288,100台北市博愛路17號3樓,資誠聯合會計師事務所,吳尚燉,郭柏如,SysJust,,89197179,ir@moneydj.com,http://www.sysjust.com.tw,－,－,－,－,建置中
1,6536,碩豐數位科技股份有限公司,碩豐,資訊服務業,－,新北市汐止區新台五路一段75號11樓,24231494,徐明哲,徐明哲,徐明哲,董事長,吳瑞華,(02)2698-2786,97/09/09,104/06/18,新台幣 10.0000元,263240000,26324000,0,0,合併,每年,董事會,兆豐證券(股)公司股務代理部,(02)3393-0898,台北市忠孝東路2段95號1樓,資誠聯合會計師事務所,徐明釧,邱昭賢,TIGA,"11F, No.75, Sec. 1 Hsin Tai Wu Rd., Xizhi Dist.,New Taipei City, Taiwan R. O. C.",(02)2698-8132,sonia.yeh@tigagaming.com,http://www.tigagaming.com/,－,－,－,－,http://www.tigagaming.com/portal_f1.php
2,6565,物聯智慧股份有限公司,物聯,資訊服務業,－,台北市南港區興中路12巷21號5樓,29045478,郭啟銘,郭啟銘,郭啟銘,董事長兼總經理,吳少喬,(02)2653-5111,97/07/17,106/01/18,新台幣 10.0000元,260178700,26017870,0,0,合併,每年,股東會,元大證券股份有限公司,(02)2586-5859,台北市承德路三段210號B1,安侯建業聯合會計師事務所,陳蓓琪,于紀隆,TUTK,"9F, No.364,Sec.1, Nangang Rd., Nangang Dist.Taiwan Taipei",(02)2653-5112,IR@tutk.com,http://www.throughtek.com.tw,－,－,－,－,http://www.throughtek.com.tw
3,6738,鼎恒數位科技股份有限公司,鼎恒,資訊服務業,－,新竹縣竹北市復興二路195號,54510058,簡士評,簡士評,簡士評,總經理,張毓菁,03-6109696,102/07/26,108/08/23,新台幣 10.0000元,228760000,22476000,1800000,400000,合併,每年,股東會,富邦綜合證券股份有限公司,02-23611300,台北市中正區許昌街17號2樓,勤業眾信聯合會計師事務所,蔡美貞,林政治,MAYO,"No. 195, Fuxing 2nd RoadZhubei City, Hsinchu County 302, Taiwan",03-6683818,ir@mayohr.com,www.mayohr.com,－,－,－,－,www.mayohr.com
4,6791,虎門科技股份有限公司,虎門科技,資訊服務業,－,新北市板橋區縣民大道二段68號11樓,30921876,林麗俐,楊涪嵐,楊涪嵐,總經理,聶瑋玲,(02)2956-7575,69/07/31,110/05/10,新台幣 10.0000元,183870000,18387000,0,0,個別,每年,股東會,富邦綜合證券(股)公司股務代理部,(02)2361-1300,台北市中正區許昌街17號2樓,安侯建業聯合會計師事務所,陳眉芳,李逢暉,TADC,"11F., No. 68, Sec. 2, Xianmin Blvd., Banqiao DistNew Taipei City 220, Taiwan (R.O.C.)",(02)2956-5180,ir@cadmen.com,https://www.cadmen.com/,－,－,－,－,https://www.cadmen.com/
5,6811,宏碁資訊服務股份有限公司,宏碁資訊,資訊服務業,－,台北市大安區信義路四段6號9樓,53739409,陳俊聖,周幸蓉,鄭和星,財務長,邱美凌,(02)27841000,101/02/22,110/01/06,新台幣 10.0000元,364490000,36449000,0,0,個別,每年,股東會,台新證券股務代理部,(02)25048125,台北市建國北路一段96號地下一樓,安侯建業聯合會計師事務所,張惠貞,施威銘,AEB,"9F., NO.6, SEC. 4, XINYI RD., DA-AN DIST.TAIPEI CITY 10683, TAIWAN (R.O.C.)",(02)86911016,ir.aeb@aceraeb.com,https://www.aceraeb.com/,－,－,－,－,https://www.aceraeb.com/
6,6816,捷智商訊科技股份有限公司,捷智商訊,資訊服務業,－,台北市松山區光復南路1號6樓之1,70556945,林群國,楊秀怜,陳信良,財會經理,陳美玲,02-27480010,89/05/06,110/01/18,新台幣 10.0000元,120000000,12000000,0,0,個別,每年,董事會,群益金鼎證券股份有限公司,02-27035000,台北市敦化南路二段97號B2,勤業眾信聯合會計師事務所,邱政俊,吳世宗,METAEDGE,"6F.-1, No. 1, Guangfu S. Rd., Songshan Dist.,TAIPEI CITY 10563,TAIWAN (R.O.C.)",02-27480020,P_METAEDGE@metaedge.com.tw,www.metaedge.com.tw,－,－,－,－,
7,6865,偉康科技股份有限公司,偉康科技,資訊服務業,－,台北市松山區南京東路五段89號9樓,16590299,連泓鈞,連泓鈞,黃閔(糸秀),策略長,陳之研,(02)77015899,87/05/28,110/12/28,新台幣 10.0000元,130000000,13000000,0,0,個別,每年,股東會,日盛證券股份有限公司,(02)25419977,台北市中山區南京東路二段85號7樓,安侯建業聯合會計師事務所,傅泓文,吳美萍,WebComm,"9F., No. 89, Sec. 5, Nanjing E. Rd., Songshan Dist.,Taipei City 105409, Taiwan (R.O.C.)",(02)77020899,ir@webcomm.com.tw,https://www.webcomm.com.tw/,－,－,－,－,
8,6868,采威國際資訊股份有限公司,采威國際,資訊服務業,－,臺中市南屯區公益路2段51號24樓,70598966,蕭哲君,蕭哲君,張芝菁,財務副總,吳易蘋,04-23265200,89/07/11,111/01/13,新台幣 10.0000元,200000000,20000000,0,0,個別,每年,股東會,康和證券 股務代理部,02-87871888,臺北市信義區基隆路一段176號B1-B2,安永聯合會計師事務所,陳明宏,黃子評,ISCOM,"24F, No. 51, Sec. 2, Gongyi Rd., Nantun Dist.,Taichung City 408383, Taiwan (R.O.C.)",04-23262107,cynthiachang@iscom.com.tw,https://www.iscom.com.tw,－,－,－,－,https://www.iscom.com.tw
9,6874,倍力資訊股份有限公司,倍力-新,資訊服務業,－,臺北市大安區仁愛路四段85號12樓,70435529,許金隆,許金隆,許金隆,總經理,鄭耐禎,(02)2731-6868,88/09/10,110/12/22,新台幣 10.0000元,145000000,14500000,0,0,個別,每年,股東會,富邦綜合證券(股)公司股務代理部,(02)2361-1300,臺北市中正區許昌街17號2樓,安侯建業聯合會計師事務所,關春修,張純怡,M-POWER,"12F, No.85, Sec.4, Ren Ai Rd., Da' an Dist.Taipei, Taiwan,R.O.C",(02)2731-3636,ir@mpinfo.com.tw,https://www.mpinfo.com.tw/,－,－,－,－,www.mpinfo.com.tw
