,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2252,為昇科科技股份有限公司,為昇科,其他電子業,－,新竹縣竹北市台元街38號6樓之7,45127518,尤山泉,陳淨銘,鍾世忠,副總經理,蔡青翰,(03)560-0289,105/07/22,110/08/23,新台幣 10.0000元,910000000,91000000,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)2311-1838,台北市中正區重慶南路一段 83 號 5 樓,安侯建業聯合會計師事務所,張字信,陳政學,CUBTEK,"m.7, 6F., No.38, Taiyuan St.,Zhubei City, Hsinchu County Taiwan",(03)560-0291,sjchung@cubtek.com,https://www.cubtek.com/,－,－,－,－,https://www.cubtek.com/
1,2255,凱銳光電股份有限公司,凱銳光電,其他電子業,－,臺北市內湖區陽光街300號7樓之2,27420770,林傳凱,蔡仁晃,林傳凱,董事長,蔡仁晃,(02)5582-1818,93/08/11,110/11/30,新台幣 10.0000元,400000000,40000000,0,0,合併,每年,董事會,台新證券股務代理部,02-25048125,臺北市中山區建國北路一段96號B1,安侯建業聯合會計師事務所,黃柏淑,吳仲舜,JET,"7F.-2, No. 300, Yangguang St., Neihu Dist.Taipei City 114 , Taiwan (R.O.C.)",02-5582-0098,IR@jet-opto.com.tw,https://www.jet-opto.com.tw,－,－,－,－,https://www.jet-opto.com.tw
2,2256,歐特明電子股份有限公司,歐特明,其他電子業,－,新竹科學園區新竹市展業二路18號6樓,54101167,吳錫慶,吳錫慶,廖健武,財務處長,莊煜芳,03-6667968,101/12/12,110/12/08,新台幣 10.0000元,344950000,34495000,0,0,合併,每年,股東會,中國信託商業銀 代理部,(02)6636-5566,臺北市中正區重慶南路一段83號5樓,資誠聯合會計師事務所,江采燕,林一帆,oToBrite,"6F,No.18,Prosperity Rd.II,Science-Based Industrial ParkHsinchu,Taiwan,R.O.C.",03-6667186,sales@otobrite.com,https://www.otobrite.com/,－,－,－,－,https://www.otobrite.com/
3,4577,達航科技股份有限公司,達航,其他電子業,－,臺北市內湖區基湖路35巷49號6樓之1,86078580,翁榮隨,陳柏棋,孫逸敏,副總經理,劉智鴻,04-26810607,80/02/25,109/10/27,新台幣 10.0000元,430132850,43013285,0,0,合併,每年,股東會,康和綜合證券股份有限公司,(02)8787-1118,110台北市信義區基隆路一段176號B1,勤業眾信聯合會計師事務所,楊清鎮,龔則立,Ofuna,"NO.21,KOUN 1ST RDTACHIA,TAICHUNG CITY, TAIWAN, 437",04-26822587,shunym@ofunatech.com,www.ofunatech.com,－,－,－,－,www.ofunatech.com
4,5233,有量科技股份有限公司,有量,其他電子業,－,(333)桃園市龜山區茶專路6號,70498018,雲惟傑,李誌誠,李誌誠,總經理,袁山浩,03-2631212,89/05/01,100/06/28,新台幣 10.0000元,2772494060,277249406,0,0,合併,每年,股東會,永豐金證券(股)公司 股務代理部,02-23823376,台北市博愛路17號3樓,資誠聯合會計師事務所,林佳鴻,王方瑜,Amita,"No.6, Chazhuan Rd., Guishan Dist.Tao-Yuan City,Taiwan",03-3200638,andy.huang@amitatech.com,www.amitatech.com.tw,－,－,－,－,www.amitatech.com.tw/tw/investor.php
5,6648,斯其大科技股份有限公司,斯其大,其他電子業,－,台北市信義區基隆路2段51號6樓之5,16790212,吳端煇,吳端煇,鮑筱芳,協理,曾峙豪,02-77181928,88/03/04,106/09/04,新台幣 10.0000元,314805000,31480500,0,0,合併,每半會計年度,董事會,亞東證券股份有限公司股務代理部,02-77531699,新北市板橋區新站路16號13樓,資誠聯合會計師事務所,馮敏娟,徐聖忠,DAS,"6F-5, 51, Sec 2, Keelung Road,Taipei, Taiwan, R.O.C.",02-77181926,meredith@das.com.tw,http://www.das.com.tw,－,－,－,－,http://www.das.com.tw
6,6658,聯策科技股份有限公司,聯策,其他電子業,－,桃園市桃園區龍壽街81巷10號,13079649,林文彬,陳文生,陳識翔,副總經理,林鈺婷,03-3690966,91/04/29,110/11/05,新台幣 10.0000元,300280000,30028000,0,0,合併,每年,董事會,福邦證券股份有限公司股務代理部,02-23711658,台北市中正區忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,陳俊宏,陳培德,SynPower,"No.10, Lane.81, Longshou St.,Taoyuan Dist., Taoyuan City 330, Taiwan",03-3690978,spokesman@synpower.com.tw,http://www.synpower.com.tw,－,－,－,－,http://www.synpower.com.tw
7,6689,伊雲谷數位科技股份有限公司,伊雲谷,其他電子業,－,新北市三重區三和路四段111之32號7樓,54359763,林啟雄,蔡佳宏,林儀,雲端事業單位總經理,李貞蓉,(02)2280-1777,102/09/13,107/07/17,新台幣 10.0000元,600000000,60000000,0,0,合併,每年,股東會,凱基證券股份有限公司,(02)2389-2999,台北市中正區重慶南路一段2號5樓,安侯建業聯合會計師事務所,林琬琬,郭柔蘭,ECV,"7F., No. 111-32, Sec. 4, Sanhe Rd., Sanchong Dist.,New Taipei City 241, Taiwan",(02)8283-9019,spokesperson@ecloudvalley.com,http://www.ecloudvalley.com,－,－,－,－,http://www.ecloudvalley.com
8,6717,智慧光科技股份有限公司,智慧光,其他電子業,－,基隆市七堵區工建路2-1號,80258993,林李忠,謝依達,謝依達,總經理,彭鴻欽,02-2452-5100,91/07/25,107/12/05,新台幣 10.0000元,249365620,24936562,0,0,個別,每年,股東會,元富證券股份有限公司,02-2768-6668,台北市松山區光復北路11巷35號B1,資誠聯合會計師事務所,周筱姿,賴宗羲,SDT,"No.2-1, Gongjian Rd., Qidu Dist.Keelung City 206, Taiwan R.O.C.",02-2452-5120,smartdisplayer@smartdisplayer.com.tw,www.smartdisplayer.com.tw,－,－,－,－,無
