,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,6428,台灣淘米科技股份有限公司,台灣淘米,文化創意業,－,臺北市中山區松江路237號6樓之1,24482647,王俊博,黃信凱,黃信凱,總經理,鍾雅惠,2516-1331,98/11/13,102/09/11,新台幣 10.0000元,176824560,17682456,0,0,個別,每年,股東會,兆豐證券股份有限公司,(02)2327-8988,臺北市忠孝東路二段95號1樓,勤業眾信聯合會計師事務所,林旺生,謝東儒,TAOMEE,"Rm. 1, 6F., No. 237, Songjiang Rd.Taipei City , Taiwan.,ROC",2516-1332,ching@61.com.tw,http://www.61.com.tw/investors/,－,－,－,－,http://www.61.com.tw/investors/
1,6468,網石棒辣椒股份有限公司,網石,文化創意業,－,台北市內湖區洲子街57號5樓,53918472,李承元,林大鈞,李鎔相,財務長,吳蕙妤,02-77207999,101/07/30,103/09/15,新台幣 10.0000元,120740000,12074000,0,0,合併,每年,董事會,統一綜合證券股份有限公司,02-27478266,台北市松山區東興路8號B1,資誠聯合會計師事務所,王方瑜,林瑟凱,NJB,"5F., No.57, Zhouzi St., Neihu Dist.,Taipei City 11493, Taiwan (R.O.C.)",02-77207555,jb@joybomb.com.tw,http://www.joybomb.com.tw/,－,－,－,－,http://corp.joybomb.com.tw/JB_InvestInfo/info_basic
2,6473,好玩家股份有限公司,好玩家*,文化創意業,－,台北市中山區建國北路二段33號13樓,29150415,呂柏宏,廖鈺琦,馮世文,資深副總經理,汪俊一,02-29126473,99/04/20,103/12/08,新台幣 5.0000元,74750000,14950000,1450000,0,合併,每年,股東會,宏遠證券股份有限公司,(02)7719-8899,台北市大安區信義路四段236號3樓,安侯建業聯合會計師事務所,簡思娟,王怡文,SNSplus,"13F., No. 33, Sec. 2, Jianguo N. Rd., Zhongshan Dist.Taipei City 104 , Taiwan (R.O.C.)",02-82272797,6473@snsplus.com,www.snsplus.com,－,－,－,－,
3,6583,友松娛樂股份有限公司,友松,文化創意業,－,台北市大同區重慶北路二段153號1樓,12654975,薛聖棻,陳財裕,廖彥智,會計主管,游麗華,(02)7707-3599,89/10/12,105/08/05,新台幣 10.0000元,159470000,15947000,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)2703-5000,台北市大安區敦化南路二段97號B2,勤業眾信聯合會計師事務所,呂宜真,謝明忠,JTV,"1F., No.153, Sec. 2, Chongqing N. Rd.Taipei City, Taiwan",(02)7707-3588,jtvpublic@jtv.com.tw,http://www.jtv.com.tw/,－,－,－,－,http://www.jtv.com.tw/
4,6595,光禹國際數位娛樂開發(股)公司,光禹國際,文化創意業,－,台北市松山區寶清街29號6樓,54320971,字維新,謝宗耀,王維琪,常務執行副總,謝宗耀,(02)27488066,102/05/10,108/01/11,新台幣 10.0000元,318078880,31807888,3000000,0,合併,每年,股東會,統一證券股務代理部,(02)27478266,台北市松山區東興路8號B1,資誠聯合會計師事務所,張淑瓊,梁華玲,Julien's Group,"6F., No.29, Baoqing St., Songshan Dist.,Taipei City 10585, Taiwan (R.O.C.)",(02)27488355,juliensgroup@juliensgroup.com.tw,www.juliensgroup.com,－,－,－,－,www.juliensgroup.com
5,6611,辣椒方舟移動數位股份有限公司,方舟,文化創意業,－,台北市大安區復興南路一段368-1號10樓之1,24748105,鄧潤澤,楊淇鴻,楊淇鴻,總經理,端木玉,02-77335458,103/09/17,105/10/27,新台幣 10.0000元,90358800,9035880,6588330,0,個別,每年,股東會,統一綜合證券股份有限公司,02-27478266,台北市松山區東興路8號B1,勤業眾信聯合會計師事所,黃惠敏,邵志明,Cayenne's Ark,"10F.-1, No.368-1, Sec. 1, Fuxing S. Rd.Da'an Dist.,Taipei City 106468, Taiwan",02-77335685,ark@cayenneark.com.tw,www.cayenneark.com,－,－,－,－,http://www.cayenneark.com/investors.html
6,6622,百聿數碼創意股份有限公司,百聿數碼,文化創意業,－,台北市內湖區瑞光路478巷18弄34號5樓,24777847,張承宏,李志緯,彭柏軒,財務長,李柏辰,02-87976799,103/12/16,106/05/22,新台幣 10.0000元,300000000,30000000,0,0,合併,每年,股東會,凱基證券股份有限公司,02-23892999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,李東峰,陳致源,Bossdom Digi,"5F No.34, Alley 18, Lane 478, Ruiguang Rd., Neihu Dist., TaipeiTaiwan",02-87976077,btgroup@bossdom.com,www.bossdom.com,－,－,－,－,www.bossdom.com
7,6626,唯數娛樂科技股份有限公司,唯數,文化創意業,－,台北市中正區延平南路189號5樓,54661506,許書綺,許書綺,潘人豪,營運長,許雅婷,(02)7726-7770,102/12/25,106/04/07,新台幣 10.0000元,276450290,27645029,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,楊樹芝,林恒昇,GAME HOURS,"5F., No.189, Yanping S. Rd., Zhongzheng Dist.,Taipei City 100, Taiwan (R.O.C.)",(02)7726-7771,au@gamehours.com,https://www.gamehours.com,－,－,－,－,https://www.gamehours.com
8,6650,帝圖科技文化股份有限公司,帝圖,文化創意業,－,台北市大安區仁愛路3段136號3樓,24327189,劉熙海,劉熙海,劉家蓉,副總經理,黃培怡,2658-1788,98/02/26,106/09/15,新台幣 10.0000元,210797560,21079756,0,0,個別,每年,股東會,元富證券(股)公司股務代理部,2768-6668,台北市光復北路11巷35號B1樓,勤業眾信聯合會計師事務所,邱政俊,郭慈容,Art Emperor,"3F., No. 136, Sec. 3, Ren'ai Rd., Da’an Dist.,Taipei City , Taiwan",2658-5126,art@artemperor.tw,http://about.artemperor.tw,－,－,－,－,http://about.artemperor.tw
