,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1563,巧新科技工業股份有限公司,巧新,電機機械,－,640雲林縣斗六市雲科路三段八十號,84980915,黃聰榮,黃聰榮,蕭妃伶,董事長特助,王惠斐,05-5512288,83/06/24,95/10/26,新台幣 10.0000元,1988374000,198837400,0,0,合併,每年,董事會,兆豐證券股份有限公司股務代理部,02-33930898,台北市中正區忠孝東路2段95號1樓,資誠聯合會計師事務所,洪淑華,王玉娟,S.A.I.,"No.80, Sec. 3,Yun-Ko RoadDou Liu,Yun-Lin County 640, TAIWAN",05-5514567,admin@superalloy.tw,www.superalloy.tw,－,－,－,－,www.superalloy.tw
1,1594,日高工程實業股份有限公司,日高,電機機械,－,(80147)高雄市前金區中正四路136號11樓,04938839,王嘉慶,王嘉慶,周賢昌,執行長,麥景藍,07-2858631,63/04/02,99/10/13,新台幣 10.0000元,302000000,30200000,0,0,合併,每年,股東會,國票綜合證券(股)公司股務代理部,02-25288988,台北市松山區南京東路五段188號15樓,勤業眾信聯合會計師事務所,陳明煇,高逸欣,JUKAO,"11F.,No.136,Zhongzheng 4th Rd.,Qianjin Dist.,Kaohsiung,80147Taiwan,Republic of china",07-2874674,jk_sales@jukao.com.tw,http://www.jukao.com.tw/,－,－,－,－,http://www.jukao.com.tw/interested.asp
2,2237,華德動能科技股份有限公司,華德動能,電機機械,－,桃園市大園區五青路291巷33號,27579308,蔡裕慶,楊誌榮,楊誌榮,總經理,林鴻傑,03-381-1863,94/04/07,103/12/23,新台幣 10.0000元,1009228750,100922875,4922875,0,個別,每年,股東會,群益金鼎證券股份有限公司,02-2703-5000,台北市大安區敦化南路二段97號地下2樓,資誠聯合會計師事務所,徐建業,王玉娟,RAC,"No. 33, Lane 291, Wuqing Road, Dayuan DistrictTaoyuan City, Taiwan",03-381-7863,contact@racev.com,www.racev.com,－,－,－,－,www.racev.com
3,2245,詠勝昌股份有限公司,詠勝昌,電機機械,－,高雄市阿蓮區中路里中路9-1號,16696080,吳書杰,吳明星,吳明星,總經理,林姿君,(06)2702277,87/11/13,105/12/15,新台幣 10.0000元,135000000,13500000,0,0,合併,每年,股東會,日盛證券股份有限公司股務代理部,(02)25419977,台北市中山區南京東路二段85號7樓,勤業眾信聯合會計師事務所,張青霞,邱盟捷,NEWS WORLD WU,"No. 209, Sec. 3, Jhongjheng Rd., Rende Dist., Tainan City 717, Taiwan (R.O.C.)Tainan City 717, Taiwan (R.O.C.)",(06)2709912,ir@newsworldwu.com.tw,www.newsworldwu.com.tw,－,－,－,－,http://www.newsworldwu.com.tw/tw/利害關係人.html
4,2246,凱勝綠能科技股份有限公司,凱勝綠能,電機機械,－,台中市西屯區台灣大道三段658號10樓之3,53823551,陳怡仁,陳怡仁,謝守正,資深副總經理,陳怡安,04-24521679,101/03/28,106/08/11,新台幣 10.0000元,587100000,58710000,7539600,0,個別,每年,股東會,中國信託商業銀行股份有限公司,(02)66365566,100003台北市中正區重慶南路一段83號5樓,資誠聯合會計師事務所,吳漢期,林雅慧,KGET,"10F.-3, No.658, Sec. 3, Taiwan Blvd., Xitun Dist.,Taichung City 407, Taiwan (R.O.C.)",04-24521319,http://www.tw-kget.com/home/home05.html,http://www.tw-kget.com,－,－,－,－,http://www.tw-kget.com
5,2248,華勝汽車電子股份有限公司,華勝-KY,電機機械,KY 開曼群島,台北市中山區南京東路二段150號9樓912室,73676873,陳鏗勝,陳鏗勝,朱中平,財務主管,陳鏗勝,02-25061953,106/04/10,107/09/11,新台幣 10.0000元,420000000,42000000,0,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,台北市承德路三段210號B1,勤業眾信聯合會計師事務所,呂宜真,謝明忠,eLAND,"Room912, 9F., No. 150, Sec. 2, Nanjing E. Rd., Zhongshan Dist.,Taipei City 104, Taiwan",02-25060398,IR@top-elan.com,www.top-elan.com,－,－,－,－,www.top-elan.com
6,2249,湧盛電機股份有限公司,湧盛,電機機械,－,高雄市前鎮區環區四路5號,70849653,萬正在,萬正在,方宗琦,管理部經理,江春枝,07-8228183,97/08/25,108/12/19,新台幣 10.0000元,200220000,20022000,0,0,合併,每年,股東會,凱基證券股份有限公司股務代理部,02-23892999,10044 台北市重慶南路1段2號5樓,安侯建業聯合會計師事務所,許振隆,陳國宗,YOUNG SHINE,"No.5, Circle 4th Road,K.E.P.Z.Kaohsiung,Taiwan(R.O.C.)",07-8228178,invest@young-shine.com.tw,https://www.young-shine.com.tw/,－,－,－,－,https://www.young-shine.com.tw/
7,2254,巨鎧精密工業股份有限公司,巨鎧精密,電機機械,－,臺南市南區新平路7號,54297090,吳柏樺,吳柏樺,辛建璋,財務副總經理,魏秀芬,(06)265-5599,102/09/14,110/11/26,新台幣 10.0000元,273350000,27335000,0,0,個別,每年,董事會,福邦證券股份有限公司股務代理部,(02)2383-6888,臺北市中正區忠孝西路一段6號6樓,安侯建業聯合會計師事務所,關春修,蘇彥達,COPLUS,"No.7, Xinping RoadSouth District, Tainan City, Taiwan",(06)261-0187,IR@coplus.com.tw,https://www.coplus.com.tw/,－,－,－,－,https://www.coplus.com.tw/
8,4544,春日機械工業股份有限公司,春日,電機機械,－,(82063)高雄市岡山區大寶街50號,85721346,陳其泰,孫正耀,孫正耀,總經理,郭亞筑,07-6212196,63/03/11,101/12/24,新台幣 10.0000元,602900480,60290048,0,0,合併,每年,董事會,國票綜合證券(股)公司股務代理部,(02)2528-8988,台北市松山區南京東路五段188號15樓,資誠聯合會計師事務所,林姿妤,劉子猛,Chun Zu,"50 TA-PAO ST. KANGSHANKAOHSIUNG, TAIWAN,R.O.C.",07-6221718,chunzu@ms9.hinet.net,www.chunzu.com.tw,－,－,－,－,http://www.chunzu.com.tw/
9,4546,長亨精密股份有限公司,長亨,電機機械,－,高雄市路竹區竹南里路科十路9號,22540430,紀一珍,陳愛多,袁素萍,財務副總經理,黃意樺,07-6955598,76/10/24,102/07/30,新台幣 10.0000元,339250450,33925045,0,0,個別,每半會計年度,董事會,宏遠證券股務代理部,02-23268818,台北市信義路四段236號3樓,勤業眾信聯合會計師事務所,劉裕祥,江佳玲,CHPC,"NO.9, LUKE 10TH RD., LUZHU DISTKAOHSIUNG CITY 821, TAIWAN (R.O.C.)",07-6955589,chpc@chaheng.com,www.chaheng.com,－,－,－,－,www.chaheng.com
10,4553,盛復工業股份有限公司,盛復,電機機械,－,台中市南屯區工業區19路8號,52757548,廖述源,呂學耕,何宗賢,財務長,洪嘉霜,(04)23592768,72/12/27,103/09/16,新台幣 10.0000元,310200000,31020000,0,0,個別,每年,董事會,兆豐證券股份有限公司股務代理部,(02)33930898,台北市忠孝東路二段95號1樓,國富浩華聯合會計師事務所,邵朝彬,黃素絹,ALFOT,"No.8,19th Rd.,Taichung Industrial Park,Taichung 40850,Taiwan",(04)23593570,info@alfot.com,http://www.alfot.com,－,－,－,－,http://www.alfot.com
11,4558,寶緯工業股份有限公司,寶緯,電機機械,－,彰化縣北斗鎮財神路30號,23209895,詹勲霖,詹勲國,徐正德,財務長,吳長壽,04-8886999,78/03/09,103/11/14,新台幣 10.0000元,441000000,44100000,0,0,個別,每年,股東會,日盛證券股份有限公司股務代理部,02-25419977,台北市中山區南京東路二段85號7樓,勤業眾信聯合會計師事務所,蔣淑菁,曾棟鋆,Alformer,"No.30, Caishen Rd., Beidou TownshipChanghua County 521, Taiwan",048871872,pw888@ms57.hinet.net,http://www.alformer.com.tw,－,－,－,－,https://www.alformer.com.tw/list/cate-172952.htm
12,4559,久裕興業科技股份有限公司,久裕興,電機機械,－,台中市大雅區西寶里昌平路4段462巷9號,55942764,陳世偉,陳世偉,江怡瑤,財務長,陳松君,(04)2566-8888,70/10/14,103/12/08,新台幣 10.0000元,600000000,60000000,0,0,合併,每年,董事會,第一金證券(股)公司股務代理部,(02)2563-5711,10688台北市大安區安和路一段27號6樓,資誠聯合會計師事務所,王玉娟,劉美蘭,Joy-tech,"No. 9, Lane 462, Sec. 4Chang-Ping Rd. Daya-Taichung, Taiwan,",(04)2566-1185,acc@joy-tech.com.tw,http://www.joy-tech.com.tw,－,－,－,－,http://www.joy-tech.com.tw
13,4565,宏偉電機工業股份有限公司,宏偉,電機機械,－,新北市五股區五權五路33號,35945095,黃埮城,陳顯堂,鄭龍加,經理,李欣頻,(02)22993348,68/02/05,105/10/05,新台幣 10.0000元,441000000,44100000,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)66365566,台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,邱鏞銘,陳文香,Hong-Wei,"No.33, Wuquan 5th Rd., Wugu Dist., New Taipei City 248,Taiwan (R.O.C.)",(02)22990676,ir@volbin.com,http://www.volbin.com,－,－,－,－,http://www.volbin.com
14,4573,高明鐵企業股份有限公司,高明鐵,電機機械,－,彰化縣埔心鄉瑤鳳路一段357號,89338287,張朝凱,陳志鑫,陳志鑫,總經理,陳淑玲,04-8282825,84/02/25,107/07/26,新台幣 10.0000元,326965800,32696580,0,0,合併,每年,董事會,台新證券股務代理部,02-2504-8125,台北市中山區建國北路一段96號B1,勤業眾信聯合會計師事務所,蔣淑菁,曾棟鋆,GMT,"No. 357, Sec. 1, Yaofeng Rd.,Puxin Township, Changhua County, Taiwan",04-8285215,IR@gmt.tw,https://www.gmtglobalinc.com,－,－,－,－,尚未建立
15,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,興櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
16,4575,銓寶工業股份有限公司,銓寶,電機機械,－,台中市烏日區中山路三段688之1號,97532545,謝樹林,謝樹林,林俊琪,財務長,黃朝聖,04-23388289,70/11/20,107/11/19,新台幣 10.0000元,391810000,39181000,0,0,合併,每年,董事會,華南永昌綜合證券股份有限公司,02-27186425,105台北市民生東路四段54號4樓,安永聯合會計師事務所,陳明宏,嚴文筆,CHUMPOWER,"No. 688-1, Sec. 3, Zhong-shan Rd.,Taichung 414, Taiwan",04-23372285,cpulations@chumpower.com,https://www.chumpower.com,－,－,－,－,https://www.chumpower.com
17,4578,總格精密股份有限公司,總格精密,電機機械,－,臺中市梧棲區草湳里中港加工出口區經二路33號,23903228,廖文嘉,侯建富,侯建富,總經理,陳惠芬,04-26595131,79/10/02,107/10/31,新台幣 10.0000元,204000000,20400000,0,0,合併,每年,股東會,凱基證券(股)公司股務代理部,02-23892999,台北市中正區重慶南路一段2號5樓,勤業眾信聯合會計師事務所,陳培德,郭俐雯,Sogotec,"No.33, Jing 2nd Rd., Wuqi Dist.,Taichung City 43541, Taiwan",04-26595258,sogotec@sogotec.com.tw,www.sogotec.com.tw,－,－,－,－,https://www.sogotec.com.tw/tw/responsibility_stakeholder.asp
18,4583,台灣精銳科技股份有限公司,台灣精銳,電機機械,－,台中市西屯區科園三路 10 號,70647919,張重興,郭崇哲,郭崇哲,總經理,洪綉敏,04-24650219,88/10/26,109/12/01,新台幣 10.0000元,729283510,72928351,0,0,合併,每年,股東會,兆豐證券股份有限公司股務代理部,02-33930898,台北巿忠孝東路二段95號1樓,安侯建業聯合會計師事務所,陳政學,張字信,APEXDYNA,"No.10, Keyuan 3rd Road, Situn DistrictTaichung City, Taiwan (R.O.C)",04-24650923,spokesman@apexdyna.com,https://www.apexdyna.com,－,－,－,－,https://www.apexdyna.com
19,4584,君帆工業股份有限公司,君帆,電機機械,－,台南市永康區永科環路118號,69777435,胡進財,胡正杰,楊宜蓁,財務主管,林君玫,06-2334879,72/04/27,110/10/05,新台幣 10.0000元,247800000,24780000,0,0,合併,每年,股東會,凱基證券股份有限公司,02-23148800,台北市中正區重慶南路一段2號5樓,資誠聯合會計師事務所,劉子猛,林姿妤,JUFAN,"No.118, Yongkehuan Rd., Yongkang Dist.,Tainan City 71041, Taiwan (R.O.C.)",06-2310993,ir@jufan.com.tw,https://www.jufan.com.tw/,－,－,－,－,https://www.jufan.com.tw/
20,6606,建德工業股份有限公司,建德工業,電機機械,－,新北市三重區光復路一段61巷27號13樓,35309102,李金旆,李金旆,沈政侃,協理,楊佳華,02-29951425,55/03/16,109/01/09,新台幣 10.0000元,976237830,97623783,0,0,合併,每年,董事會,富邦綜合證券股份有限公司,02-23611300,台北市中正區許昌街17號2樓,資誠聯合會計師事務所,廖阿甚,吳建志,KENT,"13/F., No.27, Lane 61, Sec. 1, Guangfu Rd.,San Chong Dist. ,New Taipei City Taiwan",02-29955942,kany@kentind.com,www.kentind.com,－,－,－,－,www.kentind.com
21,6705,振躍精密滑軌股份有限公司,振躍精密,電機機械,－,新北市土城區中央路三段222-1號,97214507,陳萬來,施惠珠,章振國,財會主管,許紫微,22677700,85/09/11,107/10/31,新台幣 10.0000元,170500000,17050000,0,0,個別,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,勤業眾信聯合會計師事務所,楊靜婷,劉水恩,MARTAS,"No.222-1,Sec.3,Zhongyang RD.,Tucheng Dist.,New Taipei City,Taiwan",22675788,ca.mgr@martas-online.com,www.martas.com.tw,－,－,－,－,www.martas.com.tw
22,6829,千附精密股份有限公司,千附精密,電機機械,－,中部科學園區台中巿后里區后科南路28號,83599094,張瓊如,賴明村,林敏惠,會計主管,陳智濠,04-2558-8638,109/07/20,110/09/29,新台幣 10.0000元,537900000,53790000,0,0,個別,每年,股東會,統一綜合證券(股)公司股務代理部,02-27463797,台北市松山區東興路8號,勤業眾信聯合會計師事務所,曾建銘,劉書琳,CFPREC,"No. 28, Houke S. Rd., Houli Dist., Taichung City,Central Taiwan Science ParkTaichung, Taiwan 421012, R.O.C.",04-25589925,billy.lin@cfprec.com.tw,https://www.cfprec.com.tw/,－,－,－,－,https://www.cfprec.com.tw/
23,6843,進典工業股份有限公司,進典-新,電機機械,－,桃園市楊梅區青年路6-1號,35924015,范義鑫,范義明,黃彥文,副總經理,翁鳳姻,03-4965066,67/08/12,110/10/13,新台幣 10.0000元,296020000,29602000,0,0,合併,每年,董事會,永豐金證券(股)公司股務代理部,02-23886288,台北市博愛路 17 號 3 樓,勤業眾信聯合會計師事務所,呂宜真,謝明忠,JDV,"No,6-1, Qingnian Rd., Yangmei Dist,Taoyuan City,ROC",03-4963526,matt@jdv.com.tw,www.jdv.com.tw,－,－,－,－,www.jdv.com.tw
24,8041,東元精電股份有限公司,東元精電,電機機械,－,桃園市中壢區安東路11-1號,16439631,林勝泉,林勝泉(代理),陳姿月,財管處經理,鍾佩珊,03-4525031,87/03/07,111/01/13,新台幣 10.0000元,172147710,17214771,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)2703-5000,台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,支秉鈞,徐明釧,TED,"11-1, AN TUNG RD., CHUNG-LI INDUSTRIAL DISTRICT,TAOYUAN CITY 32063, TAIWAN R.O.C.",03-4616910,bunny@tedmotors.com.tw,http://www.tedmotors.com.tw,－,－,－,－,http://www.tedmotors.com.tw
