,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2002,中國鋼鐵股份有限公司,中鋼,鋼鐵工業,－,高市小港區中鋼路1號,30414175,翁朝棟,王錫欽,黃建智,執行副總經理,楊岳崑等8位,07-8021111,60/12/03,63/12/26,新台幣 10.0000元,157731289960,15734860997,0,38267999,合併,每年,股東會,凱基證券股份有限公司,02-23892999,台北市重慶南路1段2號5樓,勤業眾信聯合會計師事務所,許瑞軒,郭政弘,CSC,"No.1,Chung Kang RoadKaohsiung Taiwan, R.O.C",07-8022511,f1000@mail.csc.com.tw,http://www.csc.com.tw,黃莉玲,管理師,0800-746-006,f1000@mail.csc.com.tw,www.csc.com.tw/csc/allContact.html
1,2006,東和鋼鐵企業股份有限公司,東和鋼鐵,鋼鐵工業,－,台北市長安東路一段九號六樓,75280209,侯傑騰,黃炳樺,郭淑媚,財會部經理,何如玉ˋ陳俊良,(02)2551-1100,51/05/30,77/07/13,新台幣 10.0000元,7302138180,730213818,0,0,合併,每年,董事會,元大證券(股)公司股務代理部,(02)2586-5859,台北市承德路3段210號B1樓,安侯建業聯合會計師事務所,李慈慧,郭欣頤,Tung Ho Steel,"6Fl., 9, Sec. 1, Chang An E.Rd.Taipei City, Taiwan, R.O.C.",(02)2568-1663,f02liu@tunghosteel.com,www.tunghosteel.com,郭淑媚,財會部經理,(02)2551-1100*568,ksm@tunghosteel.com,http://www.tunghosteel.com/csr/investment
2,2007,燁興企業股份有限公司,燁興,鋼鐵工業,－,高雄市岡山區白米里寶米路369號,75992214,吳林茂,陳森龍,陳森龍,總經理,尤景生,(07)6111111,67/07/18,77/10/04,新台幣 10.0000元,5306516130,530651613,361185683,0,合併,每年,股東會,燁興公司台北股務課,(02)2395-6780,台北市北平東路30號15樓,國富浩華聯合會計師事務所,蔡淑滿,謝仁耀,YH,"No.369,Baomi Rd.,Baimi Village,Gangshan Dist.,Kaohsiung City 82053, Taiwan (R.O.C.)",(07)-6256758,yh001@yheco.com.tw,http://www.yheco.com.tw,尤景生,助理副總經理,(07)6111111-530,yh002@yheco.com.tw,www.yheco.com.tw
3,2008,高興昌鋼鐵股份有限公司,高興昌,鋼鐵工業,－,高雄市中華一路318號,75466009,呂泰榮,勝呂榮峰,徐邦峰,鋼管部經理,郭建宏,07-5556111,55/01/15,77/12/28,新台幣 10.0000元,2008522930,200852293,0,0,個別,每年,股東會,高興昌鋼鐵股份有限公司,02-25536052,台北市涼州街62號,安侯建業聯合會計師事務所,許振隆,陳國宗,KHC,"NO.318 CHUNG HUA IST ROADKAOHSIUNG ,804, TAIWAN, R.O.C",07-5543798,acct12@mail.khc.com.tw,www.khc.com.tw,郭建宏,物流部副理,07-5556147,sale01@khc.com.tw,www.khc.com.tw
4,2009,第一伸銅科技股份有限公司,第一銅,鋼鐵工業,－,高雄巿前金區中正四路170號4樓,82001528,劉宗仁,洪茂陽,洪茂陽,總經理,劉秀美,07-2814161,58/07/28,78/10/20,新台幣 10.0000元,3596221650,359622165,0,0,個別,每年,股東會,本公司股務課,02-27717611,台北巿中山區南京東路三段210號11樓,安侯建業聯合會計師事務所,楊博任,許振隆,FCC,"170,CHUNG CHENG 4TH ROAD,KAOHSIUNG,TAIWAN,R.O.C.",07-2818871,he520@hegroup.com.tw,http://www.fcht.com.tw,劉秀美,會計處經理,07-2814161,misherr@hegroup.com.tw,http://www.fcht.com.tw/index.php?option=module&lang=cht&task=pageinfo&id=217&index=2
5,2010,春源鋼鐵工業股份有限公司,春源,鋼鐵工業,－,台北市復興北路502號7樓,11529802,蔡錫奇,蔡錫奇,洪士民,副總經理,林偉成,(02)2501-8111,55/01/07,78/12/22,新台幣 10.0000元,6476553900,647655390,0,0,合併,每年,董事會,春源鋼鐵工業股份有限公司財務部,(02)2501-8111,台北市復興北路502號4樓股務辦公室,國富浩華聯合會計師事務所,王戊昌,陳桂美,CHUN YUAN STEEL,"7FL, NO.502, FU HSING NORTH ROADTAIPEI, TAIWAN, R.O.C",(02)2505-5390,ak500@cysco.com.tw,http://www.cysco.com.tw/,張淑凱,管理師,(02)25018111#2298,chang@cysco.com.tw,http://www.cysco.com.tw/stakeholder/index.htm
6,2012,春雨工廠股份有限公司,春雨,鋼鐵工業,－,高雄市岡山區大寶街100號(總部地址:高雄市岡山區新樂街169號),88187108,林輝政,蔡東森,周伯威,副總經理,陳俊良,07-6214121,54/03/27,80/10/17,新台幣 10.0000元,2877740000,287774000,0,0,合併,每半會計年度,董事會,元大證券股份有限公司,(02)2586-5859,台北市承德路三段210號B1,資誠聯合會計師事務所,林姿妤,劉子猛,CHUN YU,"100, TA-PAO ST. KANGSHANKAOHSIUNG, TAIWAN, R.O.C.",07-6223256,pwclion@chunyu.com.tw,www.chunyu.com.tw,周伯威,副總經理,07-6214121,ir@chunyu.com.tw,http://www.chunyu.com.tw/TW/Index.aspx
7,2013,中國鋼鐵結構股份有限公司,中鋼構,鋼鐵工業,－,高雄市燕巢區中興路500號,85800192,陳火坤,陳瑞騰,王永志,財務處處長,洪誌佑,07-6168688,67/02/24,81/01/21,新台幣 10.0000元,2000000000,200000000,0,0,合併,每年,股東會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號6樓,勤業眾信聯合會計師事務所,劉裕祥,許瑞軒,CSSC,"No.500, Zhongxing Rd., Yanchao Dist.,Kaohsiung, Taiwan, R.O.C.",07-6168680,20909@cssc.com.tw,www.cssc.com.tw,王永志,財務處處長,07-6168688 ext.2100,9977@cssc.com.tw,www.cssc.com.tw
8,2014,中鴻鋼鐵股份有限公司,中鴻,鋼鐵工業,－,825高雄市橋頭區芋寮路317號,07838854,劉敏雄,曾貴松,羅嘉文,行政副總經理,陳柏翰 業務副總經理,07-6117171,72/09/29,81/02/20,新台幣 10.0000元,14355444460,1435544446,0,0,合併,每年,股東會,凱基證券股份有限公司,02-23892999,100台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,劉裕祥,江佳玲,CHUNG HUNG,"317,Yu-Liao RD. Chiao Tou DistrictKaohsiung City 825,Taiwan,R.O.C.",07-6110227,chs@chsteel.com.tw,http://www.chsteel.com.tw,羅嘉文,行政副總經理,(07)6118244,loga@chsteel.com.tw,http://www.chsteel.com.tw/ch/hr/Int.htm
9,2015,豐興鋼鐵股份有限公司,豐興,鋼鐵工業,－,台中市后里區甲后路一段998號,55389357,林大鈞,林大鈞,成德懿,行政部協理,莊文哲,(04)25565101,58/01/07,81/05/25,新台幣 10.0000元,5815994240,581599424,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,安永聯合會計師事務所,陳明宏,嚴文筆,FH,"No.998,Sec.1,Jiahou Rd.,Houli Dist.,Taichung City 421,Taiwan(R.O.C)Taichung Taiwan,R.O.C",(04)25581334,fha20@ms22.hinet.net,www.fenghsin.com.tw,成德懿,行政部協理,(04)25565101,dycheng@fenghsin.com.tw,http://www.fenghsin.com.tw/investor.htm
