,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2101,南港輪胎股份有限公司,南港,橡膠工業,－,台北市大安區仁愛路三段136號6樓608室,11520909,郭林諒,郭林諒,郭美航,財務部經理,鄧成華,27071000,48/02/25,52/11/01,新台幣 10.0000元,8339349040,833934904,0,0,合併,每半會計年度,董事會,元大證券股份有限公司,(02)2586-5859,台北市大同區承德路三段210號地下一樓,正風聯合會計師事務所,周銀來,曾國富,NK,"SUITE 608,FL.6,NO.136,SEC.3,JEN AI ROAD,TAIPEI.TAIWAN,R.O.C.",27065993,n608@ms14.hinet.net,http://www.nankang-tyre.com,郭美航,財務部經理,27071000#215,meihang@nankang.com.tw,http://www.nankang-tyre.com
1,2102,泰豐輪胎股份有限公司,泰豐,橡膠工業,－,桃園市中壢區中華路二段369號,44721408,江慶興,江慶興(兼任),呂新義,財務處處長,李信諭,03-4522156,44/11/23,68/07/16,新台幣 10.0000元,4733292070,473329207,0,0,合併,每年,董事會,元大證券股份有限公司,02-2586-5859,台北巿承德路三段210號地下一樓,正風聯合會計師事務所,周銀來,彭莉真,FEDERAL CORP,"369,SEC 2 CHUNG HWA RD,CHUNG LI (320) TAO YUAN,TAIWAN",03-4616357,hylu@federaltire.com.tw,http://www.federalcorporation.com/,呂新義,財務處處長,03-4522156#13000,hylu@federaltire.com.tw,http://www.federalcorporation.com/
2,2103,台橡股份有限公司,台橡,橡膠工業,－,高雄市大社區興工路2號,3553737,殷琪,蔡偉強,王文淵,副總經理,林政男,07-3513811,62/11/22,71/09/25,新台幣 10.0000元,8257099780,825709978,0,0,合併,每年,股東會,永豐金證券股份有限公司,02-23816288,台北市博愛路17號3樓,安侯建業聯合會計師事務所,黃明宏,吳麟,TSRC,"No.2, Singgong Rd., Dashe Dist.,Kaohsiung City 815, Taiwan, R.O.C.",07-3514705,spokesman@tsrc-global.com,www.tsrc.com.tw,林政男,資深協理,02-37016135,thomas.c.lin@tsrc-global.com,https://www.tsrc.com.tw/tw/csr/questionnaire-feedback/
3,2104,國際中橡投資控股股份有限公司,國際中橡,橡膠工業,－,台北市中山北路二段113號8樓,4382114,辜公怡,黃柏松,黃柏松,總經理,李佳紋,02-2531-6556,62/06/15,75/07/15,新台幣 10.0000元,9847336250,984733625,0,0,合併,每年,股東會,中國信託商業銀行代理部,02-6636-5566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,張鼎聲,龔則立,CSRC,"8th Fl., No.113, Section 2, Zhongshan N. RoadTaipei 104, Taiwan. R.O.C.",02-25316558,sinclair.huang@csrcgroup.com,http://www.csrcgroup.com,從缺,從缺,02-25316556,csrcir@csrcgroup.com,http://www.csrcgroup.com
4,2105,正新橡膠工業股份有限公司,正新,橡膠工業,－,彰化縣大村鄉黃厝村美港路215號,59504506,陳榮華,陳榮華,羅永勵,財務部副總經理,廖正耀,(04)8525151,58/12/19,76/12/07,新台幣 10.0000元,32414155360,3241415536,0,0,合併,每年,股東會,元大證券股份有限公司股務代理部,(02)25865859,台北市大同區承德路3段210號B1,資誠聯合會計師事務所,吳郁隆,周建宏,CST,"215MEEI-KONG RD, TA-TSUNCHANG-HWA, TAIWAN",(04)8526468,CST001@MS1.HINET.NET,WWW.CST.COM.TW,羅永勵,財務部副總經理,048525151#715,yllo@tw.maxxis.com,www.cst.com.tw
5,2106,建大工業股份有限公司,建大,橡膠工業,－,彰化縣員林市中山路一段一四六號,59619900,楊啟仁,陳昭榮,劉桂君,協理,吳景煇,04-8345171,51/03/30,79/12/20,新台幣 10.0000元,9094100000,909410000,0,0,合併,每年,董事會,中信銀代理部,02-66365566,台北市重慶南路一段八十三號五樓,勤業眾信聯合會計師事務所,王儀雯,曾棟鋆,KENDA,"No.146,Sec.1, Chung Shan Road, Yuan-LinTaiwan, R.O.C",04-8331865,f1300@kenda.com.tw,http://www.kendatire.com,劉桂君,協理,04-8345171-310,chun@kenda.com.tw,http://csr.kenda.com.tw/
6,2107,厚生股份有限公司,厚生,橡膠工業,－,臺北市漢口街一段82號8樓,3283306,徐正材,徐正己,林士哲,經理,鄭勝元,(02)23700988,52/01/22,81/03/03,新台幣 10.0000元,3423260000,342326000,0,0,合併,每年,股東會,台新證券股務代理部,(02)25048125,台北市建國北路一段96號B1,正風聯合會計師事務所,周銀來,賴永吉,FRG,"8F,NO.82,HAN-KO ST., SEC.1,TAIPEI,TAIWAN,R.O.C.",(02)23123313,sport@frgco.com.tw,www.frg.com.tw,林士哲,經理,(02)23700988,jameslim@deluxstone.com,www.frg.com.tw
7,2108,南帝化學工業股份有限公司,南帝,橡膠工業,－,高雄市林園區工業一路九號,12209807,楊東源,許建祝,黃勝仲,協理,葉榮義,(07)6413621,68/01/10,81/10/27,新台幣 10.0000元,4924166590,492416659,0,0,合併,每年,董事會,統一綜合證券股份有限公司,(02)27463797,台北市松山區東興路8號B1F,資誠會計師事務所,林姿妤,林永智,NANTEX,"NO.9,INDUSTRIAL 1ST ROAD LIN-YUAN DISTRICTKAOHSIUNG CITY,TAIWAN,R.O.C.",(07)6424828,nantex@nantex.com.tw,www.nantex.com.tw,黃勝仲,協理,(06)2377700,nantex@nantex.com.tw,www.nantex.com.tw
8,2109,華豐橡膠工業股份有限公司,華豐,橡膠工業,－,彰化縣大村鄉村上村中山路二段300號,59760104,沈國榮,王嶠奇,吳品儀,副總經理,林文成,(04)852-0121,48/05/27,89/05/08,新台幣 10.0000元,2793491340,279349134,72647674,0,合併,每半會計年度,董事會,群益金鼎證券股份有限公司,(02)27035000,10601台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,楊明經,吳松源,HWA FONG,"No.300, Chung Shan Road, Sec .2, Ta Tsun Hsiang, Chang Hwa HsienChang Hwa Hsien 515, Taiwan (R.O.C.)",(04)852-7704,durofina@duro.com.tw,www.duro.com.tw,李員吉,財務長,04-8520121#21800,louislee@duro.com.tw,https://www.duro.com.tw/tw/investor/stakeholder/
9,2114,鑫永銓股份有限公司,鑫永銓,橡膠工業,－,南投市南崗工業區南崗三路294號,51704734,林季進,林季佑,胡美惠,特別助理,林秋紅,049-2263888,58/08/22,99/12/29,新台幣 10.0000元,779917070,77991707,0,0,個別,每年,董事會,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號B2,資誠聯合會計師事務所,吳松源,洪淑華,HYC,"NO.294 NAN KUNG 3RDNAN KUNG INDUSTRIAL ZONE,NANTOU,TAIWAN.",049-2263901,hyc2@hyc-king.com,www.hyc-king.com,胡美惠,特別助理,049-2263888,hyc2@hyc-king.com,https://www.hyc-king.com/investor_tw_6.php
