,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1319,東陽實業廠股份有限公司,東陽,汽車工業,－,台南市安和路二段98號,68326665,吳永豐,吳永祥,許芳華,處長,洪智慧,06-3560511,56/10/30,83/12/12,新台幣 10.0000元,5914770680,591477068,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5F,安永聯合會計師事務所,黃世杰,洪茂益,OTN,"98 AN HO ROAD.,SEC,2TAINAN,TAIWAN,R,O,C",06-3566055,15469@tyg.com.tw,WWW.TYG.COM.TW,黃和傑,專案經理,06-3560511-6170,15531@tyg.com.tw,http://www.tyg.com.tw/tw/stakeholders.html
1,1338,廣華控股有限公司,廣華-KY,汽車工業,KY 開曼群島,廣東省東莞市厚街鎮橋頭第三工業區,26594386,余澤民,黃建中,黃盛昌,財務長,黃建中,0769-89278888,98/12/08,101/12/19,新台幣 10.0000元,838400000,83840000,0,0,合併,每年,股東會,兆豐證券股份有限公司股務代理部,02-33930898,台北市忠孝東路二段95號3樓,安侯建業聯合會計師事務所,江忠儀,連淑凌,Hiroca,"3rd Industrial Zone, Qiaotou, Houjie TownDongguan City, Guangdong Province, PRC",0769-85903818,hiroca@hirosawa.com.cn,www.hirosawa.com.cn,黃盛昌,財務長,0975727658,hiroca@hirosawa.com.cn,www.hirosawa.com.cn
2,1339,昭輝實業股份有限公司,昭輝,汽車工業,－,彰化縣鹿港鎮興業路8號,22078327,禾翰投資股份有限公司,林宜宏,劉淑梅,副總經理,王淑慧,(04)7810781,75/03/07,101/04/24,新台幣 10.0000元,741388750,74138875,0,0,合併,每年,董事會,統一綜合證券股份有限公司,02-27463797,台北市松山區東興路八號地下一樓,資誠聯合會計師事務所,王玉娟,劉美蘭,Y.C.C.,"8, Xingye Rd., Lukang TownChung Hua Hsien, Taiwan ., R.O.C.",(04)7813209,ycc888@yccco.com.tw,http://www.yccco.com.tw,劉淑梅,副總經理,(04)7810781,ycc888@yccco.com.tw,http://www.yccco.com.tw
3,1512,瑞利企業股份有限公司,瑞利,汽車工業,－,高雄市仁武區高楠公路廿二號,85330636,吳明燦,林維輝,林維輝,總經理,黃冠銘,07-3438301,59/06/18,83/01/28,新台幣 10.0000元,2367024940,236702494,54900000,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-2703-5000,台北市敦化南路二段九十七號地下二樓,勤業眾信聯合會計師事務所,江佳玲,陳珍麗,JL,"NO.22 KAONAN ROAD.JENWU DIST KAOHSIUNG ,TAIWAN",07-3425116,fin-acc@juili.com.tw,www.juili.com.tw,黃冠銘,財會處經理,07-3438301-3002,fin-acc@juili.com.tw,www.juili.com.tw/c/inv_6.htm
4,1521,大億交通工業製造股份有限公司,大億,汽車工業,－,台南市新信路11號,69408876,吳俊億,馮世忠,王宏基,資深協理,王俊豪,06-2615151,65/01/28,86/10/06,新台幣 10.0000元,762300000,76230000,0,0,合併,每年,股東會,中國信託商業銀行代理部,02-66365566,100 台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,李季珍,楊朝欽,DAIOKU,"NO.11,SHIN-SIN ROAD,AN-PING INDUSTRIAL DISTRICTTAINAN,TAIWAN,R.O.C",06-2644614,budget@tayih-ind.com.tw,www.tayih-ind.com.tw,王宏基,資深協理,262615151#220,chi@tayih-ind.com.tw,http://www.tayih-ind.com.tw/investor_d05.php
5,1522,堤維西交通工業股份有限公司,堤維西,汽車工業,－,台南市新樂路72之2號,22269487,吳俊佶,陳勁兆,翁一峰,財務主管,黃琴月,06-2658781,75/09/09,86/10/06,新台幣 10.0000元,3428978810,312897881,0,30000000,合併,每年,股東會,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號地下二樓,安永聯合會計師事務所,黃世杰,李芳文,TYC,"72-2, Shin-leh RdTainan 70248, Taiwan, R.O.C",06-2647458,amanda_yen@tyc.com.tw,www.tyc.com.tw,顏鳳姿,財會專員,06-2658781分機121,amanda_yen@tyc.com.tw,http://www.tyc.com.tw/index.php/investors/spokesperson
6,1524,耿鼎企業股份有限公司,耿鼎,汽車工業,－,338桃園市蘆竹區內溪路48號,22081250,李茂源,李茂源,李庭祥,總經理室經理,陳健榮,03-3244011,75/03/13,87/10/30,新台幣 10.0000元,1653103970,165310397,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27035000,台北市敦化南路二段97號地下二樓,正風聯合會計師事務所,鄭憲修,曾國富,GORDON,"No.48, Nieh Hsi Road, Luchu Dist.,Taoyuan City, 338,Taiwan (R.O.C)",886-3-3244255,as3@gordon.com.tw,www.gordon.com.tw,李庭祥,總經理室經理,03-324-4011,as3@gordon.com.tw,http://www.gordon.com.tw/Interested_ta.html
7,1525,江申工業股份有限公司,江申,汽車工業,－,桃園市楊梅區新江路100號,35129100,陳昭文,曾火冏誌,張雅玲,協理,盧玉琴,03-4783121,52/05/30,88/05/15,新台幣 10.0000元,734001350,73400135,0,0,合併,每年,股東會,江申工業股份有限公司股務課,02-2515-6421,台北市南京東路二段150號7樓,勤業眾信聯合會計師事務所,許秀明,楊啟聖,KSC,"NO.100,HSIN CHIANG ROAD,YANG MEI CHENTAOYUAN HSIEN,TAIWAN,R.O.C",03-4852205,Ellen.Chang@kian-shen.com,http://www.kian-shen.com/index.php,張雅玲,協理,03-4783121,ellen.chang@kian-shen.com,http://www.kian-shen.com/csr-1.php
8,1533,車王電子股份有限公司,車王電,汽車工業,－,台中市大雅區中清路4段85號,04827138,蔡裕慶,蔡裕慶,蔡淑貞,會計經理,薛珮玲,04-25683366,71/07/19,90/04/06,新台幣 10.0000元,985474860,98547486,0,0,合併,每年,股東會,凱基證券股份有限公司,02-23892999,臺北市重慶南路一段2號5F,資誠聯合會計師事務所,徐建業,王玉娟,MORE,"85,Sec.4, Chung-Ching Rd.,Ta-Ya,Taichung Hsien, Taiwan 428",04-25673069,mobiletron@more.com.tw,http://www.more.com.tw,蔡淑貞,會計經理,04-25683366,Aggie@more.com.tw,http://www.more.com.tw/Csr/Page/c1606ebc-6ffc-4789-952f-c442c995cc48
