,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1316,上曜建設開發股份有限公司,上曜,建材營造,－,台南市安平區永華路二段248號20樓之6,73654033,張祐銘,宋育豪,郭育政,財務部副總經理,朱麗娟,(06)2988318,68/12/11,81/10/15,新台幣 10.0000元,1877507710,187750771,0,0,合併,每半會計年度,董事會,元大證券股份有限公司,(02)2586-5859,台北市大同區承德路三段210號地下一樓,安侯建業聯合會計師事務所,許振隆,陳惠媛,SUN YAD,"20F.-6, No.248, Sec. 2, Yonghua RdAnping Dist., Tainan City 708, Taiwan",(06)2988311,fina@sunyad.com.tw,www.sunyad.com.tw,郭育政,財務部副總經理,06-2988318,sunyad_101@yahoo.com.tw,www.sunyad.com.tw
1,1436,華友聯開發股份有限公司(原福益),華友聯,建材營造,－,高雄市鳳山區文龍路85號11樓,07510318,陸炤廷,陸炤廷,吳家德,副總經理,林紹詳,(07)780-1381,56/01/31,77/04/11,新台幣 10.0000元,957180320,95718032,0,0,合併,每年,股東會,元大證券(股)股務代理部,(02)2586-5859,台北市大同區承德路三段210號B1,勤業眾信聯合會計師事務所,劉裕祥,許瑞軒,HUA YU LIEN,"11F., No. 85,Wenlong Rd.,Fengshan Dist.,Kaohsiung City, Taiwan (R.O.C.)",(07)777-7398,steven@huakai.com.tw,www.huakai.com.tw,林紹詳,副總經理,(07)780-1381,steven@huakai.com.tw,https://www.huakai.com.tw/blank-17
2,1438,三地開發地產股份有限公司,三地開發,建材營造,－,高雄市苓雅區中正二路175號16樓之3,03561011,鍾育霖,鍾育霖,鍾育霖,董事長兼總經理,陳順天,(07)2259599,44/10/11,77/12/15,新台幣 10.0000元,712057590,71205759,0,0,個別,每年,股東會,凱基證券股份有限公司,(02)2389-2999,台北市重慶南路1段2號5樓,安侯建業聯合會計師事務所,陳國宗,張淑瑩,SanDi,"16F.-3, No. 175, Zhongzheng 2nd Rd.,Lingya Dist., Kaohsiung City 802",(07)2256099,yufoongb@ms37.hinet.net,http://www.sandirealestate.com.tw/,陳順天,財務長,(07)2259599,yufoongb@ms37.hinet.net,http://www.sandirealestate.com.tw/WebMaster/?section=1
3,1442,名軒開發股份有限公司,名軒,建材營造,－,新北市五股區成泰路一段189巷16號5樓,04615057,吳泓瑩,吳勝利,吳勝利,總經理,黃慧勤,82922288,63/07/18,78/11/16,新台幣 10.0000元,3662113580,366211358,0,0,合併,每年,股東會,台新證券股務代理部,25048125,北市建國北路一段96號地下一樓,惠眾聯合會計師事務所,項文婷,盧聯生,ADVANCETEK,"5F.,NO.16,Lane 189,Sec. 1,Chengtai Rd.,Wugu Dist.,New Taipei City 248,Taiwan",82922686,servicemail@advancetek.com.tw,http://www.advancetek.com.tw,黃慧勤,協理,82922288#899,hchuang@advancetek.com.tw,http://www.advancetek.com.tw/利害關係人專區.pdf
4,1453,大將開發股份有限公司,大將,建材營造,－,台北市敦化南路二段71號6樓,07617901,葉義雄,葉義雄,葉義雄,董事長,余明德,27069999,67/04/15,82/04/19,新台幣 10.0000元,1006149800,100614980,0,0,合併,每年,股東會,元大證券股份有限公司,27175566,台北市大同區承德路三段210號地下一樓,勤業眾信聯合會計師事務所,莊文源,劉水恩,TA JIANG,"6F,NO.71.SEC2 TUNG HWA SOUTH ROAD TAIPEI,TAIWANTAIPEI ,TAIWAN,ROC",27061166,md.yu@tajiang.com.tw,www.tajiang.com.tw,余明德,會計主管,(02)27069999,md.yu@tajiang.com.tw,http://www.tajiang.com.tw/finance_info.aspx?tag_id=T0022
5,1456,怡華實業股份有限公司,怡華,建材營造,－,台北市內湖區內湖路一段392號12樓之1,33144175,黃士豪,黃士豪,李世豪,經理,黃經博,02-87978780,57/08/02,82/12/09,新台幣 10.0000元,937200000,93720000,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)27035000,台北巿敦化南路2段97號B2,安侯建業聯合會計師事務所,黃欣婷,池世欽,I-HWA,"12F-1,NO.392,SEC.1 NEI-HU RD.,TAIPEI 114,TAIWAN,R.O.C.TAIPEI,TAIWAN",(02)87978106,haul@ybworld.com.tw,http://www.ihwa.com.tw,李世豪,經理,02-87978780,haul@ybworld.com.tw,http://www.ihwa.com.tw/stakeholders.html
6,1805,寶徠建設股份有限公司,寶徠,建材營造,－,台北市內湖區新湖一路303號4樓,12179563,鍾喜吉,林瑞山,黃文正,財會主管,許子芳,02-27915688,67/06/30,78/10/20,新台幣 10.0000元,1002654000,100265400,20000000,0,合併,每年,董事會,群益金鼎證券(股)公司股務代理部,02-27023999,台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,張淑瑩,曾國禓,BLG,"4F., No. 303, Xinhu 1st Rd., Neihu Dist., Taipei City 114 , Taiwan (R.O.C.)Taipei City 114, Taiwan (R.O.C.)",02-27919289,service＠blgroup.com.tw,https://blgroup.com.tw/,黃瓊慧,襄理,02-27915688#227,anice@blgroup.com.tw,https://blgroup.com.tw/investment/
7,1808,潤隆建設股份有限公司,潤隆,建材營造,－,台北市中山區樂群二路267號8樓,34149369,蔡聰賓,邱秉澤,邱秉澤,總經理,盧佳茵,02-8501-5696,66/01/10,83/10/26,新台幣 10.0000元,3921966370,392196637,0,0,合併,每年,董事會,群益金鼎證券(股)公司股務代理部,02-2702-3999,10601台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,韓沂璉,簡蒂暖,RUN LONG,"No. 267-8, Lequn 2nd Rd., Zhongshan DistTaipei City 104, Taiwan (R.O.C.)",02-8501-5711,service@runlong.com.tw,www.runlong.com.tw,邱秉澤,總經理,02-8501-5696,frank@runlong.com.tw,http://www.runlong.com.tw/?action=contact
8,2501,國泰建設股份有限公司,國建,建材營造,－,台北市敦化南路二段218號2樓,03374306,張清櫆,李虹明,林清樑,副總經理,羅宥騏,0223779968,53/12/01,56/10/28,新台幣 10.0000元,11595610590,1159561059,0,0,合併,每年,股東會,國泰建設財務組(股務),0223779968,台北市敦化南路二段218號2樓,安永聯合會計師事務所,徐榮煌,黃建澤,CATHAY RED,"218,SEC.2,Tun Hwa South Road,Taipei,Taiwan,R.O.C.",0223778399,service@cathay-red.com.tw,www.cathay-red.com.tw,羅宥騏,營運管理部經理,0223779968,service@cathay-red.com.tw,http://cathayred-csr.com/pro-43/利害關係人專區
9,2504,國產建材實業股份有限公司,國產,建材營造,－,台北市內湖區新湖一路8號7樓,24060203,徐蘭英,徐蘭英,邱隋益,副總經理,張介堂,87928088,43/11/30,67/03/14,新台幣 10.0000元,11800000000,1180000000,0,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,台北市大同區承德路三段210號地下一樓,安永聯合會計師事務所,王彥鈞,許新民,GBM,"7F.,No.8,Xinhu 1st Rd.,Neihu Dist.,Taipei,Taiwan.114,R.O.C.",87928566,0,www.gdc.com.tw,邱隋益,副總經理,87928088-789,james_chiu@gdc.com.tw,http://www.gdc.com.tw/investor.aspx
