,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2208,台灣國際造船股份有限公司,台船,航運業,－,高雄市小港區中鋼路3號,04695235,鄭文隆,魏正賜,周志明,副總經理,高建一,07-8059888,62/11/07,97/12/22,新台幣 10.0000元,9317872960,931787296,60000000,0,合併,每年,董事會,富邦綜合證券股份有限公司,02-2361-1300,台北市10047中正區許昌街17號2樓,資誠聯合會計師事務所,王國華,吳建志,CSBC,"3, Jhonggang RoadHsiao Kang District, Kaohsiung. Taiwan.",07-8020805,1588@csbcnet.com.tw,http://www.csbcnet.com.tw,李欽勝,財會處出納課長,07-8059888轉2739,096048@csbcnet.com.tw,http://www.csbcnet.com.tw/csbc/07/01_new.aspx
1,2603,長榮海運股份有限公司,長榮,航運業,－,台北市中山區民生東路二段166號,11337775,張衍義,謝惠全,謝惠全,總經理,吳光輝,(02)2505-7766,57/09/25,76/09/21,新台幣 10.0000元,52908484360,5290848436,0,0,合併,每年,股東會,股務課,(02)2500-1668,台北市中山區民生東路二段166號2樓,資誠聯合會計師事務所,賴宗羲,周筱姿,EMC,"NO.166 , SEC.2 , MINSHENG EAST ROADTAIPEI , TAIWAN , R.O.C",(03)351-0973,public@evergreen-marine.com,www.evergreen-marine.com,莫政平,財務部協理,02-25001268,percymo@evergreen-marine.com,http://www.evergreen-marine.com/tw/tbi1/jsp/TBI1_Stakeholder.jsp
2,2605,新興航運股份有限公司,新興,航運業,－,台北市大安區復興南路一段368號14樓,11812103,許積皋,許積皋,陳蘭芳,財務長,范曉婷,02-27037055,57/02/27,78/12/08,新台幣 10.0000元,5853532970,585353297,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,林一帆,廖福銘,SNC,"14F, No.368 , FU HSING SOUTH ROAD,SECTION 1.TAIPEI, TAIWAN, R.O.C.",02-27003374,snctpe@snc.com.tw,http://www.snc.com.tw/,陳蘭芳,財務長,02-27037055#240,sncad@snc.com.tw,www.snc.com.tw/利害關係人
3,2606,裕民航運股份有限公司,裕民,航運業,－,台北市敦化南路二段207號29樓,47067419,徐旭東,王書吉,張宗良,副總經理,陳長生,(02)27338000,57/08/29,79/12/08,新台幣 10.0000元,8450557120,845055712,0,0,合併,每年,股東會,亞東證券股份有限公司,(0277531699,新北市板橋區新站路16號13樓,勤業眾信聯合會計師事務所,林文欽,王儀雯,U-MING,"29TH FL.,TAIPEI METRO TOWER,207,SEC.2,TUN HWA S.RD.TAIPEI 106,TAIWAN,REPUBLIC OF CHINA",(02)27359900,uming@metro.feg.com.tw,http://www.uming.com.tw,張宗良,副總經理,(02)27376008,bismark@metro.feg.com.tw,http://www.uming.com.tw/investor_relations
4,2607,長榮國際儲運股份有限公司,榮運,航運業,－,桃園市桃園區經國路899號,04406559,陳義忠,林晁榮,林晁榮,總經理,陳成邦,03-3252060,62/10/05,79/12/14,新台幣 10.0000元,10671410940,1067141094,0,0,合併,每年,股東會,長榮國際儲運股份有限公司股務課,02-25001668,台北市中山區民生東路二段166號2樓,資誠聯合會計師事務所,賴宗羲,周筱姿,EITC,"899, CHING KUO ROAD,TAOYUAN DIST., TAOYUAN CITY, TAIWAN",03-3462009,mgt@evergreen-eitc.com.tw,www.evergreen-eitc.com.tw,高懿珍,經理,03-3252060,fin@evergreen-eitc.com.tw,http://www.evergreen-eitc.com.tw/eitchtdocs/jsp/c_7/c_7_7_1.jsp
5,2608,嘉里大榮物流股份有限公司,嘉里大榮,航運業,－,台北市中正區新生南路一段50號14樓,51015548,沈宗桂,營運總處：張國典; 財務暨行政總處：阮慧雯,阮慧雯,財務暨行政總處總經理,胡明昌,02-33226888,48/12/21,79/12/20,新台幣 10.0000元,4670004980,467000498,0,0,合併,每年,股東會,永豐金證券股份有限公司,02-23816288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,楊啟聖,蘇定堅,Kerry TJ,"14F., No.50, Sec. 1, Xinsheng S. Road,TAI-PEI,TAIWAN,R.O.C",02-33226777,investor@kerrytj.com,http://www.kerrytj.com,胡明昌,協理,02-33226888,investor@kerrytj.com,http://www.kerrytj.com/zh/csr/csr2.html
6,2609,陽明海運股份有限公司,陽明,航運業,－,基隆市七堵區明德一路271號,04200199,鄭貞茂,杜書勤,杜書勤,總經理,蘇育文、劉麗雯,02-2455-9988,61/12/29,81/04/20,新台幣 10.0000元,34921042700,3492104270,0,0,合併,每年,股東會,凱基證券股份有限公司,02-2389-2999,台北市中正區重慶南路一段2號5樓,勤業眾信聯合會計師事務所,楊承修,洪玉美,YMTC,"271 Ming De 1st Road, ChiduKeelung Taiwan 206, R.O.C.",02-2455-9988,cs@yangming.com,http://www.yangming.com/,洪詩婷,資深管理師,02-2455-0627,lena.st.hung@yangming.com,https://www.yangming.com/investor_relations/Corporate_Governance/Stakeholder.aspx
7,2610,中華航空股份有限公司,華航,航運業,－,桃園市大園區航站南路一號,11145904,謝世謙,高星潢,魯淑慧,副總經理,王薇,(03)399-8888,48/09/07,82/02/26,新台幣 10.0000元,57404843680,5740484368,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,黃瑞展,鄭旭然,CAL,"No.1, Hangzhan S. Rd.,Dayuan Dist., Taoyuan City, Taiwan R.O.C",(03)399-8313,tpeprci@china-airlines.com,http://www.china-airlines.com,林鈺傑,財務處經理,03-3998361,tpeaf@china-airlines.com,https://www.china-airlines.com/tw/zh/about-us/stakeholder
8,2611,志信國際股份有限公司,志信,航運業,－,台北市中山區建國北路二段33號12樓,33853232,黃春發,周呂熙龍,江文隆,財務長,林燕文,(02)2509-0036,62/11/15,82/10/28,新台幣 10.0000元,1718202470,171820247,0,0,合併,每年,董事會,統一綜合證券股份有限公司,(02)2746-3797,台北市松山區東興路８號Ｂ１樓,勤業眾信聯合會計師事務所,陳致源,方涵妮,TSI,"12F., No.33, Sec. 2, Jianguo N. Rd., Zhongshan Dist.,Taipei City 104, Taiwan (R.O.C.)",(02)2500-7894,tstcomp@tsgroup.com.tw,www.tsgroup.com.tw,江文隆,財務長,02-25090036,tstcomp@tsgroup.com.tw,www.tsgroup.com.tw
9,2612,中國航運股份有限公司,中航,航運業,－,台北市濟南路一段15號9樓,43778070,彭士孝,戴聖堅,唐邦正,協理,孫賢中,(02)23963282,67/01/31,83/10/20,新台幣 10.0000元,1974845930,197484593,0,0,合併,每年,董事會,凱基證券股份有限公司,(02)23148800,台北市重慶南路一段二號五樓,安侯建業聯合會計師事務所,區耀軍,羅瑞蘭,CMT,"9TH., 15, CHI-NAN ROAD, SEC. 1TAIPEI TAIWAN",(02)23513082,cmt@agcmt.com.tw,http://www.cmt.tw,唐邦正,協理,02-23976670,inv.rel@agcmt.com.tw,http://www.cmt.tw
