,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2701,萬華企業股份有限公司,萬企,觀光事業,－,台北市峨嵋街52號,15415013,蔡茂昌,吳雅珍,蔡茂昌,董事長,梁鈺汶,(02)2375-3211,47/02/26,54/03/22,新台幣 10.0000元,4499678380,449967838,0,0,個別,每年,股東會,本公司股務科,(02)2381-3737,台北市中華路一段41號11樓,勤業眾信聯合會計師事務所,謝東儒,趙永祥,WANHWA,"52 O MEI STREETTAIPEI,TAIWAN,R.O.C",(02)23315386,wanhwa.ltd@msa.hinet.net,www.wanhwa.com.tw,梁鈺汶,副總經理,02-23813737,www.wanhwa.com.tw,www.wanhwa.com.tw
1,2702,華園飯店股份有限公司,華園,觀光事業,－,高雄市苓雅區四維三路6號23樓B室,75560601,陳海尼,陳海尼,涂慶昇,稽核主管,余素玲,07-2410123,48/07/29,54/02/14,新台幣 10.0000元,1104855380,110485538,0,0,合併,每年,董事會,國票綜合證券股份有限公司,02-25288988,10571台北市松山區南京東路五段188號15樓,資誠聯合會計師事務所,王國華,林永智,HG,"Rm.B,23F.,No.6, Siwei 3rd RdKAOHSIUNG TAIWAN REPUBLIC OF CHINA",07-3308887,accounting@hotelhg.com.tw,www.hotelhg.com.tw,涂慶昇,Legal,07-2410123#102,mark.tu@hotelhg.com.tw,www.hotelhg.com.tw
2,2704,國賓大飯店股份有限公司,國賓,觀光事業,－,台北市中山北路二段63號,11636802,許育瑞,謝漢章,林興國,首席顧問,何仲仁,(02)2551-1111,51/12/01,71/11/10,新台幣 10.0000元,3669233430,366923343,0,0,合併,每年,股東會,本公司股務組,(02)2100-2100,台北市中山北路二段65巷9號4樓,安永聯合會計師事務所,黃建澤,傅文芳,AMBH,"63 Chung Shan North Road Section 2,Taipei,Taiwan,R.O.C.",(02)2523-3358,stock@mstp.ambhotel.com.tw,www.ambassador-hotels.com,何仲仁,資深協理,(02)21002100#2862,jerry.ho@ambassador-hotels.com,http://investor.ambassador-hotels.com/stakeholder.htm
3,2705,六福開發股份有限公司,六福,觀光事業,－,新竹縣關西鎮仁安里拱子溝六十號,11081274,莊豐如,莊豐如,盧贊宇,總監,謝禕璠,03-547-5665,57/01/27,77/12/24,新台幣 10.0000元,1913128300,191312830,4776200,0,合併,每年,股東會,台新證券股務代理部,02-2504-8125,台北市中山區建國北路一段96號地下一樓,安永聯合聯合會計師事務所,洪茂益,鄭清標,LEOFOO,"NO. 60, Gungtzgou, Renan Li,Guanshi Jen, Hsinchu County, Taiwan",03-547-5366,IR.leofoo@leofoo.com.tw,http://www.leofoo.com.tw,盧贊宇,總監,03-547-5665,IR.leofoo@leofoo.com.tw,http://www.leofoo.com.tw
4,2706,第一華僑大飯店股份有限公司,第一店,觀光事業,－,台北市南京東路二段六十三號,11587957,顧安生,徐小華,顧安生,董事長,林秀美,25418234,57/09/27,80/06/25,新台幣 10.0000元,4999983460,499998346,0,0,個別,每年,股東會,第一華僑大飯店(股)股務課,23753211,北市中華路1段41號11樓,勤業眾信聯合會計師事務所,陳盈州,林旺生,FIRST HOTEL,"63 NANKING EAST RD. SEC. 2TAIPEI,TAIWAN",25812411,firsthotel@aptg.net,twfirsthotel.com.tw,林秀美,副總經理,0225418234,firsthotel@aptg.net,http://twfirsthotel.com.tw/relation.html
5,2707,晶華國際酒店股份有限公司,晶華,觀光事業,－,台北市中山北路2段39巷3號1-20樓,04268726,潘思亮,吳偉正,林明月,集團財務長,曹建南,(02)2523-8000,65/07/07,87/03/09,新台幣 10.0000元,1274032380,127403238,0,0,合併,每季,董事會,台新證券股務代理部,(02)2504-8125,台北市建國北路一段96號B1,資誠聯合會計師事務所,賴宗羲,王照明,GFRT,"1-20F,3,Lane39,Chung Shan N. Rd. SEC.2,Taipei,Taiwan,R.O.C.",(02)2571-0807,joan.lien@regenttaiwan.com,https://www.silkshotelgroup.com/tw/,連美芳,股務主任,2522-8357,joan.lien@regenttaiwan.com,https://www.silkshotelgroup.com/tw/relationship
6,2712,遠雄悅來大飯店股份有限公司,遠雄來,觀光事業,－,974花蓮縣壽豐鄉鹽寮村山嶺18號,23986016,武祥生,劉惠美,劉惠美,總經理,郭宗旻,(03)8123900,80/01/15,102/12/03,新台幣 10.0000元,1050000000,105000000,0,0,個別,每年,股東會,元大證券股份有限公司,(02)25863117,台北市承德路三段210號B1,資誠聯合會計師事務所,蕭春鴛,林瑟凱,FGH,"No.18, Shanling, Yanliau Vil,Shoufeng TownshipHualien County 97449, Taiwan",(03)8123933,IR_HOTEL.hh@farglory-hotel.com.tw,http://www.farglory-hotel.com.tw,余岳隆,財務室經理,(03)8123900#8350,04566.hh@farglory-hotel.com.tw,http://www.farglory-hotel.com.tw/Invest/Stakeholder/StakeholderOnePageOne/
7,2722,夏都國際開發股份有限公司,夏都,觀光事業,－,屏東縣恆春鎮網紗里環城北路218巷15號,89434676,陳協同,王慶祺,陳重憲,副董事長,王慶祺,08-8862377,84/09/27,101/03/14,新台幣 10.0000元,1115229610,111522961,0,0,合併,每年,股東會,統一綜合證券股份有限公司,02-27463797,台北市松山區東興路8號B1樓,勤業眾信會計師事務所,李季珍,楊朝欽,Chateau,"No.15, Ln. 218, Huancheng North Rd., Hengchun TownshipPingtung Hsieng, Taiwan 946, R.O.C.",08-8862482,chateau.stock@ktchateau.com.tw,www.chateau-hotels.com.tw,張曉雯,財務長,06-2918188,chateau.stock@ktchateau.com.tw,www.chateau-hotels.com.tw/sustainability/index.php?index_id=30
8,2723,開曼美食達人股份有限公司,美食-KY,觀光事業,KY 開曼群島,台中市南屯區工業23路35號,39682101,吳政學,吳政學,李翰霖,協理,傅柏翔,(04)3503-9090,97/09/26,99/11/22,新台幣 10.0000元,1800000000,180000000,0,0,合併,每年,股東會,元大證券股份有限公司,(02)2586-5859,台北市承德路三段210號B1與B2,勤業眾信聯合會計師事務所,呂宜真,陳慧銘,Gourmet,"No. 35, 23rd., Nantun DistrictTaichung City R.O.C.",(04)2350-7570,stock@85cafe.com,http://www.85cafe.com,李翰霖,協理,(02)2657-6685,stock@85cafe.com,http://www.85cafe.com
9,2727,王品餐飲股份有限公司,王品,觀光事業,－,臺中市西區臺灣大道二段218號29樓,84630426,陳正輝,陳正輝,朱文敏,媒體公關室主管,邱建綸,04-23221868,82/12/07,101/03/06,新台幣 10.0000元,769878830,76987883,0,0,合併,每年,股東會,永豐金證券股份有限公司,(02)2381-6288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,池瑞全,郭乃華,WOWPRIME,"29F., No.218, Sec. 2, Taichung Boulevard, West Dist.,Taichung City 403, Taiwan (R.O.C.)",04-23207133,wowprime.stock@wowprime.com,http://www.wowprime.com,邱秀妙,財務部經理,04-23221868,wowprime.stock@wowprime.com,www.wowprime.com
