,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2801,彰化商業銀行股份有限公司,彰銀,金融保險業,－,臺中市自由路二段三八號,51811609,凌忠嫄,周朝崇,陳斌,副總經理,林雅玲,02-25362951,39/07/01,51/02/15,新台幣 10.0000元,104885708420,10488570842,0,0,合併,每年,股東會,兆豐證券股務代理部,02-33930898,臺北市忠孝東路二段95號,勤業眾信聯合會計師事務所,吳美慧,李東峰,CHANG HWA BANK,"38,Tsu Yu Rd .,Sec.2Taichung,Taiwan,R.O.C.",02-25628443,chbgss@chb.com.tw,www.bankchb.com,陳坤河,科長,02-25362951,kuen-her@chb.com.tw,https://www.bankchb.com/frontend/mashup.jsp?funcId=bbff2f5c15
1,2809,京城商業銀行股份有限公司,京城銀,金融保險業,－,台南市西門路一段506號,68921101,戴誠志,張日政,尤其偉,副總經理,洪振凱,06-2139171,40/07/11,72/07/20,新台幣 10.0000元,11212342650,1121234265,0,0,合併,每年,股東會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,安永聯合會計師事務所,黃世杰,張正道,KTB,"506,Sec.1,Shi-Men RoadTainan,Taiwan,R.O.C.",06-2130895,csr@mail.ktb.com.tw,www.ktb.com.tw,洪振凱,副理,02-27168383,ir@mail.ktb.com.tw,https://customer.ktb.com.tw/new/about/7a39bf08
2,2812,台中商業銀行股份有限公司,台中銀,金融保險業,－,台中市民權路87號,51816908,王貴鋒,賈德威,林開域,副總經理,劉國俊,04-22236021,42/08/26,73/05/15,新台幣 10.0000元,43385205580,4338520558,0,0,合併,每年,股東會,本公司股務科,02-23957388,100台北市中正區新生南路一段50號11樓,勤業眾信聯合會計師事務所,徐文亞,劉書琳,T.C.C.B.,"No.87, Mincyuan Rd., West District, Taichung City 40341, Taiwan (R.O.C.)taichung TAIWAN",04-22270138,service@ms2.tcbbank.com.tw,http://www.tcbbank.com.tw,林開域,副總經理,04-22236021,service@ms2.tcbbank.com.tw,http://www.tcbbank.com.tw
3,2816,旺旺友聯產物保險股份有限公司,旺旺保,金融保險業,－,台北巿大安區忠孝東路四段219號12樓,03110001,洪吉雄,劉自明,潘少昀,總經理室特別助理,陳泰龍,2776-5567,52/02/19,81/05/05,新台幣 10.0000元,2236080000,223608000,0,0,合併,每年,股東會,國票綜合證券(股)公司股務代理部,(02)2528-8988,台北市松山區南京東路五段188號15樓,安侯建業聯合會計師事務所,吳政諺,鍾丹丹,UNION INS.,"12TH FLOOR. 219, SEC. 4, CHUNG-HSIAO E. ROAD,TAIPEI,TAIWAN.",27118610,Amelia.Kuo@wwunion.com,http://www.wwunion.com/,郭斐雯,會計部協理,2776-5567,Amelia.Kuo@wwunion.com,https://www.wwunion.com/?page_id=2389
4,2820,中華票券金融股份有限公司,華票,金融保險業,－,台北市內湖區堤頂大道二段99號4樓,12198359,張政權,魏政祥,涂國城,副總經理,陳協理柏鈞,(02)2799-1177,67/12/01,83/10/26,新台幣 10.0000元,13429600000,1342960000,0,0,個別,每年,股東會,中國信託商業銀行,(02)6636-5566,台北市重慶南路1段83號5樓,勤業眾信會計師事務所,陳盈州,林旺生,CBF,"4F., No.99, Sec. 2, Tiding Blvd., Neihu Dist., Taipei City 114, TaiwanTaipei,Taiwan,R.O.C.",(02)2659-2919,service@cbf.com.tw,http://www.cbf.com.tw,陳柏鈞,協理,02-27991177,chenrex@cbf.com.tw,http://www.cbf.com.tw/ct.asp?xItem=14418&CtNode=639&mp=1
5,2832,台灣產物保險股份有限公司,台產,金融保險業,－,臺北市館前路49號8樓,03557115,李泰宏,陳昭鋒,黃志傑,資深協理,林金何,(02)23821666,37/03/12,86/09/30,新台幣 10.0000元,3622004000,362200400,0,0,個別,每年,董事會,國票綜合證券股份有限公司,(02)25288988,台北市松山區南京東路五段188號15樓,勤業眾信聯合會計師事務所,林旺生,徐文亞,TFMI,8F 49 Kuan Chien RoadTaipei Taiwan,(02)23882555,finance@mail.tfmi.com.tw,https://www.tfmi.com.tw,黃志傑,資深協理,(02)23821666#196,gjhuang@tfmi.com.tw,https://www.tfmi.com.tw/investor_CG.aspx
6,2834,臺灣中小企業銀行股份有限公司,臺企銀,金融保險業,－,台北市塔城街三十號,03793407,林謙浩,張志堅,張佑銘,副總經理,林昌育,(02)25597171,39/09/23,87/01/03,新台幣 10.0000元,77431952950,7743195295,454267781,0,合併,每年,股東會,元大證券股份有限公司,(02)25865859,台北市大同區承德路三段210號B1,安侯建業聯合會計師事務所,鍾丹丹,陳俊光,TBB,"No.30 Ta Cheng St.Taipei, Taiwan, R.O.C.",(02)25506073,TBB@mail.tbb.com.tw,http://www.tbb.com.tw,林玉鳳,業務發展部副理,02-2559-7171#2112,p070449@mail.tbb.com.tw,https://www.tbb.com.tw/web/guest/-q-a
7,2836,高雄銀行股份有限公司,高雄銀,金融保險業,－,高雄市左營區博愛二路168號,79854797,董瑞斌,徐翠梅,陳守仁,副總經理,張榮泰,(07)557-0535,71/01/13,87/05/18,新台幣 10.0000元,12034444580,1163444458,0,40000000,個別,每年,股東會,元大證券股份有限公司股務代理部,(02)2586-5859,台北市承德路三段210號B1,國富浩華聯合會計師事務所,謝仁耀,蘇炳章,B.O.K,"168 Po Ai 2nd Road, Tsoying DistrictKaohsiung, Taiwan",(07)558-0529,0691@mail.bok.com.tw,www.bok.com.tw/,尤宜珍,主任秘書,(07)5590563,m0020@mail.bok.com.tw,www.bok.com.tw/
8,2838,聯邦商業銀行股份有限公司,聯邦銀,金融保險業,－,台北市松山區民生東路三段109號1、2樓,86380802,林鴻聯,許維文,李滿治,副總經理,楊巨昌,(02)2718-0001,80/12/31,87/06/29,新台幣 10.0000元,34952186940,3295218694,0,200000000,合併,每半會計年度,董事會,元富證券股份有限公司,(02)2768-6668,臺北市光復北路11巷35號地下一樓,勤業眾信聯合會計師事務所,黃瑞展,楊承修,UBOT,"1F.2F., No.109, Sec. 3, Minsheng E. Rd., Songshan DistrictTaipei City, Taiwan, R.O.C.",(02)2545-5169,103 0199@ubot.com.tw,www.ubot.com.tw,楊巨昌,副總經理,(02)2718-0001,Yanger_Yang@ubot.com.tw,www.ubot.com.tw/interestrelationship
9,2845,遠東國際商業銀行股份有限公司,遠東銀,金融保險業,－,"台北市敦化南路二段207號26, 27樓",86517096,侯金英,周添財,林建忠,執行副總經理,周心華,(02)2378-6868,81/01/11,87/11/27,新台幣 10.0000元,35139632360,3513963236,0,0,合併,每年,股東會,亞東證券股份有限公司,(02)7753-1699,新北市板橋區新站路16號13樓,勤業眾信聯合會計師事務所,陳俊宏,陳盈州,FEIB,"26, 27/F, No. 207 Tun Hwa S. Road, Sec. 2Taipei, Taiwan, R.O.C",(02)2376-5691,service@feib.com.tw,http://www.feib.com.tw,周心華,副總經理,(02)23765748,Shinhwa.Chou@feib.com.tw,https://www.feib.com.tw/csr/csr.aspx
10,2849,安泰商業銀行股份有限公司,安泰銀,金融保險業,－,臺北市信義區信義路五段7號16樓、40樓及41樓,86928561,丁予康,張振芳,張人偉,副總經理,蔡昱祺,81012277,82/01/14,88/09/27,新台幣 10.0000元,19579100500,1957910050,1063113402,0,個別,每年,股東會,群益金鼎證券股份有限公司,(02)27035000,台北市大安區敦化南路二段九十七號地下二樓,安侯建業聯合會計師事務所,陳奕任,鍾丹丹,EnTie Bank,"40F, Taipei 101 Tower ,7, Sec.5, Xin Yi Rd.,Taipei 110, Taiwan, R.O.C.Taipei,Taiwan,R.O.C",81016204,ir@entiebank.com.tw,http://www.entiebank.com.tw,蔡昱祺,協理,81016075,ir@entiebank.com.tw,http://www.entiebank.com.tw
11,2850,新光產物保險股份有限公司,新產,金融保險業,－,台北市建國北路二段十三號十一樓,03458403,吳昕紘,何英蘭,黃植原,資深副總,葉日進,(02)2507-5335,52/04/26,89/05/22,新台幣 10.0000元,3159633000,315963300,0,0,個別,每年,股東會,台新證券股務代理部,(02)25048125,台北市建國北路一段96號B1,安永聯合會計師事務所,傅文芳,張正道,SK Insurance,"5-12F, NO.13, Chienkuo N.Rd., Sec.2Taipei 104, Taiwan, R.O.C.",(02)2509-5634,stock@skinsurance.com.tw,www.skinsurance.com.tw,張寶貴,經理,(02)2507-5335#299,stock@skinsurance.com.tw,http://www.skinsurance.com.tw/SKI/NewsShow.aspx?uID=82
12,2851,中央再保險股份有限公司,中再保,金融保險業,－,台北市南京東路二段53號12樓,11081991,楊誠對,鄭靜芬,鄭靜芬,總經理,張允寧,02-25115211,57/06/12,89/07/06,新台幣 10.0000元,5903887500,590388750,0,0,個別,每年,股東會,本公司股務,02-25001668,台北市民生東路二段166號二樓,資誠聯合會計師事務所,陳賢儀,李秀玲,Central Re,"12F.,53 Nanking East Road, Section 2,Taipei,Taiwan, R.O.C.",02-25235350,centralre@centralre.com,http://www.centralre.com,洪瓊華,經理,02-25115211#341,Joannehung@centralre.com,http://www.centralre.com/content/information/information07.htm
13,2852,第一產物保險股份有限公司,第一保,金融保險業,－,台北市中正區忠孝東路一段五十四號,03359109,李正漢,呂秋敏,胡全緯,經理,蕭斐芬,23913271,51/09/04,89/11/28,新台幣 10.0000元,3011637840,301163784,0,0,個別,每年,股東會,華南永昌綜合證券股份有限公司,27186425,台北市松山區民生東路四段五十四號四樓,勤業眾信聯合會計師事務所,黃海悅,廖婉怡,FIRST INS,"54,Chung Hsiao East Road,Sec.1Taipei,Taiwan,R.O.C",23412864,corpgov@firstins.com.tw,http://www.firstins.com.tw,胡全緯,經理,(02)23913271 #2168,corpgov@firstins.com.tw,www.firstins.com.tw
14,2855,統一綜合證券股份有限公司,統一證,金融保險業,－,台北市東興路8號1樓,23218183,林寬成,蔡森部,安芝立,財務部副總,陳乃真,2747-8266,77/12/17,91/09/16,新台幣 10.0000元,14558313430,1455831343,0,0,合併,每年,股東會,統一綜合證券(股)公司股務代理部,2746-3797,台北市東興路8號B1,資誠聯合會計師事務所,林瑟凱,羅蕉森,PSC,"1F, No. 8, Dongxing Rd.Taipei 105, Taiwan, ROC",2746-3737,investor@uni-psg.com,https://www.pscnet.com.tw/,蘇煒倫,協理,2747-8266ext.3724,alansu@uni-psg.com,https://www.pscnet.com.tw/pscnetAbout/stakeholderArea.do
15,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
16,2867,三商美邦人壽保險股份有限公司,三商壽,金融保險業,－,臺北市信義路五段150巷2號6樓,84443471,陳翔玠,陳宏昇,曾裕芳,副總經理/財務長,方曙明,(02)23455511,82/06/12,101/12/18,新台幣 10.0000元,26695010440,2669501044,0,0,個別,每年,股東會,宏遠證券股份有限公司,(02)23268818,台北市信義路四段236號3樓,安侯建業聯合會計師事務所,周寶蓮,謝秋華,Mercuries Life,"6F , 2, LANE 150, SEC. 5, SIN-YI RD., TAIPEI, TAIWAN, R.O.C.",(02)27207438,ir@ mail.mli.com.tw,www.mli.com.tw,周曉婷,協理,(02)23455511#2300,ir@mail.mli.com.tw,http://www.mli.com.tw/MLI_Public/AboutUsDefault2.aspx?tid=Nav02&mid=40224
17,2880,華南金融控股股份有限公司,華南金,金融保險業,－,台北市信義區松仁路123號,70826764,張雲鵬,羅寶珠,林貴姬,副總經理,邱美卿,23713111,90/12/19,90/12/19,新台幣 10.0000元,131941449700,13194144970,0,0,合併,每年,股東會,華南永昌綜合證券股份有限公司,27186425,台北市民生東路4段54號四樓,勤業眾信聯合會計師事務所,吳怡君,張鼎聲,HNFHC,"No. 123, Songren Rd. Xinyi Dist, Taipei City 110, Taiwan (R.O.C)Taipei Taiwan",87291943,public@hnfhc.com.tw,www.hnfhc.com.tw,林琪敏,襄理,2371-3111#6318,carine.lin@hnfhc.com.tw,https://www.hnfhc.com.tw/HNFHC/csr/a.do?id=3b65bd63080000007efe&parent_menu=1
18,2881,富邦金融控股股份有限公司,富邦金,金融保險業,－,臺北市中山區遼寧街179號15樓、16樓,03374805,蔡明興,韓蔚廷,韓蔚廷,總經理,王瑋,6636-6636,90/12/19,90/12/19,新台幣 10.0000元,134049543940,11804964394,0,1599990000,合併,每年,股東會,富邦綜合證券(股)公司股務代理部,2361-1300,台北市100中正區許昌街十七號二樓,安侯建業聯合會計師事務所,李逢暉,于紀隆,Fubon Financial,"15~16F., No. 179, Liaoning St., Zhongshan Dist., Taipei City104 , TaiwanTaipei Taiwan",6636-0111,pr@fubon.com,www.fubon.com,王家慧,資深協理,6636-6636 ext.57402,ir@fubon.com,www.fubon.com/financialholdings/citizenship/stakeholders/way.html
19,2882,國泰金融控股股份有限公司,國泰金,金融保險業,－,台北市仁愛路四段296號,70827406,蔡宏圖,李長庚,鄧崇儀,資深副總經理,陳晏如、孫至德,27087698,90/12/31,90/12/31,新台幣 10.0000元,147025101280,13169210128,0,1533300000,合併,每年,股東會,國泰金控行政管理部股務科,27087698#9,台北市仁愛路四段296號,勤業眾信聯合會計師事務所,郭政弘,林淑婉,CATHAY HOLDINGS,"296,Ren-Ai Road, Sec. 4Taipei,106 Taiwan, R.O.C",23252488,services@cathayholdings.com.tw,www.cathayholdings.com,張雅柔,協理,27087698#7749,yajouchang@cathayholdings.com.tw,www.cathayholdings.com/holdings/
20,2883,中華開發金融控股股份有限公司,開發金,金融保險業,－,台北市松山區敦化北路135號8、12、13及18樓,70827383,張家祝,Stefano Paolo Bertamini,張立荃,資深副總經理,潘玲嬌、黃碧玲,02-27638800,90/12/28,90/12/28,新台幣 10.0000元,190827033970,17189659800,0,1893043597,合併,每年,股東會,凱基證券股份有限公司股務代理部,02-23892999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,吳怡君,柯志賢,CDF,"8, 12, 13, & 18F, No.135, Dunhua N. Rd, Songshan Dist,Taipei City 10549, Taiwan (R.O.C.)",02-27635139,ir@cdibh.com,www.cdfholding.com,黎亮吟,資深協理,02-2763-8800 #1508,ir@cdibh.com,https://www.cdibh.com/ch/CSR/Governance/StakeholderEngagement
21,2884,玉山金融控股股份有限公司,玉山金,金融保險業,－,台北市松山區民生東路3段117號14樓及115號1樓,70796305,黃永仁,陳美滿,陳美滿,玉山金控總經理,林俊佑,(02)2175-1313,91/01/28,91/01/28,新台幣 10.0000元,133546000000,13354600000,0,0,合併,每年,股東會,玉山金控行政管理部(股務),(02)2719-1313,台北市松山區民生東路3段115號1樓,勤業眾信聯合會計師事務所,陳盈州,楊承修,E.S.F.H,"14F., No. 117 and 1F., No.115 ,Sec. 3,Min Sheng E. Road,Taipei, Taiwan, R.O.C.",(02)2713-7213,tonycheng-06795@email.esunbank.com.tw,http://www.esunfhc.com.tw,蕭啟偉,科長,+886 2 21751313#9347,ir@email.esunbank.com.tw,http://www.esunfhc.com.tw
22,2885,元大金融控股股份有限公司,元大金,金融保險業,－,台北市松山區敦化南路1段66號6樓、10樓、12樓及13樓,70796749,申鼎籛,翁健,翁健,總經理,麥煦書、吳敬堂,02-27811999,91/02/04,91/02/04,新台幣 10.0000元,121374359140,12137435914,0,0,合併,每年,股東會,元大證券(股)公司股務代理部,02-25865859,台北市承德路三段210號地下一樓,資誠聯合會計師事務所,周建宏,羅蕉森,Yuanta Group,"6F, 10F, 12F - 13F, No. 66 , Sec. 1, Dun Hua S. RoadTaipei, Taiwan, R.O.C.",02-27721585,yuantatsec@yuanta.com,http://www.yuanta.com,陳姿妙,資深經理,02-27811999,ir.fhc@yuanta.com,https://www.yuanta.com/TW/CSR/Stakeholder-Engagement
23,2886,兆豐金融控股股份有限公司,兆豐金,金融保險業,－,台北市忠孝東路二段123號14至17樓、20至21樓,70796754,張兆順,胡光華,林瑞雲,副總經理,李靜怡,2357-8888,91/02/04,91/02/04,新台幣 10.0000元,135998239830,13599823983,0,0,合併,每年,股東會,元大證券股份有限公司,(02)2586-5859,10366台北市大同區承德路三段210號B1,資誠聯合會計師事務所,紀淑梅,郭柏如,MEGA FHC,"14~17F,20~21F, No.123, SEC. 2, Jhongsiao E. Rd.Taipei, Taiwan, R.O.C.",3393-8755,jlc@megaholdings.com.tw,www.megaholdings.com.tw,林志維,投資人關係專案經理,23578888#309,IR@megaholdings.com.tw,http://www.megaholdings.com.tw/tc/StakeArea.aspx
24,2887,台新金融控股股份有限公司,台新金,金融保險業,－,台北市大安區仁愛路4段118號12、13、15、16、21、22及23樓,80328055,吳東亮,林維俊,林維俊,總經理,賴昭吟,02-23268888,91/02/18,91/02/18,新台幣 10.0000元,122093831700,11409383170,0,800000000,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路1段96號地下一樓,勤業眾信聯合會計師事務所,方涵妮,楊清鎮,TaishinHoldings,"12F. 13F. 15F. 16F. 21F. 22F. 23F., No. 118, Sec. 4, Ren-ai Rd., Da-an Dist.,Taipei City, Taiwan (R.O.C.)",02-37076889,netbank@taishinbank.com.tw,https://www.taishinholdings.com.tw/tsh/,陳慧芸,資深協理/投資人關係組,02-55762334,IR@taishinholdings.com.tw,https://www.taishinholdings.com.tw/tsh/responsibility/stakeholder/interaction/
25,2888,新光金融控股股份有限公司,新光金,金融保險業,－,台北市中正區忠孝西路一段66號38樓,80328219,許澎,吳欣儒,李超儒,副總經理,呂雅茹,02-23895858,91/02/19,91/02/19,新台幣 10.0000元,143387720500,14041772050,0,297000000,合併,每年,股東會,元富證券股份有限公司股務代理部,02-2768-6668,台北市松山區光復北路11巷35號地下一樓,勤業眾信聯合會計師事務所,林旺生,賴冠仲,SKFH,"66,SEC.1,CHUNG-HSIAO W.RD.TAIPEI,TAIWAN,R.O.C.",23892868,skl041@skl.com.tw,https://www.skfh.com.tw,王馨慧,投資人關係專案經理,02-2389-5858#3833,ir@skfh.com.tw,https://www.skfh.com.tw
26,2889,國票金融控股股份有限公司,國票金,金融保險業,－,台北市樂群三路128號17樓,80330257,魏啟林,魏啟林(暫代),邱銘恩,副總經理,黃朝泰,(02)77520088,91/03/26,91/03/26,新台幣 10.0000元,29975085550,2997508555,0,0,合併,每年,股東會,國票綜合證券(股)公司股務代理部,(02)2528-8988,台北市松山區南京東路五段188號15樓,資誠聯合會計師事務所,紀淑梅,林維琪,IBF,"17F., No. 128, Lequn 3rd Rd., Zhongshan Dist.,Taipei,104 Taiwan R.O.C",(02)77520099,services@ibf.com.tw,www.ibf.com.tw,孫亞文,資深副理,02-77580052,Hermia@ibf.com.tw,www.ibf.com.tw
27,2890,永豐金融控股股份有限公司,永豐金,金融保險業,－,台北市中山區八德路2段306號3樓、5至13樓及308號6樓之1、6樓之2,80333183,陳思寬,朱士廷,許如玫,財務長,蕭隆祺,(02)8161-8935,91/05/09,91/05/09,新台幣 10.0000元,112810541060,11271054106,0,10000000,合併,每年,股東會,永豐金證券公司股務代理部,(02)2381-6288,台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,吳美慧,郭政弘,SINOPACHOLDINGS,"3F、5~13F.,No.306&6F-1、6F-2.,No.308,Sec.2,Bade RoadTaipei 104,Taiwan,R.O.C.",(02)8161-8932,Investor-Relations@sinopac.com,http://www.sinopac.com,林茹靖,專業協理,(02)8161-8935ext1983,Investor-Relations@sinopac.com,http://www.sinopac.com/interestRelationship/20170210145654630000000000000426.html
