,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1432,大魯閣實業股份有限公司,大魯閣,貿易百貨,－,台中市東區復興路4段186號,04690983,林曼麗,謝國棟,許俊麒,總顧問,羅淑敏,0436118888,62/07/18,71/07/26,新台幣 10.0000元,900000000,90000000,0,0,合併,每年,股東會,華南永昌綜合證券股份有限公司,02-27186425,台北市民生東路四段54號4樓,資誠聯合會計師事務所,蕭春鴛,劉美蘭,TAROKO,"No186, Sec 4, Fusing Rd., East Dist.,Taichung, Taiwan, R.O.C.",0436080809,taroko@taroko.com.tw,http://www.taroko.com.tw/c/index.php,許俊麒,總顧問,0436118888,http://www.taroko.com.tw/c/csr_person.php,http://www.taroko.com.tw/c/csr_person.php
1,2601,益航股份有限公司,益航,貿易百貨,－,台北市復興南路二段237號14樓,03353007,郭人豪,郭人豪,林燕玲,董事會秘書處協理,柯俐羽,27069911,52/10/08,54/11/04,新台幣 10.0000元,8347760670,834776067,0,0,合併,每年,股東會,凱基證券股份有限公司,(02)2389-2999,台北市中正區重慶南路一段2號5樓,安侯建業聯合會計師事務所,張淑瑩,賴麗真,FSC,"14th Fl., No.237, Fuhsing S. Rd.,Sec. 2Taipei, Taiwan, R.O.C",27069922,firsteam@firsteam.com.tw,www.firsteam.com.tw,林燕玲,董事會秘書處協理,23267635,ballylin@firsteam.com.tw,http://www.firsteam.com.tw/investors_info.html
2,2901,欣欣大眾市場股份有限公司,欣欣,貿易百貨,－,台北市林森北路247號,11364230,尤志煌,孟正光,孟正光,總經理,方星云,25212211,60/04/15,65/05/07,新台幣 10.0000元,730432830,73043283,0,0,個別,每年,股東會,群益 金鼎證券〈股〉股務代理部,(02)2703-5000,(10601) 台北市大安區敦化南路二段97號B2,正風聯合會計師事務所,周銀來,鄭憲修,SHIN SHIN,247.Lin Shen N. RoadTaipei. Taiwan R.O.C.,02-55826637,star@shinshinltd.com.tw,www.shinshinltd.com.tw,孟正光,總經理,25212211-555,sandyfang@shinshinltd.com.tw,http://www.shinshinltd.com.tw/#/contact
3,2903,遠東百貨股份有限公司,遠百,貿易百貨,－,新北市板橋區新站路16號18樓,03521905,徐旭東,徐雪芳,湯治亞,副總經理,王明倫,(02)77278168,56/08/31,67/10/11,新台幣 10.0000元,14169405890,1416940589,0,0,合併,每年,股東會,亞東證券股份有限公司,(02)7753-1699,新北市板橋區新站路16號13樓,勤業眾信聯合會計師事務所,葉淑娟,卓明信,FEDS,"18F, No.16. Xinzhan Rd., Banqiao Dist.,New Taipei City 220, Taiwan, R.O.C.",(02)77380752,service@feds.com.tw,http://www.feds.com.tw,湯治亞,副總經理/財務長,(02)7727-8168,irjt@feds.com.tw,http://fedsenews.com.tw/csr/LeadTheIndustry/Stakeholder.aspx
4,2905,三商投資控股股份有限公司,三商,貿易百貨,－,台北市建國北路二段145號,11052709,陳翔立,陳翔立,王志華,副總經理,陳德開,25031111,54/02/19,77/09/19,新台幣 10.0000元,9131067480,913106748,0,0,合併,每年,股東會,宏遠證券股份有限公司股務代理部,02-7719-8899,台北市信義路四段236號3樓,立本台灣聯合會計師事務所,劉克宜,張書成,MERCURIES,"145, SEC. 2 CHIEN KUO N. ROAD,TAIPEI, TAIWAN R.O.C.",25047260,ginger@mercuries.com.tw,http://www.mercuries.com.tw,陳德開,副總經理,(02) 25031111#5333,tk.chin@mercuries.com.tw,http://www.mercuries.com.tw
5,2906,高林實業股份有限公司,高林,貿易百貨,－,台北市105敦化北路201號6樓,11547230,李忠良,李忠良,王培煜,副總經理,柯懷博,02-27125311,58/05/05,78/12/26,新台幣 10.0000元,2091110930,209111093,0,0,合併,每年,股東會,元富證券(股)公司股務代理部,02-27686668,台北市光復北路11巷35號地下1樓,安侯建業會計師事務所,黃明宏,唐嘉鍵,Collins,"6F, 201 Tung-Hwa N. Rd.Taipei, Taiwan, ROC",02-27175408,cust@email.collins.com.tw,www.collins.com.tw,王培煜,副總經理,02-27125311,Perry@email.collins.com.tw,http://www.collins.com.tw/cms/3791.html
6,2908,特力股份有限公司,特力,貿易百貨,－,台北市內湖區新湖三路23號6樓,20795246,李麗秋,李麗秋董事長代理總經理,林素玲,副總經理,張嘉宏,(02)8791-5888,67/08/10,82/02/18,新台幣 10.0000元,5098875580,509887558,0,0,合併,每年,董事會,元大證券股份有限公司,(02)2586-5859,(103)台北市大同區承德路三段210號B1,勤業眾信聯合會計師事務所,許晉銘,邱明玉,Test Rite,"6F, No. 23, Hsin Hu 3rd.,Taipei, Taiwan, R.O.C.",(02)8791-5950,fin-stock@testritegroup.com,www.testritegroup.com,張嘉宏,副總經理,(02)8791-5041,Eric-JH.Chang@testritegroup.com,http://www.testritegroup.com/GWS/zh_TW/
7,2910,統領百貨股份有限公司,統領,貿易百貨,－,台北市大安區忠孝東路四段197號10樓之6,20937863,蘇建義,翁華利,陳文隆,副總經理,黃淑姿,02-27522222,71/08/18,85/12/30,新台幣 10.0000元,2087250000,208725000,0,0,合併,每年,董事會,福邦證券股份有限公司,02-23711658,台北市中正區忠孝西路一段6號6樓,勤業眾信會計事務所,黃秀椿,陳俊宏,TONLIN,"10F-6,NO.197 Chung Hsiao E.Rd.,Sec.4,Taipei,Taiwan,R.O.C",02-87714295,tonlin @ms19.hinet.net,WWW.tonlin.com.tw,陳文隆,副總經理,02-27522222-501,stephen@tp.tonlin.com.tw,http://www.tonlin.com.tw/front/bin/ptdetail.phtml?Part=about_tonlin&Category=418709&PartPage=1
8,2911,麗嬰房股份有限公司,麗嬰房,貿易百貨,－,台北市內湖區陽光街321巷60號,04377371,林柏蒼,張育韶,張育韶,總經理,蔡明錡,87976699,62/06/18,86/01/18,新台幣 10.0000元,1846777750,184677775,0,0,合併,每年,董事會,永豐金證券股務代理部,23816288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,葉淑娟,翁雅玲,Les enphants,"No.60,Lane321,Yang-kwang StreetTaipei Taiwan R.O.C",87978698,IR@lesenphants.com.tw,http://www.enphants.com/c/index.php,張育韶,總經理,(02) 8797-6699,ir@lesenphants.com.tw,http://www.enphants.com/c/stakeholder.php
