,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1201,味全食品工業股份有限公司,味全,食品工業,－,台北市松江路125號,11347802,陳宏裕,張教華,黃國禎,財務長,陳盟元,(02)25065020,42/09/22,51/02/09,新台幣 10.0000元,5060629140,506062914,0,0,合併,每年,董事會,元大證券股務代理部,(02)25865859,台北市大同區承德路3段210號地下一樓,資誠聯合會計師事務所,吳郁隆,黃世鈞,WEI CHUAN,"10F., No.125, Sung Chiang Rd.Taipei, Taiwan, R.O.C.",(02)25063182,service@weichuan.com.tw,http://www.weichuan.com.tw,黃國禎,財務長,(02)25065020,KC_Huang@weichuan.com.tw,http://www.weichuan.com.tw/investor
1,1203,味王股份有限公司,味王,食品工業,－,台北市中山北路二段79號5樓,07067309,陳清福,陳恭平,魏璟雄,經理,李兆弘,(02)25717271,48/07/04,53/08/24,新台幣 10.0000元,2400000000,240000000,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,27023999,台北市敦化南路二段97號地下2樓,大中國際聯合會計師事務所,林寬照,溫明郁,VE WONG,"5TH FL., 79 CHUNG SHAN N. RD., SEC.2TAIPEI TAIWAN",(02)25811006,wei@vewong.com.tw,http://www.vewong.com,魏璟雄,經理,(02)25717271-610,wei@vewong.com.tw,http://www.vewong.com/ec99/ushop20069/profile_9.asp
2,1210,大成長城企業股份有限公司,大成,食品工業,－,台南市永康區蔦松二街三號,73008303,韓家宇,莊坤炎,周叔恆,特助,夏銜譽,06-2531111,49/12/28,67/05/20,新台幣 10.0000元,8521592590,852159259,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段八十三號六樓,安侯建業會計師事務所,鍾丹丹,陳眉芳,GREATWALL,3 NIAOSUN 2TH STREETYONGKONG TAINAN CONTY TAIWAN,06-2534596,ir@ms.greatwall.com.tw,http://www.dachan.com,周叔恆,特助,02-26577111,ir@ms.greatwall.com.tw,https://www.dachan.com/forward4?subChannelId=736&id=736&contentId=&subChannelLevel=2
3,1213,大西洋飲料股份有限公司,大飲,食品工業,－,新北市三重區重陽路三段99號10樓,35012903,蘇芸樂,張芳春,于忠敏,處長,洪松輝,(02)2982-0061,54/07/24,70/04/10,新台幣 10.0000元,566226270,56622627,0,0,合併,每年,股東會,大西洋飲料股份有限公司,(02)2982-0061,新北市三重區重陽路三段99號10樓,南台聯合會計師事務所,丁澤祥,蔡玉琴,N,"10F,99,Sec.3,Chung Yang Road,San Chung City,Taipei Hsien,Taiwan,R.O.C.",(02)2984-1154,c5012903@ms23.hinet.net,http://applesidra.com.tw,陳恩幼,課長,02-29820061#276,c5012903@ms23.hinet.net,http://applesidra.com.tw
4,1215,台灣卜蜂企業股份有限公司,卜蜂,食品工業,－,台北市松江路八十七號十七樓,36514783,鄭武樾,許瑞通,劉明哲,特別助理,謝筱芬,02-25077071,66/08/22,76/07/27,新台幣 10.0000元,2679909980,267990998,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段八十三號五樓,資誠聯合會計師事務所,林一帆,廖福銘,CPE,"17F., 87 Sung Chiang Road,Taipei, Taiwan 104",02-25064137,service@cptwn.com.tw,http://www.cptwn.com.tw,劉明哲,特別助理,02-25077071,service@cptwn.com.tw,http://www.cptwn.com.tw/cpwebsite/profile6.html
5,1216,統一企業股份有限公司,統一,食品工業,－,71001台南市永康區中正路301號,73251209,羅智先,黃釗凱、李清田,陳國煇,財務長,涂忠正,(06)253-2121,56/08/25,76/12/28,新台幣 10.0000元,56820154210,5682015421,0,0,合併,每年,股東會,統一綜合證券(股)公司股務代理部,(02)2746-3797,10570台北市松山區東興路8號統一大樓地下室一樓,資誠聯合會計師事務所,林姿妤,田中玉,UNI-PRESIDENT,"No.301, Zhongzheng Rd., Yongkang Dist.,Tainan City 71001, Taiwan (R.O.C.)",(06)253-2661,jlian@mail.pec.com.tw,https://www.uni-president.com.tw,吳婉瑜,課長,(02)8786-6888-2536,public@mail.pec.com.tw,https://www.uni-president.com.tw/
6,1217,愛之味股份有限公司,愛之味,食品工業,－,嘉義縣民雄鄉工業二路11號,65534366,陳冠翰,陳志展,陳冠翰,董事長,陳志展 陳建華 蕭宏基,05-2211521-4,60/06/26,78/10/28,新台幣 10.0000元,4945133360,494513336,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號地下二樓,國富浩華聯合會計師事務所,蔡淑滿,李青霖,AGV,"NO.11,Kung Yeh Second Rd.,Min Hsiong Industrial ZoneChiayi Hsien,Taiwan",05-2216287,YUEHCHU@mail.agv.com.tw,www.agv.com.tw,蔡月足,總監,05-2211521,YUEHCHU@mail.agv.com.tw,www.agv.com.tw
7,1218,泰山企業股份有限公司,泰山,食品工業,－,彰化縣田中鎮興工路6號,59661701,詹景超,蔡政達,劉韋辰,經理,彭碧珍,04-8742211,39/10/26,78/11/11,新台幣 10.0000元,4999990380,499999038,0,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,台北市承德路三段210號B1,安侯建業聯合會計師事務所,黃欣婷,曾國禓,TAISUN,"No.6, Xinggong Rd., Tianzhong Township.Changhua County 520, Taiwan (R.O.C.)",04-8758989,taisunir@taisun.com.tw,www.taisun.com.tw,劉韋辰,經理,02-2506-4152#9350,taisunir@taisun.com.tw,http://www.taisun.com.tw/corporate/stakeholder/
8,1219,福壽實業股份有限公司,福壽,食品工業,－,台中市沙鹿區沙田路45號,56192402,洪堯昆,洪碩嬪,王四全,特助,陳祺炆,04-26362111,44/02/07,79/12/01,新台幣 10.0000元,3220138870,322013887,0,0,合併,每年,股東會,凱基證券股份有限公司,02-23892999,100台北市重慶南路一段2號5樓?,群智聯合會計師事務所,呂松裕,陳芓伃,FWUSOW,"45,Sha-Tyan,Sha-LuTaichung Taiwan R.O.C",04-26358452,fwusow@fwusow.com.tw,www.fwusow.com.tw,王四全,特助,04-26362111#210,scwang@fwusow.com.tw,http://www.fwusow.com.tw/information/itemlist/category/52.html
9,1220,台榮產業股份有限公司,台榮,食品工業,－,台北市中山區南京東路二段206號6樓,03543210,陳英凱,陳英凱,陳玉能,副總經理,黃棣楨,(02)2506-9521,58/03/13,80/11/20,新台幣 10.0000元,1770779440,177077944,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號5樓,立本台灣聯合會計師事務所,柯俊輝,陳怡琳,TAIROUN,"6TH FL. NO. 206. NANKING E. RD., SEC. 2Taipei,Taiwan,ROC",(02)2507-7020,jushan@tairoun.com.tw,http://www.tairoun.com.tw/,陳玉能,副總經理,(02)2506-9521,otto@tairoun.com.tw,http://www.tairoun.com.tw/relationship.html
