,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1342,八貫企業股份有限公司,八貫,其他,－,宜蘭縣冬山鄉德興四路6號,12386676,劉宗熹,劉宗熹,李宏毅,副總經理,施麗芬,03-9109568,71/06/17,109/11/24,新台幣 10.0000元,678453630,67845363,0,0,個別,每年,股東會,富邦綜合證券(股)公司股務代理部,(02)2361-1300,台北市中正區許昌街17號2樓,安永聯合會計師事務所,黃建澤,傅文芳,CCI Yilan,"No.6, Dexing 4th Rd., Dongshan TownshipYilan County 26950, Taiwan (R.O.C)",03-9903297,investor@cathayconsolidated.com,http://www.cathayconsolidated.com,李宏毅,副總經理,03-9109568,investor@cathayconsolidated.com,http://www.cathayconsolidated.com
1,1416,廣豐實業股份有限公司,廣豐,其他,－,台北市大安區敦化南路2段97號28樓,43434316,賀錫敬,黃麗玲,陳素靜,會計經理,陳宗慈,02-27048111,57/06/28,65/04/20,新台幣 10.0000元,1853421680,185342168,0,0,合併,每年,股東會,元大證券股份有限公司,2586-5859,台北市承德路三段210號B1,資誠聯合會計師事務所,賴宗羲,支秉鈞,KFIC,"28th Floor, No. 97, Section 2, Dunhua South Road, Da'an District, Taipei City(Taipei,Taiwan",02-27061881,s.j.chern@kfic.com.tw,www.kfic.com.tw,陳素靜,會計經理,02-27048111#828,s.j.chern@kfic.com.tw,http://www.kfic.com.tw/shareholders.html
2,1435,中福國際(股)公司,中福,其他,－,新北市中和區景平路666號2樓,03101946,黃立中,黃立中,廖桂珍,稽核室副總經理,許美瑩,(02)82422881,60/01/15,76/12/28,新台幣 10.0000元,1397800800,139780080,0,0,合併,每年,股東會,元大證券(股)公司股務代理部,(02)25865859,台北市大同區承德路三段210號B1,正大聯合會計師事務所,羅裕民,劉慧萍,C.F.CORP.,"2FL., No. 666, JING PING RD.,ZHONGHE DIST,NEWTAIPEI CITY, R.O.C.",(02)22451043,stock@chungfutex.com.tw,www.chungfutex.com.tw,廖桂珍,稽核室副總經理,(02)82422881,cftex@tpts6.seed.net.tw,www.chungfutex.com.tw
3,1437,勤益投資控股股份有限公司,勤益控,其他,－,台北市大安區忠孝東路4段320號9樓,35535607,顧肇基,顧立楷,馮于珍,會計部協理,曾瑞澤,(02)2741-5000,50/02/23,77/11/10,新台幣 10.0000元,2033712840,203371284,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,10008台北市中正區重慶南路一段83號5樓,安侯建業聯合會計師事務所,趙敏如,王勇勝,GTM,"9F,320 Zhong Xiao E. Rd. Sec.4,Taipei, Taiwan 10694Taipei Taiwan R.O.C",(02)2776-5073,gtm@gtm.com.tw,http://www.gtm.com.tw,馮于珍,會計部協理,(02)2741-5000,gtm@gtm.com.tw,http://www.gtm.com.tw/web/stakeholder/stakeholder.jsp
4,1443,立益紡織股份有限公司,立益,其他,－,台北市大同區西寧北路70號6樓,04287483,蘇東榮,蘇慶源,蘇東榮,董事長,王建中,(02)25557680,61/11/25,79/04/21,新台幣 10.0000元,1353430110,135343011,0,0,合併,每年,股東會,元富證券股份有限公司股務代理科,(02)27686668,台北市松山區光復北路11巷35號地下一樓,國富浩華聯合會計師事務所,陳桂美,王戊昌,LILYTEXTILE,"6TH FLOOR 70,HSI NING NORTH ROAD.TAIPEI,TAIWAN,R.O.C",(02)25587492,lily161@ms31.hinet.net,www.lily.com.tw,王建中,協理,(02)25598230,lily161@ms31.hinet.net,www.lily.com.tw
5,1516,川飛能源股份有限公司,川飛,其他,－,台北市信義區光復南路495號6樓之5,22071751,謝秀娟,胡立三,胡立三,總經理,暫缺,02-27200095,75/02/20,84/04/01,新台幣 10.0000元,356841740,35684174,0,0,個別,每年,股東會,國票綜合證券(股)公司代理部,02-25288988,臺北市松山區南京東路五段188號15樓,安永聯合會計師事務所,羅筱靖,洪茂益,FALCON,"6F-5., No.495, Guangfu S. Rd., Xinyi District,Taipei City 110, Taiwan (R.O.C.)",02-27584414,falconpower123@yahoo.com.tw,www.falconpower.com.tw,胡立三,總經理,02-27200095,falconpower123@yahoo.com.tw,www.falconpower.com.tw/investor_2.html
6,2062,橋椿金屬股份有限公司,橋椿,其他,－,台中市西屯區市政路386號22樓~23樓,59353423,楊慶祺,楊慶祺,楊淑絹,執行長室資深特助,吳永富,04-22582062,73/07/09,96/11/16,新台幣 10.0000元,1999941520,199994152,0,0,合併,每年,董事會,元大證券股份有限公司,(02)2586-5859,台北市承德路三段210號地下一樓,勤業眾信聯合會計師事務所,蔣淑菁,吳麗冬,SSM,"22F~23F.,NO.386,Shizheng RoadTaichung City,Taiwan R.O.C.",04-25658889,ir@sunspring.com.tw,http://www.sunspring.com.tw,吳永富,協理,04-22582062,ir@sunspring.com.tw,www.sunspring.com.tw
7,2348,海悅國際開發股份有限公司,海悅,其他,－,台北市松山區敦化北路260號7樓,22624873,黃希文,王俊傑,王俊傑,總經理,黃江煌,02-87122888,76/08/12,85/01/05,新台幣 10.0000元,1364619250,106461925,0,30000000,合併,每年,股東會,群益金鼎證券股份有限公司,02-27023999,北市敦化南路二段97號地下二樓,勤業眾信聯合會計師事務所,陳培德,郭俐雯,Hiyes,"7F, No. 260, Dunhua N. Rd.,Taipei, Taiwan, R.O.C.",02-87128308,spokesman1@hiyes.com,www.hiyes-group.com.tw,黃江煌,財務主管,87122888,spokesman2@hiyes.com,www.hiyes-group.com.tw
8,2358,廷鑫興業股份有限公司,廷鑫,其他,－,台南市仁德區保安路一段68號,22447526,顏德新,顏兆鑫,蔡坤宏,財務部協理,黃麗貞,06-2664126,76/05/01,85/12/18,新台幣 10.0000元,1246161720,124616172,26674393,0,合併,每年,董事會,福邦證券股份有限公司股務代理部,02-2371-1658,台北市中正區忠孝西路一段6號6樓,安侯建業聯合會計師事務所,郭士華,張字信,TS,"Baoan Rd., Sec. 1, No. 68Rende Dist., Tainan City, Taiwan",06-2664983,sales@ts-metal.com.tw,http://www.tingsin.com.tw,蔡坤宏,財務部協理,04-22521638,cloud.tsai@ts-metal.com.tw,http://www.tingsin.com.tw
9,2443,昶虹國際股份有限公司,昶虹,其他,－,台北市中山區松江路3號7樓之5,97165506,林俊輝,林俊輝,林俊輝,董事長,葉芳琪,03-5907070,85/09/12,90/01/03,新台幣 10.0000元,1456870000,145687000,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號B1,正風聯合會計師事務所,曾國富,賴永吉,LEAD DATA INC.,"7F.-5, No. 3, Songjiang Rd.Taipei City , Taiwan (R.O.C.)",03-5900745,SALES@LEADDATA.COM.TW,WWW.LEADDATA.COM.TW,林俊輝,董事長,03-5907070,ld2443@leaddata.com.tw,WWW.LEADDATA.COM.TW
