,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1708,東南實業股份有限公司,東鹼,化學工業,－,台北市敦化南路2段99號23樓,11384405,陳榮元,黃志成,劉志勇,副總經理,朱經雲,27047272,46/03/02,75/06/16,新台幣 10.0000元,2490016510,249001651,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路1段83號5樓,安侯建業聯合會計師事務所,黃明宏,黃柏淑,SESODA,"23F,No.99 ,Sec 2,Dunhua S. RD.,Taipei, Taiwan",27043380,taipei@sesoda.com.tw,www.sesoda.com.tw,朱經雲,副理,27047272 #233,ella@sesoda.com.tw,http://www.sesoda.com.tw/chinese/investors.html
1,1709,和益化學工業股份有限公司,和益,化學工業,－,台北市南京東路二段二Ｏ六號十四樓,04312878,黃勝材,林春成,黃俊哲,協理,林立人經理,02-25071234,62/06/21,75/07/03,新台幣 10.0000元,4770162720,477016272,0,0,合併,每年,股東會,和益化學工業股份有限公司,02-25071234,台北市南京東路二段二Ｏ六號十三樓之５,勤業眾信聯合會計師事務所,莊文源,龔則立,FUCC,"14F,NO.206,SEC.2,NANKING E.RD.TAIPEI,TAIWAN R.O.C",02-25071664,fucc@fucc.com.tw,http://www.fucc.com.tw,黃俊哲,協理,02-25071234,oakes@fucc.com.tw,http://www.fucc.com.tw/fucc/fucc_index_retailer1.asp
2,1710,東聯化學股份有限公司,東聯,化學工業,－,台北市復興北路101號13樓,14057995,徐旭東,蔡錫津,蔡鎮江,副總經理,俞瀛琁,27193333,64/12/22,76/10/21,新台幣 10.0000元,8857030290,885703029,0,0,合併,每年,股東會,亞東證券,7753-1699,新北市板橋區新站路16號13樓,勤業眾信會計師事務所,戴信維,范有偉,OUCC,13TH FL. 101 FU-HSING N. RD.TAIPEI R.O.C,27191858,danielyu@oucc.com.tw,http://www.oucc.com.tw,蔡鎮江；陳澤釧,副總；資深經理,02-27193333,cktsai@oucc.com.tw；jasonchen@oucc.com.tw,http://www.oucc.com.tw/tw/green_05.asp
3,1711,臺灣永光化學工業股份有限公司,永光,化學工業,－,台北市敦化南路二段77號5~6樓,15458455,陳建信,陳偉望,翁國彬,財務處處長,李明文,(02)27066006,61/09/07,77/12/27,新台幣 10.0000元,5477522260,547752226,0,0,合併,每年,董事會,兆豐證券股務代理部,02-33930898,台北市忠孝東路二段95號1樓,安侯建業聯合會計師事務所,唐嘉鍵,陳雅琳,EVERLIGHT,"5~6Floor,No.77,Sec.2,Tun Hua South RoadTaipei,Taiwan,Republic of China",02-23263595,finance@ecic.com.tw,https://www.ecic.com/,翁國彬,財務處處長,27066006#190,spokesman@ecic.com.tw,https://www.ecic.com/csr/stakeholder/
4,1712,興農股份有限公司,興農,化學工業,－,臺中市大肚區南榮路101號1樓,51911712,洪博彥,顏子芳,余奎儒,副總經理,賴慧娟,04-26933841,52/11/20,78/12/14,新台幣 10.0000元,4204925850,420492585,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號地下二樓,勤業眾信聯合會計師事務所,蘇定堅,曾棟鋆,SINON,"No.101, Nanrong Road, Dadu District,Taichung City 43245, Taiwan (R.O.C.)",04-26937639,stock@sinon.com.tw,www.sinon.com.tw,余奎儒,副總經理,(04)26937689,kryu@sinon.com.tw,https://www.sinon.com.tw/csr/
5,1713,國泰化工廠股份有限公司,國化,化學工業,－,台北市忠孝東路四段320號12樓,03375001,應柔爾,洪志成,林淑珍,副總經理,蔡淑貞,(02)27811161,51/12/11,79/01/31,新台幣 10.0000元,1509517000,150951700,0,0,個別,每年,股東會,凱基證券(股)公司股務代理部,(02)23892999,台北市重慶南路一段二號五樓,安永聯合 會計師事務所,林素雯,楊智惠,CCW,"12F,320,Section 4, Chung Hsiao East RoadTaipei,Taiwan",(02)27520332,cc511211@ms22.hinet.net,www.ccwi.com.tw,林淑珍,副總經理,886-2-27811161,cc511211@ms22.hinet.net,www.ccwi.com.tw
6,1714,和桐化學股份有限公司,和桐,化學工業,－,高雄市仁武區竹後里竹工二巷1號,12526607,張立秋,陳怡如,林惠燕,會計部資深經理,陳慧甄,89769268,69/08/01,80/08/30,新台幣 10.0000元,10168248080,1016824808,0,0,合併,每年,股東會,和桐化學股份有限公司,89769289,新北市五股區中興路一段六號1樓,資誠聯合會計師事務所,賴宗羲,王照明,HO TUNG,"No.1, Zhugong 2nd Ln., Renwu Dist.,Kaohsiung City, Taiwan (R.O.C.)",89769269,lin@htgroup.com.tw,www.htgroup.com.tw,林惠燕,會計部資深經理,02-8976-9289,lin@htgroup.com.tw,http://www.htgroup.com.tw/service/?parent_id=13
7,1717,長興材料工業股份有限公司,長興,化學工業,－,高雄市三民區建工路578號,75339004,高國倫,毛惠寬,劉秉誠,財務部部長,朱瑞欣,07-3838181,53/12/03,83/03/31,新台幣 10.0000元,12402794550,1240279455,0,0,合併,每年,股東會,統一綜合證券股份有限公司,02-27478266,台北市松山區東興路8號B1,勤業眾信聯合會計師事務所,王兆群,郭麗園,ETERNAL,"578 CHIEN-KUNG RD.KAOHSIUNG,TAIWAN",07-3898133,investor@eternal-group.com,http://www.eternal-group.com,劉秉誠,財務部部長,07-3838181,investor@eternal-group.com,http://www.eternal-group.com/WebData/Corporate
8,1718,中國人造纖維股份有限公司,中纖,化學工業,－,高雄市大社區經建路8號,07066907,王貴賢,莊銘山,吳宏揚,協理,楊長熙,02-23937111,44/05/11,52/12/02,新台幣 10.0000元,16862097450,1686209745,0,0,合併,每年,股東會,本公司股務室,02-23937111,台北市新生南路一段五十號十一樓,勤業眾信聯合會計師事務所,游素環,徐文亞,CMFC,"NO.8, JINGJIAN RD., DASHE DIST.,KAOHSIUNG, TAIWAN",02-23972549,popo-lin@cmfc.com.tw,www.cmfc.com.tw,吳宏揚,協理,02-23937111,tom-wu@cmfc.com.tw,www.cmfc.com.tw/tw/contact.aspx
9,1721,三晃股份有限公司,三晃,化學工業,－,台中市西區中興街229號5樓,55738290,黃亭棣,黃亭棣,洪廷宜,管理部經理,詹志偉,(04)23215616,63/12/31,85/05/16,新台幣 10.0000元,1889952420,188995242,19168520,0,合併,每年,股東會,永豐金證券股份有限公司,02-23816288,台北市中正區博愛路17號3樓,安永聯合會計師事務所,涂清淵,嚴文筆,SUNKO,"5F., NO. 229, ZHONGXING ST., WEST DISTTAICHUNG CITY 403, TAIWAN R.O.C",(04)23109292,sunko@sunko.com.tw,http://www.sunko.com.tw,洪廷宜,管理部經理,04-23215616,redd.hung@sunko.com.tw,http://www.sunko.com.tw/sunko_web/sunkonew/Stakeholder.php?m=5&mlist=8
