,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1598,岱宇國際股份有限公司,岱宇,生技醫療業,－,(104)台北市中山區松江路111號12樓,23751545,林英俊,陳明男,邱源聲,副總經理,劉于菁,(02)25152288,79/06/02,105/09/20,新台幣 10.0000元,1339822540,133982254,0,0,合併,每年,董事會,永豐金證券股務代理部,(02)2381-6288,台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,謝建新,陳招美,Dyaco,"12F,NO.111, Songjiang Road,(104)Taipei, Taiwan",(02)25159963,investor@dyaco.com,http://www.dyaco.com,鍾沛宏,經理,02-25152288,investor@dyaco.com,https://www.dyaco.com/en/investors
1,1701,中國化學製藥股份有限公司,中化,生技醫療業,－,北市中正區襄陽路二十三號,03088802,王謝怡貞,吳志庸,孫蔭南,副總經理,趙德鋒、黃宜均,02-23124200,41/03/12,51/02/09,新台幣 10.0000元,2980810800,298081080,0,0,合併,每年,股東會,富邦綜合證券(股)公司股務代理部,02-23611300,北市中正區許昌街17號2樓,資誠聯合會計師事務所,游淑芬,林鈞堯,CCPC,"23, Hsiang Yang Rd.,Taipei, Taiwan, R.O.C.",02-23615143,candy@ccpc.com.tw,WWW.CCPC.COM.TW,孫蔭南,副總經理,02-23124200,ynsun@ccpc.com.tw,http://www.ccpg.com.tw/chinese/10_csr/overview.aspx
2,1707,葡萄王生技股份有限公司,葡萄王,生技醫療業,－,桃園市平鎮區金陵路二段402號,11880517,曾盛麟,曾盛麟,洪俊銘,財務長兼公司治理主管,許勝傑,03-4572121,60/04/01,71/12/20,新台幣 10.0000元,1481373730,148137373,11851000,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-27023999,10601台北市大安區敦化南路二段97號B2,勤業眾信聯合會計師事務所,黃裕峰,鍾鳴遠,GKB,"No.402, Sec. 2, Jinling Rd.Pingzhen Dist., Taoyuan City 324, Taiwan",03-4572128,gkishares@grapeking.com.tw,http://www.grapeking.com.tw,曾德楷(英文) / 林天鉞(中文),總監(英文) / 經理(中文),"03-4572121#1802,1707",duncan.aitken@grapeking.com.tw(For English) / terry.lin@grapeking.com.tw(For Chinese),https://www.grapeking.com.tw/index.php/com/invest/stakeholder
3,1720,生達化學製藥股份有限公司,生達,生技醫療業,－,台南市新營區土庫里土庫6-20號,71122503,范進財,范滋庭,范滋庭,總經理,陳淑華,(06)636-1516,56/06/30,84/12/12,新台幣 10.0000元,1786960890,178696089,0,0,合併,每年,董事會,元富證券股份有限公司,0227686668,台北市松山區光復北路11巷35號地下一樓(台北瓦斯光復大樓),資誠聯合會計師事務所,田中玉,林姿妤,S.C.P.C,"No.6-20,Tuku.,Tuku VillageSinying Dist.,Tainan City 73055,Taiwan",066352817,Chen.maggie@standard.com.tw,http://www.standard.com.tw,范滋庭,總經理,06-6361516#6666,spokesperson@standard.com.tw,http://www.standard.com.tw
4,1731,美吾華股份有限公司,美吾華,生技醫療業,－,台北市復興北路167號5樓,14089976,李成家,賴育儒,呂淑珺,會計經理,高碧璘,02-2713-6621,65/10/01,90/09/17,新台幣 10.0000元,1329152440,132915244,0,0,合併,每年,股東會,福邦證券股份有限公司,02-2371-1658,台北市中正區忠孝西路一段６號６樓,勤業眾信聯合會計師事務所,陳招美,虞成全,Maywufa,"Fl. 5, No. 167, Fu-shing N. Rd.,Taipei, Taiwan, ROC.",02-2715-2181,jean@maywufa.com.tw;eunice@maywufa.com.tw,http://www.maywufa.com.tw,呂淑珺,會計經理,02-2713-6621-2163,jean@maywufa.com.tw,http://www.maywufa.com.tw/stakeholder.php
5,1733,五鼎生物技術股份有限公司,五鼎,生技醫療業,－,新竹科學園區新竹巿力行五路七號,16130182,沈燕士,沈燕士,吳純慧,管理部協理,朱營祥,03-5641952,86/12/02,90/09/17,新台幣 10.0000元,999501920,99950192,0,0,合併,每年,股東會,台新綜合證券(股)公司股務代理部,02-25048125,台北市建國北路一段96號地下一樓,勤業眾信會計師事務所,葉東煇,高逸欣,ApexBio,"No.7,Li-Hsin Rd.V, Hsinchu Science Park,Hsinchu,Taiwan, ROC",03567-8302,info@apexbio.com,www.apexbio.com.tw,吳純慧,管理部協理,03-5641952,tammywu@apexbio.com,http://www.apexbio.com.tw/contact_index.php
6,1734,杏輝藥品工業股份有限公司,杏輝,生技醫療業,－,宜蘭縣冬山鄉中山村中山路八十四號,42042734,李志文,白友烺,樓怡美,協理,白友烺,(03)958-1101,66/07/02,91/08/26,新台幣 10.0000元,1677220220,167722022,0,0,合併,每年,股東會,永豐金證券(股)公司股務代理部,(02)2381-6288,台北市中正區博愛路17號3樓,國富浩華聯合會計師事務所,張亞荃,潘金樹,SINPHAR,"84 CHUNG SHAN RD.,CHUNG SHAN VILLAGE. ,TUNG-SHAN SHINE , I-LAN 269 , TAIWAN.",(03)9580-187,info@sinphar.com,www.sinphar.com,樓怡美,協理,02-27603688,info@sinphar.com.tw,http://www.sinphar.com/stock/information.html
7,1736,喬山健康科技股份有限公司,喬山,生技醫療業,－,台中市大雅區東大路二段999號,52347361,羅崑泉,羅光廷,羅雅芳,副總經理,林靜霓,04-25667100,64/10/07,92/01/09,新台幣 10.0000元,3036166170,303616617,0,0,合併,每年,董事會,台新證券股務代理部,02-25048125,北市建國北路一段96號B1,安永聯合會計師事務所,陳明宏,黃宇廷,JHT,"No.999, Sec. 2, Dongda Rd., Daya Dist.,Taichung City 428, Taiwan, R.O.C.",04-25667534,finance@johnsonfitness.com,www.johnsonfitness.com,林靜霓,經理,04-25667100,elsalin@johnsonfitness.com,www.johnsonfitness.com
8,1760,寶齡富錦生技股份有限公司,寶齡富錦,生技醫療業,－,台北市南港區園區街3號16F(F棟),04742997,張立秋,江宗明,丁爾昆,總經理特別助理,王烽任,02-26558218,65/01/07,107/01/23,新台幣 10.0000元,857390130,85739013,0,0,合併,每年,董事會,統一綜合證券(股)公司股務代理部,(02)2746-3797,台北市松山區東興路8號地下一樓,安侯建業聯合會計師事務所,呂莉莉,趙敏如,PBF,"16F., No.3, Yuanqu St., Nangang DistrictTAIPEI, TAIWAN, R.O.C.",02-26558318,fjwang@pbf.com.tw,http://www.pbf.com.tw,丁爾昆,總經理特助,2655-8218#508,edwardting@pbf.com.tw,http://www.pbf.com.tw/cht/investors_2.php
9,1762,中化合成生技股份有限公司,中化生,生技醫療業,－,新北市樹林區東興街一號,03088704,王謝怡貞,黃重信,王冠傑,財務部經理,陳應祈,86843318,53/05/19,99/12/20,新台幣 10.0000元,775600000,77560000,0,0,合併,每年,股東會,元大證券股份有限公司股務代理部,25865859,台北市大同區承德路三段210號B1,資誠聯合會計師事務所,林柏全,林鈞堯,CCSB,"NO.1 TUNG-HSING ST.,SHU-LIN CITY,TAIPEI HSIEN, TAIWAN.",86843202,report@ccsb.com.tw,www.ccsb.com.tw,王冠傑,財務部經理,86843318-830,eason@ccsb.com.tw,http://www.ccsb.com.tw/chinese/11_stakeholder/00_overview.aspx
