,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2302,麗正國際科技股份有限公司,麗正,半導體業,－,新北市土城區中山路71號,04982433,林怡岑,林怡岑,劉鳳琴,主任,林瑞萍,02-28801122,65/01/23,74/01/15,新台幣 10.0000元,1663028810,166302881,0,0,合併,每年,股東會,國票綜合證券(股)公司股務代理部,02-25288988,台北市松山區南京東路五段188號15樓,安侯建業聯合會計師事務所,陳宗哲,賴麗真,RECTRON,"71, Zhongshan Rd., Tucheng Dist.,New Taipei City, Taiwan",02-28816935,lydia@rectron.com.tw,www.rectron.com.tw,劉鳳琴,主任,02-28801122,lydia@rectron.com.tw,www.rectron.com.tw
1,2303,聯華電子股份有限公司,聯電,半導體業,－,新竹科學園區新竹市力行二路三號,47217677,洪嘉聰,簡山傑、王石,劉啟東,資深副總經理暨財務長,林俊宏、翁兆韋,03-5782258,69/05/22,74/07/16,新台幣 10.0000元,124832475660,12483247566,0,0,合併,每年,股東會,宏遠證券股份有限公司,02-23268818,台北市大安區信義路四段236號3樓,安永聯合會計師事務所,邱琬茹,許新民,UMC,"NO.3, LI-SHIN ROAD II, HSINCHU SCIENCE PARKHSINCHU CITY, TAIWAN, R.O.C.",03-5781789,IR@UMC.COM,WWW.UMC.COM,翁兆韋,經理,02-26589168,David_Wong@UMC.com,WWW.UMC.COM
2,2329,華泰電子股份有限公司,華泰,半導體業,－,高雄市楠梓區中三街9號,89004161,董悅明,涂家榮,洪士民,財務處長,賴貞伶,(07)361-3131,60/06/12,83/04/20,新台幣 10.0000元,8257019330,555431933,70784915,270270000,合併,每季,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,王國華,江采燕,OSE,9 Central 3rd. St. N.T.I.P.KAOHSIUNG TAIWAN R.O.C,(07)365-2441,csr@ose.com.tw,www.ose.com.tw,朱蜀詠,會計部部經理,07-3613131#68558,csr@ose.com.tw,https://www.ose.com.tw/about/about-ose/contact/#investment
3,2330,台灣積體電路製造股份有限公司,台積電,半導體業,－,新竹科學園區力行六路8號,22099131,劉德音,總裁: 魏哲家,黃仁昭,副總經理暨財務長,高孟華,03-5636688,76/02/21,83/09/05,新台幣 10.0000元,259303804580,25930380458,0,0,合併,每季,董事會,中國信託商業銀行 代理部,02-6636-5566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,江美艷,林尚志,TSMC,"No. 8, Li-Hsin Rd. 6, Hsinchu Science Park,Hsin-Chu 30078, Taiwan, R.O.C.",03-5797337,invest@tsmc.com,Http://www.tsmc.com,蘇志凱,處長,03-568-2089,jeff_su@tsmc.com,https://esg.tsmc.com/csr/ch/CSR/stakeholder.html
4,2337,旺宏電子股份有限公司,旺宏,半導體業,－,新竹科學園區新竹巿力行路16號,22099548,吳敏求,盧志遠,吳敏求,董事長兼執行長,葉沛甫,03-5786688,78/12/09,84/03/15,新台幣 10.0000元,18560178020,1856017802,55651,0,合併,每年,股東會,旺宏電子(股)公司股務室,02-25638128,台北市中山區松江路162之1號2樓,勤業眾信聯合會計師事務所,葉東煇,洪國田,Macronix,"No.16, Li-Hsin Road, Hsinchu Science ParkHsinchu, Taiwan, R.O.C.",02-25638685,ir@mxic.com.tw,http://www.macronix.com,陳柏光,處長,03-5786688,ir@mxic.com.tw,https://www.macronix.com/zh-tw/about/CSR/Pages/stakeholder.aspx
5,2338,台灣光罩股份有限公司,光罩,半導體業,－,新竹市科學園區創新一路十一號,22099408,陳正翔,陳立惇,林良桔,資訊服務部處長,蔡佳芸,(03)563-4370,77/10/21,84/04/17,新台幣 10.0000元,2527136110,252713611,0,0,合併,每年,股東會,福邦證券股份有限公司股務代理部,(02)2371-1658,台北市中正區忠孝西路一段六號六樓,資誠聯合會計事務所,李典易,鄭雅慧,TMC,"NO.11 INNOVATION RD.1,SCIENCE-BASE INDUSTRIAL PARK,HSINCHU",(03)578-0752,無,http://www.tmcnet.com.tw,蔡佳芸,財務部經理,03)563-4370#118,Megan@tmcnet.com.tw,http://www.tmcnet.com.tw/Eng/EngIndex-stakeholder.htm
6,2342,台灣茂矽電子股份有限公司,茂矽,半導體業,－,新竹市科學園區研新一路一號,22099110,唐亦仙,唐亦仙,鄧志達,副總經理,鄧志達,(03)578-3344,76/01/08,84/09/19,新台幣 10.0000元,1561567440,156156744,38000000,0,合併,每半會計年度,董事會,台新證券股務代理部,(02)2504-8125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,鄭雅慧,謝智政,MVI,"No. 1 Creation Rd. 1, Science-Based Industrial Park,Hsinchu, Taiwan, R.O.C.",(03)566-5888,IR@mail.mosel.com.tw,http://www.mosel.com.tw,曾星于,專案副理,03-5783344,IR@mail.mosel.com.tw,http://www.mosel.com.tw/about_csr.asp?left_n=1
7,2344,華邦電子股份有限公司,華邦電,半導體業,－,台中市大雅區中部科學園區科雅一路8號,22099218,焦佑鈞,陳沛銘,黃求己,財務長,范祥雲/吳孟奇,(04)25218168,76/09/29,84/10/18,新台幣 10.0000元,39800001930,3980000193,0,0,合併,每半會計年度,董事會,華邦電子股份有限公司股務辦事處,(02)27905885,台北市內湖區行善路398號8樓,勤業眾信聯合會計師事務所,洪國田,徐文亞,WEC,"No.8, Keya 1st Rd., Daya Dist.,Taichung City, Taiwan, R.O.C",(03)5796119,YCWang16@WINBOND.COM,WWW.WINBOND.COM,陳姿諭,經理,(03)5678168ext.71002,IR@winbond.com,WWW.WINBOND.COM
8,2351,順德工業股份有限公司,順德,半導體業,－,彰化市大竹里彰南路二段260號,58506816,陳朝雄,陳維德,陳朝興,副總經理,黃瑞杰,04-7383991,56/10/17,85/04/25,新台幣 10.0000元,1821402490,182140249,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號B2,國富浩華聯合會計師事務所,楊貞瑜,林明壽,SDI,"260,Sec.2,Chang Nan RoadChang Hua,Taiwan, R.O.C",04-7320588,stock@email.sdi.com.tw,www.sdi.com.tw,葉芳伶,投資人關係副理,04-7383991,Invest@email.sdi.com.tw,www.sdi.com.tw
9,2363,矽統科技股份有限公司,矽統,半導體業,－,新竹市公道五路二段180號,22099202,簡誠謙,許時中,簡誠謙,董事長,許時中,(03)5166000,76/08/26,86/08/01,新台幣 10.0000元,6814448700,681444870,0,0,合併,每年,股東會,宏遠證券股份有限公司,02-23268818,106台北市大安區信義路四段２３６號３樓,安永聯合會計師事務所,郭紹彬,許新民,SiS,"No.180,Sec.2,Gongdaowu Rd.,HSIN CHU,TAIWAN,R.O.C.",(03)5711479,support@sis.com,www.sis.com,許哲嘉,專案經理,(03)5711294,IR@sis.com,www.sis.com
