,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2301,光寶科技股份有限公司,光寶科,電腦及週邊設備業,－,台北市內湖區瑞光路392號22樓,23357403,宋明峰,邱森彬,邱森彬,總經理,王玉玲,(02)8798-2888,78/03/17,84/11/17,新台幣 10.0000元,23508670320,2350867032,0,0,合併,每季,董事會,元大證券股份有限公司股務代理部,(02)2586-5859,103台北市大同區承德路三段210號B1,勤業眾信聯合會計師事務所,邱盟捷,蔡振財,LTC,"22F, 392 Ruey Kuang Road, NeihuTaipei 114, Taiwan, R.O.C.",(02)8798-2866,YiWen.Hsieh@liteon.com,http://www.liteon.com/,張簡佳怡,投資人關係,02-87982888,liteontech.ir@liteon.com,http://www.liteon.com/Page.aspx?id=67805d0f-c0cf-4218-a878-a597e7dd7f58
1,2305,全友電腦股份有限公司,全友,電腦及週邊設備業,－,新竹市科學工業園區工業東三路六號,47226140,許正勳,謝靜慧,李雅敏,協理,張靖琪,(03)5772155,69/10/23,77/10/21,新台幣 10.0000元,2056608270,205660827,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)2702-3999,台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,區耀軍,黃海寧,MII,"No.6 Industry E. Road 3 Science-Based Industrial ParkHsinchu,Taiwan,R.O.C.",(03)5772598,julie.chu@microtek.com.tw,www.microtek.com.tw,李雅敏,協理,(03)5772155,amy.lee@microtek.com.tw,ww7.microtek.com.tw
2,2324,仁寶電腦工業股份有限公司,仁寶,電腦及週邊設備業,－,台北市內湖區瑞光路581號及581之1號,21222725,許勝雄,翁宗斌,呂清雄,副總經理,王正強,(02)87978588,73/06/01,81/02/18,新台幣 10.0000元,44071466250,4407146625,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,簡思娟,郭冠纓,Compal,"No. 581 & 581-1, Ruiguang Rd., Neihu DistrictTaipei City 11492, Taiwan (R.O.C.)",(02)26591566,Investor@Compal.com,www.compal.com,呂清雄,副總經理,(02)87978588,Investor@Compal.com,http://www.compal.com/stakeholder-communication-area/
3,2331,精英電腦股份有限公司,精英,電腦及週邊設備業,－,台北市內湖區堤頂大道二段239號,22449566,鍾依文,王金來,鍾逸青,財務長,謝明宏,(02)2162-1177,76/05/06,83/09/21,新台幣 10.0000元,5574029680,557402968,0,0,合併,每半會計年度,董事會,群益金鼎證券股份有限公司,(02)2702-3999,台北市敦化南路二段97號B2,勤業眾信聯合會計師事務所,邱政俊,吳世宗,ECS,"NO.239, SEC2, Ti Ding Blvd.,TAIPEI, TAIWAN 11493",(02)2797-9093,public@ecs.com.tw,http://www.ecs.com.tw,劉小姐,經理,(02)2162-1177,public@ecs.com.tw,http://www.ecs.com.tw/ECSWebSite/Finance/Finance_List.aspx?MenuID=123&childid=M_123&LanID=1
4,2352,佳世達科技股份有限公司,佳世達,電腦及週邊設備業,－,桃園市龜山區山鶯路157號,12490306,陳其宏,陳其宏,洪秋金,財務長,王立善,03-3598800,73/04/21,85/07/22,新台幣 10.0000元,19667819580,1966781958,0,0,合併,每年,董事會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,安侯建業聯合會計師事務所,張惠貞,施威銘,Qisda,"157 Shan-Ying Road,Gueishan, Taoyuan 333, Taiwan,R.O.C.",03-3593389,Investor@Qisda.com,Qisda.com.tw,王立善,投資處長,03-3598800#3202,Investor@Qisda.com,http://www.qisda.com.tw/page.aspx?uid=50
5,2353,宏碁股份有限公司,宏碁,電腦及週邊設備業,－,台北市松山區復興北路369號7樓之5,20828393,陳俊聖,陳俊聖,陳怡如,財務長,張鉅靈,(02)27195000,65/08/01,85/09/18,新台幣 10.0000元,30478538280,3047853828,0,0,合併,每年,董事會,宏碁股份有限公司股務室,(02)27195000,台北市松山區復興北路369號7樓之5,安侯建業聯合會計師事務所,張惠貞,唐慈杰,ACER,"7F-5, 369, Fuxing N. Rd.Taipei 105, Taiwan, R.O.C.",(02)87125519,stock.affairs@acer.com,http://www.acer.com,張家菲,處長,(02)26961234,investor.relations@acer.com,https://www.acer-group.com/ag/zh/TW/content/stakeholder-grievance-mechanism
6,2356,英業達股份有限公司,英業達,電腦及週邊設備業,－,北市後港街六十六號,04322046,卓桐華,巫永財,游進寶,副總經理,巫永財,28810721,64/06/09,85/11/13,新台幣 10.0000元,35874750660,3587475066,0,0,合併,每年,董事會,台新證券股務代理部,25048125,北市建國北路一段九十六號地下一樓,安侯建業聯合會計師事務所,林琬琬,郭柔蘭,INVENTEC,"66,Hou-Kang StreetTaipei,Taiwan,R.O.C",28828086,iec@inventec.com,https://www.inventec.com/,張舋之,經理,28810721#21656,Chang.Ada@inventec.com,https://www.inventec.com/tw/csr-5
7,2357,華碩電腦股份有限公司,華碩,電腦及週邊設備業,－,台北市北投區立德路15號,23638777,施崇棠,許先越/胡書賓,吳長榮,財務長,宋致皓,(02)28943447,79/04/02,85/11/14,新台幣 10.0000元,7427602800,742760280,0,0,合併,每年,股東會,凱基證券(股)公司股務代理部,(02)23892999,台北市重慶南路一段2號5樓,資誠聯合會計師事務所,周建宏,林鈞堯,ASUSTEK,"No. 15, Li-Te Rd., PeitouTaipei 112, Taiwan, R.O.C.",(02)28926140,investor@asus.com,http://www.asus.com.tw,吳長榮,財務長,(02)28943447,investor@asus.com,http://csr.asus.com/chinese/index.aspx#121
8,2362,藍天電腦股份有限公司,藍天,電腦及週邊設備業,－,新北市三重區興德路129號,09424319,許崑泰,蔡明賢,吳麥,財務長,邱淑娟,(02)22789696,72/10/04,86/04/02,新台幣 10.0000元,6497630000,649763000,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,吳漢期,梁華玲,CLEVO CO.,"No.129, Xingde Rd., Sanchong Dist.,New Taipei City 241, Taiwan",(02)22784795,public@clevo.com.tw,www.clevo.com.tw,吳麥,財務長,02-2278-9696,public@clevo.com.tw,www.clevo.com.tw
9,2364,倫飛電腦實業股份有限公司,倫飛,電腦及週邊設備業,－,臺北市內湖區瑞光路550號11樓,79883646,高育仁,高思復,楊建國,財會處處長,陳淑玲經理,(02)55899999,73/02/27,86/08/11,新台幣 10.0000元,248004220,24799360,13290522,1062,合併,每年,股東會,亞東證券股份有限公司股務代理部,02-7753-1699,新北市板橋區新站路16號13樓,安侯建業聯合會計師事務所,黃柏淑,尹元聖,Twinhead,"11F,550 Rueiguang RoadNeihu,Taipei,Taiwan 114,Roc",(02)55557777,stock@twinhead.com.tw,http://www.twinhead.com.tw,楊建國,處長,(02)5589-9999,stock@twinhead.com.tw,http://www.twinhead.com.tw/rela.php
