,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2323,中環股份有限公司,中環,光電業,－,台北市中山區民權西路53號15樓,12205020,翁明顯,翁明顯,陳君煒,財務部資深經理,許雅萍,02-25989890,67/12/02,81/02/17,新台幣 10.0000元,11588812000,1158881200,0,0,合併,每年,股東會,凱基證券股份有限公司,02-23892999,台北市重慶南路一段2號5樓,資誠聯合會計事務所,游淑芬,張淑瓊,CMC,"15th, Fl., 53, Ming Chuan W. Road.,Taipei,Taiwan,R.O.C.",02-25973270,IR@cmcnet.com.tw,http://www.cmcnet.com.tw,許雅萍,代理發言人,02-25989890,ir@cmcnet.com.tw,http://www.cmcnet.com.tw
1,2340,台亞半導體股份有限公司,台亞,光電業,－,新竹科學園區新竹市力行五路1號,47255947,王虹東,黃年宏,戴菁甫,協理,李柏龍,(03)5638951,72/12/21,84/05/02,新台幣 10.0000元,4386228460,438622846,60000000,0,合併,每年,董事會,台新證券股務代理部,02-25048125,台北市建國北路一段96號B1,資誠聯合會計師事務所,江采燕,賴宗羲,OPTOTECH,"NO.1, Li-hsin Rd.V,Hsinchu Science Park,Hsinchu, Taiwan, R.O.C.",03-5783696,stock@opto.com.tw,http://www.opto.com.tw/,戴菁甫,協理,03-5638951,stock@opto.com.tw,http://www.optotech.com.tw/communicate.aspx
2,2349,錸德科技股份有限公司,錸德,光電業,－,新竹縣湖口鄉光復北路42號,23218873,葉垂景,葉垂景,葉垂景,董事長兼執行長,吳孟翰、潘燕民,03-5985696,77/12/29,85/04/23,新台幣 10.0000元,6936796630,693679663,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓 https://www.tssco.com.tw/,安永聯合會計師事務所,徐榮煌,涂嘉玲,RITEK,NO.42 KUANGFU N.RD HSINCHU INDUSTRIAL PARKHSINCHU COUNTY TAIWAN R.O.C,03-5979963,personal@ritek.com.tw,http://www.ritek.com.tw,吳孟翰,副總經理,03-5985696-8776,John.wu@ritek.com.tw,http://www.ritek.com.tw
3,2374,佳能企業股份有限公司,佳能,光電業,－,新北市新莊區中環路三段200號18樓,11394902,曾明仁,章孝祺,曾明仁,董事長,鄭可人,(02)8522-9788,54/05/21,84/01/16,新台幣 10.0000元,2877213120,287721312,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)66365566,台北市中正區重慶南路一段83號五樓,資誠聯合會計師事務所,林雅慧,吳漢期,ABILITY,"18F.,No.200, Sec. 3, Zhonghuan Rd., Xinzhuang DistNew Taipei City 24242, Taiwan (R.O.C.)",(02)8522-9789,kc.cheng@abilitycorp.com.tw,www.abilitycorp.com.tw,鄭可人,公關經理,02-8522 9788,kc.cheng@abilitycorp.com.tw,www.abilitycorp.com.tw
4,2393,億光電子工業股份有限公司,億光,光電業,－,新北市樹林區中華路6之8號,34516147,葉寅夫,葉寅夫,施宇耿,處長,丁建明,02-26856688,72/05/28,88/11/04,新台幣 10.0000元,4433930860,443393086,0,0,合併,每年,股東會,群益金鼎證券(股)公司股務代理部,02-27023999,台北市敦化南路二段97號B2,安侯建業聯合會計師事務所,區耀軍,羅瑞蘭,EVERLIGHT,"No. 6-8, Zhonghua Road.Shulin Dist., New Taipei City, Taiwan",02-26856895,fn@everlight.com,www.everlight.com,施宇耿,處長,02-26856688,ir@everlight.com,http://www.everlight.com/investor.aspx
5,2406,國碩科技工業股份有限公司,國碩,光電業,－,新竹縣湖口鄉工業一路3號,97178376,陳繼明,陳繼明,陳繼明,董事長,陳敏敏,03-5985510,86/03/26,89/04/29,新台幣 10.0000元,2859056890,285905689,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,勤業眾信聯合會計師事務所,鍾鳴遠,黃裕峰,GSC,"3,Kung Yeh 1st Road, Hsinchu Industrial ParkHsinchu,Taiwan,R.O.C",03-5984455,ir@gigastorage.com.tw,http://www.gigastorage.com.tw/index.aspx,陳小姐,襄理,03-5985510,ir@gigastorage.com.tw,http://www.gigastorage.com.tw/investors_contacts.aspx
6,2409,友達光電股份有限公司,友達,光電業,－,新竹市科學園區力行二路一號,84149738,彭又又浪,柯富仁,曾煜智,財務長,莊瑞霖,03-5008800,85/08/12,89/09/08,新台幣 10.0000元,96242451150,9624245115,0,0,合併,每年,董事會,台新證券股務代理部,(02)25048125,臺北市建國北路一段96號B1,安侯建業聯合會計師事務所,游萬淵,于紀隆,AUO,"No.1,Li-Hsin Rd 2 .,Hsinchu Science Park,Hsinchu,Taiwan,R.O.C.",03-5643370,auo@auo.com,www.auo.com,趙銘慧,經理,03-500-8800,ir@auo.com,https://csr.auo.com/tw/operating/partners/stakeholder
7,2426,鼎元光電科技股份有限公司,鼎元,光電業,－,新竹科學園區苗栗縣竹南鎮科中路15號,22434156,李秉傑,周文隆,邱美玲,財務處協理,李曉萍,(037)582997,76/04/04,89/09/11,新台幣 10.0000元,3006222520,300622252,0,0,合併,每半會計年度,董事會,富邦綜合證券股份有限公司,02-23611300,100 台北市中正區許昌街17號2樓,勤業眾信聯合會計師事務所,方蘇立,林政治,TYNTEK,"No.15, Kejung Rd., Chunan Science Park , ChunanMiaoli County 350, Taiwan (R.O.C.)",(037)582908,service@serv.tyntek.com.tw,www.tyntek.com.tw,邱美玲,協理,037-582997,lin@serv.tyntek.com.tw,www.tyntek.com.tw/responsibility.php
8,2429,銘旺科技股份有限公司,銘旺科,光電業,－,桃園市中壢區中壢工業區自強四路九號,12206203,周維昆,周維昆,林以山,策略長,林淂諭,(03)4526136,67/11/30,89/09/11,新台幣 10.0000元,397482000,39748200,27445408,0,合併,每年,股東會,兆豐證券股份有限公司股務代理部,02-33930898,台北市忠孝東路二段95號1樓,安侯建業聯合會計師事務所,連淑凌,陳盈如,PWT,"NO. 9. TZU-CHIANG 4TH RD., ZHONGLI DIST.,TAOYUAN CITY 320,TAOYUAN CITY 320, TAIWAN (R.O.C)",(03)4526139,audit@abonmax.com.tw,http://www.abonmax.com.tw,林淂諭,副理,034526136,audit@abonmax.com.tw,http://www.abonmax.com.tw/
9,2438,翔耀實業股份有限公司,翔耀,光電業,－,桃園市龜山區舊路里東舊路街118巷11號,12364770,王智永,王智永,蕭芳瑀,特助,暫缺,03-3508001,71/01/14,89/09/11,新台幣 10.0000元,601956410,60195641,29971322,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,台北市承德路三段210號地下一樓,國富浩華聯合會計師事務所,林志隆,王戊昌,ENLIGHT,"NO.11,Ln.118,St.Dongjiu Rd.,Guishan Dist.Taoyuan City 333,Taiwan(R.O.C.)",03-3508805,irm@enlightcorp.com.tw,www.enlightcorp.com.tw,蕭芳瑀,特助,03-3508001,irm@enlightcorp.com.tw,https://www.enlightcorp.com.tw/index.php/enlightcorp-2/page-3/
