,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2314,台揚科技股份有限公司,台揚,通信網路業,－,新竹市科學園區創新二路一號,47255762,顏信介,吳永欽,季惠霖,財務長,陳姿伶,03-5773335,72/03/31,79/08/08,新台幣 10.0000元,2280283200,228028320,0,0,合併,每年,股東會,台新綜合證券(股)公司股務代理部,0225048125,台北市建國北路一段96號B1,資誠聯合會計師事務所,李典易,林玉寬,MTI,"NO 1, INNOVATION RD.II,Hsinchu Science Park, Hsinchu, TWN",03-5770194,sales@mtigroup.com,https://www.mtigroup.com/zh-tw,陳姿伶,財務經理,03-5773335,ir.contact@mtigroup.com,https://www.mtigroup.com/zh-tw/stakeholder
1,2321,東訊股份有限公司,東訊,通信網路業,－,新竹科學園區新竹市研發二路23號,47224065,劉兆凱,陳國榮,李雲祥,資深經理,黃世昌協理,(03)5775141,69/09/25,80/11/08,新台幣 10.0000元,945997770,44599774,0,50000003,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,李典易,鄭雅慧,TECOM,"23,R & D 2 ROAD SCIENCE-BASED INDUSTRIAL PARKHSIN-CHU TAIWAN R.O.C.",(03)5780576,stockaffair@tecom.com.tw,http://www.tecom.com.tw,李雲祥,資深經理,(03)5775141-2205,yhlee@tecom.com.tw,http://www.tecom.com.tw
2,2332,友訊科技股份有限公司,友訊,通信網路業,－,台北市內湖區新湖三路289號,22099189,郭金河,陳瑋駿,張家瑞,執行長,許卉妃,02-66000123,76/06/20,83/10/17,新台幣 10.0000元,5998364730,599836473,0,0,合併,每年,董事會,元大證券股務代理部,02-2586-3117,台北市大同區承德路三段210號B1.B2,安侯建業會計師事務所,周寶蓮,謝秋華,D-LINK,"No. 289, Xinhu 3rd Rd, Neihu DistrictTaipei City, Taiwan, R.O.C.",02-27900977,ir@dlinkcorp.com,www.dlink.com.tw,余惠娟,副處長,886-2-6600-0123,ir@dlinkcorp.com,http://www.dlinktw.com.tw/about/dlink/18
3,2345,智邦科技股份有限公司,智邦,通信網路業,－,新竹市科學工業園區研新三路一號,22099287,寬鑫投資(股)公司,馬思睿,林信玄,資深協理,陳慧玲,(03)5770270,77/02/09,84/11/15,新台幣 10.0000元,5598473970,559847397,0,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,台北市承德路三段210號地下一樓,勤業眾信聯合會計師事務所,林政治,鍾鳴遠,ACCTON,"1 Creation 3rd Rd., Hsinchu Science ParkHsinchu 30077, Taiwan, R.O.C.",(03)5637261,accton@accton.com,http://www.accton.com,林信玄,資深協理,(03)5770270-1526,IR@accton.com,http://www.accton.com.tw/interested.asp
4,2412,中華電信股份有限公司,中華電,通信網路業,－,台北市信義路一段二十一之三號,96979933,謝繼茂,郭水義,陳宇紳,執行副總經理兼財務長,馬宏燦、沈馥馥、蔡卓芬,(02)23941845,85/06/15,89/10/27,新台幣 10.0000元,77574465450,7757446545,0,0,合併,每年,股東會,元大證券股份有限公司股務代理部,(02)2586-5859,103台北市大同區承德路三段210號B1,勤業眾信聯合會計師事務所,張鼎聲,郭政弘,CHT,"21-3 Hsinyi Road, Sec.1,Taipei 100, Taiwan, R.O.C.",(02)33938188,fn@cht.com.tw,http://www.cht.com.tw,蔡卓芬,媒體暨投資人關係科長,(02)23445488,chtir@cht.com.tw,https://www.cht.com.tw/zh-tw/home/cht
5,2419,仲琦科技股份有限公司,仲琦,通信網路業,－,新竹科學園區新竹市力行一路1-8號,22029190,黃文芳,邱培舜,劉美蘭,總管理處總經理,許裕發(暫代),03-5786658,75/03/24,89/09/11,新台幣 10.0000元,3289862290,328986229,100000000,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號B2,立本台灣聯合會計師事務所,許坤錫,張書成,H.T.,"No.1-8, Lising 1st Rd, Hsinchu Shu Park,Hsinchu City, Taiwan",03-5778856,ir@hitrontech.com,http://www.hitrontech.com,劉美蘭,總管理處總經理,03-5786658,ir@hitrontech.com,http://www.hitrontech.com
6,2439,美律實業股份有限公司,美律,通信網路業,－,台中市南屯區寶山里工業區23路22號,52375605,廖祿立,黃朝豊,黃朝豊,總裁,林淑惠,04-23590811,64/12/24,89/09/11,新台幣 10.0000元,2170528420,217052842,0,0,合併,每年,董事會,凱基證券股份有限公司,(02)23892999,台北市重慶南路一段2號5樓,資誠聯合會計師事務所,王玉娟,劉美蘭,MERRY,"NO.22,23RD ROAD,TAICHUNG INDUSTRIAL PARKTAICHUNG,TAIWAN,R.O.C.",04-23505887,sam.wong@merry.com.tw,www.merry.com.tw,李紘逸,課長,04-23590811,investor@merry.com.tw,https://www.merry.com.tw/page/about/index.aspx?kind=42#
7,2444,兆勁科技股份有限公司,兆勁,通信網路業,－,新竹科學園區苗栗縣竹南鎮科研路50-8號2樓,89549446,紀政孝,紀政孝,鄭清讚,財會部副總經理,賴博文,037-580777,84/06/12,89/12/08,新台幣 10.0000元,1055575730,105557573,16142913,0,個別,每年,股東會,康和綜合證券股份有限公司,02-87871888,台北市信義區基隆路一段176號B1,卓群聯合會計師事務所,方冠智,葉璨增,AboCom,"2F., No. 50-8, Keyan Rd., Zhunan TownshipMiaoli County,Taiwan,R.O.C.",037-580799,kevin.lee@abocom.com.tw,http://www.abocom.com.tw,李大彰,總管理處資深副總經理,037-580777,kevin.lee@abocom.com.tw,http://www.abocom.com.tw
8,2450,神腦國際企業股份有限公司,神腦,通信網路業,－,新北市新店區中正路531號2樓,12228473,賴勁麟,林保雍,廖健淇,財務長,賴冠亨,02-22183588,68/05/18,90/05/24,新台幣 10.0000元,2582526570,258252657,0,0,合併,每年,董事會,台新證券股務代理部,02-25048125,台北市建國北路一段96號B1,勤業眾信聯合會計師事務所,張鼎聲,郭政弘,SENAO,"2F,No.531,Chung Cheng RoadHsin-Tien ,New Taipei City, Taiwan,R.O.C",02-22183608,Investor@senao.com.tw,http://www.senao.com.tw,賴冠亨,財務經理,22183588,Investor@senao.com.tw,http://www.senao.com.tw/invest11.php
9,2455,全新光電科技股份有限公司,全新,通信網路業,－,桃園市平鎮區工業一路16號,97170472,陳建良,黃朝興,蔣志青,財務處處長,蘇展祿,03-4192969,85/11/26,91/01/24,新台幣 10.0000元,1849059180,184905918,0,0,個別,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,周筱姿,賴宗羲,VPEC,"No.16, Gongye 1st Rd., Pingzhen Dist.,Taoyuan City 324, Taiwan (R.O.C.)",03-4192979,chris@vpec.com.tw,http://www.vpec.com.tw,蔣志青,財務處處長,03-4192969#706,chris@vpec.com.tw,http://www.vpec.com.tw/vpec/homeweb/about.php?menu1=M100004&menu2=M200033&level=2
