,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1471,首利實業股份有限公司,首利,電子零組件業,－,新北市五股區五權七路18號3樓,07699023,鄭傑,鄭傑,邱志偉,總經理特助,林大鈞,(02)2299-1907,71/10/21,89/03/06,新台幣 10.0000元,1504145360,150414536,5000000,0,合併,每年,董事會,福邦證券股份有限公司股務代理部,(02)23711658,臺北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,徐永堅,吳漢期,SL,"3F,NO.18 Wu Chun 7 Rd.,Wu Gu Industry AreaWu Gu Shiang,Taipei,Taiwan,R.O.C",(02)2290-1974,solelytec@soly-tech.com,www.soly-tech.com,邱志偉,總經理特助,(02)2299-1907,David_chiou@soly-tech.com,www.soly-tech.com
1,1582,信錦企業股份有限公司,信錦,電子零組件業,－,新北市中和區建康路168號9樓,35966577,陳秋郎,陳秋郎,張雅惠,副總經理,劉皇佑,02-66215888,68/07/07,98/12/17,新台幣 10.0000元,1237241710,123724171,0,0,合併,每年,股東會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,勤業眾信會計師事務所,陳致源,黃堯麟,SYNCMOLD,"9F., No.168, Jiankang Rd.,Zhonghe Dist.New Taipei City 235, Taiwan (R.O.C.)",02-66216000,information@syncmold.com.tw,www.syncmold.com.tw,劉皇佑,副理,02-66215888,information@syncmold.com.tw,www.syncmold.com.tw/syncmold-2018/item_interested_person_2018.html
2,2059,川湖科技股份有限公司,川湖,電子零組件業,－,高雄市路竹區順安路275巷136號,22274989,林聰吉,林淑珍,王俊強,執行副總,蔡秋貞,(07)9599688,75/09/22,97/06/25,新台幣 10.0000元,952970720,95297072,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市中正區重慶南路1段83號5樓,勤業眾信聯合會計師事務所,陳珍麗,江佳玲,king slide,"No. 136, Lane 275, Shun An Rd, Lu Chu District,Kaohsiung City, Taiwan R.O.C",(07)6967018,ir@kingslide.com,http://www.kingslide.com,林浩澤,投資人關係,(07)9761688分機7168,ir@kingslide.com,https://www.kingslide.com/about_csr_stakeholder/
3,2308,台達電子工業股份有限公司,台達電,電子零組件業,－,台北市內湖區瑞光路186號,34051920,海英俊,張訓海,周志宏,永續長,施孟璁,(02)87972088,64/08/20,77/12/19,新台幣 10.0000元,25975433290,2597543329,0,0,合併,每年,股東會,中國信託商業銀行股份有限公司,(02)6636-5566,100台北市中正區重慶南路一段八十三號五樓,資誠聯合會計師事務所,林玉寬,周建宏,DELTA,"No. 186, Ruey Kuang Road, Neihu DistrictTaipei City 11491, Taiwan",(02)87972351,2308@deltaww.com,https://www.deltaww.com/zh-TW/index,劉致遠,投資人關係經理,(02)87972088,2308@deltaww.com,https://csr.deltaww.com/about/csr_Communication_ch.aspx?secID=9&pid=0&tid=4&hl=zh-TW
4,2313,華通電腦股份有限公司,華通,電子零組件業,－,桃園市蘆竹區新莊里大新路814巷91號,04401392,吳 健,江培琨,陳嘉懃,執行副總裁,林而群,(03)3231111,62/08/30,79/07/24,新台幣 10.0000元,11918205890,1191820589,0,0,合併,每年,董事會,台新證券股務代理部,(02)25048125,台北市建國北路一段96樓B1,正風聯合會計師事務所,吳欣亮,鄭憲修,COMPEQ MFG.,"No. 91, Ln. 814, Daxin Rd., Shin-juang Vil. Luzhu Dist.,Taoyuan City, Taiwan R.O.C",(03)3138150,tw2313@compeq.com.,www.compeq.com.tw,林而群,代理發言人,03-3231111,tw2313@compeq.com.,www.compeq.com.tw/relationship.php
5,2316,楠梓電子股份有限公司,楠梓電,電子零組件業,－,高雄市楠梓區開發路37號,76026851,徐漢忠,陳志康,呂淑芬,副總經理,陳其男,07-3612116,67/05/02,80/02/05,新台幣 10.0000元,1827405360,182740536,0,0,合併,每年,股東會,統一綜合證券股份有限公司,02-27463797,台北市東興路8號地下一樓,勤業眾信聯合會計師事務所,郭麗園,王兆群,WUS,"No.37, Kaifa Rd.,Nanzih Dist. Kaohsiung City,Taiwan.",07-3613884,investor@wuspc.com,www.wus.com.tw,呂淑芬,副總經理,07-3612116,investor@wuspc.com,http://www.wus.com.tw/index.php/zh-tw/2017-10-18-03-24-45
6,2327,國巨股份有限公司,國巨,電子零組件業,－,新北市新店區寶橋路233-1號3樓,22636630,陳泰銘,王淡如,宋志翔,投資人關係部協理,楊文翔,(02)6629-9999,76/09/09,82/10/22,新台幣 10.0000元,4959188570,495918857,0,0,合併,每半會計年度,董事會,元富證券(股)公司,(02)2768-6668,台北市松山區光復北路11巷35號B1,勤業眾信聯合會計師事務所,趙永祥,蔡振財,YAGEO,"3F,No.233-1,Pao Chiao Rd.,Xindian Dist., New Taipei City,R.O.C",(02)6628-8882,IR@yageo.com,WWW.YAGEO.COM,宋志翔,投資人關係部協理,(02)6629-9999,IR@yageo.com,WWW.YAGEO.COM
7,2328,廣宇科技股份有限公司,廣宇,電子零組件業,－,新北市新店區安興路97號,03546618,盧松發,盧松發,郭世華,經理,游文玲,2211-3066,60/05/19,82/11/09,新台幣 10.0000元,5183462820,518346282,0,0,合併,每年,董事會,福邦證券股份有限公司,2371-1658,10041台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,阮呂曼玉,馮敏娟,PI,"NO.97,An-shin Rd.Xindian Dist., New Taipei City , Taiwan",2212-0081,john.kuo@panpi.com.tw,www.panintl.com,郭世華,經理,22113066-7740,john.kuo@panpi.com.tw,www.panpi.com.tw/contact-us-contact2.htm
8,2355,敬鵬工業股份有限公司,敬鵬,電子零組件業,－,桃園縣蘆竹鄉內厝村3鄰內厝街46號,43816068,曾劉玉枝,黃松麟,蕭公彥,經理,黃郁雅,03-3222226,68/09/26,85/10/14,新台幣 10.0000元,3974954200,397495420,0,0,合併,每年,股東會,康和綜合證券股份有限公司,02- 87871888,110台北市信義區基隆路一段176號B1,安侯建業聯合會計師事務所,呂莉莉,王勇勝,CHIN-POON,"NO.46, NEI-TSUOH ST., 3RD LIN.,NEI-TSUOH VILLAGE, LU-CHU COUNTYTAO-YUAN HSIEN, TAIWAN, R.O.C",03-3218064,spokesman@cppcb.com.tw,http://www.cppcb.com.tw,蕭公彥,經理,03-3222226,spokesman@cppcb.com.tw,http://www.chinpoon.com.tw/_chinese/html/8_mail/0_overview.php
9,2367,燿華電子股份有限公司,燿華,電子零組件業,－,新北市土城區中山路4巷3號,05637971,張元銘,洪顯青,吳錦芳,副總,周政賢,(02)22685071,73/12/31,86/12/13,新台幣 10.0000元,6194071750,619407175,0,0,合併,每年,股東會,燿華電子股務室,(02)2705-1333,台北市敦化南路二段98號12樓,安侯建業會計師事務所,莊鈞維,許明芳,UNITECH,"NO.3, Lane 4 ,Chung-Shan Road,Tucheng Dist, New Taipei City,Taiwan ROC",(02)22685074,kanty-wu@pcbut.com.tw,https://www.pcbut.com.tw,吳錦芳,副總,(02)22685071,kanty-wu@pcbut.com.tw,https://www.pcbut.com.tw/inner-page.html?P=6&SP=8
