,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2347,聯強國際股份有限公司,聯強,電子通路業,－,台北市民生東路3段75號4樓,23060541,苗豐強,杜書伍,杜書全,事業開發暨策略副總裁,陳怡如,2506-3320,77/09/12,84/12/13,新台幣 10.0000元,16679469680,1667946968,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路1段83號5樓,資誠聯合會計師事務所,葉翠苗,梁益彰,Synnex,"4th Fl., 75, Sec. 3, Ming-Sheng E. Rd.,Taipei, Taiwan, R.O.C.",2505-6934,evelynchen@synnex.com.tw,http://www.synnex-grp.com/,陳怡如,財務副總監,2506-3320,evelynchen@synnex.com.tw,http://www.synnex-grp.com/g03_corporate_02.html
1,2414,精技電腦股份有限公司,精技,電子通路業,－,台北市內湖區新湖二路236號3樓,12215548,葉國筌,"葉國筌,李英新",洪莉萍,協理,胡淑慧,(02)27962345,68/03/05,89/09/11,新台幣 10.0000元,1617358460,161735846,0,0,合併,每年,股東會,凱基證券股份有限公司,(02)2389-2999,台北市重慶南路一段2號5樓,安永聯合會計師事務所,郭紹彬,楊智惠,UT,"3Fl., No. 236, Shinhu 2nd Rd., Neihu Chiu,Taipei.TaiwanTaipei ROC",(02)87919499,7503@unitech.com.tw,www.unitech.com.tw,洪莉萍,協理,(02)27958612,7503@unitech.com.tw,http://www.unitech.com.tw/investor/investor_email.aspx
2,2430,燦坤實業股份有限公司,燦坤,電子通路業,－,台北市內湖區堤頂大道一段331號3樓,69568009,林技典,,王友良,協理,,02-27953988,67/11/02,89/09/11,新台幣 10.0000元,1664688250,166468825,0,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,台北市承德路三段210號B1,資誠聯合會計師事務所,林鈞堯,林一帆,TKE,"3F,No.331,Sec.1,TiDing Blvd.,Nei Hu,Taipei,Taiwan 114,R.O.C.",02-87910868,service@tk3c.tsannkuen.com,http://www.tk3c.com.tw/,王友良,協理,02-77203999,richie_wang@tk3c.tsannkuen.com,http://www.tk3c.com.tw/Stakeholder.aspx?mnuid=1228
3,3010,華立企業股份有限公司,華立,電子通路業,－,高雄市前金區中正四路235號10樓,75514419,張瑞欽,張尊賢,黃露慧,董事長特別助理,林仁智,07-2164311,57/10/01,91/07/22,新台幣 10.0000元,2360179410,236017941,0,0,合併,每年,股東會,台新證券股務代理部,02-2504-8125,台北市建國北路一段96號地下一樓,勤業眾信聯合會計師事務所,吳秋燕,陳珍麗,WAH LEE,"10F,No.235,Chung Cheng 4th RoadKaohsiung,Taiwan,R.O.C",07-2811480,service@wahlee.com,http://www.wahlee.com,林振全,經理,02-27152087 ext22061,eric.lin@wahlee.com,http://www.wahlee.com/ZH/StackHolder
4,3028,增你強股份有限公司,增你強,電子通路業,－,台北市內湖區新湖二路250巷8號,12401698,周友義,葉律昌,葉律昌,總經理,周俊賢,(02)2792-8788,71/10/06,91/08/26,新台幣 10.0000元,2138248640,213824864,0,0,合併,每年,董事會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,陳晉昌,林一帆,ZENITRON,"NO.8,Lane 250,Sinhu 2nd Rd.,Neihu DistrictTaipei City,Taiwan,R.O.C",(02)2796-8080,tommy_yeh@zenitron.com.tw,www.zenitron.com.tw,葉律昌,總經理,(02)2792-8788,tommy_yeh@zenitron.com.tw,www.zenitron.com.tw/_ch/01_about/01_detail.php?MainID=13
5,3033,威健實業股份有限公司,威健,電子通路業,－,台北市內湖區內湖路一段308號11樓,04648938,胡秋江,胡秋江,周甘淋,行政處資深副總經理,謝季宏,26590202,66/01/20,91/08/26,新台幣 10.0000元,3990554430,399055443,0,0,合併,每年,董事會,元大證券股務代理部,2586-5859,台北市承德路路三段210號地下一樓,安侯建業聯合會計師事務所,羅瑞蘭,區耀軍,Weikeng,"11F 308, Sec. 1, NeiHu Rd., Nei Hu, Taipei 114Taiwan R.O.C.",26581272,public@weikeng.com.tw,www.weikeng.com.tw,周甘淋,發言人,26590202,public@weikeng.com.tw,http://www.weikeng.com/content.php?no=69&lan=tw
6,3036,文曄科技股份有限公司,文曄,電子通路業,－,新北市中和區中正路738號14樓,84498860,鄭文宗,鄭文宗,楊幸瑜,副總經理,劉浩民,(02)8226-9088,82/12/23,91/08/26,新台幣 10.0000元,9327067540,797706754,0,135000000,合併,每年,董事會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一路6號6樓,資誠聯合會計師事務所,徐潔如,徐永堅,WT,"14F,No.738,Chung Cheng RoadChung Ho District,New Taipei City,Taiwan",(02)8226-9099,IR@wtmec.com,http://www.wtmec.com,楊幸瑜/劉浩民,發言人/代理發言人,02-8226-9088Ext:8500,IR@wtmec.com,http://www.wtmec.com/WT/?page_id=2024
7,3048,益登科技股份有限公司,益登,電子通路業,－,台北市內湖區基湖路10巷50號8樓,97099302,曾禹旖,侯靖圻,黃秀玲,協理,簡先勇,(02)2657-8811,85/07/11,91/10/01,新台幣 10.0000元,2448297940,244829794,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)2702-3999,台北市大安區敦化南路2段97號B2,勤業眾信聯合會計師事務所,鄭欽宗,邱盟捷,EDOM,"8F,No.50,Lane 10,Kee Hu RoadNei Hu Taipei(114),Taiwan,R.O.C.",(02)8797-7320,public@edomtech.com,https://www.edomtech.com,黃秀玲,協理,(02)2657-8811,IR@edomtech.com,https://www.edomtech.com/tw/inverstor/
8,3055,蔚華科技股份有限公司,蔚華科,電子通路業,－,新竹市水源街95號,22729784,陳有諒,高瀚宇,倪嫈琪,特別助理,楊美津,03-5738099,76/12/11,91/12/12,新台幣 10.0000元,1187419180,118741918,16300000,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)27023999,台北市大安區敦化南路二段97號B2,大中國際聯合會計師事務所,林寬照,溫明郁,Spirox Corp.,"No. 95, Shuiyuan St.,Hsinchu 30069, Taiwan",03-5735185,noelle_ni@spirox.com,www.spirox.com.tw,倪嫈琪,特別助理,03-5738099,noelle_ni@spirox.com,www.spirox.com.tw
9,3209,全科科技股份有限公司,全科,電子通路業,－,台北市內湖區瑞光路360號9樓,86027892,吳堉文,謝宏昌,謝宏昌,總經理,王敏慧,02-26275859,80/04/15,97/11/26,新台幣 10.0000元,2005321840,200532184,0,0,合併,每年,董事會,凱基證券股份有限公司,02-23892999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,張清福,邱盟捷,ALLTEK,"9F, NO. 360, Ruei Guang Rd., Neihu,Taipei, Taiwan, 114, R.O.C.",02-26275869,business@alltek.com,http://www.alltek.com,謝宏昌,發言人,+886-2-2627-5859,ir@alltek.com,http://www.alltek.com/relationship.php
