,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1301,台灣塑膠工業股份有限公司,台塑,塑膠工業,－,高雄市仁武區水管路100號,75708007,林健男,林健男,林勝冠,資深副總經理,張嘉澤,(02)2712-2211,43/11/05,53/07/27,新台幣 10.0000元,63657407810,6365740781,0,0,合併,每年,股東會,本公司股務組,(02)2718-9898,台北市敦化北路201號後棟1樓,安侯建業聯合會計師事務所,寇惠植,于紀隆,FPC,"4F, 201, Tung Hwa North RoadTaipei, Taiwan, R.O.C.",(02)2717-8108,formosa@fpc.com.tw,http://www.fpc.com.tw,劉祈廷,組長,(02)2712-2211,formosa@fpc.com.tw,http://www.fpc.com.tw/fpcw/index.php?op=res&id=18
1,1303,南亞塑膠工業股份有限公司,南亞,塑膠工業,－,台北市敦化北路201號,75370905,吳嘉昭,鄒明仁,吳嘉昭,董事長,葉明忠,(02)27122211,47/08/22,56/11/05,新台幣 10.0000元,79308215890,7930821589,0,0,合併,每年,股東會,本公司股務組,(02)27189898,台北市敦化北路201號後棟一樓,安侯建業聯合會計師事務所,郭欣頤,于紀隆,NPC,"201, TUNG HWA NORTH ROADTAIPEI TAIWAN, REPUBLIC OF CHINA",(02)27178533,nanya@npc.com.tw,http://www.npc.com.tw,彭福榮,協理,(02)27122211,nanya@npc.com.tw,http://www.npc.com.tw/j2npc/zhtw/stakeholder.jsp
2,1304,台灣聚合化學品股份有限公司,台聚,塑膠工業,－,台北市內湖區基湖路37號12樓,11917107,吳亦圭,王克舜,吳銘宗,業務副總經理,甘霖,02-87516888,54/05/26,61/05/20,新台幣 10.0000元,11887635000,1188763500,0,0,合併,每年,股東會,本公司股務部,02-26503773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,莊碧玉,郭政弘,USI,"12TH FLOOR, NO. 37 JI-HU ROAD, NEI-HU DISTRICTTAIPEI 114, TAIWAN, R.O.C.",02-26599524,mtwu@usig.com,www.usife.com.tw,甘霖,會計長,02-87516888分機3795,EKan@usig.com,https://www.usife.com/CSR/default.aspx
3,1305,華夏海灣塑膠股份有限公司,華夏,塑膠工業,－,台北市內湖區基湖路37號12樓,11686106,吳亦圭,林漢福,胡吉宏,副總經理,劉傳源,(02)8751-6888,53/04/29,62/03/05,新台幣 10.0000元,5810504940,581050494,0,0,合併,每年,股東會,本公司股務部,(02)2650-3773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,黃秀椿,邱政俊,CGPC,"12th Floor , NO.37 , Ji-Hu Rd. Nei-Hu DistrictTaipei, Taiwan, R.O.C.",(02)2659-9553,cgpcstkqa@cgpc.com.tw,https://www.cgpc.com.tw,胡吉宏,副總經理,(02)2650-3708,ottohu@cgpc.com.tw,https://www.cgpc.com.tw/CSR/zh-tw/company-SDGs.aspx
4,1307,三芳化學工業股份有限公司,三芳,塑膠工業,－,高雄市三民區通化街120號,83387850,林孟經,林至逸,林信宏,副總經理,陳偉鉅,(07)3712111,62/06/16,74/11/23,新台幣 10.0000元,3978181260,397818126,0,0,合併,每年,董事會,中國信託代理部,(02)6636-5566,台北市重慶南路一段83號5樓,勤業眾信會計師事務所,吳秋燕,江佳玲,SAN FANG,"402 FENGJEN RD.,JENWU SHIANG,KAOSHIUNG,TAIWAN",(07)3711940,service@sanfang.com.tw,http://www.sanfang.com.tw,林信宏,副總經理,073712111,lhh@sanfang.com.tw,http://www.sanfang.com.tw/main/ems_c01.asp
5,1308,亞洲聚合股份有限公司,亞聚,塑膠工業,－,高雄市林園區工業一路3號,20747385,吳亦圭,吳培基,黃克名,業務部經理,陳政順,(02)8751-6888,66/01/25,75/06/20,新台幣 10.0000元,5937439190,593743919,0,0,合併,每年,股東會,亞洲聚合股份有限公司股務部,(02)2650-3773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,邱政俊,莊碧玉,APC,"NO.3,INDUSTRIAL 1ST RD., LINYUAN DIST.,KAOHSIUNG, TAIWAN, 832 ROC",(02)2659-9553,kmhuang@tpe.usife.com.tw,HTTP://WWW.apc.com.tw,陳政順,會計部經理,(02)2798-3788,nicolaschen@tpe.usife.com.tw,www.apc.com.tw/dirCSR/frmCSR6.aspx
6,1309,台達化學工業股份有限公司,台達化,塑膠工業,－,台北市內湖區基湖路37號12樓,11893409,吳亦圭,吳培基,顏太明,執行副總經理,林金才,(02)8751-6888,49/04/06,75/06/27,新台幣 10.0000元,3786541410,378654141,0,0,合併,每年,股東會,台達化學工業股份有限公司股務部,(02)2650-3773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,黃秀椿,邱政俊,TTC,"12th Floor, No.37, Ji-Hu Rd.,Taipei 114,Taiwan,R.O.C.",(02)2659-9504,tmyen@ttc.com.tw,http://www.ttc.com.tw,林金才,代理發言人,(02)8751-6888#3797,tonylin@usig.com,https://www.ttc.com.tw/zh-tw/dirCSR/frmCSR7.aspx
7,1310,台灣苯乙烯工業股份有限公司,台苯,塑膠工業,－,台北市中正區羅斯福路一段六號八樓之一,20844865,林文淵,仲崇國,陳慧姍,經理,陳彥均,02-23966007,68/11/16,76/08/06,新台幣 10.0000元,5278697640,527869764,0,0,合併,每年,股東會,元大證券(股)公司股務代理部,02-2586-5859,台北市承德路三段210號地下一樓,安侯建業聯合會計師事務所,吳麟,尹元聖,T.S.M.C.,"8F-1, No. 6, Sec. 1, Roosevelt Rd., Taipei City , TaiwanTaipei,Taiwan",23960755,investors@mail.smct.com.tw,http://www.smct.com.tw/,陳慧姍,經理,02-23966007,investors@mail.smct.com.tw,http://www.smct.com.tw/contact/contactUs
8,1312,國喬石油化學股份有限公司,國喬,塑膠工業,－,臺北市敦化北路135號8樓,04212250,楊品正,曾嘉雄,陳景福,副總經理,周振銘,(02)2175-4567,62/09/25,77/12/21,新台幣 10.0000元,9266203280,906620328,0,20000000,合併,每年,董事會,凱基證券(股)公司代理部,(02)2389-2999,台北市重慶南路一段2號5 樓,國富浩華聯合會計師事務所,蕭英嘉,林志隆,GPPC,"8F., No. 135, Dunhua N. Rd., Songshan Dist.,TAIPEI, TAIWAN R.O.C.",(02)2545-8755,gppc@gppc.com.tw,http://www.gppc.com.tw,陳景福,副總經理,(02)2175-4567,gppc@gppc.com.tw,http://www.gppc.com.tw/gppc/Investment-2.asp
9,1313,聯成化學科技股份有限公司,聯成,塑膠工業,－,台北市南港區南港路一段209號A棟9樓,04748660,苗豐強,柯衣紹,陳逸蓁,經理,徐桂梅,(02)26517889,65/08/14,78/03/27,新台幣 10.0000元,13471206070,1347120607,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5F,勤業眾信聯合會計師事務所,劉建良,林文欽,UPC,"9F., Building A, No. 209 NanGang Rd., Sec. 1, NanGang Dist., Taipei, 115,Taiwan, R.O.C",(02)26515818,ir@upc.com.tw,http://www.upc.com.tw,陳逸蓁,經理,(02)26517889-6003,ir@upc.com.tw,https://www.upc.com.tw/zh-TW/Html/stakeholder_engagement
