,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2427,三商電腦股份有限公司,三商電,資訊服務業,－,北市信義路五段150巷2號4樓之3,31275691,陳翔中,陳翔中,陳文祝,執行副總,許曉琪,2722-5333,65/12/09,89/09/11,新台幣 10.0000元,1843144630,184314463,0,0,合併,每年,股東會,宏遠證券,02-7719-8899,台北市信義路四段236號3樓,立本台灣聯合會計師事務所,張書成,許坤錫,MDS,"3F,2,150 Lane, Sec.,5, Hsin-I Rd.,Taipei,Taiwan, R.O.C.",02-27222330,wenchu@mds.com.tw; elsa@mds.com.tw,www.mds.com.tw,許曉琪,處長,02-27225333#2118,elsa@mds.com.tw,http://www.mds.com.tw/investor/responsibility3.html
1,2453,凌群電腦股份有限公司,凌群,資訊服務業,－,台北市峨眉街115號6樓,4967550,劉瑞復,劉瑞隆,曾景川,副總經理,陳志忠,(02)2191-6066,64/07/17,90/05/22,新台幣 10.0000元,1000000000,100000000,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)2702-3999,台北市敦化南路二段97號地下2樓,勤業眾信聯合會計師事務所,戴信維,陳培德,SYSCOM,"6F.,NO.115, EMEI ST.,WANHUA DIST.,TAIPEI,TAIWAN,R.O.C.",(02)23880965,info@syscom.com.tw,http://www.syscom.com.tw,王碧媜,經理,(02)2191-6066轉2022,jamies_wang@syscom.com.tw,http://www.syscom.com.tw/investor/It_StakeHolder.aspx
2,2468,華經資訊企業股份有限公司,華經,資訊服務業,－,台北市內湖區行愛路78巷25號6樓,12115702,魏幸雄,唐宇華,陳秀月,財務副總經理,吳靜宜經理,27935566,66/04/11,90/09/17,新台幣 10.0000元,699612490,69961249,0,0,合併,每年,股東會,凱基證券股份有限公司股務代理部,2389-2999,北市重慶南路一段2號5樓,勤業眾信會計師事務所,蔡侑玲,林文欽,FIS,"No. 25, LANE 78, XINGAI ROAD,TAIPEI,TAIWAN ,R.O.C",55551111,fa@fis.com.tw,http://www.fis.com.tw,陳秀月,財務副總經理,27935566-2226,carrie.chen@fis.com.tw,http://www.fis.com.tw
3,2471,資通電腦股份有限公司,資通,資訊服務業,－,台北市中山北路2段111號3樓,20873360,余宏揚,林聖懿,林聖懿,總經理,從缺,(02)25221351,69/12/03,90/09/17,新台幣 10.0000元,472538900,47253890,0,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,林一帆,廖福銘,ARES,"3RD FL., 111,SEC, 2, CHUNG-SHAN N. RD.TAIPEI, TAIWAN 104, REPUBLIC OF CHINA",(02)25516448,frank@ares.com.tw,www.ares.com.tw,丁孝儀,資深辦事員,(02)2522-1351#813,shiawyi@ares.com.tw,http://www.ares.com.tw/about-ares/stakeholder/
4,2480,敦陽科技股份有限公司,敦陽科,資訊服務業,－,新竹市東大路二段83號12F之1,84218848,梁修宗,梁修宗,瞿瑞華,行政資材中心副總,黃新琪,03-5425566,82/03/24,90/09/17,新台幣 10.0000元,1063602910,106360291,0,0,合併,每年,董事會,元大證券(股)公司股務代理部,02-25865859,台北市承德路三段210號B1,安永聯合會計師事務所,許新民,鄭清標,STARK,"12F-1 NO.83 SEC.2 TUNG-TA RD.,HSINCHU TAIWAN, R.O.C",03-5422678,JENNIFER.CHU@STI.COM.TW,WWW.STI.COM.TW,瞿瑞華,行政資材中心副總,03-5425566#61710,Jennifer.Chu@sti.com.tw,http://www.sti.com.tw/-17
5,3029,零壹科技股份有限公司,零壹,資訊服務業,－,台北市內湖區內湖路一段360巷8號10樓,30922431,林嘉勳,黃素娥,金可玫,財務處資深協理,周良一,26565656,69/06/27,91/08/26,新台幣 10.0000元,1268742120,126874212,0,0,合併,每年,董事會,元富證券股份有限公司,(02)2768-6668,105台北市松山區光復北路11巷35號B1,勤業眾信會計師事務所,劉建良,陳培德,ZERO ONE,"10F., No.8, Ln. 360, Sec. 1, Neihu Rd., Neihu Dist., Taipei City 114, TaiwanTaipei,114 Taiwan R.O.C.",26560810,cmichelle@zerone.com.tw,www.zerone.com.tw,金可玫,財務處資深協理,26565656,michelle@zerone.com.tw,WWW.ZERONE.COM.TW
6,3130,一零四資訊科技股份有限公司,一零四,資訊服務業,－,新北市新店區寶中路119-1號10樓,84598349,楊基寬,黃于純,黃于純,總經理,林芬如,(02)2912-6104,82/10/30,95/02/17,新台幣 10.0000元,331907000,33190700,0,0,合併,每年,股東會,富邦綜合證券(股)公司股務代理部,(02)2361-1300,台北市中正區許昌街17號2樓,安侯建業聯合會計師事務所,趙敏如,關春修,104,"10F, No.119-1, Baozhong Rd., Xindian Dist.,New Taipei City, Taiwan, R.O.C.",(02)29126021,IR@104.com.tw,https://corp.104.com.tw/,黃于純,總經理,(02)2912-6104,IR@104.com.tw,https://corp.104.com.tw/indexdda3.html?m=article&mid=102
7,4994,傳奇網路遊戲股份有限公司,傳奇,資訊服務業,－,台北市信義區市民大道六段288號7樓,12975809,張峰旗,張峰旗,周秋美,營運副總,林家安,02-77186620,91/01/09,102/12/25,新台幣 10.0000元,1106390000,110639000,0,0,合併,每年,股東會,台新綜合證券股務代理部,02-25048125,台北市建國北路一段96號地下一樓,資誠聯合會計師事務所,賴宗羲,支秉鈞,X-LEGEND,"7F., No.288, Sec. 6, Civic Blvd., Xinyi Dist.,Taipei city, Taiwan (R. O. C.)",02-77186880,spokesman@x-legend.com.tw,www.x-legend.tw,林家安,財務長,02-77186620,4994@x-legend.com.tw,http://www.x-legend.tw/03financials/financials_15.php
8,5203,訊連科技股份有限公司,訊連,資訊服務業,－,新北市新店區民權路100號15樓,23829868,黃肇雄,黃肇雄,蔡明鋒,特別助理,李雅惠,86671298,79/08/08,93/09/27,新台幣 10.0000元,770883000,77088300,0,0,合併,每年,股東會,元大證券(股)公司股務代理部,02-2586-5859,台北市大同區承德路三段210號B1,資誠聯合會計師事務所,賴宗羲,林鈞堯,CyberLink,"15Fl.,No.100,Minchiuan RD., Xindian District,New Taipei City,Taiwan ROC",86671300,investor@cyberlink.com,www.cyberlink.com,黃燕虹,協理,86671298,investor@cyberlink.com,www.cyberlink.com
9,6112,聚碩科技股份有限公司,聚碩,資訊服務業,－,台北市114內湖路一段516號10樓,16428796,李昌鴻,李昌鴻,楊敦凱,營運長,林弘香,(02)87978260,87/04/16,92/08/04,新台幣 10.0000元,1883573360,188357336,66000000,0,合併,每年,董事會,台新綜合證券(股)公司股務代理部,(02)2504-8125,台北市中山區建國北路1段96號B1,安侯建業聯合會計師事務所,傅泓文,吳美萍,SYSAGE,"10F,NO.516,Sec.1,Neihu Rd.,Taipei 114,TAIWAN, R.O.C.　Taipei ,TAIWAN, R.O.C.",(02)87978261,public@sysage.com.tw,www.sysage.com.tw,林弘香,財務長,87978260,public@sysage.com.tw,https://www.sysage.com.tw/Stakeholder/ContactInfo
10,6183,關貿網路股份有限公司,關貿,資訊服務業,－,台北市南港區三重路19-13號6樓,97162640,張陸生,高國峰,陳雪桃,協理,羅俊彥,02-26551188,85/08/06,100/12/01,新台幣 10.0000元,1500000000,150000000,0,0,合併,每年,股東會,兆豐證券股份有限公司,02-33930898,(100)臺北市中正區忠孝東路2段95號1樓,安永聯合會計師事務所,謝勝安,林素雯,TRADE-VAN,"6FL., No.19-13, Sanchung Road　Taipei, Taiwan,R.O.C.",02-37895588,gordan.chang@tradevan.com.tw,http://www.trade-van.com/,陳雪桃,協理,02-26551188,grace.chen@tradevan.com.tw,http://www.trade-van.com/investor/index.do?act=stockholder&type=11
11,6214,精誠資訊股份有限公司,精誠,資訊服務業,－,台北市內湖區瑞光路318號,97311466,林隆奮,林隆奮,鍾志群,財務長,鄭登元,(02)77201888,86/01/07,99/12/30,新台幣 10.0000元,2693933040,269393304,0,0,合併,每年,董事會,元大證券股份有限公司,(02)25865859,台北市承德路三段210號B1,勤業眾信聯合會計師事務所,林淑婉,郭政弘,SYSTEX,"318,Rueiguang Rd., Neihu District,Taipei,Taiwan,R.O.C",(02)77207666,webmaster@systex.com,www.systex.com,張雅姿,專案經理,(02)77201888,yatzuchang@systex.com,http://tw.systex.com/stakeholders/
