,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,2312,金寶電子工業股份有限公司,金寶,其他電子業,－,(105)臺北市南京東路五段99號10樓,04370927,許勝雄,陳威昌,許文漢,資深處長,游千慧,(02)26622660,62/04/24,78/11/07,新台幣 10.0000元,14704392110,1470439211,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)66365566,(100)臺北市重慶南路一段83號5樓,安永聯合會計師事務所,林素雯,陳智忠,KINPO,"10TH FL., 99 NAN-JING E. RD., SEC. 5,TAIPEI, TAIWAN, R.O.C.",(02)26624900,stock@kinpo.com.tw,www.kinpo.com.tw,許文漢,資深處長,(02)26622660-12227,stock@kinpo.com.tw,www.kinpo.com.tw/Chinese/relation.aspx
1,2317,鴻海精密工業股份有限公司,鴻海,其他電子業,－,新北市土城區自由街2號,04541302,劉揚偉,劉揚偉,巫俊毅,特別助理,黃欽旻,(02)2268-3466,63/02/20,80/06/18,新台幣 10.0000元,138629906090,13862990609,0,0,合併,每年,董事會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段６號６樓,資誠聯合會計師事務所,徐永堅,徐聖忠,HON HAI,"2 TZU YU ST.,TU-CHENG CITY,TAIWAN,R.O.C.",(02)2268-6204,stockaffairs@foxconn.com,www.foxconn.com,巫俊毅,特別助理,2268-3466#510-10001,ir@foxconn.com,http://www.honhai.com.tw/Stakeholder/Stakeholder.html
2,2354,鴻準精密工業股份有限公司,鴻準,其他電子業,－,新北市土城區中山路3-2號,23707801,呂軍甫,李翰明,劉正光,發言人,劉正光,22680970,79/04/26,85/10/08,新台幣 10.0000元,14144851920,1414485192,0,0,合併,每年,董事會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段６號６樓,資誠聯合會計師事務所,馮敏娟,徐潔如,FTC,"NO.3-2 Chung-Shan Rd.Tu-Cheng City,Taipei Shein. R.O.C.",22687176,ftc@foxconn.com,www.foxconntech.com.tw,劉正光,投資管理部經理,02-22681700,c.k.liu@foxconn.com,http://www.foxconntech.com.tw/invest6-6.aspx
3,2359,所羅門股份有限公司,所羅門,其他電子業,－,台北市內湖區行忠路四十二號6樓,23640801,陳政隆,陳政隆,朱淑娥,董事長特別助理,缺額待補,(02)8791-8989,79/05/07,85/12/19,新台幣 10.0000元,1714710520,171471052,0,0,合併,每半會計年度,董事會,統一證券(股)股務代理部,(02)2747-8266,台北市松山區東興路8號B1樓,資誠會計師事務所,梁益彰,陳憲正,SOLOMON,"6F, No.42, Shing Jung Rd.,Taipei, Taiwan, R.O.C.",(02)8791-9701,stock@solomon.com.tw,www.solomon.com.tw,陳雪蘋,特助,(02)8791-8989,stock@solomon.com.tw,https://www.solomon.com.tw/contact-us/
4,2360,致茂電子股份有限公司,致茂,其他電子業,－,桃園市龜山區文茂路88號,09461025,黃欽明,黃欽明,應正,財務長,簡瑞瑩,(03)327-9999,73/11/08,85/12/21,新台幣 10.0000元,4218745370,421874537,0,0,合併,每年,董事會,台新證券股務代理部,(02)2504-8125,104496台北市建國北路一段96號地下一樓,勤業眾信聯合會計師事務所,劉建良,林文欽,CHROMA,"No. 88, Wenmao Rd., Guishan DistTaoyuan City, Taiwan",(03)327-8898,info@chromaate.com,http://www.chromaate.com,簡瑞瑩,處長,(03)327-9999,jennifer@chroma.com.tw,http://www.chroma.com.tw/page/csr_communication_tc/index
5,2373,震旦行股份有限公司,震旦行,其他電子業,－,台北市信義路五段二號十五樓,03568400,袁蕙華,周銘中,馬志賢,發言人,王玉治,(02)2345-8088,52/07/19,80/08/01,新台幣 10.0000元,2362025180,236202518,0,0,合併,每年,股東會,元大證券股份有限公司,(02)25865859,台北市承德路3段210號B1,勤業眾信聯合會計師事務所,池瑞全,謝建新,Aurora,"15Fl,No.2,Sec.5,Shinyi-RoadTaipei,Taiwan,R.O.C.",(02)2345-8061,IR@aurora.com.tw,www.aurora.com.tw,馬志賢,總經理,0965581965,IR@aurora.com.tw,https://www.aurora.com.tw/xmdoc/cont?xsmsid=0H049482612387091212
6,2390,云辰電子開發股份有限公司,云辰,其他電子業,－,新北市土城區中華路一段50號3樓,34412092,張姿玲,張姿玲,呂麗筑,協理,呂麗筑,(02)2260-6868,69/04/16,88/06/15,新台幣 10.0000元,2140216020,214021602,0,0,合併,每年,股東會,群益金鼎證券(股)公司股務代理部,(02)2702-3999,台北市大安區敦化南路二段97號地下二樓,勤業眾信會計師事務所,謝明忠,蘇郁琇,EVERSPRING,"3F, No.50, Sec. 1, Zhonghua Rd.,Tucheng Dist., New Taipei City Taiwan",(02)2260-1313,lily.lu@everspring.com,http://www.everspring.com,呂麗筑,協理,(02)2260-6868,lily.lu@everspring.com,http://www.everspring.com
7,2404,漢唐集成股份有限公司,漢唐,其他電子業,－,新北市新店區寶高路7巷3號5樓,20938096,李惠文,新任者俟最近期董事會召開後再另行公告,許俊源,業務長,潘麗美,(02)2917-4060,71/09/13,89/03/14,新台幣 10.0000元,1905866980,190586698,0,0,合併,每年,董事會,台新綜合證券(股)公司股務代理部,(02)-25048125,台北市建國北路一段96號地下1樓,安侯建業聯合會計師事務所,李宗霖,陳富仁,UIS,"5F NO 3 Lane 7 Baogao Road Xindian District,New Taipei City,23144 Taiwan,R.O.C.",(02)2910-8765,phy@uisco.com.tw,http://www.uisco.com.tw,潘麗美,會計處經理,02-29174060分機8114,phy@uisco.com.tw,http://www.uisco.com.tw
8,2423,固緯電子實業股份有限公司,固緯,其他電子業,－,新北市土城區中興路7之1號,04735004,林錦章,張朝明,高明正,協理,陳哲誠,(02)22680389,64/09/01,89/09/11,新台幣 10.0000元,1450472890,145047289,0,0,合併,每年,董事會,台新綜合證券股份有限公司,(02)25048125,台北市建國北路一段96號地下一樓,安永聯合會計師事務所,劉慧媛,楊智惠,GW,"No 7-1,Jhongsing RoadTucheng Dist.,New Taipei City, Taiwan",(02)22681086,alex_chen@goodwill.com.tw,www.gwinstek.com,高明正,協理,0936150285,james_kao@goodwill.com.tw,http://www.gwinstek.com/zh-TW/Page/Interest_area
9,2433,互盛股份有限公司,互盛電,其他電子業,－,臺北市信義區信義路5段2號12樓,12516241,廖慶章,翁國華,謝淑惠,會計主管,林于絹,23458009,73/08/30,89/09/11,新台幣 10.0000元,1444960110,144496011,0,0,合併,每年,股東會,元大證券股份有限公司,2586-5859,台北市大同區承德路3段210號地下一樓,勤業眾信聯合會計師事務所,池瑞全,謝建新,HUXEN,"12F., No.2, Sec. 5, Xinyi Rd,.TaipeiTAIPEI, TAIWAN, R.O.C.",2345-7566,account01@eosasc.com.tw,http://www.eosasc.com.tw,謝淑惠,會計主管,2345-8009#6530,account01@eosasc.com.tw,https://www.eosasc.com.tw/stakeholder
