,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1402,遠東新世紀股份有限公司,遠東新,紡織纖維,－,台北市大安區敦化南路二段207號36樓,03522600,徐旭東,"吳高山,鄭澄宇",鄭澄宇,行政總部總經理,王健誠,02-27338000,43/01/13,56/04/14,新台幣 10.0000元,53528752270,5352875227,0,0,合併,每年,股東會,亞東證券股份有限公司,02-7753-1699,新北市板橋區新站路16號13樓,勤業眾信聯合會計師事務所,邵志明,郭政弘,FENC,"36F,Taipei Metro Tower No.207,Tun Hwa South Road,Sec.2Taipei,Taiwan,R.O.C.",02-27367184,csostaff@metro.feg.com.tw,www.fenc.com,汪承雯,協理,02-27338000轉8537,ir@fenc.com,http://contact.fenc.com/contact_info.aspx?lang=zh&id=1
1,1409,新光合成纖維股份有限公司,新纖,紡織纖維,－,台北市中山區南京東路二段123號8、12樓,07435515,吳東昇,羅時銓,文承嘉,協理,何浩寧,2507-1251,56/04/25,62/08/31,新台幣 10.0000元,16184092910,1618409291,0,0,合併,每年,董事會,新光證券(股)公司股務代理部,02-23118787,台北市中正區重慶南路一段66之1號11樓,勤業眾信聯合會計師事務所,陳文香,徐文亞,SSFC,"8TH.12TH FL., NO.123, SEC. 2 NANKING E. ROADTAIPEI, TAIWAN, R.O.C.",25072264,wen@shinkong.com.tw,www.shinkong.com.tw,文承嘉,協理,25071251~7316,wen@shinkong.com.tw,www.shinkong.com.tw
2,1410,南洋染整股份有限公司,南染,紡織纖維,－,桃園市蘆竹區南山路三段二三三號,35286207,何 鈞,何 鈞,張愛玉,發言人,孟家立,02-25940361,53/12/22,62/10/18,新台幣 10.0000元,630000000,63000000,0,0,合併,每年,董事會,中國信託商銀代理部,02-66365566,台北市100重慶南路一段83號5樓,安侯建業聯合會計師事務所,余聖河,黃泳華,NYDF,"No.233, Sec. 3, Nanshan Rd.,Luzhu Dist., Taoyuan City 338, Taiwan",02-25919227,nydyeing@ms19.hinet.net,www.nydf.com.tw,張愛玉,發言人,02-25940361,nydyeing@ms19.hinet.net,www.nydf.com.tw/nydf/chinese/01-profile/index.htm
3,1413,宏洲纖維工業股份有限公司,宏洲,紡織纖維,－,台北市內湖區瑞光路607號7樓,07220710,詹正田,林金鈴,張恆嘉,董事,林勝欽,2657-5859,57/07/30,64/12/23,新台幣 10.0000元,1321124540,132112454,30000000,0,個別,每年,董事會,福邦證券股份有限公司股務代理部,02-23711658,台北市忠孝西路一段6號6樓,安侯建業聯合會計師事務所,張淑瑩,池世欽,H.C.,"7F., No.607, Ruiguang Rd., Neihu Dist., Taipei City 114, Taiwan (R.O.C.)TAIPEI TAIWAN",8797-7888,wallace@hungchou.com.tw,http://www.hungchou.com.tw/,張恆嘉,董事,02-26575859,albert@yijinn.com.tw,http://www.hungchou.com.tw/
4,1414,東和紡織股份有限公司,東和,紡織纖維,－,台北市仁愛路四段376號13樓,73141105,蔡淑櫻,張嘉亨,張嘉亨,總經理,郭彥良,(02)27001840,48/09/11,65/02/02,新台幣 10.0000元,2200000000,220000000,0,0,個別,每年,股東會,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號6樓,勤業眾信聯合會計師事務所,鄭欽宗,趙永祥,TUNG HO,"13TH FLOOR NO376,SEC 4 JEN AI ROADTAIPEI,TAIWAN,R.O.C",(02)27060967,admsect@tungho.com.tw,www.tungho.com.tw,郭彥良,副理,(02)27001840,david@tungho.com.tw,http://www.tungho.com.tw/index.php?option=module&lang=cht&task=pageinfo&id=244&index=1
5,1417,嘉裕股份有限公司,嘉裕,紡織纖維,－,臺北市仁愛路四段25號6樓(通訊地址),11825825,嚴陳莉蓮,張祖蕙,張祖蕙,總經理,池千駒,27113171,58/12/12,65/12/28,新台幣 10.0000元,1899418400,189941840,0,0,合併,每年,股東會,公司股務組,25156421,臺北市南京東路二段150號7樓,勤業眾信聯合會計師事務所,邵志明,陳培德,CARNIVAL,"7TH FL.,25 JEN AI ROAD.SEC.4TAIPEI,TAIWAN,R.O.C.",27110900,frank-chih@carnival.com.tw,http://www.carnival.com.tw/cnl/investor_zone,池千駒,協理,02-27113171,frank-chih@carnival.com.tw,http://www.carnival.com.tw/cnl/investor_zone
6,1418,東華合纖股份有限公司,東華,紡織纖維,－,台北市新生南路1段56號9樓,11083148,林河輝,林壯儒,葉燕玲,協理,江志恒,(02)23967768,59/03/02,66/02/14,新台幣 10.0000元,568343090,56834309,10000000,0,合併,每年,股東會,永豐金證券股務代理部,(02)23816288,台北市博愛路17號3樓,正風聯合會計師事務所,吳欣亮,彭莉真,TONG-HWA,"9F., No.56, Sec. 1, Xinsheng S. Rd.,Taipei City 100, Taiwan (R.O.C.)",(02)23962568,thsf@ms22.hinet.net,thfin.myweb.hinet.net,葉燕玲,協理,(02)23967768,thsf@ms22.hinet.net,thfin.myweb.hinet.net/Investors.html
7,1419,新光紡織股份有限公司,新紡,紡織纖維,－,台北市中山區中山北路二段44號15樓,07435901,吳昕恩,(暫缺）,柯夙娟,副總經理,張淑娣,(02)25071258,44/06/06,66/03/14,新台幣 10.0000元,3000412800,300041280,0,0,合併,每年,董事會,台新證券股務代理部,(02)25048125,台北市建國北路一段96號地下一樓,勤業眾信聯合會計師事務所,李麗凰,池瑞全,SHINKO.TEXTILE,"15F., No. 44, Sec. 2, Zhongshan N. Rd.TAIPEI.TAIWAN.R.O.C",(02)25072576,marketing@sktextile.com.tw,http://www.sktextile.com.tw,柯夙娟,副總經理,(02)25071258-830,sarah@sktextile.com.tw,http://www.sktextile.com.tw
8,1423,利華羊毛工業股份有限公司,利華,紡織纖維,－,台北市忠孝東路四段310號12樓,11311608,應柔爾,應柔爾,余美蘭,副總經理,楊遵五,02-27811161,53/07/23,68/04/02,新台幣 10.0000元,1384000000,138400000,0,0,個別,每年,股東會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,安永聯合會計師事務所,許新民,王彥鈞,REWARD WOOL,"12th Floor, 310 Sec. 4, Chung Hsiao East RoadTaipei, 106 , Taiwan, R. O. C.",02-27521193,reward@reward.com.tw,www.reward.com.tw,楊遵五,經理,886-2-27811161,ir@reward.com.tw,www.reward.com.tw/contact.htm
9,1434,福懋興業股份有限公司,福懋,紡織纖維,－,雲林縣斗六市榴中里石榴路317號,14001199,王文淵,李敏章,李敏章,總經理,鄭宏寧,(05)5573966,62/04/19,74/12/24,新台幣 10.0000元,16846646370,1684664637,0,0,合併,每年,股東會,本公司股務科,2718-9898,北市敦化北路201號(台塑大樓後棟一樓),資誠聯合會計師事務所,吳漢期,梁華玲,F.T.C,"11FL,201 TUN-HWA N.RD.,TAIPEI 105,TAIWAN, R.O.C.",2713-1329,u586267@ftc.com.tw,http://www.ftc.com.tw,鄭宏寧,協理,(05)5573966轉7161,u133232@ftc.com.tw,http://www.ftc.com.tw
