,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1503,士林電機廠股份有限公司,士電,電機機械,－,台北市士林區中山北路六段88號16樓,11039306,許育瑞,謝漢章,程相智,事業群總經理,董濟仁,02-2834-2662,44/11/03,58/12/15,新台幣 10.0000元,5209722230,520972223,0,0,合併,每年,股東會,本公司股務組,2834-2662#366,台北市士林區中山北路六段90號2樓,勤業眾信聯合會計師事務所,陳致源,楊清鎮,SEEC,"FL.16, NO.88, SEC.6, CHUNG SHAN N. RDTAIPEI, TAIWAN, R.O.C.",02-2836-6187,fnd@seec.com.tw,www.seec.com.tw,李盈助,處長,(02)2834-2662,ahkem@seec.com.tw,https://www.seec.com.tw/Content/Qr/List.aspx?SiteID=10&MmmID=707056724650466542
1,1504,東元電機股份有限公司,東元,電機機械,－,臺北市南港區三重路19-9號5樓,11332202,邱純枝,連昭志,簡世雄,處長,劉安炳,2655-3333,45/06/12,62/11/05,新台幣 10.0000元,21387966160,2138796616,0,0,合併,每年,董事會,台新證券股務代理部,02-25048125,台北市中山區建國北路一段９６號地下一樓,資誠聯合會計師事務所,吳郁隆,周建宏,TECO,"5F, NO.19-9,SAN CHONG RD. NAN-KANGTAIPEI TAIWAN",2655-2291,ir@teco.com.tw,http://www.teco.com.tw,簡世雄,處長,02-2655-3333,ir@teco.com.tw,http://www.teco.com.tw/csr/default.aspx?gid=1&nid=11
2,1506,正道工業股份有限公司,正道,電機機械,－,台南市仁德區大甲里中正西路1015號,68193807,郭建廷,羅仕溢,羅仕溢,總經理,黃俊達,06-266 4101,54/03/13,69/08/11,新台幣 10.0000元,1791617510,179161751,46000000,0,合併,每年,股東會,元大證券股份有限公司,02-2586 5859,台北市承德路三段210號B1,安侯建業聯合會計師事務所,連淑凌,吳趙仁,R.W.,"NO.1015 CHUNG CHENG WEST RD.,TA CHIA VILLAGE JENG-DER SHIANGTAINAN SHIEN,TAIWAN R.O.C.",06-266 4374,rw681938@ms26.hinet.net,http://www.rightway.com.tw,黃俊達,經理,06-2664101#1688,Don.Huang@rightway.tw,http://www.rightway.com.tw
3,1507,永大機電工業股份有限公司,永大,電機機械,－,台北市復興北路99號11樓,11166702,株式會社日立製作所代表人長島真,蔡尚育,林東昇,協理,張瑞薰,02-2717-2217,55/07/09,78/11/09,新台幣 10.0000元,4108200000,410820000,0,0,合併,每年,股東會,永大機電工業股份有限公司股務課,02-27172217,台北市復興北路99號11樓,建昇財稅聯合會計師事務所,林昇平,陳仁基,YUNGTAY,"11F., No.99, Fuxing N. Rd.,Taipei City, Taiwan (R.O.C.)",02-2718-6082,service@yungtay.com.tw,www.yungtay.com.tw,張瑞薰,經理,02-27172217,yt1300@yungtay.com.tw,http://www.yungtay.com.tw/stakeholder.php
4,1513,中興電工機械股份有限公司,中興電,電機機械,－,新北市中和區中正路801號3樓,33029464,江義福,郭慧娟,郭慧娟,總經理,賴靜鳳,(03)3284170,45/05/01,83/03/08,新台幣 10.0000元,4761343100,476134310,0,0,合併,每年,股東會,凱基證券股份有限公司,(02)2389-2999,台北市重慶南路一段2號5樓,國富浩華聯合會計師事務所,林金鳳,張亞荃,CHEM,"NO.25,Wen-Te.,Kwei Shan Hsiang,Taoyuan Hsien,TAIWAN R.O.C.",(03)3284155,TW006525@CHEM.COM.TW,WWW.CHEM.COM.TW,賴靜鳳,處長,(03)3284170#2101,TW006466@CHEM.COM.TW,WWW.CHEM.COM.TW/A_CONTACT.ASPX
5,1514,亞力電機股份有限公司,亞力,電機機械,－,台北市南港區三重路19-11號12樓,03213392,慧德實業有限公司代表人宋和業,鄭朝彬,鄧春生,副總經理,詹益源,(02)2655-3456,57/09/25,83/03/26,新台幣 10.0000元,2283266720,228326672,0,0,合併,每年,股東會,元大證券股份有限公司,(02)2586-5859,台北市承德路三段210號B1,惠眾聯合會計師事務所,卓敏枝,項文婷,AEC,"12F,NO.19-11,San-Chung RoadTaipei ,Taiwan ,R.O.C",26553388,sales@allis.com.tw,www.allis.com.tw,詹益源,會計主管,(02)26553456-2640,jamesjan@allis.com.tw,https://goo.gl/Dc81zK
6,1515,力山工業股份有限公司,力山,電機機械,－,台中市大里區仁化路261號,55759180,王冠祥,王冠祥,莊政勳,副總經理,許森源,04-24914141,62/04/30,84/02/04,新台幣 10.0000元,1814735000,181473500,0,0,合併,每年,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,郭士華,吳俊源,REXON,"NO.261, Jen Hwa RDTali, Taichung, Taiwan",04-24910371,circe.ho@rexon.com.tw,http://www.rexon.net,莊政勳,副總經理,04-24914141#6691,liny.lin@rexon.com.tw,https://www.rexon.net/home02.aspx?ID=$5702&IDK=2&EXEC=L
7,1517,利奇機械工業股份有限公司,利奇,電機機械,－,彰化縣彰化市石牌里石牌路一段112號,59008318,林育新,林育新,李育政,管理部經理,蔡芳珠,04-7382121,62/05/16,84/11/14,新台幣 10.0000元,2278250070,227825007,0,0,合併,每年,股東會,福邦證券股份有限公司,(02)2371-1658,(10041) 台北市中正區忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,蘇定堅,曾棟鋆,Lee Chi,"NO. 112 , SEC. 1 , SHIPAI RD,CHANGHUA,TAIWAN,ROC.",04-7371283,gmoe@leechi.com.tw,www.leechi.com.tw,李育政,管理部經理,04-7382121,gmoe@leechi.com.tw,http://www.leechi.com.tw/our_5.html
8,1519,華城電機股份有限公司,華城,電機機械,－,桃園市中壢區吉林路10號,33284077,許邦福,許逸德/許逸晟(執行長),許逸德,總經理,邱旭蘭,02-27047001,58/08/26,86/04/16,新台幣 10.0000元,2610585480,261058548,0,0,合併,每年,董事會,台新綜合證券(股)公司股務代理部,02-25048125,台北市建國北路一段96號B1,勤業眾信聯合會計師事務所,龔則立,李穗青,FE,"No.10, Jilin Rd.,Zhongli City, Taoyuan County, R.O.C.",02-27047005,Ted@fortune.com.tw,www.fortune.com.tw,許逸德,總經理,02-27047001-218,ted@fortune.com.tw,https://www.fortune.com.tw/contact_stakeholder.aspx
9,1526,日馳企業股份有限公司,日馳,電機機械,－,桃園市蘆竹區海山中街51號,11099726,徐義雄,徐義雄,徐予霖,副總經理,葉永禎,(03)3543900,61/05/26,89/03/27,新台幣 10.0000元,600000000,60000000,0,0,合併,每年,股東會,日盛證券股份有限公司,(02)2541-9977,台北市中山區南京東路二段85號7樓,霈昇聯合會計師事務所,林憲章,王新元,SUNRACE,"NO.51, Haishan Central StreetLuzhu District, Taoyuan City, Taiwan",(03)354-4988,tonyyeh@sunrace.com,www.sunrace.com,徐予霖,副總經理,(03)3543900,meilian.zhu@sunrace.com,www.sunrace.tw
