,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,1603,中華電線電纜股份有限公司,華電,電器電纜,－,台北市中山區中山北路三段58號4樓,35882520,陳昭蓉,陳鶴原,蔡旭卿,法務室主管,吳鳳蘭,2599-3456,50/02/23,57/06/03,新台幣 10.0000元,1916880000,191688000,0,0,合併,每年,股東會,日盛證券股份有限公司,2541-9977,台北市中山區南京東路二段85號7樓,馬施云大華聯合會計師事務所,郭思琪,楊芝芬,CWCO,"4TH FLOOR NO.58, CHUNGSHAN NORTH ROAD, SEC. 3Taipei,Taiwan,R.O.C.",2598-7766,acct@cwco.com.tw,www.cwco.com.tw,蔡旭卿,法務室主管,2599-3456,legal@cwco.com.tw,www.cwco.com.tw
1,1604,聲寶股份有限公司,聲寶,電器電纜,－,桃園市龜山區大華里頂湖26-3號,3607500,財團法人陳茂榜工商發展基金會,許經朝,江全田,財會處(協理),高治誠,03-3975151,51/09/11,59/12/14,新台幣 10.0000元,3872000000,387200000,0,0,合併,每年,股東會,元大證券股份有限公司,02-25865859,台北市承德路三段210號地下一樓,勤業眾信聯合會計師事務所,林宜慧,游素環,SAMPO,"No.26-3. Dinghu Rd, Gueishan Dist.,Taoyuan City 33378, Taiwan ( R.O.C)",03-3961332,email@sampo.com.tw,www.sampo.com.tw,江全田,協理,03-3975151#1711,peter_c@sampo.com.tw,http://www.sampo.com.tw/aboutlist.aspx?q=15
2,1605,華新麗華股份有限公司,華新,電器電纜,－,台北市信義區松智路1號25樓,35412204,焦佑倫,潘文虎,文德誠,董事長室特別助理,潘思如,(02)8726-2211,55/12/02,61/11/03,新台幣 10.0000元,34313329480,3431332948,0,0,合併,每年,股東會,本公司股務聯辦室,(02)2790-5885,台北市內湖區行善路398號8樓,勤業眾信聯合會計師事務所,徐文亞,賴冠仲,WALSIN,"25F, No.1, Songzhi Rd.,Taipei 11047, Taiwan",(02)2720-2234,walsinspk@walsin.com,http://www.walsin.com,潘思如,幕僚長,(02)8726-2211,sophi_pan@walsin.com,http://www.walsin.com
3,1608,華榮電線電纜股份有限公司,華榮,電器電纜,－,高雄巿前金區中正四路170號,79460007,劉宗仁,方武男,方武男,總經理,劉秀美,07-2814161,45/12/08,77/07/11,新台幣 10.0000元,6327735060,632773506,0,0,合併,每年,股東會,本公司股務課,02-27717611,台北巿南京東路三段210號11樓,安侯建業聯合會計師事務所,楊博任,許振隆,HE,"170,CHUNG CHENG 4TH ROAD,KAOHSIUNG,TAIWAN,R.O.C.",07-2818871,he520@hegroup.com.tw,http://www.hegroup.com.tw,劉秀美,會計處經理,07-2814161,misherr@hegroup.com.tw,http://www.hegroup.com.tw/index.php?option=module&lang=cht&task=pageinfo&id=142&index=4
4,1609,大亞電線電纜股份有限公司,大亞,電器電纜,－,台南市關廟區中山路二段249號,68035907,沈尚弘,沈尚宜,陳重光,總管理處處副總經理,洪崇銘,06-5953131,51/11/07,77/12/12,新台幣 10.0000元,6458954020,645895402,0,0,合併,每年,股東會,凱基證券股份有限公司,02-23892999,台北市重慶南路一段二號五樓,群智聯合會計師事務所,呂松裕,陳芓伃,TA YA,"249 Chung Shan Rd.,KuanMaiohsiang,TainanHsien,Taiwan,ROC",06-5958190,stock@mail.taya.com.tw,www.taya.com.tw,陳重光,處副總經理,06-5953131,ck_chen@mail.taya.com.tw,www.taya.com.tw
5,1611,中國電器股份有限公司,中電,電器電纜,－,台北市敦化北路170號6樓B室,3086001,蕭宏宜,鄔雲光代理,黃至賢,經理,顏義峰,(02)27191188,44/02/01,79/01/16,新台幣 10.0000元,3227357420,322735742,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-2702-3999,台北市大安區敦化南路二段97號B2,勤業眾信聯合會計師事務所,林旺生,楊承修,CE,"Rm.B,6F,NO.170,Dunhua N. ROADTAIPEI,TAIWAN",(02)27190055,eservice@toa.com.tw,http://www.chinaelectric.com.tw,黃至賢,經理,(02)27191188,frank@chinaelectric.com.tw,http://www.chinaelectric.com.tw/investor11.php
6,1612,宏泰電工股份有限公司,宏泰,電器電纜,－,桃園市328觀音區樹林里國建一路2號,43125162,陳世怡,黎文斌,潘少屏,副總經理,陳良驊,(02)27011000,57/08/08,82/05/08,新台幣 10.0000元,3160800630,316080063,0,0,合併,每年,董事會,福邦證券(股)公司,(02)2371-1658,100台北市中正區忠孝西路ㄧ段6號6樓,安永聯合會計師事務所,徐榮煌,謝勝安,HONG TAI,"20F., NO.65, SEC2, DUN-HUA S. RD., DA'AN DIST., TAIPEI CITY106, TAIWAN R.O.C.TAIPEI TAIWAN R.O.C.",(02)27081100,managerdep@hong-tai.com.tw,www.hong-tai.com.tw,潘少屏,副總經理,(02)2701-1000#280,paulpan@hong-tai.com.tw,www.hong-tai.com.tw
7,1614,台灣三洋電機股份有限公司,三洋電,電器電纜,－,台北市中山區松江路266號10F,3564501,李文峰,李文琳,林張惠,協理,林陳勝,(02)25210251,52/02/13,86/09/18,新台幣 10.0000元,2691134060,269113406,0,0,合併,每年,董事會,華南永昌綜合證券股份有限公司,(02)2718-6425,台北市松山區民生東路四段54號4樓,資誠聯合會計師事務所,陳晉昌,廖福銘,Taiwan Sanyo,"10F,NO. 266,Sung Chiang Road,Taipei,Taiwan,R.O.C",(02)25119935,san3@sanyo.com.tw,www.sanyo.com.tw,林張惠,協理,(02)25210251-3001,atalanta@sanyo.com.tw,http://www.sanyo.com.tw/s1405/sanyo_investment.asp
8,1615,大山電線電纜股份有限公司,大山,電器電纜,－,雲林縣斗六市雲林路三段369號,64829434,蘇文彬,蘇文彬,張國忠,經理,謝彩芬,05-5222331,63/04/15,89/03/30,新台幣 10.0000元,1378137170,137813717,0,0,合併,每年,董事會,凱基證券股份有限公司,02-23892999,台北市重慶南路一段二號五樓,安侯建業聯合會計師事務所,連淑凌,郭柔蘭,Dah San,"NO.369 Sec. 3 Yun-Lin Rd. Douliou CityYunlin County , Taiwan,(R.O.C)",05-5220478,fin1615@dahsan.com.tw,http://www.dahsan.com.tw,張國忠,經理,05-5222331,gzchang@dahsan.com.tw,http://www.dahsan.com.tw/chinese-105.html
9,1616,億泰電線電纜股份有限公司,億泰,電器電纜,－,台北市中正區仁愛路二段九十一巷一號一樓,22819700,王銀河,張程浩(代理),王銀河,董事長,鄒玫君,02-2321-8855,77/03/21,89/09/11,新台幣 10.0000元,1941485150,194148515,0,0,合併,每年,股東會,元富證券股份有限公司,02-2768-6668,台北市松山區光復北路11巷35號地下一樓,安侯建業聯合會計師事務所,余聖河,陳振乾,EVERTOP,"1F, No. 1, Lane 91, Sec. 2, Ren-Ai Rd.,Taipei 100 , Taiwan, R.O.C.",02-2321-3236,evertopf@ms27.hinet.net,http://www.evertop.com,王銀河,董事長,02-2321-8855,evertopf@ms27.hinet.net,http://www.evertop.com/?action=info&info=34
10,1617,榮星電線工業股份有限公司,榮星,電器電纜,－,台南市仁德區中正路三段231號,73341336,王東澤,邱守基,薛添得,協理,黃維民,06-2705211,60/07/17,89/09/11,新台幣 10.0000元,1442332350,144233235,0,0,合併,每年,股東會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,陳惠媛,楊博任,JSW,"231,Sec.3,Chung-Cheng RD.,Jen-Teh District ,Tainan CityTainan City,717 TAIWAN,R.O.C.",06-2700599,frank@nt1.jswire.com.tw,http://www.jswire.com.tw,薛添得,協理,06-2705211,frank@nt1.jswire.com.tw,http://www.jswire.com.tw
11,1618,合機電線電纜股份有限公司,合機,電器電纜,－,台北市中山區復興南路一段36之9號3樓,23206102,楊碧綺,李新政,陳亞萍,財務主管,周亭儀,02-23956603,78/03/01,89/09/11,新台幣 10.0000元,1926917470,192691747,0,0,合併,每年,股東會,康和綜合證券股份有限公司,02-87871888,台北巿信義區基隆路1段176號B1,勤業眾信聯合會計師事務所,龔則立,莊文源,HK,"3F., No. 36-9, Sec. 1, Fusing S. Rd., Jhongshan Dist., Taipei City 104, TaiwanTAIPEI,TAWAN,R.O.C.",02-23563700,ir@hold-key.com.tw,WWW.HOLD-KEY.COM.TW,陳亞萍,財務主管,(02)23956603#311,hkinvestors@hold-key.com.tw,http://www.hold-key.com.tw/stakeholder_holdkey_01.html
12,1626,艾美特(開曼)國際有限公司,艾美特-KY,電器電纜,KY 開曼群島,台南市新忠路11號,34995738,史瑞斌,史瑞斌,莊亞菘,集團投資關係室經理,史瑞斌,8675527655988,93/03/11,102/03/21,新台幣 10.0000元,1455444960,145544496,0,0,合併,每年,股東會,中國信託商業銀行代理部,02- 6636 5566,台北市重慶南路1段83號5樓,資誠聯合會計師事務所,王國華,劉子猛,AIRMATE,"NO.11 SHIN CHUNG ROAD, AN PING INDUSTRIAL DISTRICT,TAINAN.TAIWAN.R.O.CTAINAN.TAIWAN.R.O.C",8675527643640,yasung@airmate-china.net,www.airmate-china.com,莊亞菘,集團投資關係室經理,02-27043094,yasung@airmate-china.net,www.airmate-china.com
13,4930,燦星網通股份有限公司,燦星網,電器電纜,－,台北市內湖區堤頂大道一段333號6樓,28986660,林技典,,劉凱禎,經理,暫缺,(02)27956898,98/11/11,99/06/21,新台幣 10.0000元,1343000000,134300000,0,0,合併,每年,董事會,元大證券股份有限公司,(02)25865859,台北市大同區承德路三段210號B1,資誠聯合會計師事務所,林鈞堯,林一帆,Star Comgistic,"6F., No.333, Sec. 1, Tiding Blvd., Neihu Dist.,Taipei City 114, Taiwan (R.O.C.)",(02)27956656,-,http://www.starcomgistic.com,缺,缺,(02)27956898,缺,http://www.starcomgistic.com
14,5283,禾聯碩股份有限公司,禾聯碩,電器電纜,－,(33383)桃園市龜山區文化里科技三路88號3樓,80333058,蔡金土,林欽宏,雷鎵駿,副總經理,洪堯鴻,(03)396-1188,91/05/06,108/05/24,新台幣 10.0000元,730004250,73000425,0,0,合併,每半會計年度,董事會,元富證券股份有限公司,(02)2768-6668,105台北市光復北路11巷35號B1樓,勤業眾信聯合會計師事務所,陳慧銘,池瑞全,Heran,"No.88, Keji 3rd Rd., Wunhua Village, Guishan TownshipTaoyuan County , Taiwan R.O.C.",03)396-1199,heran5283@heran.com.tw,www.heran.com.tw,雷鎵駿,副總經理,(03)396-1188#2910,heran5283@heran.com.tw,www.heran.com.tw
