,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
0,9103,美德向邦醫療國際股份有限公司,美德醫療-DR,存託憑證,BM 百慕達群島,台北市信義區松高路9號11樓,0,楊克誠,楊威遠,Wilfrido Candelaria,財務長,林逸清,02-27392222,86/11/26,91/12/13,美金0.05元,827042000,549411240,0,0,合併,每年,股東會,元大證券股務代理部,(02)2586-5859,(103)臺北市大同區承德路3段210號B1,Sycip Gorres Velayo & Co,-,-,MEDTECS,"11F,NO.9,Songgao Road,Xinyi District,Taipei CITY 11073,TaiwanTaipei Taiwan",(02)2729-8055,investor@unet.net.tw,www.medtecs.com.tw,－,－,－,－,
1,910322,康師傅控股有限公司,康師傅-DR,存託憑證,KY 開曼群島,中國上海閔行區吳中路1688號A棟,0,魏宏名,魏宏名,林清棠,副總裁,劉國維86-2131754309,86-2265298888,83/01/12,98/12/16,美金0.0050元,916513457,5620600000,0,0,合併,每年,股東會,元大證券股份有限公司,(02)2586-3117,台北市大同區承德路三段210號地下一樓,中審眾環（香港）會計師事務所,陳志明,不適用,Tingyi,"Block A, No.1688, WuZhong Rd.,MinHang DistrictShanghai, China 201103",862131754320,info@tingyi.com,http://www.masterkong.com.cn/,－,－,－,－,
2,9105,泰金寶科技股份有限公司,泰金寶-DR,存託憑證,TH 泰國,新北市深坑區北深路三段147號,0,許勝雄,鄒孔訓,周怡君,經理,羅家珠,02-7705-8001,78/12/02,92/09/22,泰銖1元,4400993848,4956632333,0,0,合併,每年,股東會,亞東證券股份有限公司,02-77531699,新北市板橋區新站路16 號13 樓,安永聯合會計師事務所,Rungnapa Lertsuwanku,,CCET,"No.147, Sec 3, Beishen Rd, Shen Keng Dist,New Taipei City 222,Taiwan R.O.C",02-7705-8034,ir@calcomp.com.tw,http://www.calcomp.co.th,－,－,－,－,
3,910861,神州數碼控股有限公司,神州-DR,存託憑證,BM 百慕達群島,香港灣仔告士打道77-79 號富通大廈31樓,0,郭為,郭為,李君澤,投資總監,唐可可,852 3416 8000,90/01/25,99/11/24,港幣0.1元,644726418,1672768386,0,0,合併,每年,股東會,宏遠證券股份有限公司,(02) 23268818,臺北市信義路4段236號3樓,信永中和(香港)會計師事務所公司,劉佳煌,,DCH,"31/F,Fortis Tower,77-79 Gloucester Road,Wanchai, Hong KongHong Kong",852 2805 5991,ir@dcholdings.com,www.dcholdings.com,－,－,－,－,
4,9110,越南製造加工出口控股有限公司,越南控-DR,存託憑證,KY 開曼群島,越南同奈省邊和市三協坊第五區,0,劉武雄,鄭旭琪,鄭旭琪,行政總裁,林俊宇,(852)25621692,94/06/20,98/12/03,0.01,38168000,907680000,0,0,合併,每年,股東會,日盛證券股份有限公司,(02)2541-9977,台北市中山區南京東路二段85號7樓,畢馬威華振會計師事務所,無,無,VMEP Holdings,"Section 5, Tam Hiep WardBien Hoa City, Dong Nai , Vietnam",(852)25621691,info@vmeph.com,www.vmeph.com,－,－,－,－,
5,911608,明輝環球企業有限公司,明輝-DR,存託憑證,SG 新加坡,"8 Penjuru Lane,Singapore 609189",26264842,林翔寬,-,林翔寬,執行長,麥榮貴,(65)6291-4444,93/04/23,99/10/20,不適用,526896000,480000000,0,0,合併,每年,股東會,元大證券股務代理部,(02)2586-5859,(103)臺北市大同區承德路3段210號B1,Baker Tilly TFW LLP,-,-,BH Global,"8 Penjuru Lane,Singapore 6091898 Penjuru Lane,Singapore 609189",(65)6265-1768,wengkwai.mark@bhglobal.com.sg,http://www.bhglobal.com.sg/,－,－,－,－,
6,911622,聚亨企業集團(泰國)大眾有限公司,泰聚亨-DR,存託憑證,TH 泰國,"99 Moo1, Tumbon Nikompattana, Amphur Nikompattana, Rayong TH",26064801,呂艷娟,黃炳綸,黃炳綸,總經理,黃鳳梅,+66-38-636800,85/09/09,100/09/29,泰銖10元,5580795712,596748900,0,0,合併,每年,股東會,福邦證券股份有限公司,02-23711658,台北市中正區忠孝西路一段6號6樓,安永聯合會計師事務所,Khitsada Lerdwana,不適用,TYCN,"99 Moo1, Tumbon Nikompattana, Amphur Nikompattana,Rayong 21180 Thailand",+66-38-636969,tycoons@tycons.com,www.tycons.com,－,－,－,－,
7,911868,同方友友控股有限公司,同方友友-DR,存託憑證,KY 開曼群島,香港灣仔告士打道138號聯合鹿島大廈15樓,0,高志,高志,謝漢良,-,陳璋,(852)27862133,95/10/06,98/12/22,HKD 0.1,356242582,2109163417,0,0,合併,每年,股東會,富邦綜合證券股務代理部,02-23611300,台北市許昌街17號2樓,安永會計師事務所,不適用,不適用,Neo-Neon,"15th Floor, Allied Kajima Building 138 Gloucester Road,Wanchai, Hong Kong",(852)27316651,investors@neo-neon.com,http://www.neo-neon.com/,－,－,－,－,
8,912000,晨訊科技集團有限公司,晨訊科-DR,存託憑證,BM 百慕達群島,香港觀塘鴻圖道31號鴻貿中心12樓1206室,0,楊文瑛,劉軍,陳梓妍,財務總監及公司秘書,,(852)23686824,93/10/27,100/04/25,0.1,1063575000,2362546300,0,0,合併,每年,股東會,元大證券(股)公司股務代理部,(02)2586-5859,台北市承德路三段210號B1,德勤．關黃陳方會計師行,不適用,不適用,SIM TECH,"Unit 1206, 12/F., Billion Trade Centre, 31 Hung To Road, Kwun Tong, Hong KongHong Kong",(852)23676724,karen.chan@sim.com,http://www.sim.com,－,－,－,－,
9,9136,巨騰國際控股有限公司,巨騰-DR,存託憑證,KY 開曼群島,香港康樂廣場1號怡和大廈33樓3311-3312室,0,鄭立育,,黃正斌,特別助理,,852-28400115,93/07/12,98/05/25,0.1,440764000,1200008445,0,0,合併,每年,股東會,元大證券股份有限公司,02-2586-5859,台北市承德路三段210號B1,安永會計師事務所,鄺嘉茵,,Ju Teng,"Suites 3311-3312, 33rd Floor, Jardine House, 1 Connaught PlaceHong Kong",852-28401023,ir@juteng.com.tw,http://www.juteng.com.hk/,－,－,－,－,
10,9188,精熙國際(開曼)有限公司,精熙-DR,存託憑證,KY 開曼群島,香港新界沙田穗禾路1號豐利工業中心A座6樓1-2號室,0,賴以仁,栗原俊彥,栗原俊彥,總經理,李政鴻,(852)35506777,93/10/13,98/10/08,港幣0.01元,31662604,818580000,0,0,合併,每年,股東會,凱基證券股份有限公司,(02)23892999,台北市重慶南路一段2號5樓,德勤會計師事務所,不適用,不適用,YORKEY OPTICAL,"Workshops 1-2 , 6th Floor Block A , Goldfield Industrial Centre 1 Sui Wo RoadNew Territories , Hong Kong , PRC",(852)29470630,ir@yorkey-optical.com,www.yorkey-optical.com,－,－,－,－,
